pname,n,total,max_amt
"MERLIN INTERNATIONAL, INC.",1167,998047002.49,57050000.0
"AKAL SECURITY, INC.",1495,997742478.6,27153482.28
PERATON SOLUTIONS INC.,77,981203545.39,271196898.93
RIVERSIDE RESEARCH INSTITUTE,964,958529691.39,53239429.78
"MAXIMUS FEDERAL TECHNOLOGY SOLUTIONS, LLC",963,956560475.51,31326081.02
"WHITING DIALYSIS SERVICES, LLC",14,903526284.67,217668253.11
"JOHNSON CONTROLS BUILDING AUTOMATION SYSTEMS, LLC",1609,895415627.64,26695954.0
"CH2M HILL BWXT WEST VALLEY, LLC",321,894690932.92,27300000.0
"AGILE DECISION SCIENCES, LLC",1259,878053812.85,29254675.41
CHAS KURZ & CO INC,3316,873994612.73,28553300.0
BLACK CONSTRUCTION-TUTOR PERINI JV,129,872335006.1,116365697.28
UNIVERSITY SYSTEM OF MARYLAND,2332,870298782.07,18000000.0
ASAHI KASEI CORPORATION,407,807179825.83,350147826.0
SENTINEL ACQUISITION HOLDINGS INC.,1027,752330856.24,33453606.75
NANA REGIONAL CORPORATION INC,1413,743960263.07,164400502.0
"APPLIED RESEARCH SOLUTIONS, INC.",590,738778714.88,47790385.29
"LUMEN TECHNOLOGIES GOVERNMENT SOLUTIONS, INC.",1912,737280330.4399999,73774579.0
BLACK & VEATCH SPECIAL PROJECTS CORP.,1763,723529462.66,21796198.0
"CHERRY CENTRAL COOPERATIVE, INC.",727,715844621.93,13508140.8
THE WHITE OAK GROUP INC,1808,701331386.86,29846517.0
"DONALD L. MOONEY ENTERPRISES, LLC",3903,679866135.04,8472405.8
INGENESIS INC,1186,677214263.55,20247273.0
PEERLESS TECHNOLOGIES CORPORATION,1569,661640003.76,20757717.61
ROCKWELL COLLINS-ESA VISION SYSTEMS LIMITED LIABILITY COMPANY,792,654039818.73,24810220.0
H SQUARED INC,357,646151321.78,54012208.66
DAY & ZIMMERMANN LONE STAR LLC,402,643467079.93,207530000.0
ACTION MANUFACTURING COMPANY,148,638811166.77,67368000.0
"MAPP BIOPHARMACEUTICAL, INC.",225,629806480.7,109773122.0
BLACK & VEATCH HOLDING COMPANY,1579,617459720.38,26568998.47
PERATON RISK DECISION INC.,83,612927462.21,76733839.5
GILBANE AECOM JV,157,609048662.39,138728089.0
LAKESIDE FOODS INC,337,604982568.18,37281970.8
"ROONEY HOLDINGS, INC.",758,604784622.16,88666057.71
"AECOM TECHNICAL SERVICES, INC.",1438,591058849.78,43783515.79
"HIG CAPITAL MANAGEMENT, INC.",490,588957784.79,22854322.93
"MOUNT SINAI HEALTH SYSTEM, INC.",273,577140853.26,27686809.22
PUBLICIS GROUPE S.A.,461,575968594.57,13998948.48
AARCORP,716,571545952.95,27570625.0
WORKFORCE COMMISSION  TEXAS,769,567428267.15,24000000.0
KONECRANES ABP,135,564069278.65,54928445.0
"KEYSTONE PEER REVIEW ORGANIZATION, LLC",64,554077922.35,297572005.0
GREENBRIER GOVERNMENT SOLUTIONS INC,338,552643544.86,28278649.08
SANOFI PASTEUR VAXDESIGN CORP,171,543615411.69,96496327.33
"SIGNATURE CHOICE, LLC",50,538446967.35,107724136.18
INTELLIGENT WAVES LLC,463,531913425.65,55367056.96
M M MANUFACTURING LLC,758,521235939.02,6932608.2
CAPE FOX CORPORATION,1307,518635299.16,11372396.4
SOUTHERN CO SERVICES INC,1140,517217321.03,22547643.74
"UNIVERSAL CONSULTING SERVICES, LLC",1373,511891279.57,13254597.75
"ENSIGN-BICKFORD INDUSTRIES, INC.",924,507438096.04,21543330.0
"BLUE ORIGIN MANUFACTURING, LLC",15,505060306.15,250000000.0
"SOURCE ONE DISTRIBUTORS, INC.",459,503870736.59,19914795.0
HAWAIIAN NATIVE CORPORATION,733,497827026.03,28967079.84
"CHEROKEE NATION OPERATIONAL SOLUTIONS, L.L.C.",520,497716453.41,33691944.75
PEARSON ENGINEERING LIMITED,88,496868238.38,150979500.0
"UNIVERSAL PROTECTION SERVICE, LIMITED PARTNERSHIP",279,495632107.77,30750831.51
VERTEX MODERNIZATION AND SUSTAINMENT LLC,245,494486619.16,130159444.0
"GIDEON CONTRACTING, LIMITED LIABILITY COMPANY",887,489467546.21,19600007.5
THE BIONETICS CORP,777,488822371.29,11575272.25
"ENGILITY SERVICES, LLC",1704,482224759.17,15936465.44
"GRIFFON AEROSPACE, INC.",803,477826439.09,77729006.0
NORTH STONE  LLC,720,475573096.5,13919788.8
"DIRECTVIZ SOLUTIONS, LLC",294,474326545.24,20165000.0
CHEROKEE NATION SYSTEM SOLUTIONS LLC,1959,464362517.19,16332466.85
"ONEX RESCARE ACQUISITION, LLC",456,461689093.27,7201152.0
"MANUFACTURING TECHNICAL SOLUTIONS, LLC",1030,456933170.66,7624968.03
"PEOPLETEC, INC.",1177,449128572.64,13461144.98
CALUMET SALES COMPANY INCORPORATED,10,447335223.6,190946400.0
THE CHENEGA CORPORATION,904,446105201.21,7800433.59
"VERSABILITY RESOURCES, INC.",1301,444385850.08,24103059.24
BELLEVILLE SHOE MANUFACTURING COMPANY,447,441317994.69,11335239.0
SQUARE ONE ARMORING SERVICES CO.,298,436438623.23,28795517.0
IMAGINE ONE TECHNOLOGY & MANAGEMENT LTD,542,435338260.53,21015212.33
"SOUTHEAST CHEROKEE CONSTRUCTION, INC.",805,425911426.91,24825000.0
D SQUARE CONSTRUCTION LLC,885,422085516.49,13411019.0
BLIND INDUSTRIES AND SERVICES OF MARYLAND,652,416700729.65,5029117.44
THE PASHA GROUP,272,416626325.04,16645717.6
RESOLUTION CONSULTANTS - AN AECOM-ENSAFE JOINT VENTURE,1330,413870031.51,6926817.0
SOUTHEASTERN COMPUTER CONSULTANTS INC,1482,412218980.86,5579257.0
"EMPOWER AI, INC.",233,407257505.57,30684210.35
SINCLAIR OIL CORPORATION,902,402375841.13,38603925.0
ONEIDA NATION,1106,401965450.18,16733442.0
"SYNECTICS FOR MANAGEMENT DECISIONS, INC.",180,399269506.58,28581307.0
AVON PROTECTION CERADYNE LLC,146,394961580.96,42164000.0
"INTEGRATED BUSINESS & TECHNICAL CONSULTANTS, INC.",602,394034599.16,9378988.0
STICHTING ADMINISTRATIEKANTOOR UNILEVER N.V.,69,393243979.75,12492114.32
"GOLDBELT FRONTIER, LLC",760,389602141.14,6937182.36
"GLOBAL PRECISION SYSTEMS, LLC",269,389203144.5,14875183.0
"EVERGREEN HOLDINGS, INC",194,388176206.19,56908000.0
UNIVERSAL TECHNICAL RESOURCE SERVICES INC,596,387498804.19,9278912.69
"PRIORITY ONE SERVICES, INC.",548,387433456.91,6543376.78
NATIONAL EXCHANGE CARRIER ASSOCIATION INC,16,386882554.52,125000000.0
"KRATOS UNMANNED AERIAL SYSTEMS, INC",206,384086965.82,61068139.3
THE NEIL JONES FOOD COMPANY,430,373200957.37,12260997.69
"PERNIX INTERNATIONAL, LLC",23,367967010.85,319027389.0
AC JV ONE LLC,83,365744827.84,55584000.0
HONEYWELL TECHNOLOGY SOLUTIONS INC.,115,364423331.72,34926987.0
ADVANCEMED CORPORATION,399,358581007.02,24341287.62
AERIE AEROSPACE LLC,144,358520735.71,11644250.0
THE MASON & HANGER GROUP INC.,149,357306872.88,110020737.04
"THE WHITESTONE GROUP, INC.",834,355198277.76,12544141.78
INTELSAT USA SALES CORP.,291,351766049.15999997,26873905.68
KAJIMA CORPORATION,257,351266995.97,60648252.0
SPLD LLC,1,350470804.56,350470804.56
"ENVISIONEERING, INC.",1175,350393154.29,8198429.04
A SQUARE GROUP LLC,141,350156812.0,53875279.17
LOUIS DREYFUS HOLDING B.V.,49,349251438.3,18425000.0
"DECISION TECHNOLOGIES, INC.",483,347828492.06,7006456.0
"INSAP SERVICES, INC.",258,344103278.05,20476159.89
ELBIT SYSTEMS OF AMERICA - NIGHT VISION LLC,46,342856677.69,114950850.0
"CHEROKEE NATION STRATEGIC PROGRAMS, L.L.C.",401,342806648.87,17136728.56
"ECHELON SERVICES, LLC",370,341731437.84,17000000.0
TALBERT MANUFACTURING INC,86,341217562.61,76892391.0
SHO-ME POWER ELECTRIC COOPERATIVE,425,341073851.93,23064829.82
GLOBALFOUNDRIES U.S. INC.,38,340335710.04,34043387.03
NAVANTIA REPARACIONES SAN FERNANDO,1729,334503614.19,23608253.37
GALAPAGOS FEDERAL SYSTEMS LLC,391,330341507.67,14553771.11
INVERNESS TECHNOLOGIES INC,113,329833150.68,27812551.2
CENTURIA CORPORATION,499,329662035.37,11078026.4
SKYLINE ULTD INC,210,329139607.21999997,34792970.68
PENTAQ MANUFACTURING CORP,463,327608414.45,8553799.8
GOVERNMENT OF THE UNITED STATES,112,326758960.5,42601122.0
STATE OF TEXAS,156,325917102.35,37572060.0
"CHEROKEE NATION MISSION SOLUTIONS, L.L.C.",1647,325556654.41,19032260.51
WIDEPOINT INTEGRATED SOLUTIONS CORP,502,320827156.24,20440898.4
SCITOR CORPORATION,634,319295850.14,13424485.56
MIRAIT.ONE- ACTY JV,215,318413470.1,39922610.59
"UNIVERSAL PROTECTION GP, LLC",228,314677703.78,14604468.75
"G. S. PRECISION, INC.",403,314657832.34,20433641.94
"SUMMIT CONSTRUCTION, INC.",543,314463065.02,13085132.0
"PYRAMID SYSTEMS, INC.",438,313705756.94,20317551.44
FIVE STONES RESEARCH CORPORATION,513,312342553.4,11670336.0
CALLAN MARINE LIMITED,81,312223196.71,104974200.0
SLM CORP SALLIE,139,311905996.85,41940000.0
KAMPI COMPONENTS CO INC,648,311655417.04,8410021.0
BRIDGER AIR TANKER LLC,252,311266404.59,2605971.96
"CHEROKEE NATION FEDERAL CONSULTING, L.L.C.",159,310595625.24,109410350.7
FORTIS INDUSTRIES LLC,1246,310104931.07,6500551.82
"AECOM GOVERNMENT SERVICES, INC.",168,309887583.17,25261089.12
HII MISSION TECHNOLOGIES CORP,242,309555837.81,30028253.67
"SC COMPANIES, INC.",534,309231073.88,38609011.56
ENVIRONET INC.,428,303830740.38,17152000.0
VECTOR CSP LLC,718,303128809.94,9743461.27
"SIGNATURE CHOICE II, LLC",25,303051516.86,131855597.2
"GLOBAL ENGINEERING & CONSTRUCTION, LLC",374,300947715.38,17995491.0
COOPER MACHINERY SERVICES LLC,438,299520916.59,28700000.0
GULF COAST ELECTRIC COOPERATIVE INC,232,296693110.0,150988975.0
RQ-AECOM 2 JV,81,296279139.53,113107896.0
"PDS CONSULTANTS, INC",903,294766109.58,7283268.5
DAIMLERCHRYSLER AG,367,293033506.43,74562100.3
THE BUILDING PEOPLE  LLC,838,293027427.55,6127875.44
"SNC MANUFACTURING, LLC",173,285513983.35,27925200.0
QUANTUM RESEARCH INTERNATIONAL INC,759,285455385.77,8504752.0
"JOHNSON CONTROLS GOVERNMENT SYSTEMS, LLC",435,285366172.05,25687355.0
"ARCTURUS UAV, INC",108,284447909.84,18118233.27
ONEIDA TOTAL INTEGRATED ENTERPRISES LLC,993,279490529.99,8482805.0
"EXCEL GARMENT MANUFACTURING, LIMITED",398,278441308.89,15526032.0
MALONEY-ODIN JV,110,278118802.99,129801500.0
"PARTNERS HEALTHCARE SYSTEM, INC",732,277707392.37,16844471.0
"KONIAG, INC.",509,277243023.17,10142242.0
"KEYSTONE SHIPPING SERVICES, INC.",957,275996694.03,16235087.0
SUMMIT CONSULTING LLC,739,275475791.16,15684981.97
"RELIABILITY & PERFORMANCE TECHNOLOGIES, LLC",391,275059202.49,11903253.0
DECISIONPOINT CORPORATION,410,274045584.89,30000000.0
"JOHNSON CONTROLS NAVY SYSTEMS, LLC",176,273777599.08,95678000.73
VERSAR NATIONAL SECURITY SOLUTIONS LLC,956,270040434.36,8151048.75
"COHERENT TECHNICAL SERVICES, INC.",1043,268639480.79,11439239.0
PRESIDIO GOVERNMENT SOLUTIONS LLC,438,267423953.7,30142307.42
ERA HELICOPTERS  LLC,134,266067975.27,36301000.0
"SUMMIT TECHNICAL SOLUTIONS, LLC",572,265867526.4,21725995.38
TETRA TECH-MAYTAG AIRCRAFT CORPORATION JOINT VENTURE,162,265021823.89000002,10252498.0
GOLDBERG LINDSAY & CO. LLC,142,262908672.87,76060227.0
CH2M HILL CLARK NEXSEN ENERGY PARTNERS JV,459,262734926.36,11730230.0
CONDUENT STATE & LOCAL SOLUTIONS  INC.,446,261795073.52,18628263.0
"SIGNATURE PERFORMANCE, INC.",362,261104227.65,45363245.15
"MAXIM HEALTHCARE SERVICES, INC.",1414,260502914.72,9000000.0
NATIVE HAWAIIAN COMMUNITY DEVELOPMENT CORPORATION,474,259407527.42,12867312.0
"PLEXSYS INTERFACE PRODUCTS, INC",236,258671182.38,19229802.0
"DALE ROGERS TRAINING CENTER, INC.",569,258448703.01,10362342.35
BLUE CROSS & BLUE SHIELD OF SOUTH CAROLINA,74,258210789.22,80467971.0
CHICAGO AMERICAN MANUFACTURING LLC,487,256930190.57,6766029.19
"TYONEK TECHNICAL SERVICES, LLC",98,255259302.69,23361019.92
"SOUTHCOAST WELDING & MANUFACTURING, LLC.",1574,254504819.12,11360573.72
"HSGS-AMERESCO, LLC",39,252768385.8,43199493.0
NATIONAL CENTER FOR DEFENSE MANUFACTURING AND MACHINING,423,250844246.38,11751047.0
"ZINC-POLYMER HOLDINGS, LLC",60,250840099.06,12532855.68
AKAHI INGENESIS PARTNERS LLC,1137,248140817.56,7794007.76
"JOHNSON CONTROLS FEDERAL SYSTEMS/VERSAR, LLC",329,246314900.43,98299269.39
PERNIX - SERKA LP,64,243939450.68,92691148.0
"RIO GRANDE ELECTRIC COOPERATIVE, INC.",490,243168260.06,10420788.96
GED TESTING SERVICE LLC,302,241196078.08,16500000.0
T SQUARE LOGISTICS SERVICES CORPORATION,679,241134148.04999998,14807354.4
AFOGNAK NATIVE CORP,286,237853031.45,29369459.0
GOVERNMENT OF ABU DHABI,55,237704992.0,27617050.0
DEL MAR FOOD PRODUCTS CORP.,156,237252686.07,34960408.0
"APOGEE GROUP, LLC",301,236700306.96,13000000.0
"NEXAGEN NETWORKS, INC.",649,235832305.56,12156525.84
"VECTOR PLANNING & SERVICES, INC.",423,235436654.62,19891774.39
"PHASE ONE CONSULTING GROUP, LLC",856,234882542.72,6334265.05
MODERN INTERNATIONAL INC,254,234117295.31,18606221.0
PRICE MODERN LLC,705,232789387.91,25815028.52
"BRISTOL ENVIRONMENTAL REMEDIATION SERVICES, LLC",534,232772360.32,9963884.25
"UNIFIED BUSINESS TECHNOLOGIES, INC.",732,232503540.12,9729041.8
CALLAN MARINE LTD,28,231634764.81,102896306.0
MISSISSIPPI LIMESTONE CORP,85,231520387.51,18399990.75
"SUMMIT TECHNOLOGIES, INC.",337,230822558.72,13562684.0
"LAKESIDE FOODS, INC.",495,228308430.3,48092904.02
"SYNECTIC SOLUTIONS, INC.",1005,226986500.31,4007546.59
C3 LIMITED LIABILITY COMPANY,345,226834249.97,34885612.51
BAE SYSTEMS PLC,275,226579539.91,21068008.8
EMAGINE IT INC,367,226481538.92,9982873.91
BLACK & VEATCH HOLDING CO,376,225436441.41,20648841.02
"MICRO SYSTEMS CONSULTANTS, INC.",1295,219653416.29,4491132.69
PAE-PERINI LLC,131,219213829.13,20117092.92
"THE DAY & ZIMMERMANN GROUP, INC",762,214725971.36,14189941.0
"DILIGENT CONSULTING, INC.",710,213903195.11,9012787.0
MITSUBISHI MATERIALS CORPORATION,297,211929818.12,9694498.17
AMG HEALTHCARE SERVICES INC,823,210790173.83,5415168.0
"SEILER INSTRUMENT AND MANUFACTURING COMPANY, INCORPORATED",573,209536149.07,15499466.25
"PERSONNEL DECISIONS RESEARCH INSTITUTES, LLC",555,209452126.47,18138006.7
"PIONEER INDUSTRIES, LLC",394,206899575.28,6455323.2
"CHG HEALTHCARE SERVICES, INC.",1977,206191260.56,2494470.32
AMERICAN TECHNOLOGY SOLUTIONS INTERNATIONAL CORP,323,204004331.27,5893464.0
NOLIN RURAL ELECTRIC COOPERATIVE CORPORATION,187,203120928.76,10869407.4
"PREMIERE CREDIT OF NORTH AMERICA, LLC",96,201301519.86,30010000.0
VALI COOPER INTERNATIONAL LLC,821,200945007.25,3631232.76
VINCI,90,200629018.0,92581000.0
"SYSTEM ONE HOLDINGS, LLC",473,200523505.70000002,41400504.5
"PEOPLE, TECHNOLOGY AND PROCESSES, LLC",522,200375381.93,3753102.1
"INTERIMAGE, INC.",413,199941260.84,8173838.33
"MWH GLOBAL, INC.",593,199738895.21,15804275.0
MUSTANG ACQUISITION HOLDINGS INC.,560,199048559.43,9122356.0
"BONEAL, INCORPORATED",436,198159114.05,7893441.0
BLACKSTONE TECHNOLOGY GROUP,362,197450212.9,9491954.42
"CHEROKEE NATION CONSTRUCTION SERVICES, L.L.C.",301,195149085.46,14231854.99
FRONTIER ELECTRONIC SYSTEMS CORP,423,195124555.47,14197527.0
INTELSAT GLOBAL SA,168,194492463.62,23678102.76
TEXAS WORKFORCE COMMISSION,117,193800742.31,15599424.27
"MEDIVECTOR, INCORPORATED",45,193466574.34,29467062.03
"GOLDEN MANUFACTURING CO., INC.",158,190285314.04,7752319.2
"CHEROKEE NATION RED WING, L.L.C.",225,189896249.79,43732966.76
PUERTO RICO APPAREL MANUFACTURING (PRAMA) CORP.,265,189624523.22,9809520.0
"ONEIDA TECHNICAL SOLUTIONS, LLC",186,188828784.52,35668890.43
TYONEK TECHNICAL SERVICES  LLC,235,188072681.45,17732760.1
TNT PREMIER PARTNERSHIP,464,187585363.62,11997918.0
"AAR MANUFACTURING, INC.",109,187523464.43,22817730.0
HERCULES EMPLOYER  LLC,172,187389835.2,10850000.0
KEYSTONE PREPOSITIONING SERVICES INC,140,186660147.92,16806181.02
"INTERACTIVE PROCESS TECHNOLOGY, LLC",349,186644495.4,17992742.0
"OMITRON, INC.",227,184698610.93,11845953.0
"CORNERSTONE CONSTRUCTION SERVICES, LLC",612,184395820.22,10450562.0
PUBLICIS GROUPE S A,105,184273203.38,13887162.23
"BAKERAECOM, LLC",216,183759795.05,19447806.27
DIVERSIFIED GLOBAL PARTNERS JV LLC,82,183611508.03,16604101.37
"CIVICACTIONS, INC.",196,182402097.41,15061347.8
NOOSPHERE VENTURE PARTNERS LP,24,181514796.17,33453000.0
CORNERSTONE RESEARCH GROUP INC,570,179007377.31,6993193.0
MERLIN PETROLEUM CO INC,121,178654162.17,31074568.0
NIH BAYVIEW ACQUISITION LLC,252,177845935.52,8400000.0
"STONE & LIME IMPORTS, INC",154,177637414.87,36754000.0
INTELSAT GENERAL CORPORATION,213,177523701.46,12483348.0
"WESTLAND RESOURCES, INC.",4,176677500.0,146691000.0
ENGENIUS CONSULTING GROUP INC,416,176569026.69,8343351.18
D SQUARE LLC & AU AUTHUM KI A JOINT VENTURE,496,176409786.83,14757314.0
SIGNATURE RENOVATIONS INC,347,175851704.89000002,17594547.97
"MARCOM GROUP, INC",130,175482414.96,35176061.0
PREMIER MANAGEMENT CORP,552,174438700.89,13548875.64
"GRAND RIVER ASEPTIC MANUFACTURING, INC.",10,173971709.14,160000000.0
"CHEROKEE FEDERAL SOLUTIONS, L.L.C.",782,173155766.53,5565153.2
"INFINITY SYSTEMS ENGINEERING, A LTD. LIABILITY CO.",205,173018086.66,7996441.56
ALLIED UNIVERSAL TOPCO LLC,175,172097956.76,23078916.3
"ECHELON SUPPLY AND SERVICE, INC.",309,171905144.43,15608028.75
"NAVIGATOR DEVELOPMENT GROUP, INC.",605,170421562.66,10483296.08
CONDUENT FEDERAL SOLUTIONS LLC,111,169340588.84,18626548.16
SIGNATURE RENOVATIONS LLC,572,169227551.34,5712370.0
PYRAMID SYSTEMS  INC,90,169078025.38,21063634.0
EXELAN PHARMACEUTICALS INC,90,168754098.47,74055620.0
"QUANTUM MANAGEMENT, LLC",3,168002675.54000002,154266805.56
IMMERSION CONSULTING LLC,463,167850436.0,2450659.93
CHEROKEE GENERAL CORP,505,167188944.71,25069300.0
"CHOCTAW MANUFACTURING DEFENSE CONTRACTORS, INC.",202,166589304.8,24429031.2
CBEYONDATA LLC,245,166408340.73,18000000.0
NES PACIFIC LIMITED LIABILITY CO.,223,166269109.14000002,27722277.72
RAITH ENGINEERING AND MANUFACTURING COMPANY WLL,115,166066562.95,18000000.0
PRECISION RESOURCES  INC.,460,165542980.82,60271000.0
"INTEGRITYONE PARTNERS, INC.",307,164452227.17,6710453.28
INTELSAT GENERAL CORP,115,164447139.89,75000000.0
TRIUMPH ENTERPRISES INCORPORATED,589,164380732.97,4500000.0
"CHEROKEE NATION SOLUTIONS LINK, L.L.C.",165,164370660.3,24582495.32
ANIKA SYSTEMS INCORPORATED,188,164229356.14,19001847.02
"UNIVERSAL SOLUTIONS INTERNATIONAL, INCORPORATED",273,163648679.05,11900000.0
MILLS MANUFACTURING CORPORATION,367,162276656.3,11365484.42
EQUIFAX WORKFORCE SOLUTIONS LLC,40,159511114.32999998,54999999.96
IMAGINE ONE TECHNOLOGY & MANAG,374,157892021.29,6110333.0
MERIDIAN ENGINEERING CO,217,157444876.05,20836651.0
"ROGERS, WICKER, RYKMAN AND SPEDALE LLC",187,157110388.49,9208627.69
REUTERS NEWS & MEDIA INC,524,155409304.84,9482759.0
BRIDGER RICHARD JV LLC,9,154847216.32999998,47279808.0
THE ONE 23 GROUP INC.,374,154050574.27,8005016.68
PARADIGM TECHNOLOGIES INC.,262,153505004.1,9452000.0
KANDOR MANUFACTURING INC,279,153067617.36,5192600.0
THOMSON REUTERS SPECIAL SERVICES LLC,185,152771547.24,8980765.11
SOUTHWEST RESEARCH INSTITUTE,406,152746815.09,5356122.06
"IMAGINE ONE TECHNOLOGY & MANAGEMENT, LTD.",108,152706420.1,14084871.27
R & P TECHNOLOGIES HOLDINGS LLC,94,150416833.04,20898823.0
"II CORPS CONSULTANTS, INC.",279,149903648.0,7445595.0
"ORION MARINE CONSTRUCTION, INC.",30,149743139.85,86347000.0
"FRAZIER INVESTMENTS, INC.",372,148994457.83,10083496.94
STONEWIN CAPITAL LP,303,148859799.14,4993749.09
SUMMIT CONSTRUCTION & ENVIRONMENTAL SERVICES LLC,408,148067645.74,8674600.0
ENERGY SOLUTIONS PERFORMANCE STRATEGIES  INC.,527,148022120.9,20000000.0
"MCCRONE GROUP, INC.",109,147629187.54,9679578.0
STATE OF MARYLAND,529,146239999.92,3161997.26
TRADE PRODUCTS CORP.,480,145814980.77,14997185.13
THE VERITAS CAPITAL FUND VII L P,195,145576810.73,9322434.0
CHEROKEE INSIGHTS LLC,92,145523090.05,20000000.0
ENVISIONEERING INC,208,145470531.88,8484577.0
"ONEIDA COMMUNICATIONS, INC.",326,144092820.35,10257991.41
OUTDOOR VENTURE CORP,158,143657423.14,8682416.68
GREENSTONE CONSTRUCTION  INC.,176,143052205.06,18995279.0
"GEOGRAPHIC INFORMATION SERVICES, INC.",371,143030095.72,6488189.32
"GANNETT FLEMING AFFILIATES, INC",714,140462475.11,6848430.26
"HART TECHNOLOGIES, INC.",684,139814128.83,3698966.24
PANAGORA GROUP INC.,131,139169901.56,8849035.95
"CONSTRUCCIONES JOSE CARRO, S.E.",216,139114869.42,49454600.0
MOUNT ROGERS COMMUNITY SERVICES,187,138792128.16,10143327.88
GLOBAL ENGINEERING SERVICES INC,326,138753789.8,13698493.0
PENNSYLVANIA MEDICAL SOCIETY,118,138104495.23,9036252.0
ARCTIC SLOPE REGIONAL CORPORATION,228,137729470.66,39373484.1
THE BIONETICS CORPORATION,155,137406215.21,8042188.33
AMCOR JV ONE LLC,17,137137105.19,57533000.0
"THE SIGNATURE CONSULTING GROUP, LLC",220,136633734.64,5473779.0
"KRATOS S2, INC",73,136143525.37,12641928.0
FPM-AECOM JV1,113,135622006.87,24149962.0
"SOLUTION ONE INDUSTRIES, INC.",304,135067091.33,12653811.99
YELLOWSTONE ELECTRIC CO,154,134664744.74,29876694.0
"ARISTA AVIATION SERVICES GROUP, LLC",402,134558528.49,8400000.0
REECE GROUP LIMITED,36,134451527.05,38851879.0
CHROMALLOY SAN DIEGO CORP,98,134408983.3,22946336.0
TRIUMPH CONSTRUCTION CORP,6,132902517.0,132671085.0
PIONEERING DECISIVE SOLUTIONS INC,142,132556041.47,9402018.85
SOURCE ONE SPARES LLC,36,132426821.03999999,39456860.29
"KNOX COUNTY ASSOCIATION FOR REMARKABLE CITIZENS, INC.",153,131934001.98,7322760.27
SCALETTA MOLONEY ARMORING CORP,206,131816087.54,10718693.0
"CHEROKEE NATION ENVIRONMENTAL SOLUTIONS, L.L.C.",337,131581882.82000001,15100000.0
"KONINKLIJKE TEN CATE, B.V.",17,131368667.25,35999582.0
ALPHA GENESIS INC,129,130965140.29,8408640.0
"PERFECT PACT, LLC",32,130410872.72,20072400.0
"SYN-TECH SYSTEM, INC.",240,128984875.85,9832313.2
BLACK HILLS AMMUNITION INC,253,128339861.81,9113565.0
PLEXUS SCIENTIFIC CORPORATION,381,127882522.13,8466187.0
LONE STAR INVESTMENT ADVISORS  LLC,48,127787799.81,46278797.85
"SUMMIT POINT RACEWAY ASSOCIATES, INC.",617,127324910.71000001,3524246.14
"LDSS, INC.",1124,126791977.98,3519516.0
QUOTIENTSUB LLC,399,126542710.67,3699415.34
