filing_date,transaction_date,owner,relationship,security,table,code,acquired_disposed,shares,price,shares_owned_after,accession
2025-09-10,2025-09-08,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,C,A,12000,0,224534,0001713445-25-000218
2025-09-10,2025-09-08,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,2385,230.38,222149,0001713445-25-000218
2025-09-10,2025-09-08,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,1500,231.37,220649,0001713445-25-000218
2025-09-10,2025-09-08,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,533,232.59,220116,0001713445-25-000218
2025-09-10,2025-09-08,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,267,233.52,219849,0001713445-25-000218
2025-09-10,2025-09-08,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,1400,234.65,218449,0001713445-25-000218
2025-09-10,2025-09-08,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,1130,235.69,217319,0001713445-25-000218
2025-09-10,2025-09-08,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,300,236.80,217019,0001713445-25-000218
2025-09-10,2025-09-08,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,100,237.57,216919,0001713445-25-000218
2025-09-10,2025-09-08,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,1873,239.12,215046,0001713445-25-000218
2025-09-10,2025-09-08,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,1712,240.13,213334,0001713445-25-000218
2025-09-10,2025-09-08,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,700,240.89,212634,0001713445-25-000218
2025-09-10,2025-09-08,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,1100,242.64,211534,0001713445-25-000218
2025-09-10,2025-09-08,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,700,243.61,210834,0001713445-25-000218
2025-09-10,2025-09-08,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,300,245.47,210534,0001713445-25-000218
2025-09-10,2025-09-08,Slowe Christopher Brian,Officer; Chief Technology Officer,Stock Option (Right to Buy),derivative,M,D,12000,0,117464,0001713445-25-000218
2025-09-10,2025-09-08,Slowe Christopher Brian,Officer; Chief Technology Officer,Class B Common Stock,derivative,M,A,12000,0,12000,0001713445-25-000218
2025-09-10,2025-09-08,Slowe Christopher Brian,Officer; Chief Technology Officer,Class B Common Stock,derivative,C,D,12000,0,0,0001713445-25-000218
2025-09-17,2025-09-15,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,M,A,18000,0,512104,0001827011-25-000006
2025-09-17,2025-09-15,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,1100,256.69,511004,0001827011-25-000006
2025-09-17,2025-09-15,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,2152,257.64,508852,0001827011-25-000006
2025-09-17,2025-09-15,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,1800,258.95,507052,0001827011-25-000006
2025-09-17,2025-09-15,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,2458,259.93,504594,0001827011-25-000006
2025-09-17,2025-09-15,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,1576,260.98,503018,0001827011-25-000006
2025-09-17,2025-09-15,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,2349,262.12,500669,0001827011-25-000006
2025-09-17,2025-09-15,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,2200,263.34,498469,0001827011-25-000006
2025-09-17,2025-09-15,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,3197,264.08,495272,0001827011-25-000006
2025-09-17,2025-09-15,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,1168,265,494104,0001827011-25-000006
2025-09-17,2025-09-15,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Stock Option (Right to Buy),derivative,M,D,18000,0,1459255,0001827011-25-000006
2025-09-24,2025-09-22,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,C,A,12000,0,222534,0001924253-25-000003
2025-09-24,2025-09-22,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,785,254.05,221749,0001924253-25-000003
2025-09-24,2025-09-22,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,1215,255.04,220534,0001924253-25-000003
2025-09-24,2025-09-22,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,1866,256.16,218668,0001924253-25-000003
2025-09-24,2025-09-22,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,5334,257.17,213334,0001924253-25-000003
2025-09-24,2025-09-22,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,1800,258.22,211534,0001924253-25-000003
2025-09-24,2025-09-22,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,2600,259.12,208934,0001924253-25-000003
2025-09-24,2025-09-22,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,300,260.77,208634,0001924253-25-000003
2025-09-24,2025-09-22,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,100,261.54,208534,0001924253-25-000003
2025-09-24,2025-09-22,Slowe Christopher Brian,Officer; Chief Technology Officer,Stock Option (Right to Buy),derivative,M,D,12000,0,105464,0001924253-25-000003
2025-09-24,2025-09-22,Slowe Christopher Brian,Officer; Chief Technology Officer,Class B Common Stock,derivative,M,A,12000,0,12000,0001924253-25-000003
2025-09-24,2025-09-22,Slowe Christopher Brian,Officer; Chief Technology Officer,Class B Common Stock,derivative,C,D,12000,0,0,0001924253-25-000003
2025-09-24,2025-09-22,Wong Jennifer L.,Officer; Chief Operating Officer,Class A Common Stock,non-derivative,S,D,500,254.01,119533,0001713445-25-000221
2025-09-24,2025-09-22,Wong Jennifer L.,Officer; Chief Operating Officer,Class A Common Stock,non-derivative,S,D,1000,255.15,118533,0001713445-25-000221
2025-09-24,2025-09-22,Wong Jennifer L.,Officer; Chief Operating Officer,Class A Common Stock,non-derivative,S,D,1821,256.60,116712,0001713445-25-000221
2025-09-24,2025-09-22,Wong Jennifer L.,Officer; Chief Operating Officer,Class A Common Stock,non-derivative,S,D,2416,257.40,114296,0001713445-25-000221
2025-09-24,2025-09-22,Wong Jennifer L.,Officer; Chief Operating Officer,Class A Common Stock,non-derivative,S,D,1743,258.58,112553,0001713445-25-000221
2025-09-24,2025-09-22,Wong Jennifer L.,Officer; Chief Operating Officer,Class A Common Stock,non-derivative,S,D,887,259.37,111666,0001713445-25-000221
2025-09-24,2025-09-22,Wong Jennifer L.,Officer; Chief Operating Officer,Class A Common Stock,non-derivative,S,D,100,260.38,111566,0001713445-25-000221
2025-09-24,2025-09-22,Wong Jennifer L.,Officer; Chief Operating Officer,Class A Common Stock,non-derivative,S,D,1100,253.85,1325609,0001713445-25-000221
2025-09-24,2025-09-22,Wong Jennifer L.,Officer; Chief Operating Officer,Class A Common Stock,non-derivative,S,D,3200,254.96,1322409,0001713445-25-000221
2025-09-24,2025-09-22,Wong Jennifer L.,Officer; Chief Operating Officer,Class A Common Stock,non-derivative,S,D,3947,256.05,1318462,0001713445-25-000221
2025-09-24,2025-09-22,Wong Jennifer L.,Officer; Chief Operating Officer,Class A Common Stock,non-derivative,S,D,8000,257.05,1310462,0001713445-25-000221
2025-09-24,2025-09-22,Wong Jennifer L.,Officer; Chief Operating Officer,Class A Common Stock,non-derivative,S,D,7500,257.81,1302962,0001713445-25-000221
2025-09-24,2025-09-22,Wong Jennifer L.,Officer; Chief Operating Officer,Class A Common Stock,non-derivative,S,D,5594,259.01,1297368,0001713445-25-000221
2025-09-24,2025-09-22,Wong Jennifer L.,Officer; Chief Operating Officer,Class A Common Stock,non-derivative,S,D,1100,259.82,1296268,0001713445-25-000221
2025-09-24,2025-09-22,Wong Jennifer L.,Officer; Chief Operating Officer,Class A Common Stock,non-derivative,S,D,200,261.25,1296068,0001713445-25-000221
2025-09-24,2025-09-22,Wong Jennifer L.,Officer; Chief Operating Officer,Class A Common Stock,non-derivative,S,D,100,262.76,1295968,0001713445-25-000221
2025-10-02,2025-09-30,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,M,A,18000,0,512104,0001827011-25-000008
2025-10-02,2025-09-30,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,998,225.88,511106,0001827011-25-000008
2025-10-02,2025-09-30,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,2000,226.86,509106,0001827011-25-000008
2025-10-02,2025-09-30,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,2767,227.66,506339,0001827011-25-000008
2025-10-02,2025-09-30,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,4332,228.76,502007,0001827011-25-000008
2025-10-02,2025-09-30,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,5833,229.94,496174,0001827011-25-000008
2025-10-02,2025-09-30,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,1070,230.56,495104,0001827011-25-000008
2025-10-02,2025-09-30,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,100,232.03,495004,0001827011-25-000008
2025-10-02,2025-09-30,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,400,233.66,494604,0001827011-25-000008
2025-10-02,2025-09-30,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,300,236.85,494304,0001827011-25-000008
2025-10-02,2025-09-30,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,200,240,494104,0001827011-25-000008
2025-10-02,2025-09-30,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Stock Option (Right to Buy),derivative,M,D,18000,0,1441255,0001827011-25-000008
2025-10-02,2025-09-30,Seibel Michael,Director,Class A Common Stock,non-derivative,G,D,4300,0,3361,0001835628-25-000003
2025-10-07,2025-10-05,FARRELL SARAH E,Director,Class A Common Stock,non-derivative,A,A,96,0,7804,0001808740-25-000003
2025-10-07,2025-10-05,FILIKRUSHEL PATRICIA,Director,Class A Common Stock,non-derivative,A,A,94,0,29706,0001237450-25-000004
2025-10-07,2025-10-05,Gale Mary Porter,Director,Class A Common Stock,non-derivative,A,A,82,0,7752,0001924581-25-000003
2025-10-07,2025-10-05,Habiger David C,Director,Class A Common Stock,non-derivative,A,A,218,0,34772,0001326409-25-000007
2025-10-07,2025-10-05,Newhouse Steven O,Director,"Class A common stock, par value $0.0001 per share",non-derivative,A,A,88,0,11159,0001913168-25-000006
2025-10-07,2025-10-05,Seibel Michael,Director,Class A Common Stock,non-derivative,A,A,79,0,3440,0001835628-25-000005
2025-10-10,2025-10-08,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,C,A,12000,0,220534,0001924253-25-000005
2025-10-10,2025-10-08,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,600,196.02,219934,0001924253-25-000005
2025-10-10,2025-10-08,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,700,197.12,219234,0001924253-25-000005
2025-10-10,2025-10-08,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,1765,198.01,217469,0001924253-25-000005
2025-10-10,2025-10-08,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,900,199.20,216569,0001924253-25-000005
2025-10-10,2025-10-08,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,500,200.10,216069,0001924253-25-000005
2025-10-10,2025-10-08,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,4413,201.50,211656,0001924253-25-000005
2025-10-10,2025-10-08,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,4522,202.30,207134,0001924253-25-000005
2025-10-10,2025-10-08,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,100,203,207034,0001924253-25-000005
2025-10-10,2025-10-08,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,100,204.25,206934,0001924253-25-000005
2025-10-10,2025-10-08,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,400,205.43,206534,0001924253-25-000005
2025-10-10,2025-10-08,Slowe Christopher Brian,Officer; Chief Technology Officer,Stock Option (Right to Buy),derivative,M,D,12000,0,93464,0001924253-25-000005
2025-10-10,2025-10-08,Slowe Christopher Brian,Officer; Chief Technology Officer,Class B Common Stock,derivative,M,A,12000,0,12000,0001924253-25-000005
2025-10-10,2025-10-08,Slowe Christopher Brian,Officer; Chief Technology Officer,Class B Common Stock,derivative,C,D,12000,0,0,0001924253-25-000005
2025-10-17,2025-10-15,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,M,A,18000,0,512104,0001827011-25-000011
2025-10-17,2025-10-15,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,600,197.34,511504,0001827011-25-000011
2025-10-17,2025-10-15,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,400,198.88,511104,0001827011-25-000011
2025-10-17,2025-10-15,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,6623,199.97,504481,0001827011-25-000011
2025-10-17,2025-10-15,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,6436,200.81,498045,0001827011-25-000011
2025-10-17,2025-10-15,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,3913,201.67,494132,0001827011-25-000011
2025-10-17,2025-10-15,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,28,202.41,494104,0001827011-25-000011
2025-10-17,2025-10-15,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Stock Option (Right to Buy),derivative,M,D,18000,0,1423255,0001827011-25-000011
2025-10-24,2025-10-22,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,C,A,12000,0,218534,0001924253-25-000007
2025-10-24,2025-10-22,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,1100,192.44,217434,0001924253-25-000007
2025-10-24,2025-10-22,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,1100,193.66,216334,0001924253-25-000007
2025-10-24,2025-10-22,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,1199,194.65,215135,0001924253-25-000007
2025-10-24,2025-10-22,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,1101,195.84,214034,0001924253-25-000007
2025-10-24,2025-10-22,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,3800,196.92,210234,0001924253-25-000007
2025-10-24,2025-10-22,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,3300,197.58,206934,0001924253-25-000007
2025-10-24,2025-10-22,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,200,198.61,206734,0001924253-25-000007
2025-10-24,2025-10-22,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,400,200.30,206334,0001924253-25-000007
2025-10-24,2025-10-22,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,1459,202.94,204875,0001924253-25-000007
2025-10-24,2025-10-22,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,341,203.49,204534,0001924253-25-000007
2025-10-24,2025-10-22,Slowe Christopher Brian,Officer; Chief Technology Officer,Stock Option (Right to Buy),derivative,M,D,12000,0,81464,0001924253-25-000007
2025-10-24,2025-10-22,Slowe Christopher Brian,Officer; Chief Technology Officer,Class B Common Stock,derivative,M,A,12000,0,12000,0001924253-25-000007
2025-10-24,2025-10-22,Slowe Christopher Brian,Officer; Chief Technology Officer,Class B Common Stock,derivative,C,D,12000,0,0,0001924253-25-000007
2025-10-27,2025-10-23,Wong Jennifer L.,Officer; Chief Operating Officer,Class A Common Stock,non-derivative,S,D,3601,201.03,107965,0001663651-25-000004
2025-10-27,2025-10-23,Wong Jennifer L.,Officer; Chief Operating Officer,Class A Common Stock,non-derivative,S,D,3700,202.12,104265,0001663651-25-000004
2025-10-27,2025-10-23,Wong Jennifer L.,Officer; Chief Operating Officer,Class A Common Stock,non-derivative,S,D,965,203,103300,0001663651-25-000004
2025-10-27,2025-10-23,Wong Jennifer L.,Officer; Chief Operating Officer,Class A Common Stock,non-derivative,S,D,201,204.46,103099,0001663651-25-000004
2025-10-27,2025-10-23,Wong Jennifer L.,Officer; Chief Operating Officer,Class A Common Stock,non-derivative,M,A,30659,5.35,1326627,0001663651-25-000004
2025-10-27,2025-10-23,Wong Jennifer L.,Officer; Chief Operating Officer,Class A Common Stock,non-derivative,S,D,11213,200.98,1315414,0001663651-25-000004
2025-10-27,2025-10-23,Wong Jennifer L.,Officer; Chief Operating Officer,Class A Common Stock,non-derivative,S,D,13246,201.90,1302168,0001663651-25-000004
2025-10-27,2025-10-23,Wong Jennifer L.,Officer; Chief Operating Officer,Class A Common Stock,non-derivative,S,D,4800,202.84,1297368,0001663651-25-000004
2025-10-27,2025-10-23,Wong Jennifer L.,Officer; Chief Operating Officer,Class A Common Stock,non-derivative,S,D,800,204.02,1296568,0001663651-25-000004
2025-10-27,2025-10-23,Wong Jennifer L.,Officer; Chief Operating Officer,Class A Common Stock,non-derivative,S,D,600,204.84,1295968,0001663651-25-000004
2025-10-27,2025-10-23,Wong Jennifer L.,Officer; Chief Operating Officer,Stock Option (Right to Buy),derivative,M,D,30659,,305794,0001663651-25-000004
2025-11-06,2025-10-30,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,486,192.36,497707,0001713445-25-000229
2025-11-06,2025-10-30,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,1100,194.22,496607,0001713445-25-000229
2025-11-06,2025-10-30,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,1603,194.99,495004,0001713445-25-000229
2025-11-06,2025-10-30,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,400,196.19,494604,0001713445-25-000229
2025-11-06,2025-10-30,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,300,197.32,494304,0001713445-25-000229
2025-11-06,2025-10-30,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,200,198.42,494104,0001713445-25-000229
2025-11-06,2025-11-04,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,M,A,18000,0,512104,0001713445-25-000229
2025-11-06,2025-11-04,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,4333,188.04,507771,0001713445-25-000229
2025-11-06,2025-11-04,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,3873,188.98,503898,0001713445-25-000229
2025-11-06,2025-11-04,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,3205,190.07,500693,0001713445-25-000229
2025-11-06,2025-11-04,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,2500,191.16,498193,0001713445-25-000229
2025-11-06,2025-11-04,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Stock Option (Right to Buy),derivative,M,D,18000,0,1405255,0001713445-25-000229
2025-11-12,2025-11-10,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,G,D,8146,0,485958,0001713445-25-000232
2025-11-12,2025-11-10,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,C,A,12000,0,216534,0001713445-25-000231
2025-11-12,2025-11-10,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,600,199.22,215934,0001713445-25-000231
2025-11-12,2025-11-10,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,300,200.43,215634,0001713445-25-000231
2025-11-12,2025-11-10,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,1200,201.45,214434,0001713445-25-000231
2025-11-12,2025-11-10,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,824,202.50,213610,0001713445-25-000231
2025-11-12,2025-11-10,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,2595,203.72,211015,0001713445-25-000231
2025-11-12,2025-11-10,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,3370,204.53,207645,0001713445-25-000231
2025-11-12,2025-11-10,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,2100,205.70,205545,0001713445-25-000231
2025-11-12,2025-11-10,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,1411,206.54,204134,0001713445-25-000231
2025-11-12,2025-11-10,Slowe Christopher Brian,Officer; Chief Technology Officer,Class A Common Stock,non-derivative,S,D,1600,207.75,202534,0001713445-25-000231
2025-11-12,2025-11-10,Slowe Christopher Brian,Officer; Chief Technology Officer,Stock Option (Right to Buy),derivative,M,D,12000,0,69464,0001713445-25-000231
2025-11-12,2025-11-10,Slowe Christopher Brian,Officer; Chief Technology Officer,Class B Common Stock,derivative,M,A,12000,0,12000,0001713445-25-000231
2025-11-12,2025-11-10,Slowe Christopher Brian,Officer; Chief Technology Officer,Class B Common Stock,derivative,C,D,12000,0,0,0001713445-25-000231
2025-11-12,2025-11-10,Wong Jennifer L.,Officer; Chief Operating Officer,Class A Common Stock,non-derivative,G,D,9900,0,1286068,0001713445-25-000230
2025-11-18,2025-11-14,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,M,A,18000,0,503958,0001827011-25-000014
2025-11-18,2025-11-14,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,200,184.89,503758,0001827011-25-000014
2025-11-18,2025-11-14,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,400,186.82,503358,0001827011-25-000014
2025-11-18,2025-11-14,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,400,187.97,502958,0001827011-25-000014
2025-11-18,2025-11-14,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,400,190.70,502558,0001827011-25-000014
2025-11-18,2025-11-14,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,400,191.53,502158,0001827011-25-000014
2025-11-18,2025-11-14,Huffman Steve Ladd,Director; Officer; 10% Owner; CEO & President,Class A Common Stock,non-derivative,S,D,3505,193.17,498653,0001827011-25-000014
