supplier_cik,name,sic,first_link,last_link,ticker,ticker_src
75340,P&F INDUSTRIES INC  (CIK 0000075340),3540.0,2018-03-29,2023-03-29,TMB,oplev_hist_xbrl_prefix
76267,PARK ELECTROCHEMICAL CORP  (PKE)  (CIK 0000076267),3672.0,2010-05-14,2019-05-20,PKE,company_tickers
76321,PARKER DRILLING CO /DE/  (CIK 0000076321),1381.0,2010-03-03,2020-03-04,PKD,oplev_hist_xbrl_prefix
77476,PEPSICO INC  (PEP)  (CIK 0000077476),2080.0,2010-02-22,2026-02-03,PEP,company_tickers
78003,PFIZER INC  (PFE)  (CIK 0000078003),2834.0,2020-02-27,2026-02-26,PFE,company_tickers
78239,PHILLIPS VAN HEUSEN CORP /DE/  (PVH)  (CIK 0000078239),2320.0,2010-03-31,2011-03-30,PVH,company_tickers
78749,AGILYSYS INC  (AGYS)  (CIK 0000078749),5065.0,2010-06-11,2011-06-14,AGYS,company_tickers
79958,PRECISION CASTPARTS CORP  (CIK 0000079958),3320.0,2010-05-27,2015-05-28,PCP,oplev_hist_xbrl_prefix
80172,NATIONAL PRESTO INDUSTRIES INC  (NPK)  (CIK 0000080172),3480.0,2010-03-16,2025-03-14,NPK,company_tickers
80424,PROCTER & GAMBLE Co  (PG)  (CIK 0000080424),2840.0,2010-08-13,2026-08-04,PG,company_tickers
82166,RAVEN INDUSTRIES INC  (CIK 0000082166),3081.0,2021-03-24,2021-03-24,RAVN,oplev_hist_xbrl_prefix
85408,ROWAN COMPANIES PLC  (CIK 0000085408),1381.0,2017-02-24,2017-02-24,RDC,oplev_hist_xbrl_prefix
85608,VALPEY FISHER CORP  (CIK 0000085608),3829.0,2010-03-25,2011-03-28,,
87050,"Neonode, Inc  (NEON)  (CIK 0000087050)",3679.0,2013-03-14,2014-03-06,NEON,company_tickers
88000,"SCOTTS LIQUID GOLD INC  (HKHC, SLGDD)  (CIK 0000088000)",2844.0,2010-03-31,2018-04-02,HKHC,company_tickers
88790,INTRICON CORP  (CIK 0000088790),3670.0,2021-03-16,2022-03-07,IIN,oplev_hist_xbrl_prefix
90168,SIFCO INDUSTRIES INC  (SIF)  (CIK 0000090168),3724.0,2014-12-02,2016-01-29,SIF,company_tickers
91388,SMITHFIELD FOODS INC  (SFD)  (CIK 0000091388),2011.0,2025-03-25,2026-03-24,SFD,company_tickers
91419,J M SMUCKER Co  (SJM)  (CIK 0000091419),2033.0,2010-06-24,2025-06-18,SJM,company_tickers
91668,SOLITRON DEVICES INC  (SODI)  (CIK 0000091668),3674.0,2010-05-27,2026-05-28,SODI,company_tickers
91767,SONOCO PRODUCTS CO  (SON)  (CIK 0000091767),2650.0,2010-02-26,2011-02-28,SON,company_tickers
92122,"SOUTHERN CO  (SO, SOJC, SOJD, SOJE)  (CIK 0000092122)",4911.0,2014-02-27,2014-02-27,SO,company_tickers
93384,STANDARD MICROSYSTEMS CORP  (CIK 0000093384),3674.0,2010-04-28,2010-04-28,SMSC,oplev_hist_xbrl_prefix
93389,"STANDARD MOTOR PRODUCTS, INC.  (SMP)  (CIK 0000093389)",3714.0,2013-03-08,2025-02-28,SMP,company_tickers
93556,"STANLEY BLACK & DECKER, INC.  (SWK)  (CIK 0000093556)",3420.0,2018-02-27,2026-02-24,SWK,company_tickers
94845,LEVI STRAUSS & CO  (LEVI)  (CIK 0000094845),2300.0,2010-02-09,2011-02-08,LEVI,company_tickers
95052,ELIZABETH ARDEN INC  (CIK 0000095052),2844.0,2010-08-17,2016-08-15,RDEN,oplev_hist_xbrl_prefix
95779,"Swank, Inc.  (CIK 0000095779)",3100.0,2010-03-31,2012-03-30,SNKI,oplev_hist_xbrl_prefix
96223,LEUCADIA NATIONAL CORP  (JEF)  (CIK 0000096223),2011.0,2013-02-25,2014-02-28,JEF,company_tickers
96412,TASTY BAKING CO  (CIK 0000096412),2050.0,2010-03-11,2011-04-11,,
96831,TECUMSEH PRODUCTS CO  (CIK 0000096831),3585.0,2011-03-14,2011-03-14,TECUA,oplev_hist_xbrl_prefix
97148,TEL OFFSHORE TRUST  (CIK 0000097148),6792.0,2010-03-31,2017-04-17,,
97210,"TERADYNE, INC  (TER)  (CIK 0000097210)",3825.0,2010-03-01,2024-02-22,TER,company_tickers
97476,TEXAS INSTRUMENTS INC  (TXN)  (CIK 0000097476),3674.0,2010-02-23,2016-02-24,TXN,company_tickers
98222,"TIDEWATER INC  (TDW, TDDWW, TDGMW, TDW-WT)  (CIK 0000098222)",4400.0,2010-05-20,2010-05-20,TDW,company_tickers
98338,TSR INC  (CIK 0000098338),7371.0,2012-08-06,2023-08-11,TSRI,oplev_hist_xbrl_prefix
98677,"TOOTSIE ROLL INDUSTRIES INC  (TR, TROLB)  (CIK 0000098677)",2060.0,2010-03-01,2026-02-27,TR,company_tickers
99250,"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC  (CIK 0000099250)",4922.0,2017-02-22,2024-02-21,,
100493,"TYSON FOODS, INC.  (TSN)  (CIK 0000100493)",2015.0,2010-11-22,2025-11-10,TSN,company_tickers
100591,ARGAN INC  (AGX)  (CIK 0000100591),1700.0,2010-04-14,2020-04-14,AGX,company_tickers
101116,UNITED COMPONENTS INC  (CIK 0000101116),3714.0,2010-03-19,2010-03-19,,
101778,MARATHON OIL CORP  (MRO)  (CIK 0000101778),1311.0,2013-02-22,2024-02-22,MRO,oplev_hist_xbrl_prefix
101830,SPRINT Corp  (CIK 0000101830),4813.0,2012-02-27,2014-02-24,,
101984,UNIVERSAL ELECTRONICS INC  (UEIC)  (CIK 0000101984),3651.0,2010-03-15,2023-03-08,UEIC,company_tickers
102109,UNIVERSAL SECURITY INSTRUMENTS INC  (UUU)  (CIK 0000102109),5065.0,2010-06-23,2011-06-28,UUU,company_tickers
102741,VALSPAR CORP  (CIK 0000102741),2851.0,2010-12-21,2016-12-20,,
103145,VEECO INSTRUMENTS INC  (VECO)  (CIK 0000103145),3559.0,2013-11-04,2022-02-18,VECO,company_tickers
103379,V F CORP  (VFC)  (CIK 0000103379),2320.0,2010-03-03,2011-03-02,VFC,company_tickers
106040,WESTERN DIGITAL CORP  (WDC)  (CIK 0000106040),3572.0,2012-08-20,2015-08-21,WDC,company_tickers
106455,WESTMORELAND COAL Co  (CIK 0000106455),1221.0,2010-03-12,2013-03-12,WLB,oplev_hist_xbrl_prefix
106532,WEYCO GROUP INC  (WEYS)  (CIK 0000106532),5130.0,2010-03-12,2011-03-15,WEYS,company_tickers
106640,WHIRLPOOL CORP /DE/  (WHR)  (CIK 0000106640),3630.0,2010-02-17,2026-02-11,WHR,company_tickers
107263,WILLIAMS COMPANIES INC  (WMB)  (CIK 0000107263),4922.0,2011-02-25,2018-02-22,WMB,company_tickers
108312,"Woodward, Inc.  (WWD)  (CIK 0000108312)",3620.0,2010-11-18,2023-11-17,WWD,company_tickers
109177,"HRG GROUP, INC.  (SPB)  (CIK 0000109177)",3690.0,2011-12-14,2017-11-20,SPB,company_tickers
110430,FRONTIER OIL CORP /NEW/  (CIK 0000110430),2911.0,2010-02-25,2011-02-24,FTO,oplev_hist_xbrl_prefix
216324,IMAGE ENTERTAINMENT INC  (CIK 0000216324),7822.0,2010-06-29,2010-06-29,DISK,oplev_hist_xbrl_prefix
277595,ENERGEN CORP  (CIK 0000277595),1311.0,2015-03-02,2018-02-28,EGN,oplev_hist_xbrl_prefix
277638,DAVEY TREE EXPERT CO  (CIK 0000277638),700.0,2016-03-09,2020-03-09,DAVEY,oplev_hist_xbrl_prefix
277928,"TII NETWORK TECHNOLOGIES, INC.  (CIK 0000277928)",3613.0,2010-03-17,2010-03-17,TIII,oplev_hist_xbrl_prefix
312257,INNOVATIVE FOOD HOLDINGS INC  (IVFH)  (CIK 0000312257),5141.0,2013-03-28,2026-03-31,IVFH,company_tickers
313927,CHURCH & DWIGHT CO INC /DE/  (CHD)  (CIK 0000313927),2840.0,2010-02-24,2026-02-12,CHD,company_tickers
314808,"Ensco plc  (VAL, VAL-WT)  (CIK 0000314808)",1381.0,2010-02-25,2015-03-02,VAL,company_tickers
316300,EXCO RESOURCES INC  (CIK 0000316300),1311.0,2018-03-15,2018-03-15,XCO,oplev_hist_xbrl_prefix
317540,"Coca-Cola Consolidated, Inc.  (COKE)  (CIK 0000317540)",2086.0,2010-03-18,2026-02-18,COKE,company_tickers
317771,TELLABS INC  (CIK 0000317771),3661.0,2010-03-01,2013-02-22,TLAB,oplev_hist_xbrl_prefix
320340,INTELLIGENT SYSTEMS CORP  (CCRD)  (CIK 0000320340),3452.0,2010-03-23,2015-02-18,CCRD,oplev_hist_xbrl_prefix
320575,PIONEER ENERGY SERVICES CORP  (CIK 0000320575),1381.0,2017-02-17,2017-02-17,PES,oplev_hist_xbrl_prefix
350832,AMERICAN PACIFIC CORP  (CIK 0000350832),2810.0,2010-12-20,2013-12-13,APFC,oplev_hist_xbrl_prefix
351231,DAWSON GEOPHYSICAL CO  (CIK 0000351231),1382.0,2010-11-23,2012-12-05,,
351817,SWIFT ENERGY CO  (CIK 0000351817),1311.0,2010-02-26,2017-02-28,SBOW,oplev_hist_xbrl_prefix
351834,SunOpta Inc.  (STKL)  (CIK 0000351834),5150.0,2016-03-09,2020-02-27,STKL,oplev_hist_xbrl_prefix
351998,DATA I/O CORP  (DAIO)  (CIK 0000351998),3825.0,2010-03-31,2010-03-31,DAIO,company_tickers
353184,"AIR T INC  (AIRT, AIRTP)  (CIK 0000353184)",4513.0,2010-06-08,2026-06-29,AIRT,company_tickers
354963,SHENANDOAH TELECOMMUNICATIONS CO/VA/  (SHEN)  (CIK 0000354963),4813.0,2020-02-26,2020-02-26,SHEN,company_tickers
355999,UNITED STATIONERS INC  (CIK 0000355999),5110.0,2010-02-25,2011-02-25,ESND,oplev_hist_xbrl_prefix
357020,LTX-CREDENCE CORP  (CIK 0000357020),3825.0,2010-10-14,2013-10-11,XCRA,oplev_hist_xbrl_prefix
700841,RCM TECHNOLOGIES INC  (RCMT)  (CIK 0000700841),7363.0,2010-03-11,2016-03-02,RCMT,company_tickers
700923,MYR GROUP INC.  (MYRG)  (CIK 0000700923),1623.0,2010-03-15,2011-03-08,MYRG,company_tickers
701288,ATRION CORP  (CIK 0000701288),3841.0,2010-03-12,2012-03-12,ATRI,oplev_hist_xbrl_prefix
703360,LSI CORP  (CIK 0000703360),3674.0,2010-02-26,2014-02-26,LSI,oplev_hist_xbrl_prefix
703361,INTEGRATED DEVICE TECHNOLOGY INC  (CIK 0000703361),3674.0,2010-05-25,2018-05-18,IDTI,oplev_hist_xbrl_prefix
704415,"TIVITY HEALTH, INC.  (CIK 0000704415)",8090.0,2013-03-15,2022-02-25,TVTY,oplev_hist_xbrl_prefix
704532,Onto Innovation Inc.  (ONTO)  (CIK 0000704532),3829.0,2010-03-26,2020-02-25,ONTO,company_tickers
706688,AARON'S INC  (CIK 0000706688),7359.0,2020-02-20,2020-02-20,AAN,oplev_hist_xbrl_prefix
708819,MCDERMOTT INTERNATIONAL INC  (CIK 0000708819),3443.0,2011-03-01,2012-02-29,MDR,oplev_hist_xbrl_prefix
708821,PAR TECHNOLOGY CORP  (PAR)  (CIK 0000708821),3578.0,2025-03-03,2026-02-26,PAR,company_tickers
709283,QUANTUM CORP /DE/  (QMCO)  (CIK 0000709283),3572.0,2010-06-11,2012-06-14,QMCO,company_tickers
709804,Steel Excel Inc.  (CIK 0000709804),1389.0,2010-05-27,2016-03-11,SXCL,oplev_hist_xbrl_prefix
712034,ACCO BRANDS Corp  (ACCO)  (CIK 0000712034),2780.0,2010-02-26,2017-02-27,ACCO,company_tickers
712515,ELECTRONIC ARTS INC.  (EA)  (CIK 0000712515),7372.0,2010-05-28,2026-05-11,EA,oplev_submissions
713425,AMERICAN SOFTWARE INC  (AMSWA)  (CIK 0000713425),7372.0,2010-07-14,2013-07-12,AMSWA,oplev_hist_xbrl_prefix
715812,BIOSYNERGY INC  (CIK 0000715812),3829.0,2014-07-29,2021-07-29,,
716133,CINCINNATI BELL INC  (CIK 0000716133),4813.0,2017-02-24,2017-02-24,,
717423,MURPHY OIL CORP  (MUR)  (CIK 0000717423),1311.0,2014-02-28,2022-02-25,MUR,company_tickers
717605,HEXCEL CORP /DE/  (HXL)  (CIK 0000717605),2821.0,2010-02-10,2020-02-18,HXL,company_tickers
718877,"Activision Blizzard, Inc.  (CIK 0000718877)",7372.0,2010-03-01,2022-02-25,ATVI,oplev_hist_xbrl_prefix
718924,SPAN AMERICA MEDICAL SYSTEMS INC  (CIK 0000718924),3842.0,2013-12-27,2016-12-23,SPAN,oplev_hist_xbrl_prefix
719135,BOVIE MEDICAL Corp  (APYX)  (CIK 0000719135),3841.0,2016-03-18,2016-03-18,APYX,company_tickers
719152,INTEGRAL VISION INC  (CIK 0000719152),3823.0,2010-03-31,2012-04-16,,
719274,GIGA TRONICS INC  (GIGA)  (CIK 0000719274),3825.0,2016-06-07,2020-05-28,GIGA,oplev_hist_xbrl_prefix
721371,CARDINAL HEALTH INC  (CAH)  (CIK 0000721371),5122.0,2010-08-26,2026-08-11,CAH,company_tickers
721447,CCA INDUSTRIES INC  (CIK 0000721447),2844.0,2010-03-01,2019-02-28,CAW,oplev_hist_xbrl_prefix
721683,TOTAL SYSTEM SERVICES INC  (CIK 0000721683),7389.0,2010-03-01,2012-02-24,TSS,oplev_hist_xbrl_prefix
722104,SAVIENT PHARMACEUTICALS INC  (CIK 0000722104),2833.0,2010-03-01,2012-02-29,SVNT,oplev_hist_xbrl_prefix
722313,NORTECH SYSTEMS INC  (NSYS)  (CIK 0000722313),3679.0,2015-03-11,2015-03-11,NSYS,company_tickers
723125,MICRON TECHNOLOGY INC  (MU)  (CIK 0000723125),3674.0,2010-10-26,2016-10-28,MU,company_tickers
723603,CULP INC  (CULP)  (CIK 0000723603),2211.0,2010-07-15,2015-07-17,CULP,company_tickers
723889,MICROFLUIDICS INTERNATIONAL CORP  (CIK 0000723889),3821.0,2010-03-29,2010-03-29,,
724941,MERISEL INC /DE/  (CIK 0000724941),7389.0,2013-03-29,2013-03-29,MSELPK,oplev_hist_xbrl_prefix
726435,"APOLLO SOLAR ENERGY, INC.  (CIK 0000726435)",1040.0,2012-05-16,2012-05-16,ASOE,oplev_hist_xbrl_prefix
726514,ELECTRO SCIENTIFIC INDUSTRIES INC  (CIK 0000726514),3690.0,2010-06-15,2016-06-15,ESIO,oplev_hist_xbrl_prefix
727207,ACCELR8 TECHNOLOGY CORP  (AXDX)  (CIK 0000727207),3826.0,2011-10-27,2012-10-26,AXDX,oplev_hist_xbrl_prefix
727538,APACHE OFFSHORE INVESTMENT PARTNERSHIP  (CIK 0000727538),1311.0,2010-02-26,2013-03-01,,
727634,COMMUNICATION INTELLIGENCE CORP  (ISGN)  (CIK 0000727634),3577.0,2011-03-30,2011-03-30,,
730000,SUPERTEX INC  (CIK 0000730000),3674.0,2010-06-11,2012-06-14,,
730255,CalAmp Corp.  (CIK 0000730255),3663.0,2012-04-26,2016-04-20,,
730272,REPLIGEN CORP  (RGEN)  (CIK 0000730272),2836.0,2015-03-17,2022-02-17,RGEN,company_tickers
731657,SPIRE Corp  (CIK 0000731657),3674.0,2012-03-15,2014-03-31,,
732412,MULTIBAND CORP  (CIK 0000732412),4813.0,2010-03-31,2013-04-01,MBND,oplev_hist_xbrl_prefix
737758,TORO CO  (TTC)  (CIK 0000737758),3524.0,2010-12-22,2011-12-21,TTC,company_tickers
739878,"KID BRANDS, INC  (CIK 0000739878)",3990.0,2010-03-26,2014-04-15,KID,oplev_hist_xbrl_prefix
740761,BUCYRUS INTERNATIONAL INC  (CIK 0000740761),3532.0,2010-03-01,2010-03-01,BUCY,oplev_hist_xbrl_prefix
741815,HOOPER HOLMES INC  (CIK 0000741815),8090.0,2018-04-17,2018-04-17,HH,oplev_hist_xbrl_prefix
