cik,n_ciks,adsh,file_name,file_date,form,root_form,file_type,file_description,period_ending,display_name,sic,doc_ok
5513,1,0001193125-10-042716,d10k.htm,2010-02-26,10-K,10-K,10-K,FORM 10-K,2009-12-31,"Unum Group  (UNM, UNMA)  (CIK 0000005513)",6321.0,True
99771,1,0000099771-10-000008,form10k20091231.htm,2010-03-16,10-K,10-K,10-K,TRINITY CAPITAL CORPORATION ANNUAL REPORT ON FORM 10-K,2009-12-31,TRINITY CAPITAL CORP  (CIK 0000099771),6021.0,True
703360,1,0000950123-10-017990,f55049e10vk.htm,2010-02-26,10-K,10-K,10-K,FORM 10-K,2009-12-31,LSI CORP  (CIK 0000703360),3674.0,True
729237,1,0000729237-10-000008,f10k2009pkyinc1.htm,2010-03-05,10-K,10-K,10-K,HTML FORMAT,2009-12-31,PARKWAY PROPERTIES INC  (CIK 0000729237),6798.0,True
933972,1,0001193125-10-083390,d10k.htm,2010-04-14,10-K,10-K,10-K,FORM 10-K,2009-12-31,"POWERVERDE, INC.  (SCWO)  (CIK 0000933972)",3621.0,True
1376755,1,0001121781-10-000091,kki10k123109.htm,2010-03-05,10-K,10-K,10-K,"KINGDOM KONCRETE, INC.",2009-12-31,"KINGDOM KONCRETE, INC.  (CIK 0001376755)",5211.0,True
1410838,1,0000950123-10-018410,h69778e10vk.htm,2010-02-26,10-K,10-K,10-K,FORM 10-K,2009-12-31,"El Paso Pipeline Partners, L.P.  (CIK 0001410838)",4922.0,True
916085,1,0001193125-10-043008,d10k.htm,2010-02-26,10-K,10-K,10-K,FORM 10-K,2009-12-31,HEALTH NET INC  (CIK 0000916085),6324.0,True
1096199,1,0001144204-10-010426,v175498_10k.htm,2010-02-26,10-K,10-K,10-K,,2009-12-31,"Geeknet, Inc  (CIK 0001096199)",5990.0,True
843006,1,0001354488-10-000836,isdr_10k.htm,2010-03-16,10-K,10-K,10-K,"ANNUAL REPORT ON FORM 10-K FOR THE PERIOD ENDED DECEMBER 31, 2009",2009-12-31,ISSUER DIRECT CORP  (ISDR)  (CIK 0000843006),2750.0,True
750813,1,0001193125-10-071242,d10k.htm,2010-03-30,10-K,10-K,10-K,"FORM 10-K FOR FISCAL YEAR ENDED DECEMBER 31, 2009",2009-12-31,SEITEL INC  (CIK 0000750813),1382.0,True
867963,1,0000950123-10-084599,k49596e10vk.htm,2010-09-08,10-K,10-K,10-K,FORM 10-K,2010-06-30,UNITED AMERICAN HEALTHCARE CORP  (CIK 0000867963),6411.0,True
1177394,1,0001193125-10-023385,d10k.htm,2010-02-05,10-K,10-K,10-K,FORM 10-K,2009-11-30,SYNNEX CORP  (SNX)  (CIK 0001177394),7373.0,True
320345,1,0001144204-10-047158,v195421_10k.htm,2010-08-27,10-K,10-K,10-K,,2010-06-30,MICROS SYSTEMS INC  (CIK 0000320345),7373.0,True
886346,1,0001193125-10-058296,d10k.htm,2010-03-16,10-K,10-K,10-K,FORM 10-K,2010-01-02,KADANT INC  (KAI)  (CIK 0000886346),3550.0,True
740761,1,0001193125-10-043237,d10k.htm,2010-03-01,10-K,10-K,10-K,FORM 10-K,2009-12-31,BUCYRUS INTERNATIONAL INC  (CIK 0000740761),3532.0,True
1069489,1,0001062993-10-001241,form10k.htm,2010-04-15,10-K,10-K,10-K,FORM 10-K,2009-12-31,WESCORP ENERGY INC  (CIK 0001069489),1389.0,True
316253,1,0000930413-10-005072,c62990_10-k.htm,2010-10-14,10-K,10-K,10-K,,2010-07-31,ENZO BIOCHEM INC  (ENZ)  (CIK 0000316253),8071.0,True
823768,1,0000950123-10-013022,h69024e10vk.htm,2010-02-16,10-K,10-K,10-K,FORM 10-K,2009-12-31,WASTE MANAGEMENT INC  (WM)  (CIK 0000823768),4953.0,True
6814,1,0000908834-10-000091,com_10k.htm,2010-03-25,10-K,10-K,10-K,,2009-12-27,COMFORCE CORP  (CIK 0000006814),7363.0,True
728535,1,0001437749-10-000493,jbhunt_10k-123109.htm,2010-02-26,10-K,10-K,10-K,ANNUAL REPORT,2009-12-31,HUNT J B TRANSPORT SERVICES INC  (JBHT)  (CIK 0000728535),4213.0,True
1378846,1,0001144204-10-017468,v177969_10k.htm,2010-03-31,10-K,10-K,10-K,,2009-12-31,"interCLICK, Inc.  (CIK 0001378846)",7310.0,True
23675,1,0000950123-10-018061,f54807e10vk.htm,2010-02-26,10-K,10-K,10-K,FORM 10-K,2009-12-31,Con-way Inc.  (CIK 0000023675),4213.0,True
1050446,1,0001193125-10-038870,d10k.htm,2010-02-24,10-K,10-K,10-K,FORM 10-K,2009-12-31,MICROSTRATEGY INC  (MSTR)  (CIK 0001050446),7372.0,True
1069563,1,0001178913-10-000943,zk1008139.htm,2010-03-31,10-K,10-K,10-K,10-K,2009-12-31,DEFENSE INDUSTRIES INTERNATIONAL INC  (CIK 0001069563),5900.0,True
1111335,1,0000950123-10-018036,k48891e10vk.htm,2010-02-26,10-K,10-K,10-K,FORM 10-K,2009-12-31,VISTEON CORP  (VC)  (CIK 0001111335),3714.0,True
1396440,1,0001047469-10-002020,a2196912z10-k.htm,2010-03-10,10-K,10-K,10-K,10-K,2009-12-31,Main Street Capital CORP  (MAIN)  (CIK 0001396440),,True
355627,1,0000950123-10-028796,w77882e10vk.htm,2010-03-26,10-K,10-K,10-K,FORM 10-K,2009-12-31,CTI GROUP HOLDINGS INC  (CIK 0000355627),7372.0,True
928576,2,0001081316-10-000005,mecllc10k.htm,2010-03-01,10-K,10-K,10-K,"MIDAMERICAN ENERGY COMPANY AND MIDAMERICAN FUNDING, LLC",2009-12-31,MIDAMERICAN ENERGY CO  (CIK 0000928576),4911.0,True
1007587,1,0001193125-10-050473,d10k.htm,2010-03-09,10-K,10-K,10-K,FORM 10-K,2009-12-31,KVH INDUSTRIES INC \DE\  (KVHI)  (CIK 0001007587),3663.0,True
312258,1,0000950117-10-000542,c61434_10-k.htm,2010-05-06,10-K,10-K,10-K,,2009-12-31,SINO SHIPPING HOLDINGS INC.  (CIK 0000312258),4412.0,True
67517,1,0000067517-10-000007,form10k.htm,2010-03-16,10-K,10-K,10-K,,2009-12-31,MONARCH CEMENT CO  (CIK 0000067517),3270.0,True
1094831,1,0001193125-10-058581,d10k.htm,2010-03-16,10-K,10-K,10-K,FORM 10-K,2009-12-31,"BGC Partners, Inc.  (BGC)  (CIK 0001094831)",6200.0,True
1110647,1,0000950123-10-082924,f56758e10vk.htm,2010-09-01,10-K,10-K,10-K,FORM 10-K,2010-07-03,"OCLARO, INC.  (CIK 0001110647)",3674.0,True
1346222,1,0000950123-10-117191,c10330e10vk.htm,2010-12-29,10-K,10-K,10-K,FORM 10-K,2010-09-30,FIRST UNITED ETHANOL LLC  (CIK 0001346222),2860.0,True
888504,1,0000950123-10-031833,l39272e10vk.htm,2010-04-02,10-K,10-K,10-K,FORM 10-K,2010-01-31,LAYNE CHRISTENSEN CO  (CIK 0000888504),1700.0,True
802724,1,0001193125-10-055363,d10k.htm,2010-03-12,10-K,10-K,10-K,FORM 10-K,2009-12-31,INSITE VISION INC  (CIK 0000802724),2834.0,True
1375494,1,0001013762-10-000847,form10k.htm,2010-04-15,10-K,10-K,10-K,FORM 10-K CHINA SHUANGJI CEMENT,2009-12-31,China Shuangji Cement Ltd.  (CIK 0001375494),3290.0,True
921313,1,0001144204-10-017653,v179181_10k.htm,2010-03-31,10-K,10-K,10-K,,2009-12-31,VIEWCAST COM INC  (CIK 0000921313),3663.0,True
1037868,1,0000950123-10-016787,w75707e10vk.htm,2010-02-25,10-K,10-K,10-K,FORM 10-K,2009-12-31,AMETEK INC/  (AME)  (CIK 0001037868),3621.0,True
1089872,1,0001104659-10-014317,a09-35992_110k.htm,2010-03-16,10-K,10-K,10-K,10-K,2009-12-31,"GAIAM, INC  (GAIA)  (CIK 0001089872)",7812.0,True
1429775,1,0000950123-10-015599,g22183e10vk.htm,2010-02-23,10-K,10-K,10-K,FORM 10-K,2009-12-31,"Lender Processing Services, Inc.  (CIK 0001429775)",7389.0,True
1276531,1,0001276531-10-000002,scientificenergy10k.htm,2010-04-08,10-K,10-K,10-K,"ANNUAL REPORT, 12/31/2009",2009-12-31,SCIENTIFIC ENERGY INC  (SCGY)  (CIK 0001276531),6794.0,True
1334036,1,0001047469-10-001357,a2196634z10-k.htm,2010-02-25,10-K,10-K,10-K,10-K,2009-12-31,"Crocs, Inc.  (CROX)  (CIK 0001334036)",3021.0,True
707179,1,0000950123-10-017642,c96824e10vk.htm,2010-02-26,10-K,10-K,10-K,FORM 10-K,2009-12-31,"OLD NATIONAL BANCORP /IN/  (ONB, ONBPO, ONBPP)  (CIK 0000707179)",6021.0,True
802356,1,0001354488-10-002101,parl_10k.htm,2010-06-29,10-K,10-K,10-K,ANNUAL REPORT,2010-03-31,PARLUX FRAGRANCES INC  (CIK 0000802356),2844.0,True
24491,1,0000950123-10-019957,l38890e10vk.htm,2010-03-02,10-K,10-K,10-K,FORM 10-K,2009-12-31,COOPER TIRE & RUBBER CO  (CIK 0000024491),3011.0,True
716749,1,0001185185-10-000361,naturalblue-10k_123109.htm,2010-04-02,10-K,10-K,10-K,,2009-12-31,"NATURAL BLUE RESOURCES, INC.  (CIK 0000716749)",4899.0,True
917523,1,0001193125-10-070709,d10k.htm,2010-03-30,10-K,10-K,10-K,FORM 10-K,2009-12-31,"Nexxus Lighting, Inc.  (CIK 0000917523)",3357.0,True
22198,1,0000004904-10-000021,ye09aeparpdf.pdf,2010-02-26,10-K,10-K,EX-13,ANNUAL REPORT,2009-12-31,COLUMBUS SOUTHERN POWER CO /OH/  (CIK 0000022198),4911.0,True
1267201,1,0000950123-10-025261,v55200e10vk.htm,2010-03-16,10-K,10-K,10-K,FORM 10-K,2009-12-31,SEABRIGHT INSURANCE HOLDINGS INC  (CIK 0001267201),6331.0,True
1122099,1,0001144204-10-020487,v181066_10k.htm,2010-04-15,10-K,10-K,10-K,,2009-12-31,VILLAGEEDOCS INC  (CIK 0001122099),7389.0,True
110019,1,0000950123-10-015826,c55980e10vk.htm,2010-02-23,10-K,10-K,10-K,FORM 10-K,2009-12-31,NORTHWEST PIPELINE GP  (CIK 0000110019),4922.0,True
889900,1,0000950123-10-014515,d70467e10vk.htm,2010-02-19,10-K,10-K,10-K,FORM 10-K,2009-12-31,PATTERSON UTI ENERGY INC  (PTEN)  (CIK 0000889900),1381.0,True
1320947,1,0000950123-10-091408,f56896e10vk.htm,2010-10-05,10-K,10-K,10-K,FORM 10-K,2010-07-31,Diamond Foods Inc  (CIK 0001320947),2090.0,True
1407343,1,0001092306-10-000083,riverform10k.htm,2010-03-16,10-K,10-K,10-K,FORM 10-K DATED 11-30-09,2009-11-30,"RIVER EXPLORATION, INC.  (CIK 0001407343)",1040.0,True
797079,1,0000945836-10-000006,epolin_10k10.txt,2010-05-28,10-K,10-K,10-K,10-K,2010-02-28,EPOLIN INC /NJ/  (CIK 0000797079),2821.0,True
1267130,1,0001206774-10-000434,cabelas_10k.htm,2010-03-01,10-K,10-K,10-K,ANNUAL REPORT,2010-01-02,CABELAS INC  (CIK 0001267130),5940.0,True
1053374,1,0001193125-10-057387,d10k.htm,2010-03-16,10-K,10-K,10-K,FORM 10-K,2009-12-31,IPASS INC  (CIK 0001053374),7374.0,True
76348,1,0001137050-10-000069,crui_10k12312009finalv5.htm,2010-04-15,10-K,10-K,10-K,,2009-12-31,"CHINA RUITAI INTERNATIONAL HOLDINGS CO., LTD.  (CIK 0000076348)",2860.0,True
1040482,1,0001144204-10-015776,v178643_10k.htm,2010-03-26,10-K,10-K,10-K,,2009-12-31,AMERICAN PETRO-HUNTER INC  (CIK 0001040482),1389.0,True
895642,1,0001144204-10-012847,v176739_10k.htm,2010-03-11,10-K,10-K,10-K,,2009-12-31,ENER1 INC  (CIK 0000895642),3690.0,True
1325946,1,0001193125-10-050365,d10k.htm,2010-03-08,10-K,10-K,10-K,FORM 10-K,2009-12-31,"Innophos, Inc.  (CIK 0001325946)",5160.0,True
1032863,1,0001047469-10-001875,a2197101z10-k.htm,2010-03-08,10-K,10-K,10-K,10-K,2009-12-31,FORCE PROTECTION INC  (CIK 0001032863),3790.0,True
1003642,1,0000950123-10-017992,c96754e10vk.htm,2010-02-26,10-K,10-K,10-K,FORM 10-K,2009-12-31,IMPAX LABORATORIES INC  (CIK 0001003642),2834.0,True
873044,1,0001193125-10-057053,d10k.htm,2010-03-15,10-K,10-K,10-K,FORM 10-K,2009-12-31,RADISYS CORP  (CIK 0000873044),3577.0,True
1285480,1,0001214659-10-000787,m31210310k.htm,2010-03-23,10-K,10-K,10-K,"FOR THE FISCAL YEAR ENDED DECEMBER 31, 2009",2009-12-31,RIDGEWOOD ENERGY K FUND LLC  (CIK 0001285480),1382.0,True
922358,4,0001104659-10-050128,a10-18109_110k.htm,2010-09-28,10-K,10-K,10-K,10-K,2010-07-31,"FERRELLGAS PARTNERS L P  (FGPR, FGPRB)  (CIK 0000922358)",5900.0,True
1022671,1,0001047469-10-001104,a2196582z10-k.htm,2010-02-22,10-K,10-K,10-K,10-K,2009-12-31,STEEL DYNAMICS INC  (STLD)  (CIK 0001022671),3312.0,True
742278,1,0001188112-10-000460,t67253_10k.htm,2010-03-03,10-K,10-K,10-K,FORM 10-K,2009-12-31,RPC INC  (RES)  (CIK 0000742278),1389.0,True
1015483,1,0000950123-10-088167,d76353e10vk.htm,2010-09-22,10-K,10-K,10-K,FORM 10-K,2010-07-31,DYNAMEX INC  (CIK 0001015483),4210.0,True
36270,1,0000950123-10-014582,l38289e10vk.htm,2010-02-19,10-K,10-K,10-K,FORM 10-K,2009-12-31,"M&T BANK CORP  (MTB, MTB-PH, MTB-PJ)  (CIK 0000036270)",6022.0,True
1333170,1,0000950123-10-024064,b78708e10vk.htm,2010-03-12,10-K,10-K,10-K,"NXSTAGE MEDICAL, INC.",2009-12-31,"NxStage Medical, Inc.  (CIK 0001333170)",3845.0,True
1120096,1,0001144204-11-020077,v216628_10k.htm,2011-04-05,10-K,10-K,10-K,,2010-12-31,Sino Clean Energy Inc  (CIK 0001120096),2860.0,True
798949,1,0001193125-11-044656,d10k.htm,2011-02-24,10-K,10-K,10-K,FORM 10-K,2010-12-31,"UNIT CORP  (UNTC, UNTCW)  (CIK 0000798949)",1311.0,True
1394108,1,0001144204-11-024458,v219959_10k.htm,2011-04-28,10-K,10-K,10-K,,2010-12-31,"AMERICAN JIANYE GREENTECH HOLDINGS, LTD.  (SUIC)  (CIK 0001394108)",5160.0,True
1288469,1,0001193125-11-027241,d10k.htm,2011-02-08,10-K,10-K,10-K,FORM 10-K,2010-12-31,MAXLINEAR INC  (MXL)  (CIK 0001288469),3674.0,True
1125920,1,0001140361-11-006694,form10k.htm,2011-02-07,10-K,10-K,10-K,SHUTTERFLY INC 10-K 12-31-2010,2010-12-31,SHUTTERFLY INC  (CIK 0001125920),7384.0,True
863015,1,0001047469-11-005892,a2204428z10-k.htm,2011-06-16,10-K,10-K,10-K,10-K,2011-04-24,ISLE OF CAPRI CASINOS INC  (CIK 0000863015),7011.0,True
57528,1,0001140361-11-013546,snyderslance10k2010.htm,2011-03-02,10-K,10-K,10-K,FORM 10-K,2011-01-01,"SNYDER'S-LANCE, INC.  (CIK 0000057528)",2052.0,True
6284,1,0001193125-11-263862,d236710d10k.htm,2011-10-04,10-K,10-K,10-K,FORM 10-K,2011-07-31,ANALOGIC CORP  (CIK 0000006284),3825.0,True
1094285,1,0000950123-11-021752,v58077e10vk.htm,2011-03-03,10-K,10-K,10-K,FORM 10-K,2011-01-02,TELEDYNE TECHNOLOGIES INC  (TDY)  (CIK 0001094285),8711.0,True
1399356,1,0001213900-11-001696,f10k2010_chinabct.htm,2011-03-31,10-K,10-K,10-K,ANNUAL REPORT,2010-12-31,"China BCT Pharmacy Group, Inc.  (CIK 0001399356)",5122.0,True
86759,1,0001144204-11-054219,v235399_10k.htm,2011-09-22,10-K,10-K,10-K,FORM 10-K,2011-06-30,SANTA FE FINANCIAL CORP  (CIK 0000086759),6500.0,True
949874,1,0000914760-11-000025,y48794_10k2010.htm,2011-03-11,10-K,10-K,10-K,"DECEMBER 31, 2010",2010-12-31,YOUNG INNOVATIONS INC  (CIK 0000949874),3843.0,True
88941,1,0001193125-11-084847,d10k.htm,2011-03-31,10-K,10-K,10-K,FORM 10-K,2011-01-30,SEMTECH CORP  (SMTC)  (CIK 0000088941),3674.0,True
1388320,1,0001078782-11-000562,cactus10k123110.htm,2011-03-03,10-K,10-K,10-K,"DECEMBER 31, 2010 10K",2010-12-31,"Cactus Ventures, Inc.  (ATNM)  (CIK 0001388320)",6770.0,True
65358,1,0000921895-11-000645,form10k01196_12312010.htm,2011-03-30,10-K,10-K,10-K,,2010-12-31,UNITED CAPITAL CORP /DE/  (CIK 0000065358),3490.0,True
792161,1,0001104659-11-014868,a11-2377_110k.htm,2011-03-16,10-K,10-K,10-K,10-K,2010-12-31,ML MACADAMIA ORCHARDS L P  (CIK 0000792161),100.0,True
1309304,1,0001144204-11-022392,v218666_10k.htm,2011-04-15,10-K,10-K,10-K,10-K,2010-12-31,BIO BRIDGE SCIENCE INC  (CIK 0001309304),2834.0,True
819220,1,0001193125-11-164691,d10k.htm,2011-06-14,10-K,10-K,10-K,FORM 10-K,2011-03-31,MULTI COLOR Corp  (CIK 0000819220),2750.0,True
1119807,1,0000949353-11-000104,f10k-ecc.htm,2011-04-19,10-K,10-K,10-K,FORM 10K 2010 ENERGY COMPOSITES,2010-12-31,ENERGY COMPOSITES Corp  (CIK 0001119807),3089.0,True
926326,1,0001047469-11-002063,a2202091z10-k.htm,2011-03-11,10-K,10-K,10-K,10-K,2010-12-31,"OMNICELL, Inc  (OMCL)  (CIK 0000926326)",3571.0,True
1070412,1,0001193125-11-030435,d10k.htm,2011-02-10,10-K,10-K,10-K,FORM 10-K,2010-12-31,CONSOL Energy Inc  (CNX)  (CIK 0001070412),1221.0,True
1141391,1,0001193125-11-044721,d10k.htm,2011-02-24,10-K,10-K,10-K,FORM 10-K,2010-12-31,MASTERCARD INC  (MA)  (CIK 0001141391),7389.0,True
1166388,1,0000950123-11-033115,c14986e10vk.htm,2011-04-06,10-K,10-K,10-K,FORM 10-K,2011-01-31,VERINT SYSTEMS INC  (VRNT)  (CIK 0001166388),7373.0,True
1335950,1,0001144204-11-035599,v225684_10k.htm,2011-06-14,10-K,10-K,10-K,ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(D) OF THE SECURITIES EXCHANGE ACT OF,2011-03-31,Chisen Electric Corp  (CIK 0001335950),3690.0,True
802851,1,0000802851-11-000057,esfy11_10ke.htm,2011-12-29,10-K,10-K,10-K,FORM 10-K FOR FISCAL YEAR ENDED 9/30/11,2011-09-30,LOGIC DEVICES Inc  (CIK 0000802851),3674.0,True
1219210,1,0001193125-11-062419,d10k.htm,2011-03-10,10-K,10-K,10-K,FORM 10-K,2011-01-02,IKANOS COMMUNICATIONS  (CIK 0001219210),3661.0,True
845091,1,0001193125-11-078003,d10k.htm,2011-03-25,10-K,10-K,10-K,FORM 10-K,2010-12-31,TRANSAMERICA ADVISORS LIFE INSURANCE Co  (CIK 0000845091),6311.0,True
1023364,1,0001023364-11-000005,form10_k.htm,2011-03-10,10-K,10-K,10-K,ABTL 2010 FORM 10-K,2010-12-31,AUTOBYTEL INC  (CIK 0001023364),7370.0,True
354813,1,0000354813-11-000007,iltsform10k30apr2011fy2011.htm,2011-07-07,10-K,10-K,10-K,ILTS FORM 10K 30APR2011 FY2011,2011-04-30,INTERNATIONAL LOTTERY & TOTALIZATOR SYSTEMS INC  (CIK 0000354813),3578.0,True
47217,1,0001047469-11-010094,a2206500z10-k.htm,2011-12-14,10-K,10-K,10-K,10-K,2011-10-31,HEWLETT PACKARD CO  (HPQ)  (CIK 0000047217),3570.0,True
791907,1,0000791907-11-000073,lltc-201173x10k.htm,2011-08-24,10-K,10-K,10-K,FY11 10-K,2011-07-03,LINEAR TECHNOLOGY CORP /CA/  (CIK 0000791907),3674.0,True
1433269,1,0001144204-11-016352,v215358_10k.htm,2011-03-22,10-K,10-K,10-K,,2010-12-31,"Diligent Board Member Services, Inc.  (CIK 0001433269)",7372.0,True
92487,1,0000004904-11-000026,ye10aepar.htm,2011-02-25,10-K,10-K,EX-13,ANNUAL REPORT,2010-12-31,SOUTHWESTERN ELECTRIC POWER CO  (CIK 0000092487),4911.0,True
1069394,1,0001171200-11-000291,i00158_flexible-10k.htm,2011-03-31,10-K,10-K,10-K,,2010-12-31,FLEXIBLE SOLUTIONS INTERNATIONAL INC  (FSI)  (CIK 0001069394),2890.0,True
315449,1,0000315449-11-000017,form10k03312011d21.htm,2011-06-02,10-K,10-K,10-K,FORM 10K 03/31/2011,2011-03-31,UQM TECHNOLOGIES INC  (CIK 0000315449),3679.0,True
101778,1,0001193125-11-047891,d10k.htm,2011-02-28,10-K,10-K,10-K,FORM 10-K,2010-12-31,MARATHON OIL CORP  (MRO)  (CIK 0000101778),2911.0,True
1466815,1,0000950123-11-024212,c13916e10vk.htm,2011-03-10,10-K,10-K,10-K,FORM 10-K,2010-12-31,"CAMBIUM LEARNING GROUP, INC.  (CIK 0001466815)",2741.0,True
926282,1,0000950123-11-018429,c10625e10vk.htm,2011-02-25,10-K,10-K,10-K,FORM 10-K,2010-12-31,ADTRAN INC  (ADTN)  (CIK 0000926282),3661.0,True
82166,1,0000950123-11-031622,c63749e10vk.htm,2011-03-31,10-K,10-K,10-K,FORM 10-K,2011-01-31,RAVEN INDUSTRIES INC  (CIK 0000082166),3081.0,True
1002638,1,0001193125-11-222831,d10k.htm,2011-08-15,10-K,10-K,10-K,FORM 10-K,2011-06-30,OPEN TEXT CORP  (OTEX)  (CIK 0001002638),7373.0,True
22551,1,0001162677-11-000056,tv3221110k.htm,2011-03-22,10-K,10-K,10-K,,2010-12-31,TRI VALLEY CORP  (CIK 0000022551),1311.0,True
788920,1,0001193125-11-248026,d229987d10k.htm,2011-09-14,10-K,10-K,10-K,FORM 10-K,2011-06-30,PRO DEX INC  (PDEX)  (CIK 0000788920),3841.0,True
1049505,1,0001144204-11-040350,v228514_10k.htm,2011-07-13,10-K,10-K,10-K,,2011-03-31,US DATAWORKS INC  (CIK 0001049505),7372.0,True
1191357,1,0001221508-11-000006,form10k_06302011.htm,2011-09-30,10-K,10-K,10-K,,2011-06-30,Molecular Pharmacology (USA) Ltd.  (CIK 0001191357),2834.0,True
1487730,1,0001193125-11-334782,d234646d10k.htm,2011-12-08,10-K,10-K,10-K,FORM 10-K,2011-09-30,"Spectrum Brands Holdings, Inc.  (CIK 0001487730)",3690.0,True
1439434,1,0001144204-11-021826,v216233_10k.htm,2011-04-13,10-K,10-K,10-K,,2010-12-31,"Global Pharm Holdings Group, Inc.  (CIK 0001439434)",5122.0,True
1382085,1,0001262463-11-000035,dbyc_2010kfinal.htm,2011-03-22,10-K,10-K,10-K,FORM 10-K,2010-12-31,Disability Access Corp  (CIK 0001382085),7340.0,True
708821,1,0000708821-11-000006,fm10k123110.htm,2011-03-16,10-K,10-K,10-K,FORM 10K,2010-12-31,PAR TECHNOLOGY CORP  (PAR)  (CIK 0000708821),3578.0,True
352998,1,0000950156-11-000042,d76413_igi10k.htm,2011-03-25,10-K,10-K,10-K,BODY OF FORM 10-K,2010-12-31,"IGI LABORATORIES, INC  (CIK 0000352998)",2836.0,True
882154,1,0000950123-11-024157,c13893e10vk.htm,2011-03-10,10-K,10-K,10-K,FORM 10-K,2010-12-31,"POWERSECURE INTERNATIONAL, INC.  (CIK 0000882154)",7389.0,True
313277,1,0000313277-11-000025,dec200810k.txt,2011-12-19,10-K,10-K,10-K,,2008-12-31,THERMAL ENERGY STORAGE INC  (CIK 0000313277),8711.0,True
700565,1,0000700565-11-000009,form10k_2010.htm,2011-03-03,10-K,10-K,10-K,2010 ANNUAL REPORT ON FORM 10-K,2010-12-31,FIRST MID ILLINOIS BANCSHARES INC  (FMBH)  (CIK 0000700565),6022.0,True
64670,1,0000897101-11-001132,medtronic113060s1_10k.htm,2011-06-28,10-K,10-K,10-K,"FORM 10-K FOR THE FISCAL YEAR ENDED APRIL 29, 2011",2011-04-29,MEDTRONIC INC  (CIK 0000064670),3845.0,True
1077771,1,0001193125-11-039217,d10k.htm,2011-02-17,10-K,10-K,10-K,FORM 10-K,2010-12-31,UMPQUA HOLDINGS CORP  (CIK 0001077771),6035.0,True
1417192,1,0001144204-11-012551,v213100_10k.htm,2011-03-03,10-K,10-K,10-K,,2010-12-31,"China Shandong Industries, Inc.  (CIK 0001417192)",2511.0,True
1498021,1,0001188112-11-000563,t69947_10k.htm,2011-03-11,10-K,10-K,10-K,FORM 10-K,2010-12-31,"ExamWorks Group, Inc.  (CIK 0001498021)",8000.0,True
