# 2026-09-18 idea 1241 lane B — does-the-record-s-BLOCK-LENGTH-63-have-ANY-argument-other-than-INHERITANCE
# DIAL 1 estimator = PW_SB / PW_CB (headline) / HHJ / VMATCH
# DIAL 2 panel     = U56 / B136 / SMALL / SPY
# control, never chosen on: SERIES {S_RAW, S_PSI, S_DIFF} x WINDOW {FULL, IS}
# inherited block length under test: L = 63 (1101's, 145 of 325 L-statements)
   GATE G11 flat-top kernel: [np.float64(1.0), np.float64(1.0), np.float64(0.5), np.float64(0.0), np.float64(0.0)] vs [1,1,0.5,0,0] -> PASS
   GATE G3 PW_CB on iid noise: 1.6641 vs <= 3 -> PASS
   GATE G4 PW_CB on AR(1) phi=0.8: 45.3116 vs noise 1.6641 vs strictly larger -> PASS
load_prices: network unavailable (ModuleNotFoundError); using prices.csv
load_prices: network unavailable (ModuleNotFoundError); using prices.csv

================ ARM C(1) — THE GRID (three panels, 36 cells each) ================
# frozen book: RAW composite [(21, 252), (0, 126), (0, 63)], gate = above 200d MA AND vol20 < 0.6, GROSS=0.75, weekly, 10 bps, t+1, warm-up 260, equal slot weights
# comparison set: N [10, 12, 16, 20, 25, 30] x H [21, 42, 63, 126, 189, 252]; anchor = (N=20, H=126)
   GATE G7 U56 IS/OOS split: IS ends 2016-12-30, OOS starts 2017-01-03 vs >= 2017-01-01 -> PASS

## U56  n_days=4707  n_names=55  window 2009-01-13..2026-09-17  IS 2007 / OOS 2440 rows
   SPY     full  15.13% / 0.8849 / -33.72%  halves 0.9600/0.8236  OOS  15.28% / 0.8747 / -33.72%
   LIVE v2 full   8.62% / 1.2018 / -12.05%  halves 1.2332/1.1773  OOS   9.47% / 1.2781 / -12.05%
   4b bars: DD cap -20.23%  CAGR floor  10.59%  Sharpe H1 0.9600 H2 0.8236 OOS 0.8747
    N    H |    CAGR   Sharpe    MaxDD |  H1/H2 Sharpe | IS Sh  IS CAGR | OOS Sh  OOS CAGR  OOS DD | turn | 4a 4b | fail4b
    20   63 |  15.26%   1.1204  -25.53% | 1.2146/1.0631 | 1.1190  13.49% | 1.1306   16.74% -25.53% | 3.68 | n  n  | DD
    20  126 |  15.78%   1.1522  -19.13% | 1.2127/1.1128 | 1.1158  13.98% | 1.1832   17.28% -19.13% | 2.75 | n  Y  | -
    20  189 |  15.58%   1.1232  -21.75% | 1.3244/0.9899 | 1.2466  15.31% | 1.0530   15.80% -21.75% | 2.25 | n  n  | DD
    20  252 |  15.96%   1.1670  -21.84% | 1.2250/1.1306 | 1.1322  14.18% | 1.1969   17.45% -21.84% | 2.01 | n  n  | DD
    25   21 |  13.04%   1.0718  -20.24% | 1.1292/1.0323 | 1.0399  11.66% | 1.0988   14.18% -20.24% | 5.40 | n  n  | DD
    25   42 |  13.90%   1.1092  -22.13% | 1.1858/1.0606 | 1.0990  12.42% | 1.1230   15.12% -22.13% | 4.17 | n  n  | DD
    25   63 |  14.70%   1.1457  -22.66% | 1.2627/1.0706 | 1.1641  13.30% | 1.1423   15.87% -22.66% | 3.49 | n  n  | DD
    25  126 |  14.69%   1.1201  -22.97% | 1.2135/1.0581 | 1.0998  13.03% | 1.1407   16.08% -22.97% | 2.61 | n  n  | DD
    25  189 |  14.79%   1.1217  -22.91% | 1.3526/0.9622 | 1.2522  14.77% | 1.0442   14.82% -22.91% | 2.13 | n  n  | DD
    25  252 |  14.90%   1.1206  -20.46% | 1.2030/1.0614 | 1.1091  13.69% | 1.1328   15.91% -20.46% | 1.95 | n  n  | DD
    30   21 |  12.24%   1.0576  -19.77% | 1.1164/1.0149 | 1.0193  11.00% | 1.0887   13.27% -19.77% | 5.07 | n  Y  | -
    30   42 |  13.79%   1.1571  -20.64% | 1.2143/1.1193 | 1.1247  12.36% | 1.1848   14.97% -20.64% | 3.94 | n  n  | DD
    30   63 |  14.16%   1.1502  -21.30% | 1.2729/1.0651 | 1.1831  13.24% | 1.1339   14.92% -21.30% | 3.24 | n  n  | DD
    30  126 |  14.59%   1.1488  -22.07% | 1.2279/1.1009 | 1.1236  12.80% | 1.1736   16.09% -22.07% | 2.51 | n  n  | DD
    30  189 |  14.78%   1.1680  -20.17% | 1.2992/1.0794 | 1.2046  13.77% | 1.1501   15.61% -20.17% | 1.98 | n  Y  | -
    30  252 |  14.12%   1.0923  -20.22% | 1.1802/1.0300 | 1.0892  13.04% | 1.0986   15.02% -20.22% | 1.89 | n  Y  | -
   GATE G1 committed anchor replay (vintage-pinned): 0.157147/1.14798/-0.191276 max|d| 5.965e-05 vs < 1e-4 -> PASS
   GATE G2 ARM C determinism: max|d| 0.000e+00 vs 0 -> PASS
   GATE G7 B135 IS/OOS split: IS ends 2016-12-30, OOS starts 2017-01-03 vs >= 2017-01-01 -> PASS

## B135  n_days=4703  n_names=135  window 2009-01-13..2026-09-11  IS 2007 / OOS 2436 rows
   SPY     full  15.16% / 0.8862 / -33.72%  halves 0.9598/0.8261  OOS  15.33% / 0.8769 / -33.72%
   LIVE v2 full   7.98% / 1.0994 / -12.24%  halves 1.2351/0.9660  OOS   7.88% / 1.1061 / -12.24%
   4b bars: DD cap -20.23%  CAGR floor  10.61%  Sharpe H1 0.9598 H2 0.8261 OOS 0.8769
    N    H |    CAGR   Sharpe    MaxDD |  H1/H2 Sharpe | IS Sh  IS CAGR | OOS Sh  OOS CAGR  OOS DD | turn | 4a 4b | fail4b
    10   21 |  17.23%   0.9981  -25.61% | 1.3168/0.7564 | 1.2367  19.77% | 0.8435   15.18% -25.61% | 8.49 | n  n  | H2,OOS,DD
    10   42 |  18.07%   1.0184  -26.30% | 1.2893/0.8251 | 1.1780  18.68% | 0.9246   17.57% -26.30% | 6.06 | n  n  | H2,DD
    10   63 |  20.76%   1.1467  -28.16% | 1.4075/0.9655 | 1.2951  20.79% | 1.0619   20.74% -28.16% | 4.81 | n  n  | DD
    10  126 |  18.53%   1.0666  -20.20% | 1.3780/0.8362 | 1.2859  20.68% | 0.9235   16.79% -20.20% | 3.22 | n  Y  | -
    10  189 |  18.72%   1.0706  -26.93% | 1.2878/0.9298 | 1.1386  17.12% | 1.0420   20.05% -26.93% | 2.48 | n  n  | DD
    10  252 |  16.70%   1.0072  -25.92% | 1.0582/0.9774 | 0.9233  13.60% | 1.0718   19.32% -25.92% | 2.12 | n  n  | DD
    12   21 |  16.40%   0.9836  -26.84% | 1.2559/0.7771 | 1.1437  17.51% | 0.8814   15.50% -26.84% | 8.37 | n  n  | H2,DD
    12   42 |  18.07%   1.0557  -26.82% | 1.3646/0.8300 | 1.2649  19.60% | 0.9265   16.82% -26.82% | 5.97 | n  n  | DD
    12   63 |  18.92%   1.0907  -29.73% | 1.3969/0.8719 | 1.2839  19.94% | 0.9750   18.09% -29.73% | 4.71 | n  n  | DD
    12  126 |  17.76%   1.0605  -21.17% | 1.3261/0.8652 | 1.2280  18.94% | 0.9522   16.79% -21.17% | 3.19 | n  n  | DD
    12  189 |  17.94%   1.0646  -24.99% | 1.3180/0.9008 | 1.1548  16.72% | 1.0228   18.96% -24.99% | 2.42 | n  n  | DD
    12  252 |  16.93%   1.0375  -25.32% | 1.1529/0.9553 | 0.9961  14.60% | 1.0727   18.89% -25.32% | 2.09 | n  n  | DD
    16   21 |  14.83%   0.9464  -27.87% | 1.2362/0.7202 | 1.1163  16.31% | 0.8332   13.63% -27.87% | 7.98 | n  n  | H2,OOS,DD
    16   42 |  17.15%   1.0559  -25.78% | 1.3376/0.8450 | 1.1974  17.72% | 0.9673   16.69% -25.78% | 5.74 | n  n  | DD
    16   63 |  18.28%   1.1153  -27.64% | 1.3796/0.9167 | 1.2661  19.00% | 1.0192   17.69% -27.64% | 4.51 | n  n  | DD
    16  126 |  17.01%   1.0906  -19.35% | 1.2850/0.9417 | 1.1425  16.47% | 1.0587   17.46% -19.35% | 3.10 | n  Y  | -
    16  189 |  16.82%   1.0265  -25.63% | 1.2650/0.8853 | 1.0908  14.97% | 1.0051   18.36% -25.63% | 2.36 | n  n  | DD
    16  252 |  16.87%   1.0870  -25.02% | 1.2235/0.9882 | 1.0843  15.21% | 1.0955   18.25% -25.02% | 2.06 | n  n  | DD
    20   21 |  16.04%   1.0690  -26.37% | 1.3230/0.8647 | 1.2256  17.34% | 0.9605   14.98% -26.37% | 7.37 | n  n  | DD
    20   42 |  16.35%   1.0459  -25.34% | 1.2788/0.8708 | 1.1562  16.55% | 0.9762   16.18% -25.34% | 5.58 | n  n  | DD
    20   63 |  17.14%   1.0923  -28.69% | 1.3529/0.8941 | 1.2314  17.79% | 1.0023   16.61% -28.69% | 4.46 | n  n  | DD
    20  126 |  16.18%   1.0715  -20.74% | 1.2902/0.8995 | 1.1445  16.06% | 1.0240   16.29% -20.74% | 3.11 | n  n  | DD
    20  189 |  16.84%   1.0445  -25.81% | 1.2919/0.8913 | 1.1133  15.21% | 1.0182   18.19% -25.81% | 2.42 | n  n  | DD
    20  252 |  16.39%   1.0723  -23.49% | 1.2436/0.9435 | 1.1158  15.59% | 1.0478   17.05% -23.49% | 2.09 | n  n  | DD
    25   21 |  14.90%   1.0479  -24.36% | 1.2703/0.8656 | 1.1614  15.67% | 0.9677   14.27% -24.36% | 6.89 | n  n  | DD
    25   42 |  14.79%   1.0042  -25.26% | 1.2358/0.8274 | 1.0942  14.84% | 0.9468   14.76% -25.26% | 5.36 | n  n  | DD
    25   63 |  15.76%   1.0536  -29.24% | 1.3385/0.8331 | 1.2046  16.72% | 0.9532   14.96% -29.24% | 4.45 | n  n  | DD
    25  126 |  16.37%   1.0976  -21.61% | 1.2783/0.9584 | 1.1516  15.93% | 1.0636   16.73% -21.61% | 3.08 | n  n  | DD
    25  189 |  17.43%   1.1105  -26.09% | 1.3406/0.9637 | 1.1900  16.20% | 1.0731   18.45% -26.09% | 2.44 | n  n  | DD
    25  252 |  16.05%   1.0730  -23.03% | 1.2260/0.9591 | 1.0699  14.63% | 1.0805   17.24% -23.03% | 2.10 | n  n  | DD
    30   21 |  14.37%   1.0461  -25.17% | 1.2165/0.9057 | 1.1169  14.58% | 0.9959   14.19% -25.17% | 6.63 | n  n  | DD
    30   42 |  14.27%   0.9985  -26.89% | 1.1942/0.8489 | 1.0597  13.97% | 0.9602   14.51% -26.89% | 5.14 | n  n  | DD
    30   63 |  14.98%   1.0422  -28.04% | 1.2657/0.8677 | 1.1504  15.43% | 0.9695   14.61% -28.04% | 4.28 | n  n  | DD
    30  126 |  15.99%   1.0962  -24.35% | 1.2738/0.9656 | 1.1478  15.29% | 1.0663   16.56% -24.35% | 3.03 | n  n  | DD
    30  189 |  17.30%   1.1336  -26.59% | 1.3653/0.9774 | 1.2173  16.42% | 1.0892   18.02% -26.59% | 2.40 | n  n  | DD
    30  252 |  15.47%   1.0623  -22.77% | 1.2185/0.9436 | 1.0582  14.15% | 1.0699   16.56% -22.77% | 2.12 | n  n  | DD
   GATE G7 SMALL663 IS/OOS split: IS ends 2016-12-30, OOS starts 2017-01-03 vs >= 2017-01-01 -> PASS

## SMALL663  n_days=4198  n_names=663  window 2011-01-13..2026-09-11  IS 1502 / OOS 2436 rows
   SPY     full  14.06% / 0.8582 / -33.72%  halves 0.9140/0.8346  OOS  15.33% / 0.8769 / -33.72%
   LIVE v2 full   4.64% / 0.7130 / -12.18%  halves 0.8170/0.6425  OOS   4.47% / 0.6518 / -12.18%
   4b bars: DD cap -20.23%  CAGR floor   9.84%  Sharpe H1 0.9140 H2 0.8346 OOS 0.8769
    N    H |    CAGR   Sharpe    MaxDD |  H1/H2 Sharpe | IS Sh  IS CAGR | OOS Sh  OOS CAGR  OOS DD | turn | 4a 4b | fail4b
    10   21 |   5.76%   0.3727  -46.83% | 0.7545/0.0791 | 0.7334  12.58% | 0.1901    1.76% -46.83% | 11.69 | n  n  | H1,H2,OOS,DD,CAGR
    10   42 |   9.48%   0.5403  -39.18% | 1.0233/0.1618 | 0.9687  17.46% | 0.3243    4.83% -39.18% | 8.18 | n  n  | H2,OOS,DD,CAGR
    10   63 |  10.48%   0.5798  -40.88% | 0.7694/0.4381 | 0.7931  14.29% | 0.4678    8.20% -40.88% | 6.24 | n  n  | H1,H2,OOS,DD
    10  126 |   8.74%   0.5077  -43.44% | 0.6661/0.3897 | 0.5980  10.07% | 0.4602    7.93% -43.44% | 4.12 | n  n  | H1,H2,OOS,DD,CAGR
    10  189 |  11.20%   0.6168  -37.41% | 0.5658/0.6638 | 0.5011   8.05% | 0.6814   13.20% -37.41% | 3.36 | n  n  | H1,H2,OOS,DD
    10  252 |  17.99%   0.9128  -42.63% | 1.0229/0.8332 | 1.0149  19.04% | 0.8590   17.35% -42.63% | 2.83 | n  n  | H2,OOS,DD
    12   21 |   7.10%   0.4451  -41.02% | 0.7582/0.2045 | 0.7716  12.82% | 0.2790    3.72% -41.02% | 11.34 | n  n  | H1,H2,OOS,DD,CAGR
    12   42 |  10.22%   0.5942  -35.99% | 0.9773/0.2933 | 0.9056  15.35% | 0.4367    7.17% -35.99% | 7.95 | n  n  | H2,OOS,DD
    12   63 |  10.84%   0.6131  -38.38% | 0.7806/0.4925 | 0.7484  12.61% | 0.5451    9.77% -38.38% | 6.13 | n  n  | H1,H2,OOS,DD
    12  126 |   8.90%   0.5246  -41.24% | 0.7021/0.3938 | 0.5635   9.04% | 0.5056    8.80% -41.24% | 4.05 | n  n  | H1,H2,OOS,DD,CAGR
    12  189 |  11.63%   0.6526  -36.01% | 0.6714/0.6400 | 0.6266  10.44% | 0.6683   12.37% -36.01% | 3.30 | n  n  | H1,H2,OOS,DD
    12  252 |  17.49%   0.9173  -41.35% | 1.0697/0.7993 | 1.0519  19.48% | 0.8431   16.28% -41.35% | 2.81 | n  n  | H2,OOS,DD
    16   21 |   7.13%   0.4659  -42.74% | 0.7818/0.2239 | 0.6926  10.55% | 0.3513    5.08% -42.74% | 10.81 | n  n  | H1,H2,OOS,DD,CAGR
    16   42 |   8.58%   0.5399  -39.59% | 0.8602/0.2825 | 0.7664  12.09% | 0.4212    6.47% -39.59% | 7.75 | n  n  | H1,H2,OOS,DD,CAGR
    16   63 |   9.41%   0.5742  -36.41% | 0.8044/0.4006 | 0.7121  11.29% | 0.5025    8.27% -36.41% | 6.06 | n  n  | H1,H2,OOS,DD,CAGR
    16  126 |   7.78%   0.4907  -39.76% | 0.7426/0.2990 | 0.6198   9.75% | 0.4216    6.57% -39.76% | 4.02 | n  n  | H1,H2,OOS,DD,CAGR
    16  189 |  10.59%   0.6331  -36.45% | 0.6378/0.6333 | 0.6426  10.15% | 0.6292   10.86% -36.45% | 3.23 | n  n  | H1,H2,OOS,DD
    16  252 |  14.78%   0.8290  -38.85% | 0.9739/0.7141 | 1.0036  17.67% | 0.7309   13.03% -38.85% | 2.80 | n  n  | H2,OOS,DD
    20   21 |   8.07%   0.5284  -38.29% | 0.8361/0.2974 | 0.7162  10.46% | 0.4354    6.61% -38.29% | 10.31 | n  n  | H1,H2,OOS,DD,CAGR
    20   42 |   8.50%   0.5506  -41.23% | 0.9433/0.2454 | 0.8565  13.14% | 0.3926    5.74% -41.23% | 7.55 | n  n  | H2,OOS,DD,CAGR
    20   63 |   9.11%   0.5754  -36.43% | 0.8591/0.3657 | 0.7960  12.21% | 0.4631    7.25% -36.43% | 5.92 | n  n  | H1,H2,OOS,DD,CAGR
    20  126 |   7.87%   0.5073  -35.81% | 0.6636/0.3942 | 0.6117   9.17% | 0.4534    7.09% -35.81% | 3.94 | n  n  | H1,H2,OOS,DD,CAGR
    20  189 |  10.50%   0.6415  -36.97% | 0.6265/0.6581 | 0.6375   9.91% | 0.6447   10.88% -36.97% | 3.19 | n  n  | H1,H2,OOS,DD
    20  252 |  13.36%   0.7845  -37.41% | 0.9555/0.6419 | 0.9836  17.01% | 0.6677   11.16% -37.41% | 2.73 | n  n  | H2,OOS,DD
    25   21 |   8.97%   0.5923  -37.67% | 0.8570/0.4012 | 0.7245  10.11% | 0.5297    8.27% -37.67% | 10.05 | n  n  | H1,H2,OOS,DD,CAGR
    25   42 |   9.21%   0.5996  -38.36% | 0.8319/0.4254 | 0.7528  10.99% | 0.5220    8.13% -38.36% | 7.42 | n  n  | H1,H2,OOS,DD,CAGR
    25   63 |   9.55%   0.6099  -35.83% | 0.8953/0.4038 | 0.8281  12.36% | 0.5005    7.85% -35.83% | 5.75 | n  n  | H1,H2,OOS,DD,CAGR
    25  126 |   7.96%   0.5237  -35.45% | 0.7794/0.3347 | 0.7424  11.19% | 0.4088    6.02% -35.45% | 3.84 | n  n  | H1,H2,OOS,DD,CAGR
    25  189 |  10.01%   0.6338  -34.86% | 0.5875/0.6772 | 0.5873   8.61% | 0.6609   10.88% -34.86% | 3.15 | n  n  | H1,H2,OOS,DD
    25  252 |  11.89%   0.7419  -35.73% | 0.8824/0.6232 | 0.9243  15.15% | 0.6331    9.92% -35.73% | 2.70 | n  n  | H1,H2,OOS,DD
    30   21 |   6.91%   0.4870  -37.68% | 0.7971/0.2650 | 0.6885   9.24% | 0.3908    5.50% -37.68% | 9.91 | n  n  | H1,H2,OOS,DD,CAGR
    30   42 |   8.88%   0.5891  -36.50% | 0.7990/0.4394 | 0.7187  10.05% | 0.5268    8.17% -36.50% | 7.31 | n  n  | H1,H2,OOS,DD,CAGR
    30   63 |   9.49%   0.6203  -34.88% | 0.8347/0.4687 | 0.7204  10.20% | 0.5718    9.04% -34.88% | 5.60 | n  n  | H1,H2,OOS,DD,CAGR
    30  126 |   7.80%   0.5237  -36.31% | 0.7567/0.3505 | 0.6629   9.61% | 0.4505    6.70% -36.31% | 3.76 | n  n  | H1,H2,OOS,DD,CAGR
    30  189 |   9.85%   0.6399  -33.08% | 0.6153/0.6655 | 0.6486   9.40% | 0.6364   10.13% -33.08% | 3.07 | n  n  | H1,H2,OOS,DD
    30  252 |  11.29%   0.7206  -36.73% | 0.8673/0.6002 | 0.8953  14.21% | 0.6180    9.53% -36.73% | 2.64 | n  n  | H1,H2,OOS,DD

================ ARM A — WHAT BLOCK LENGTH DOES THE TAPE ASK FOR? ================
# every estimate on the FULL sample and on the IS window (warm-up..2016-12-31) alone

   panel  series  window |    n |  PW_SB   PW_CB     HHJ  VMATCH |  M  m_hat | 63/PW_CB  HAC sd   boot sd   VMATCH identification
   (* after VMATCH = UNIDENTIFIED: the bootstrap SD spread over the whole 1..504 ladder is under 1.10, so the tape cannot tell the rungs apart)
   U56    S_RAW   FULL   | 4447 |   3.73    4.27   12.72   13.00 |  2     1  |    14.75  0.014695  0.014774  spread 1.672 within5% [1,42]
   U56    S_RAW   IS     | 2007 |   1.00    1.00    4.66    1.00 |  2     1  |    63.00  0.022039  0.021723  spread 1.694 within5% [1,13]
   U56    S_PSI   FULL   | 4447 |   3.05    3.49   12.72   13.00 |  2     1  |    18.07  0.014419  0.014490  spread 1.676 within5% [1,42]
   U56    S_PSI   IS     | 2007 |   1.32    1.51    4.66    1.00 |  2     1  |    41.71  0.021596  0.021339  spread 1.727 within5% [1,13]
   U56    S_DIFF  FULL   | 4447 |   2.38    2.72    5.09   13.00 |  -    -    |    23.13  (median over 35 pairs; IQR PW_CB 1.37-4.88)
   U56    S_DIFF  IS     | 2007 |   1.11    1.27    4.66    8.00 |  -    -    |    49.63  (median over 35 pairs; IQR PW_CB 1.00-1.85)
   B135   S_RAW   FULL   | 4443 |   3.02    3.46    5.09   21.00 |  2     1  |    18.23  0.014367  0.014465  spread 1.521 within5% [1,42]
   B135   S_RAW   IS     | 2007 |   1.00    1.00    4.66   13.00 |  2     1  |    63.00  0.022074  0.021897  spread 1.442 within5% [1,63]
   B135   S_PSI   FULL   | 4443 |   2.23    2.55    5.09   21.00 |  2     1  |    24.71  0.014144  0.014249  spread 1.524 within5% [1,42]
   B135   S_PSI   IS     | 2007 |   1.30    1.49    4.66   13.00 |  2     1  |    42.40  0.021660  0.021490  spread 1.455 within5% [1,63]
   B135   S_DIFF  FULL   | 4443 |  17.23   19.73    5.09   13.00 |  -    -    |     3.19  (median over 35 pairs; IQR PW_CB 7.58-26.59)
   B135   S_DIFF  IS     | 2007 |   1.38    1.58    4.66    8.00 |  -    -    |    39.98  (median over 35 pairs; IQR PW_CB 1.23-2.31)
   SMALL663 S_RAW   FULL   | 3938 |   2.53    2.90   12.55    5.00 |  2     1  |    21.75  0.015587  0.015548  spread 1.480 within5% [2,21]
   SMALL663 S_RAW   IS     | 1502 |   1.03    1.17   11.27    8.00 |  2     1  |    53.67  0.025096  0.025704  spread 1.379 within5% [5,378]
   SMALL663 S_PSI   FULL   | 3938 |   2.49    2.85   12.55    5.00 |  2     1  |    22.12  0.015412  0.015386  spread 1.481 within5% [2,21]
   SMALL663 S_PSI   IS     | 1502 |   1.19    1.36   11.27    8.00 |  2     1  |    46.27  0.024825  0.025442  spread 1.384 within5% [5,13]
   SMALL663 S_DIFF  FULL   | 3938 |   2.09    2.40    5.02   13.00 |  -    -    |    26.30  (median over 35 pairs; IQR PW_CB 1.56-3.29)
   SMALL663 S_DIFF  IS     | 1502 |   1.17    1.34    4.51    5.00 |  -    -    |    47.17  (median over 35 pairs; IQR PW_CB 1.00-2.16)
   SPY    S_RAW   FULL   | 4447 |  18.92   21.66   12.72    8.00 | 18     9  |     2.91  0.014484  0.014536  spread 1.872 within5% [2,42]
   SPY    S_RAW   IS     | 2007 |   3.30    3.78    4.66    1.00 |  2     1  |    16.67  0.020942  0.021014  spread 1.773 within5% [1,42]
   SPY    S_PSI   FULL   | 4447 |   5.66    6.47   12.72    8.00 | 18     9  |     9.73  0.014313  0.014388  spread 1.876 within5% [2,42]
   SPY    S_PSI   IS     | 2007 |   3.02    3.46    4.66    1.00 |  2     1  |    18.22  0.020774  0.020879  spread 1.812 within5% [1,42]

   HEADLINE (PW_CB on the SHARPE INFLUENCE FUNCTION, full sample, 4 panels):
     U56    PW_CB    3.49   63 is  18.07x it   (PW_SB 3.05, HHJ 12.72, VMATCH 13.00, cap 201)
     B135   PW_CB    2.55   63 is  24.71x it   (PW_SB 2.23, HHJ 5.09, VMATCH 21.00, cap 200)
     SMALL663 PW_CB    2.85   63 is  22.12x it   (PW_SB 2.49, HHJ 12.55, VMATCH 5.00, cap 189)
     SPY    PW_CB    6.47   63 is   9.73x it   (PW_SB 5.66, HHJ 12.72, VMATCH 8.00, cap 201)
   median PW_CB over all 11 (panel x series) full-sample cells: 3.46; 63 is 18.23x it
   all four estimators over all cells: min 2.09 max 21.66 median 5.09  (spread max/min 10.35x)
   H_FAR    (plug-in optimum < 21): HELD  (median 3.46)
   VMATCH identification: 8 of 8 full-sample cells have a bootstrap-SD spread >= 1.10 over the 1..504 ladder; median spread 1.598, max 1.876
   H_AGREE  (four estimators within 3x on the same series): median spread 4.96x, worst 9.43x, 2 of 11 cells within 3x -> FAILED

