source,unit,figure,value,unit_kind,claimset,convention,assume_g0.50,assume_g0.75,assume_g1.00,span
LEADERBOARD,2689,turnover 7.05x,7.05,x,STRICT,AT100,14.1,9.4,7.05,2.0
LEADERBOARD,2691,turnover 9.53x,9.53,x,STRICT,AT100,19.06,12.706666666666665,9.53,2.0
LEADERBOARD,2691,0.87x/yr,0.87,x,STRICT,AT100,1.74,1.16,0.87,2.0
LEADERBOARD,2695,turnover — parent `top20-200d` @6W (3.64x,20.0,x,STRICT,AT100,40.0,26.666666666666668,20.0,2.0
LEADERBOARD,2732,1.93x/yr,1.93,x,STRICT,AT100,3.86,2.5733333333333333,1.93,2.0
LEADERBOARD,2747,turnover 1.89x,1.89,x,STRICT,AT100,3.78,2.52,1.89,2.0
LEADERBOARD,2759,turnover 2.98x,2.98,x,STRICT,AT100,5.96,3.973333333333333,2.98,2.0
LEADERBOARD,2808,turnover 13.4x,13.4,x,STRICT,AT100,26.8,17.866666666666667,13.4,2.0
LEADERBOARD,2850,Turnover 1.76x,1.76,x,STRICT,AT100,3.52,2.3466666666666667,1.76,2.0
LEADERBOARD,2922,Turnover 9.52x,9.52,x,STRICT,AT100,19.04,12.693333333333333,9.52,2.0
LEADERBOARD,2930,16.6x/yr,16.6,x,STRICT,AT100,33.2,22.133333333333336,16.6,2.0
LEADERBOARD,2954,turnover 11.00x,11.0,x,STRICT,AT100,22.0,14.666666666666666,11.0,2.0
LEADERBOARD,3013,turnover 3.5x,3.5,x,STRICT,AT100,7.0,4.666666666666667,3.5,2.0
LEADERBOARD,3013,12x/yr,12.0,x,STRICT,AT100,24.0,16.0,12.0,2.0
LEADERBOARD,3025,Turnover 2.4x,2.4,x,STRICT,AT100,4.8,3.1999999999999997,2.4,2.0
LEADERBOARD,3036,turnover 2.87x,2.87,x,STRICT,AT100,5.74,3.8266666666666667,2.87,2.0
LEADERBOARD,3082,2.04 x/yr,2.04,x,STRICT,AT100,4.08,2.72,2.04,2.0
LEADERBOARD,3088,"turnover"" -> here **0.348x",0.348,x,STRICT,AT100,0.696,0.46399999999999997,0.348,2.0
LEADERBOARD,3088,23.59x/yr,23.59,x,STRICT,AT100,47.18,31.453333333333333,23.59,2.0
LEADERBOARD,3095,1.77x/yr,1.77,x,STRICT,AT100,3.54,2.36,1.77,2.0
LEADERBOARD,3095,1.77x/yr,1.77,x,STRICT,AT100,3.54,2.36,1.77,2.0
LEADERBOARD,3106,52.5 x/yr,52.5,x,STRICT,AT100,105.0,70.0,52.5,2.0
LEADERBOARD,3108,8x/yr,8.0,x,STRICT,AT100,16.0,10.666666666666666,8.0,2.0
LEADERBOARD,3109,turnover of a 4b PASS is **9.11 x,4.0,x,STRICT,AT100,8.0,5.333333333333333,4.0,2.0
LEADERBOARD,3109,8 x/yr,8.0,x,STRICT,AT100,16.0,10.666666666666666,8.0,2.0
LEADERBOARD,3109,12 x/yr,12.0,x,STRICT,AT100,24.0,16.0,12.0,2.0
LEADERBOARD,3111,3.67x/yr,3.67,x,STRICT,AT100,7.34,4.8933333333333335,3.67,2.0
LEADERBOARD,3121,3.6 x/yr,3.6,x,STRICT,AT100,7.2,4.8,3.6,2.0
LEADERBOARD,3138,8.23x/yr,8.23,x,STRICT,AT100,16.46,10.973333333333334,8.23,2.0
LEADERBOARD,3148,6.42x/yr,6.42,x,STRICT,AT100,12.84,8.56,6.42,2.0
LEADERBOARD,3173,turnover here is **2.37x,2.37,x,STRICT,AT100,4.74,3.16,2.37,2.0
LEADERBOARD,3180,turnover **16.0x,16.0,x,STRICT,AT100,32.0,21.333333333333332,16.0,2.0
LEADERBOARD,3187,turnover floor = Q m=0 (3.28x,0.0,x,STRICT,AT100,0.0,0.0,0.0,
LEADERBOARD,3197,turnover 9.16x,9.16,x,STRICT,AT100,18.32,12.213333333333333,9.16,2.0
LEADERBOARD,3212,5.07x/yr,5.07,x,STRICT,AT100,10.14,6.760000000000001,5.07,2.0
LEADERBOARD,3216,turnover 5.45x,5.45,x,STRICT,AT100,10.9,7.266666666666667,5.45,2.0
LEADERBOARD,3218,-4.52x/yr,-4.52,x,STRICT,AT100,-9.04,-6.026666666666666,-4.52,0.5
LEADERBOARD,3221,turnover 8.25x,8.25,x,STRICT,AT100,16.5,11.0,8.25,2.0
LEADERBOARD,3221,12.32x/yr,12.32,x,STRICT,AT100,24.64,16.426666666666666,12.32,2.0
LEADERBOARD,3238,turnover and 6x,6.0,x,STRICT,AT100,12.0,8.0,6.0,2.0
LEADERBOARD,3290,5.09x/yr,5.09,x,STRICT,AT100,10.18,6.786666666666666,5.09,2.0
LEADERBOARD,3290,6.7x/yr,6.7,x,STRICT,AT100,13.4,8.933333333333334,6.7,2.0
LEADERBOARD,3291,6.66x/yr,6.66,x,STRICT,AT100,13.32,8.88,6.66,2.0
LEADERBOARD,3291,1.0x/yr,1.0,x,STRICT,AT100,2.0,1.3333333333333333,1.0,2.0
LEADERBOARD,3296,0.23x/yr,0.23,x,STRICT,AT100,0.46,0.3066666666666667,0.23,2.0
LEADERBOARD,3304,-3.72x/yr,-3.72,x,STRICT,AT100,-7.44,-4.96,-3.72,0.5
LEADERBOARD,3304,-2.04x/yr,-2.04,x,STRICT,AT100,-4.08,-2.72,-2.04,0.5
LEADERBOARD,3320,6.85 x/yr,6.85,x,STRICT,AT100,13.7,9.133333333333333,6.85,2.0
LEADERBOARD,3337,"TURNOVER? (fine ladder W/2W/3W/4W/5W/6W/8W/M/Q x m 0,20 x",2.0,x,STRICT,AT100,4.0,2.6666666666666665,2.0,2.0
LEADERBOARD,3337,5.265x/yr,5.265,x,STRICT,AT100,10.53,7.02,5.265,2.0
LEADERBOARD,3430,"drag, c* 18.3 bp",18.3,bp/yr,STRICT,AT100,36.6,24.400000000000002,18.3,2.0
LEADERBOARD,3435,7.9x turnover,7.9,x,STRICT,AT100,15.8,10.533333333333333,7.9,2.0
LEADERBOARD,3455,8.17x turnover,8.17,x,STRICT,AT100,16.34,10.893333333333333,8.17,2.0
LEADERBOARD,3456,turnover 1.77x,1.77,x,STRICT,AT100,3.54,2.36,1.77,2.0
LEADERBOARD,3457,drag at 10 bp,10.0,bp/yr,STRICT,AT100,20.0,13.333333333333334,10.0,2.0
LEADERBOARD,3457,109 bps/yr,109.0,bp/yr,STRICT,AT100,218.0,145.33333333333334,109.0,2.0
LEADERBOARD,3482,turnover -0.41x,-0.41,x,STRICT,AT100,-0.82,-0.5466666666666666,-0.41,0.5
LEADERBOARD,3706,turnover-matched at 1.80x,1.8,x,STRICT,AT100,3.6,2.4,1.8,2.0
LEADERBOARD,3733,20x/yr,20.0,x,STRICT,AT100,40.0,26.666666666666668,20.0,2.0
LEADERBOARD,3859,turnover cond 12.70x,12.7,x,STRICT,AT100,25.4,16.933333333333334,12.7,2.0
LEADERBOARD,3990,turnover 1.78x,1.78,x,STRICT,AT100,3.56,2.3733333333333335,1.78,2.0
LEADERBOARD,3990,5.32x/yr,5.32,x,STRICT,AT100,10.64,7.093333333333334,5.32,2.0
LEADERBOARD,3991,23.6x/yr,23.6,x,STRICT,AT100,47.2,31.46666666666667,23.6,2.0
LEADERBOARD,3992,3x turnover,3.0,x,STRICT,AT100,6.0,4.0,3.0,2.0
LEADERBOARD,3995,0.87x/yr,0.87,x,STRICT,AT100,1.74,1.16,0.87,2.0
LEADERBOARD,3997,turnover is 1.74x,1.74,x,STRICT,AT100,3.48,2.32,1.74,2.0
LEADERBOARD,4004,0.02 x/yr,0.02,x,STRICT,AT100,0.04,0.02666666666666667,0.02,2.0
LEADERBOARD,4005,0.02 x/yr,0.02,x,STRICT,AT100,0.04,0.02666666666666667,0.02,2.0
LEADERBOARD,4006,0.02 x/yr,0.02,x,STRICT,AT100,0.04,0.02666666666666667,0.02,2.0
LEADERBOARD,4006,15.13 x/yr,15.13,x,STRICT,AT100,30.26,20.173333333333336,15.13,2.0
LEADERBOARD,4018,turnover falls 10.6x,10.6,x,STRICT,AT100,21.2,14.133333333333333,10.6,2.0
LEADERBOARD,4040,0.35 x/yr,0.35,x,STRICT,AT100,0.7,0.4666666666666666,0.35,2.0
LEADERBOARD,4128,+1.734 x/yr,1.734,x,STRICT,AT100,3.468,2.312,1.734,2.0
LEADERBOARD,4128,1.79x/yr,1.79,x,STRICT,AT100,3.58,2.3866666666666667,1.79,2.0
LEADERBOARD,4192,1.1 bp/yr,1.1,bp/yr,STRICT,AT100,2.2,1.4666666666666668,1.1,2.0
LEADERBOARD,4366,5.39x/yr,5.39,x,STRICT,AT100,10.78,7.1866666666666665,5.39,2.0
LEADERBOARD,4456,7.62 x/yr,7.62,x,STRICT,AT100,15.24,10.16,7.62,2.0
LEADERBOARD,4457,turnover **0.829x,0.829,x,STRICT,AT100,1.658,1.1053333333333333,0.829,2.0
LEADERBOARD,4458,0.83x/yr,0.83,x,STRICT,AT100,1.66,1.1066666666666667,0.83,2.0
LEADERBOARD,4477,0.83x/yr,0.83,x,STRICT,AT100,1.66,1.1066666666666667,0.83,2.0
LEADERBOARD,4479,-0.0008 x/yr,-0.0008,x,STRICT,AT100,-0.0016,-0.0010666666666666667,-0.0008,0.5
LEADERBOARD,4479,-04 x/yr,-4.0,x,STRICT,AT100,-8.0,-5.333333333333333,-4.0,0.5
LEADERBOARD,4480,turnover by **under 0.001 x,0.001,x,STRICT,AT100,0.002,0.0013333333333333333,0.001,2.0
LEADERBOARD,4486,turnover range <0.001 x,0.001,x,STRICT,AT100,0.002,0.0013333333333333333,0.001,2.0
LEADERBOARD,4488,turnover by a median **6.38x,6.38,x,STRICT,AT100,12.76,8.506666666666666,6.38,2.0
LEADERBOARD,4488,TURNOVER DIAL AT ALL: its lowest setting trades 1.784 x,1.784,x,STRICT,AT100,3.568,2.3786666666666667,1.784,2.0
LEADERBOARD,4489,2.20 x/yr,2.2,x,STRICT,AT100,4.4,2.9333333333333336,2.2,2.0
LEADERBOARD,4492,1x/yr,1.0,x,STRICT,AT100,2.0,1.3333333333333333,1.0,2.0
LEADERBOARD,4495,turnover against cadence's 6.38x,6.38,x,STRICT,AT100,12.76,8.506666666666666,6.38,2.0
LEADERBOARD,4496,turnover by under 0.001 x,0.001,x,STRICT,AT100,0.002,0.0013333333333333333,0.001,2.0
LEADERBOARD,4497,-15 x/yr,-15.0,x,STRICT,AT100,-30.0,-20.0,-15.0,0.5
LEADERBOARD,4498,1 bps/yr,1.0,bp/yr,STRICT,AT100,2.0,1.3333333333333333,1.0,2.0
LEADERBOARD,4498,5 bps/yr,5.0,bp/yr,STRICT,AT100,10.0,6.666666666666667,5.0,2.0
LEADERBOARD,4498,10 bps/yr,10.0,bp/yr,STRICT,AT100,20.0,13.333333333333334,10.0,2.0
LEADERBOARD,4498,25 bps/yr,25.0,bp/yr,STRICT,AT100,50.0,33.333333333333336,25.0,2.0
LEADERBOARD,4498,turnover moves under 1.6x,1.6,x,STRICT,AT100,3.2,2.1333333333333333,1.6,2.0
LEADERBOARD,4499,turnover itself moves >15x,15.0,x,STRICT,AT100,30.0,20.0,15.0,2.0
LEADERBOARD,4499,turnover (~7 x,7.0,x,STRICT,AT100,14.0,9.333333333333334,7.0,2.0
LEADERBOARD,4499,-0.0583 x/yr,-0.0583,x,STRICT,AT100,-0.1166,-0.07773333333333333,-0.0583,0.5
LEADERBOARD,4500,146.6 bps/yr,146.6,bp/yr,STRICT,AT100,293.2,195.46666666666667,146.6,2.0
LEADERBOARD,4500,drag at the 10 bp,10.0,bp/yr,STRICT,AT100,20.0,13.333333333333334,10.0,2.0
LEADERBOARD,4501,+0.4739 x/yr,0.4739,x,STRICT,AT100,0.9478,0.6318666666666667,0.4739,2.0
LEADERBOARD,4505,+0.4739 x/yr,0.4739,x,STRICT,AT100,0.9478,0.6318666666666667,0.4739,2.0
LEADERBOARD,4505,0.1 x/yr,0.1,x,STRICT,AT100,0.2,0.13333333333333333,0.1,2.0
LEADERBOARD,4510,10x turnover,10.0,x,STRICT,AT100,20.0,13.333333333333334,10.0,2.0
LEADERBOARD,4515,2.585 x/yr,2.585,x,STRICT,AT100,5.17,3.4466666666666668,2.585,2.0
LEADERBOARD,4515,turnover by up to **1.098x,1.098,x,STRICT,AT100,2.196,1.4640000000000002,1.098,2.0
LEADERBOARD,4519,turnover on F1 by 1.5x,1.0,x,STRICT,AT100,2.0,1.3333333333333333,1.0,2.0
LEADERBOARD,4574,turnover (median 5.9 x,5.9,x,STRICT,AT100,11.8,7.866666666666667,5.9,2.0
LEADERBOARD,4685,2.0x/yr,2.0,x,STRICT,AT100,4.0,2.6666666666666665,2.0,2.0
LEADERBOARD,4723,11x turnover,11.0,x,STRICT,AT100,22.0,14.666666666666666,11.0,2.0
LEADERBOARD,4723,9.09x/yr,9.09,x,STRICT,AT100,18.18,12.12,9.09,2.0
LEADERBOARD,4723,3.93x/yr,3.93,x,STRICT,AT100,7.86,5.24,3.93,2.0
LEADERBOARD,4724,2.91x/yr,2.91,x,STRICT,AT100,5.82,3.8800000000000003,2.91,2.0
LEADERBOARD,4724,2.17x/yr,2.17,x,STRICT,AT100,4.34,2.893333333333333,2.17,2.0
LEADERBOARD,4748,0.0025 x/yr,0.0025,x,STRICT,AT100,0.005,0.0033333333333333335,0.0025,2.0
LEADERBOARD,4748,drag saved is under 2 bp,2.0,bp/yr,STRICT,AT100,4.0,2.6666666666666665,2.0,2.0
LEADERBOARD,4748,drag saving over the ENTIRE dial is **0.025 bp,0.025,bp/yr,STRICT,AT100,0.05,0.03333333333333333,0.025,2.0
LEADERBOARD,4748,0.126 bps/yr,0.126,bp/yr,STRICT,AT100,0.252,0.168,0.126,2.0
LEADERBOARD,4749,16.3 x/yr,16.3,x,STRICT,AT100,32.6,21.733333333333334,16.3,2.0
LEADERBOARD,4954,3.20x/yr,3.2,x,STRICT,AT100,6.4,4.266666666666667,3.2,2.0
LEADERBOARD,4954,36.48x/yr,36.48,x,STRICT,AT100,72.96,48.63999999999999,36.48,2.0
LEADERBOARD,4954,9.64x/yr,9.64,x,STRICT,AT100,19.28,12.853333333333333,9.64,2.0
LEADERBOARD,4972,9.62x/yr,9.62,x,STRICT,AT100,19.24,12.826666666666666,9.62,2.0
LEADERBOARD,4972,9.64x/yr,9.64,x,STRICT,AT100,19.28,12.853333333333333,9.64,2.0
LEADERBOARD,4973,3.53x/yr,3.53,x,STRICT,AT100,7.06,4.706666666666666,3.53,2.0
LEADERBOARD,5265,15.32x/yr,15.32,x,STRICT,AT100,30.64,20.426666666666666,15.32,2.0
LEADERBOARD,5265,turnover against the fixed arm's 2.71x,2.71,x,STRICT,AT100,5.42,3.6133333333333333,2.71,2.0
LEADERBOARD,5281,1.10x/yr,1.1,x,STRICT,AT100,2.2,1.4666666666666668,1.1,2.0
LEADERBOARD,5396,+0.23x/yr,0.23,x,STRICT,AT100,0.46,0.3066666666666667,0.23,2.0
LEADERBOARD,5433,2.6 bps/yr,2.6,bp/yr,STRICT,AT100,5.2,3.466666666666667,2.6,2.0
LEADERBOARD,5687,0.09 bps/yr,0.09,bp/yr,STRICT,AT100,0.18,0.12,0.09,2.0
LEADERBOARD,5865,25 bps/yr,25.0,bp/yr,STRICT,AT100,50.0,33.333333333333336,25.0,2.0
LEADERBOARD,5916,+4.1 bps/yr,4.1,bp/yr,STRICT,AT100,8.2,5.466666666666666,4.1,2.0
LEADERBOARD,5916,1.7 bps/yr,1.7,bp/yr,STRICT,AT100,3.4,2.2666666666666666,1.7,2.0
LEADERBOARD,5918,4 bps/yr,4.0,bp/yr,STRICT,AT100,8.0,5.333333333333333,4.0,2.0
LEADERBOARD,6009,Turnover 3.76x,3.76,x,STRICT,AT100,7.52,5.013333333333333,3.76,2.0
LEADERBOARD,6051,turnover 3.28x,3.28,x,STRICT,AT100,6.56,4.373333333333333,3.28,2.0
LEADERBOARD,6166,turnover is **0.448x,0.448,x,STRICT,AT100,0.896,0.5973333333333334,0.448,2.0
LEADERBOARD,6170,100 bp/yr,100.0,bp/yr,STRICT,AT100,200.0,133.33333333333334,100.0,2.0
LEADERBOARD,6170,"drag, and 10 bp",10.0,bp/yr,STRICT,AT100,20.0,13.333333333333334,10.0,2.0
LEADERBOARD,6170,161 bp/yr,161.0,bp/yr,STRICT,AT100,322.0,214.66666666666666,161.0,2.0
LEADERBOARD,6170,73 bp/yr,73.0,bp/yr,STRICT,AT100,146.0,97.33333333333333,73.0,2.0
LEADERBOARD,6172,100 bp/yr,100.0,bp/yr,STRICT,AT100,200.0,133.33333333333334,100.0,2.0
LEADERBOARD,6172,turnover < ~10x,10.0,x,STRICT,AT100,20.0,13.333333333333334,10.0,2.0
LEADERBOARD,6172,drag < ~100 bp,100.0,bp/yr,STRICT,AT100,200.0,133.33333333333334,100.0,2.0
LEADERBOARD,6179,turnover/yr) moves the W/M zero crossing from **5.12x,5.12,x,STRICT,AT100,10.24,6.826666666666667,5.12,2.0
LEADERBOARD,6179,347.4 bps/yr,347.4,bp/yr,STRICT,AT100,694.8,463.2,347.4,2.0
LEADERBOARD,6179,turnover W -> M -> Q reads 11.93x,11.93,x,STRICT,AT100,23.86,15.906666666666666,11.93,2.0
LEADERBOARD,6189,"TURNOVER THE STEP REMOVES, not slowing down as such: D->W drops 16-33x",16.0,x,STRICT,AT100,32.0,21.333333333333332,16.0,2.0
LEADERBOARD,6249,turnover 9.85x,9.85,x,STRICT,AT100,19.7,13.133333333333333,9.85,2.0
LEADERBOARD,6250,turnover optimum (null turnover 38.7x,38.7,x,STRICT,AT100,77.4,51.6,38.7,2.0
LEADERBOARD,6253,turnover 9.28x,9.28,x,STRICT,AT100,18.56,12.373333333333333,9.28,2.0
LEADERBOARD,6293,Turnover 4.3x,4.3,x,STRICT,AT100,8.6,5.733333333333333,4.3,2.0
LEADERBOARD,6357,drag **32.3 bp,32.3,bp/yr,STRICT,AT100,64.6,43.06666666666666,32.3,2.0
LEADERBOARD,6357,200 bps/yr,200.0,bp/yr,STRICT,AT100,400.0,266.6666666666667,200.0,2.0
LEADERBOARD,6357,200 bps/yr,200.0,bp/yr,STRICT,AT100,400.0,266.6666666666667,200.0,2.0
LEADERBOARD,6433,drag @10 bp,10.0,bp/yr,STRICT,AT100,20.0,13.333333333333334,10.0,2.0
LEADERBOARD,6433,DRAG PASS: charging every cadence the SAME daily drag at 10 bp,10.0,bp/yr,STRICT,AT100,20.0,13.333333333333334,10.0,2.0
LEADERBOARD,6575,turnover falls U56 22.43x,56.0,x,STRICT,AT100,112.0,74.66666666666667,56.0,2.0
LEADERBOARD,6575,2.22x/yr,2.22,x,STRICT,AT100,4.44,2.9600000000000004,2.22,2.0
LEADERBOARD,6575,2.90x/yr,2.9,x,STRICT,AT100,5.8,3.8666666666666667,2.9,2.0
LEADERBOARD,6575,drag 224 → 22 bp,224.0,bp/yr,STRICT,AT100,448.0,298.6666666666667,224.0,2.0
LEADERBOARD,6575,29 bp/yr,29.0,bp/yr,STRICT,AT100,58.0,38.666666666666664,29.0,2.0
LEADERBOARD,6577,239x/yr,239.0,x,STRICT,AT100,478.0,318.6666666666667,239.0,2.0
LEADERBOARD,6577,321x/yr,321.0,x,STRICT,AT100,642.0,428.0,321.0,2.0
LEADERBOARD,6577,208 bp/yr,208.0,bp/yr,STRICT,AT100,416.0,277.3333333333333,208.0,2.0
LEADERBOARD,6582,870 bp/yr,870.0,bp/yr,STRICT,AT100,1740.0,1160.0,870.0,2.0
LEADERBOARD,6582,2.73x/yr,2.73,x,STRICT,AT100,5.46,3.64,2.73,2.0
LEADERBOARD,6586,870 bp/yr,870.0,bp/yr,STRICT,AT100,1740.0,1160.0,870.0,2.0
LEADERBOARD,6593,111 bp/yr,111.0,bp/yr,STRICT,AT100,222.0,148.0,111.0,2.0
LEADERBOARD,6593,DRAG FAIL** (winning cadence's drag 90/226/205 bp,90.0,bp/yr,STRICT,AT100,180.0,120.0,90.0,2.0
LEADERBOARD,6599,390 bp/yr,390.0,bp/yr,STRICT,AT100,780.0,520.0,390.0,2.0
LEADERBOARD,6623,100 bp/yr,100.0,bp/yr,STRICT,AT100,200.0,133.33333333333334,100.0,2.0
LEADERBOARD,6623,91.0 bp/yr,91.0,bp/yr,STRICT,AT100,182.0,121.33333333333333,91.0,2.0
LEADERBOARD,6626,drag 147 vs 62 / 35 bp,147.0,bp/yr,STRICT,AT100,294.0,196.0,147.0,2.0
QUEUE,3,91.0 bp/yr,91.0,bp/yr,STRICT,AT100,182.0,121.33333333333333,91.0,2.0
QUEUE,17,79 bps/yr,79.0,bp/yr,STRICT,AT100,158.0,105.33333333333333,79.0,2.0
QUEUE,76,turnover the step removes (D->W 16-33x,16.0,x,STRICT,AT100,32.0,21.333333333333332,16.0,2.0
QUEUE,100,4 bps/yr,4.0,bp/yr,STRICT,AT100,8.0,5.333333333333333,4.0,2.0
QUEUE,106,4 bps/yr,4.0,bp/yr,STRICT,AT100,8.0,5.333333333333333,4.0,2.0
QUEUE,129,15.32x/yr,15.32,x,STRICT,AT100,30.64,20.426666666666666,15.32,2.0
QUEUE,129,turnover against 2.71x,2.71,x,STRICT,AT100,5.42,3.6133333333333333,2.71,2.0
QUEUE,207,91.0 bp/yr,91.0,bp/yr,STRICT,AT100,182.0,121.33333333333333,91.0,2.0
QUEUE,213,390 bp/yr,390.0,bp/yr,STRICT,AT100,780.0,520.0,390.0,2.0
