load_prices: network unavailable (ModuleNotFoundError); using prices.csv

========================================================================================================================================================================================================
UNIVERSE universe.json(56): 56 names, 2008-01-02 -> 2026-09-03 | eval 2009-01-13 -> 2026-09-03 | IS <= 2016-12-31 | OOS >= 2017-01-01
SPY  CAGR 15.26%  Sharpe 0.890  MaxDD -33.72%  halves 0.957/0.837  OOS Sharpe 0.884
4b bars: Sharpe > 0.957 (H1) / 0.837 (H2) / 0.884 (OOS), MaxDD <= 20.23%, CAGR >= 10.68%
========================================================================================================================================================================================================
ENGINE-EQUIVALENCE (budget=inf vs engine.backtest, cost-free): max|diff| = 0.000e+00 (EXACT)

FULL GRID universe.json(56) — 240 points, ALL reported (80 arms x 3 costs)
        book         arm  cost  CAGR  Sharpe  MaxDD    H1    H2  OOS_CAGR  OOS_Sharpe  OOS_MaxDD     TO  gross   m_DD  m_CAGR binds      z   p4a   p4b  p4b_oos     f4b
   C2/CAND20 g0.85/B0.20     5 0.150   1.140 -0.203 1.128 1.156     0.171       1.222     -0.203 10.785  0.809 -0.000   0.043    DD -0.021 False False    False      DD
   C2/CAND20 g0.85/B0.30     5 0.150   1.135 -0.206 1.132 1.144     0.170       1.211     -0.206 10.891  0.812 -0.004   0.043    DD -0.417 False False    False      DD
   C2/CAND20  g0.85/Binf     5 0.150   1.135 -0.206 1.133 1.143     0.170       1.209     -0.206 10.909  0.812 -0.003   0.043    DD -0.323 False False    False      DD
   C2/CAND20 g1.00/B0.10     5 0.158   1.125 -0.202 1.094 1.157     0.185       1.232     -0.202  9.589  0.850 -0.000   0.051    DD -0.009 False False    False      DD
   C2/CAND20 g1.00/B0.20     5 0.176   1.141 -0.230 1.121 1.163     0.202       1.229     -0.230 12.537  0.946 -0.028   0.069    DD -2.805 False False    False      DD
   C2/CAND20 g1.00/B0.30     5 0.177   1.135 -0.241 1.130 1.146     0.201       1.213     -0.241 12.801  0.954 -0.039   0.070    DD -3.886 False False    False      DD
   C2/CAND20  g1.00/Binf     5 0.177   1.135 -0.239 1.133 1.144     0.200       1.210     -0.239 12.845  0.955 -0.037   0.070    DD -3.693 False False    False      DD
   C2/CAND20 g0.55/B0.10    10 0.092   1.097 -0.129 1.074 1.123     0.105       1.190     -0.129  6.811  0.518  0.073  -0.015  CAGR -1.499  True False    False    CAGR
   C2/CAND20 g0.55/B0.20    10 0.093   1.093 -0.137 1.087 1.104     0.105       1.171     -0.137  7.074  0.525  0.065  -0.014  CAGR -1.402  True False    False    CAGR
   C2/CAND20 g0.55/B0.30    10 0.093   1.093 -0.136 1.088 1.103     0.105       1.169     -0.136  7.085  0.526  0.066  -0.014  CAGR -1.400  True False    False    CAGR
   C2/CAND20  g0.55/Binf    10 0.093   1.093 -0.136 1.088 1.103     0.105       1.169     -0.136  7.085  0.526  0.066  -0.014  CAGR -1.400  True False    False    CAGR
   C2/CAND20 g0.65/B0.10    10 0.107   1.097 -0.149 1.073 1.123     0.123       1.192     -0.149  7.761  0.605  0.054   0.000  CAGR  0.050 False  True     True       -
   C2/CAND20 g0.65/B0.20    10 0.110   1.093 -0.161 1.086 1.105     0.125       1.172     -0.161  8.333  0.620  0.041   0.003  CAGR  0.291 False  True     True       -
   C2/CAND20 g0.65/B0.30    10 0.110   1.093 -0.160 1.088 1.103     0.124       1.169     -0.160  8.358  0.621  0.043   0.003  CAGR  0.295 False  True     True       -
   C2/CAND20  g0.65/Binf    10 0.110   1.093 -0.160 1.088 1.103     0.124       1.169     -0.160  8.359  0.621  0.043   0.003  CAGR  0.296 False  True     True       -
   C2/CAND20 g0.75/B0.10    10 0.122   1.098 -0.167 1.068 1.129     0.141       1.198     -0.167  8.482  0.683  0.035   0.015  CAGR  1.514 False  True     True       -
   C2/CAND20 g0.75/B0.20    10 0.127   1.094 -0.184 1.084 1.109     0.144       1.175     -0.184  9.577  0.715  0.018   0.020    DD  1.812 False  True     True       -
   C2/CAND20 g0.75/B0.30    10 0.127   1.093 -0.183 1.088 1.104     0.144       1.171     -0.183  9.624  0.717  0.019   0.020    DD  1.899 False  True     True       -
   C2/CAND20  g0.75/Binf    10 0.127   1.093 -0.183 1.088 1.103     0.144       1.170     -0.183  9.633  0.717  0.019   0.020    DD  1.922 False  True     True       -
   C2/CAND20 g0.85/B0.10    10 0.136   1.099 -0.182 1.069 1.131     0.158       1.201     -0.182  9.059  0.756  0.021   0.029    DD  2.068 False  True     True       -
   C2/CAND20 g0.85/B0.20    10 0.144   1.098 -0.203 1.084 1.117     0.165       1.183     -0.203 10.785  0.809 -0.001   0.037    DD -0.061 False False    False      DD
   C2/CAND20 g0.85/B0.30    10 0.144   1.093 -0.207 1.087 1.105     0.164       1.171     -0.207 10.891  0.812 -0.005   0.037    DD -0.463 False False    False      DD
   C2/CAND20  g0.85/Binf    10 0.144   1.093 -0.206 1.088 1.103     0.163       1.170     -0.206 10.909  0.812 -0.004   0.037    DD -0.372 False False    False      DD
   C2/CAND20 g1.00/B0.10    10 0.153   1.090 -0.203 1.057 1.125     0.180       1.199     -0.203  9.589  0.850 -0.000   0.046    DD -0.039 False False    False      DD
   C2/CAND20 g1.00/B0.20    10 0.169   1.100 -0.231 1.077 1.125     0.194       1.191     -0.231 12.537  0.946 -0.028   0.062    DD -2.848 False False    False      DD
   C2/CAND20 g1.00/B0.30    10 0.169   1.094 -0.242 1.085 1.107     0.193       1.173     -0.242 12.801  0.954 -0.039   0.062    DD -3.936 False False    False      DD
   C2/CAND20  g1.00/Binf    10 0.169   1.093 -0.240 1.088 1.104     0.193       1.171     -0.240 12.845  0.955 -0.037   0.062    DD -3.748 False False    False      DD
   C2/CAND20 g0.55/B0.10    25 0.081   0.975 -0.130 0.942 1.008     0.094       1.074     -0.130  6.811  0.518  0.073  -0.026  CAGR -2.608  True False    False H1,CAGR
   C2/CAND20 g0.55/B0.20    25 0.081   0.967 -0.138 0.952 0.986     0.094       1.052     -0.138  7.074  0.525  0.064  -0.026  CAGR -2.555  True False    False H1,CAGR
   C2/CAND20 g0.55/B0.30    25 0.081   0.967 -0.137 0.953 0.984     0.093       1.050     -0.137  7.085  0.526  0.065  -0.026  CAGR -2.555  True False    False H1,CAGR
   C2/CAND20  g0.55/Binf    25 0.081   0.967 -0.137 0.953 0.984     0.093       1.050     -0.137  7.085  0.526  0.065  -0.026  CAGR -2.555  True False    False H1,CAGR
   C2/CAND20 g0.65/B0.10    25 0.094   0.977 -0.149 0.944 1.011     0.111       1.079     -0.149  7.761  0.605  0.053  -0.012  CAGR -1.231  True False     True H1,CAGR
   C2/CAND20 g0.65/B0.20    25 0.096   0.968 -0.162 0.951 0.988     0.111       1.053     -0.162  8.333  0.620  0.040  -0.011  CAGR -1.087 False False     True H1,CAGR
   C2/CAND20 g0.65/B0.30    25 0.096   0.967 -0.161 0.953 0.985     0.111       1.051     -0.161  8.358  0.621  0.041  -0.011  CAGR -1.087 False False     True H1,CAGR
   C2/CAND20  g0.65/Binf    25 0.096   0.967 -0.161 0.953 0.985     0.111       1.051     -0.161  8.359  0.621  0.041  -0.011  CAGR -1.086 False False     True H1,CAGR
   C2/CAND20 g0.75/B0.10    25 0.108   0.983 -0.168 0.943 1.021     0.127       1.089     -0.168  8.482  0.683  0.034   0.001    H1 -0.269 False False     True      H1
   C2/CAND20 g0.75/B0.20    25 0.111   0.970 -0.185 0.950 0.992     0.128       1.057     -0.185  9.577  0.715  0.017   0.004    H1 -0.135 False False     True      H1
   C2/CAND20 g0.75/B0.30    25 0.111   0.968 -0.185 0.953 0.987     0.128       1.052     -0.185  9.624  0.717  0.018   0.004    H1 -0.076 False False     True      H1
   C2/CAND20  g0.75/Binf    25 0.111   0.968 -0.184 0.954 0.985     0.128       1.051     -0.184  9.633  0.717  0.018   0.004    H1 -0.061 False False     True      H1
   C2/CAND20 g0.85/B0.10    25 0.120   0.989 -0.183 0.949 1.028     0.142       1.097     -0.183  9.059  0.756  0.020   0.014    H1 -0.148 False False     True      H1
   C2/CAND20 g0.85/B0.20    25 0.125   0.974 -0.204 0.950 1.000     0.146       1.066     -0.204 10.785  0.809 -0.002   0.019    DD -0.184 False False    False   H1,DD
   C2/CAND20 g0.85/B0.30    25 0.125   0.968 -0.208 0.952 0.988     0.145       1.053     -0.208 10.891  0.812 -0.006   0.018    DD -0.602 False False    False   H1,DD
   C2/CAND20  g0.85/Binf    25 0.125   0.968 -0.207 0.954 0.986     0.145       1.051     -0.207 10.909  0.812 -0.005   0.018    DD -0.517 False False    False   H1,DD
   C2/CAND20 g1.00/B0.10    25 0.136   0.987 -0.204 0.944 1.029     0.163       1.102     -0.204  9.589  0.850 -0.001   0.029    H1 -0.247 False False    False   H1,DD
   C2/CAND20 g1.00/B0.20    25 0.147   0.976 -0.232 0.944 1.009     0.172       1.074     -0.232 12.537  0.946 -0.030   0.040    DD -2.978 False False    False   H1,DD
   C2/CAND20 g1.00/B0.30    25 0.147   0.969 -0.243 0.951 0.990     0.170       1.055     -0.243 12.801  0.954 -0.041   0.040    DD -4.088 False False    False   H1,DD
   C2/CAND20  g1.00/Binf    25 0.147   0.968 -0.241 0.953 0.986     0.170       1.052     -0.241 12.845  0.955 -0.039   0.040    DD -3.913 False False    False   H1,DD
 C46/frac.85 g0.55/B0.10     5 0.084   1.139 -0.109 1.130 1.149     0.093       1.225     -0.109  6.111  0.530  0.094  -0.023  CAGR -2.302  True False    False    CAGR
 C46/frac.85 g0.55/B0.20     5 0.087   1.126 -0.126 1.143 1.115     0.095       1.188     -0.126  6.948  0.547  0.076  -0.020  CAGR -1.999  True False    False    CAGR
 C46/frac.85 g0.55/B0.30     5 0.087   1.119 -0.124 1.137 1.106     0.094       1.179     -0.124  7.052  0.549  0.078  -0.020  CAGR -2.000  True False    False    CAGR
 C46/frac.85  g0.55/Binf     5 0.087   1.118 -0.123 1.137 1.104     0.095       1.177     -0.123  7.081  0.549  0.079  -0.020  CAGR -1.990  True False    False    CAGR
 C46/frac.85 g0.65/B0.10     5 0.098   1.144 -0.124 1.129 1.160     0.109       1.238     -0.124  6.815  0.616  0.079  -0.009  CAGR -0.903  True False     True    CAGR
 C46/frac.85 g0.65/B0.20     5 0.102   1.127 -0.148 1.141 1.118     0.112       1.191     -0.148  8.062  0.643  0.054  -0.005  CAGR -0.456 False False     True    CAGR
 C46/frac.85 g0.65/B0.30     5 0.103   1.121 -0.147 1.138 1.109     0.112       1.182     -0.147  8.270  0.648  0.056  -0.004  CAGR -0.408 False False     True    CAGR
 C46/frac.85  g0.65/Binf     5 0.103   1.118 -0.145 1.138 1.104     0.112       1.177     -0.145  8.343  0.649  0.057  -0.004  CAGR -0.399 False False     True    CAGR
 C46/frac.85 g0.75/B0.10     5 0.111   1.149 -0.139 1.132 1.167     0.125       1.246     -0.139  7.430  0.700  0.064   0.005  CAGR  0.459 False  True     True       -
 C46/frac.85 g0.75/B0.20     5 0.118   1.134 -0.162 1.138 1.135     0.130       1.208     -0.162  9.090  0.739  0.040   0.011  CAGR  1.117 False  True     True       -
 C46/frac.85 g0.75/B0.30     5 0.119   1.124 -0.169 1.141 1.112     0.129       1.185     -0.169  9.472  0.746  0.033   0.012  CAGR  1.185 False  True     True       -
 C46/frac.85  g0.75/Binf     5 0.119   1.117 -0.166 1.138 1.104     0.129       1.176     -0.166  9.599  0.749  0.036   0.012  CAGR  1.194 False  True     True       -
 C46/frac.85 g0.85/B0.10     5 0.124   1.149 -0.154 1.134 1.164     0.139       1.245     -0.154  7.950  0.781  0.049   0.017  CAGR  1.733 False  True     True       -
 C46/frac.85 g0.85/B0.20     5 0.133   1.137 -0.177 1.133 1.144     0.148       1.218     -0.177 10.059  0.833  0.025   0.026    DD  2.542 False  True     True       -
 C46/frac.85 g0.85/B0.30     5 0.135   1.126 -0.191 1.144 1.114     0.147       1.188     -0.191 10.631  0.844  0.011   0.028    DD  1.135 False  True     True       -
 C46/frac.85  g0.85/Binf     5 0.135   1.117 -0.187 1.138 1.103     0.147       1.176     -0.187 10.849  0.848  0.015   0.028    DD  1.503 False  True     True       -
 C46/frac.85 g1.00/B0.10     5 0.141   1.140 -0.176 1.122 1.159     0.160       1.242     -0.176  8.601  0.895  0.026   0.035    DD  2.614 False  True     True       -
 C46/frac.85 g1.00/B0.20     5 0.154   1.135 -0.199 1.127 1.145     0.172       1.221     -0.199 11.337  0.970  0.004   0.048    DD  0.367 False  True     True       -
 C46/frac.85 g1.00/B0.30     5 0.158   1.127 -0.222 1.141 1.118     0.173       1.192     -0.222 12.260  0.989 -0.020   0.051    DD -2.010 False False    False      DD
 C46/frac.85  g1.00/Binf     5 0.159   1.117 -0.218 1.138 1.103     0.173       1.176     -0.218 12.710  0.998 -0.016   0.052    DD -1.616 False False    False      DD
 C46/frac.85 g0.55/B0.10    10 0.080   1.097 -0.109 1.088 1.108     0.090       1.185     -0.109  6.111  0.530  0.093  -0.026  CAGR -2.632  True False    False    CAGR
 C46/frac.85 g0.55/B0.20    10 0.083   1.081 -0.126 1.097 1.070     0.091       1.144     -0.126  6.948  0.547  0.076  -0.024  CAGR -2.376  True False    False    CAGR
 C46/frac.85 g0.55/B0.30    10 0.083   1.073 -0.124 1.091 1.060     0.090       1.134     -0.124  7.052  0.549  0.078  -0.024  CAGR -2.382  True False    False    CAGR
 C46/frac.85  g0.55/Binf    10 0.083   1.072 -0.124 1.091 1.058     0.091       1.132     -0.124  7.081  0.549  0.079  -0.024  CAGR -2.374  True False    False    CAGR
 C46/frac.85 g0.65/B0.10    10 0.094   1.104 -0.124 1.088 1.121     0.106       1.199     -0.124  6.815  0.616  0.078  -0.013  CAGR -1.276  True False    False    CAGR
 C46/frac.85 g0.65/B0.20    10 0.098   1.082 -0.149 1.095 1.073     0.107       1.148     -0.149  8.062  0.643  0.054  -0.009  CAGR -0.899 False False    False    CAGR
 C46/frac.85 g0.65/B0.30    10 0.098   1.076 -0.147 1.092 1.064     0.107       1.138     -0.147  8.270  0.648  0.055  -0.009  CAGR -0.863 False False    False    CAGR
 C46/frac.85  g0.65/Binf    10 0.098   1.072 -0.145 1.091 1.058     0.107       1.132     -0.145  8.343  0.649  0.057  -0.009  CAGR -0.858 False False    False    CAGR
 C46/frac.85 g0.75/B0.10    10 0.107   1.110 -0.139 1.093 1.129     0.121       1.208     -0.139  7.430  0.700  0.063   0.000  CAGR  0.047 False  True     True       -
 C46/frac.85 g0.75/B0.20    10 0.113   1.090 -0.163 1.093 1.092     0.125       1.166     -0.163  9.090  0.739  0.039   0.006  CAGR  0.611 False  True     True       -
 C46/frac.85 g0.75/B0.30    10 0.113   1.078 -0.169 1.095 1.067     0.124       1.141     -0.169  9.472  0.746  0.033   0.007  CAGR  0.657 False  True     True       -
 C46/frac.85  g0.75/Binf    10 0.113   1.072 -0.167 1.092 1.058     0.124       1.132     -0.167  9.599  0.749  0.036   0.007  CAGR  0.658 False  True     True       -
 C46/frac.85 g0.85/B0.10    10 0.120   1.111 -0.154 1.096 1.128     0.135       1.209     -0.154  7.950  0.781  0.048   0.013  CAGR  1.288 False  True     True       -
 C46/frac.85 g0.85/B0.20    10 0.127   1.094 -0.177 1.088 1.102     0.142       1.176     -0.177 10.059  0.833  0.025   0.021  CAGR  2.057 False  True     True       -
 C46/frac.85 g0.85/B0.30    10 0.129   1.081 -0.191 1.098 1.070     0.141       1.144     -0.191 10.631  0.844  0.011   0.022    DD  1.091 False  True     True       -
 C46/frac.85  g0.85/Binf    10 0.129   1.072 -0.188 1.092 1.058     0.141       1.132     -0.188 10.849  0.848  0.014   0.022    DD  1.444 False  True     True       -
 C46/frac.85 g1.00/B0.10    10 0.137   1.105 -0.177 1.086 1.124     0.155       1.208     -0.177  8.601  0.895  0.026   0.030    DD  2.578 False  True     True       -
 C46/frac.85 g1.00/B0.20    10 0.148   1.093 -0.199 1.084 1.104     0.166       1.180     -0.199 11.337  0.970  0.003   0.041    DD  0.324 False  True     True       -
 C46/frac.85 g1.00/B0.30    10 0.151   1.083 -0.223 1.096 1.075     0.166       1.149     -0.223 12.260  0.989 -0.021   0.044    DD -2.059 False False    False      DD
 C46/frac.85  g1.00/Binf    10 0.151   1.072 -0.219 1.092 1.058     0.166       1.132     -0.219 12.710  0.998 -0.017   0.044    DD -1.683 False False    False      DD
 C46/frac.85 g0.55/B0.10    25 0.071   0.971 -0.110 0.959 0.984     0.080       1.062     -0.110  6.111  0.530  0.093  -0.036  CAGR -3.618  True False    False    CAGR
 C46/frac.85 g0.55/B0.20    25 0.072   0.944 -0.127 0.958 0.935     0.079       1.011     -0.127  6.948  0.547  0.075  -0.035  CAGR -3.499  True False    False    CAGR
 C46/frac.85 g0.55/B0.30    25 0.072   0.935 -0.126 0.952 0.923     0.079       0.999     -0.126  7.052  0.549  0.077  -0.035  CAGR -3.522  True False    False H1,CAGR
 C46/frac.85  g0.55/Binf    25 0.072   0.934 -0.125 0.952 0.921     0.079       0.996     -0.125  7.081  0.549  0.077  -0.035  CAGR -3.519  True False    False H1,CAGR
 C46/frac.85 g0.65/B0.10    25 0.083   0.983 -0.125 0.965 1.002     0.094       1.080     -0.125  6.815  0.616  0.077  -0.024  CAGR -2.389  True False    False    CAGR
 C46/frac.85 g0.65/B0.20    25 0.085   0.947 -0.150 0.957 0.941     0.094       1.017     -0.150  8.062  0.643  0.053  -0.022  CAGR -2.219  True False    False    CAGR
 C46/frac.85 g0.65/B0.30    25 0.085   0.939 -0.148 0.954 0.929     0.094       1.004     -0.148  8.270  0.648  0.054  -0.022  CAGR -2.217  True False    False H1,CAGR
 C46/frac.85  g0.65/Binf    25 0.085   0.934 -0.147 0.953 0.921     0.093       0.997     -0.147  8.343  0.649  0.056  -0.022  CAGR -2.224  True False    False H1,CAGR
 C46/frac.85 g0.75/B0.10    25 0.095   0.994 -0.140 0.974 1.015     0.108       1.094     -0.140  7.430  0.700  0.062  -0.012  CAGR -1.179  True False    False    CAGR
 C46/frac.85 g0.75/B0.20    25 0.098   0.958 -0.164 0.957 0.961     0.110       1.037     -0.164  9.090  0.739  0.038  -0.009  CAGR -0.896 False False     True    CAGR
 C46/frac.85 g0.75/B0.30    25 0.098   0.942 -0.171 0.957 0.933     0.108       1.008     -0.171  9.472  0.746  0.032  -0.009  CAGR -0.914 False False    False H1,CAGR
 C46/frac.85  g0.75/Binf    25 0.097   0.935 -0.168 0.953 0.922     0.108       0.997     -0.168  9.599  0.749  0.034  -0.009  CAGR -0.933 False False    False H1,CAGR
 C46/frac.85 g0.85/B0.10    25 0.106   1.000 -0.155 0.982 1.018     0.121       1.099     -0.155  7.950  0.781  0.047  -0.000  CAGR -0.039  True False     True    CAGR
 C46/frac.85 g0.85/B0.20    25 0.110   0.963 -0.178 0.954 0.974     0.125       1.049     -0.178 10.059  0.833  0.024   0.004    H1 -0.048 False False     True      H1
 C46/frac.85 g0.85/B0.30    25 0.111   0.946 -0.193 0.960 0.937     0.123       1.013     -0.193 10.631  0.844  0.010   0.004    H1  0.065 False  True     True       -
 C46/frac.85  g0.85/Binf    25 0.110   0.935 -0.190 0.954 0.922     0.122       0.997     -0.190 10.849  0.848  0.013   0.004    H1 -0.051 False False     True      H1
 C46/frac.85 g1.00/B0.10    25 0.122   1.000 -0.178 0.978 1.022     0.140       1.105     -0.178  8.601  0.895  0.025   0.015    H1  0.424 False  True     True       -
 C46/frac.85 g1.00/B0.20    25 0.128   0.966 -0.200 0.954 0.980     0.146       1.056     -0.200 11.337  0.970  0.002   0.022    H1 -0.058 False False     True      H1
 C46/frac.85 g1.00/B0.30    25 0.130   0.950 -0.224 0.959 0.944     0.145       1.020     -0.224 12.260  0.989 -0.022   0.023    DD -2.207 False False    False      DD
 C46/frac.85  g1.00/Binf    25 0.130   0.936 -0.221 0.955 0.923     0.143       0.998     -0.221 12.710  0.998 -0.019   0.023    DD -1.883 False False    False   H1,DD
C57/ew-band3 g0.55/B0.10     5 0.083   1.168 -0.110 1.145 1.191     0.092       1.267     -0.110  3.346  0.544  0.092  -0.024  CAGR -2.383  True False    False    CAGR
C57/ew-band3 g0.55/B0.20     5 0.084   1.161 -0.112 1.141 1.182     0.093       1.256     -0.112  3.544  0.549  0.090  -0.023  CAGR -2.278  True False    False    CAGR
C57/ew-band3 g0.55/B0.30     5 0.084   1.161 -0.112 1.137 1.185     0.094       1.258     -0.112  3.582  0.550  0.090  -0.023  CAGR -2.251  True False    False    CAGR
C57/ew-band3  g0.55/Binf     5 0.084   1.161 -0.112 1.137 1.185     0.094       1.259     -0.112  3.587  0.550  0.090  -0.022  CAGR -2.242  True False    False    CAGR
C57/ew-band3 g0.65/B0.10     5 0.097   1.168 -0.126 1.145 1.191     0.109       1.268     -0.126  3.836  0.640  0.077  -0.009  CAGR -0.940  True False     True    CAGR
C57/ew-band3 g0.65/B0.20     5 0.099   1.162 -0.132 1.143 1.182     0.110       1.256     -0.132  4.141  0.649  0.070  -0.008  CAGR -0.751  True False     True    CAGR
C57/ew-band3 g0.65/B0.30     5 0.100   1.161 -0.132 1.138 1.184     0.111       1.258     -0.132  4.200  0.650  0.071  -0.007  CAGR -0.713  True False     True    CAGR
C57/ew-band3  g0.65/Binf     5 0.100   1.161 -0.132 1.137 1.185     0.112       1.258     -0.132  4.221  0.650  0.071  -0.007  CAGR -0.692  True False     True    CAGR
C57/ew-band3 g0.75/B0.10     5 0.112   1.167 -0.141 1.145 1.189     0.124       1.267     -0.141  4.307  0.735  0.061   0.005  CAGR  0.479 False  True     True       -
C57/ew-band3 g0.75/B0.20     5 0.115   1.163 -0.152 1.145 1.183     0.128       1.257     -0.152  4.714  0.747  0.050   0.008  CAGR  0.779 False  True     True       -
C57/ew-band3 g0.75/B0.30     5 0.115   1.161 -0.151 1.139 1.183     0.128       1.257     -0.151  4.806  0.749  0.051   0.008  CAGR  0.823 False  True     True       -
C57/ew-band3  g0.75/Binf     5 0.115   1.161 -0.151 1.137 1.185     0.129       1.258     -0.151  4.850  0.750  0.051   0.009  CAGR  0.862 False  True     True       -
C57/ew-band3 g0.85/B0.10     5 0.125   1.165 -0.157 1.143 1.187     0.140       1.265     -0.157  4.733  0.828  0.046   0.018  CAGR  1.850 False  True     True       -
C57/ew-band3 g0.85/B0.20     5 0.130   1.163 -0.172 1.145 1.183     0.145       1.258     -0.172  5.265  0.845  0.030   0.023  CAGR  2.291 False  True     True       -
C57/ew-band3 g0.85/B0.30     5 0.130   1.161 -0.170 1.141 1.182     0.146       1.255     -0.170  5.406  0.849  0.032   0.024  CAGR  2.360 False  True     True       -
C57/ew-band3  g0.85/Binf     5 0.131   1.161 -0.170 1.137 1.185     0.147       1.258     -0.170  5.476  0.850  0.032   0.024  CAGR  2.418 False  True     True       -
C57/ew-band3 g1.00/B0.10     5 0.145   1.162 -0.180 1.142 1.183     0.163       1.264     -0.180  5.282  0.964  0.022   0.039    DD  2.233 False  True     True       -
C57/ew-band3 g1.00/B0.20     5 0.152   1.163 -0.201 1.146 1.182     0.170       1.257     -0.201  6.056  0.992  0.001   0.045    DD  0.090 False  True     True       -
C57/ew-band3 g1.00/B0.30     5 0.153   1.161 -0.200 1.143 1.181     0.171       1.255     -0.200  6.281  0.997  0.003   0.047    DD  0.270 False  True     True       -
C57/ew-band3  g1.00/Binf     5 0.154   1.161 -0.199 1.138 1.184     0.173       1.258     -0.199  6.409  1.000  0.003   0.048    DD  0.317 False  True     True       -
C57/ew-band3 g0.55/B0.10    10 0.081   1.144 -0.110 1.121 1.167     0.091       1.243     -0.110  3.346  0.544  0.092  -0.026  CAGR -2.564  True False    False    CAGR
C57/ew-band3 g0.55/B0.20    10 0.082   1.136 -0.112 1.116 1.158     0.092       1.232     -0.112  3.544  0.549  0.090  -0.025  CAGR -2.470  True False    False    CAGR
C57/ew-band3 g0.55/B0.30    10 0.082   1.136 -0.112 1.112 1.160     0.092       1.234     -0.112  3.582  0.550  0.090  -0.024  CAGR -2.445  True False    False    CAGR
C57/ew-band3  g0.55/Binf    10 0.082   1.136 -0.112 1.112 1.160     0.092       1.234     -0.112  3.587  0.550  0.090  -0.024  CAGR -2.436  True False    False    CAGR
C57/ew-band3 g0.65/B0.10    10 0.095   1.144 -0.126 1.121 1.168     0.106       1.245     -0.126  3.836  0.640  0.077  -0.012  CAGR -1.150  True False    False    CAGR
C57/ew-band3 g0.65/B0.20    10 0.097   1.137 -0.132 1.118 1.157     0.108       1.232     -0.132  4.141  0.649  0.070  -0.010  CAGR -0.979  True False    False    CAGR
C57/ew-band3 g0.65/B0.30    10 0.097   1.136 -0.132 1.113 1.159     0.109       1.233     -0.132  4.200  0.650  0.070  -0.009  CAGR -0.943  True False     True    CAGR
