load_prices: network unavailable (ModuleNotFoundError); using prices.csv
load_prices: network unavailable (ModuleNotFoundError); using prices.csv

========================================================================================================================================================================================================
UNIVERSE u56: 56 names, 2008-01-02 -> 2026-09-03
========================================================================================================================================================================================================
Eval 2009-01-13 -> 2026-09-03 | IS <= 2016-12-31 | OOS >= 2017-01-01 | G* = 0.75
SPY  CAGR 15.26%  Sharpe 0.890  MaxDD -33.72%  halves 0.957/0.837  OOS Sharpe 0.884
4b bars: Sharpe > 0.957/0.837 halves, > 0.884 OOS, MaxDD <= 20.23%, CAGR >= 10.68%
Eligible names/day: mean 37.5, days with < 20 eligible: 11.0%  (this is the channel through which the literal CAND20 de-grosses)

HARNESS CHECK (gm=off control vs engine.backtest, cost-free)
  CAND20  max |harness - engine| = 0.000e+00
  EWall   max |harness - engine| = 1.388e-17
  worst = 1.388e-17  (EXACT)

FULL GRID u56 - 184 points, ALL reported (46 arms x 4 costs)
                            arm  cost   CAGR  Sharpe  MaxDD     H1     H2  OOS_CAGR  OOS_Sharpe  OOS_MaxDD     TO  gross  bind   m_DD  m_CAGR    p4a    p4b                f4b
36    CAND20/budget-top0.2/gmON     0  0.124   0.930 -0.393  1.293  0.542     0.080       0.663     -0.393 15.642  0.750 0.947 -0.191   0.017  False  False          H2,OOS,DD
37    CAND20/budget-top0.2/gmON     5  0.115   0.872 -0.396  1.237  0.483     0.071       0.602     -0.396 15.642  0.750 0.947 -0.194   0.009  False  False          H2,OOS,DD
38    CAND20/budget-top0.2/gmON    10  0.107   0.814 -0.399  1.180  0.423     0.063       0.541     -0.399 15.642  0.750 0.947 -0.197  -0.000  False  False     H2,OOS,DD,CAGR
39    CAND20/budget-top0.2/gmON    25  0.081   0.641 -0.420  1.012  0.245     0.039       0.359     -0.420 15.642  0.750 0.947 -0.218  -0.026  False  False     H2,OOS,DD,CAGR
40   CAND20/budget-top0.4/gmOFF     0  0.137   1.161 -0.174  1.172  1.159     0.154       1.226     -0.174  9.587  0.719 0.023  0.028   0.030  False   True                  -
41   CAND20/budget-top0.4/gmOFF     5  0.132   1.120 -0.174  1.128  1.121     0.149       1.187     -0.174  9.587  0.719 0.023  0.028   0.025  False   True                  -
42   CAND20/budget-top0.4/gmOFF    10  0.126   1.079 -0.175  1.083  1.083     0.143       1.149     -0.175  9.587  0.719 0.023  0.028   0.020  False   True                  -
43   CAND20/budget-top0.4/gmOFF    25  0.110   0.956 -0.176  0.950  0.967     0.127       1.033     -0.176  9.587  0.719 0.023  0.027   0.004  False  False                 H1
44    CAND20/budget-top0.4/gmON     0  0.012   0.234 -0.154 -0.031  0.541     0.019       0.390     -0.108  0.765  0.750 0.946  0.049  -0.095  False  False     H1,H2,OOS,CAGR
45    CAND20/budget-top0.4/gmON     5  0.011   0.227 -0.158 -0.043  0.540     0.019       0.390     -0.108  0.765  0.750 0.946  0.045  -0.096  False  False     H1,H2,OOS,CAGR
46    CAND20/budget-top0.4/gmON    10  0.011   0.220 -0.162 -0.055  0.539     0.019       0.389     -0.108  0.765  0.750 0.946  0.040  -0.096  False  False     H1,H2,OOS,CAGR
47    CAND20/budget-top0.4/gmON    25  0.010   0.200 -0.177 -0.092  0.537     0.019       0.387     -0.109  0.765  0.750 0.946  0.025  -0.097  False  False     H1,H2,OOS,CAGR
48        CAND20/cadenceD/gmOFF     0  0.135   1.181 -0.160  1.157  1.207     0.153       1.275     -0.160 22.999  0.716 0.000  0.042   0.028  False   True                  -
49        CAND20/cadenceD/gmOFF     5  0.122   1.079 -0.162  1.046  1.112     0.140       1.179     -0.162 22.999  0.716 0.000  0.041   0.015  False   True                  -
50        CAND20/cadenceD/gmOFF    10  0.109   0.977 -0.163  0.935  1.017     0.128       1.083     -0.163 22.999  0.716 0.000  0.039   0.002  False  False                 H1
51        CAND20/cadenceD/gmOFF    25  0.072   0.670 -0.168  0.602  0.732     0.090       0.795     -0.168 22.999  0.716 0.000  0.034  -0.035  False  False     H1,H2,OOS,CAGR
52         CAND20/cadenceD/gmON     0  0.142   1.186 -0.179  1.172  1.204     0.160       1.268     -0.179 27.053  0.750 0.000  0.023   0.035  False   True                  -
53         CAND20/cadenceD/gmON     5  0.127   1.071 -0.182  1.049  1.095     0.145       1.159     -0.182 27.053  0.750 0.000  0.021   0.020  False   True                  -
54         CAND20/cadenceD/gmON    10  0.111   0.956 -0.184  0.926  0.987     0.130       1.050     -0.184 27.053  0.750 0.000  0.019   0.005  False  False                 H1
55         CAND20/cadenceD/gmON    25  0.067   0.611 -0.198  0.558  0.661     0.085       0.722     -0.198 27.053  0.750 0.000  0.005  -0.040  False  False     H1,H2,OOS,CAGR
56        CAND20/cadenceM/gmOFF     0  0.152   1.240 -0.194  1.249  1.240     0.172       1.320     -0.194  4.332  0.718 0.000  0.008   0.045  False   True                  -
57        CAND20/cadenceM/gmOFF     5  0.150   1.222 -0.195  1.230  1.223     0.170       1.303     -0.195  4.332  0.718 0.000  0.008   0.043  False   True                  -
58        CAND20/cadenceM/gmOFF    10  0.147   1.204 -0.195  1.211  1.206     0.167       1.286     -0.195  4.332  0.718 0.000  0.007   0.040  False   True                  -
59        CAND20/cadenceM/gmOFF    25  0.140   1.150 -0.196  1.154  1.155     0.160       1.235     -0.196  4.332  0.718 0.000  0.006   0.033  False   True                  -
60         CAND20/cadenceM/gmON     0  0.159   1.253 -0.194  1.241  1.270     0.182       1.346     -0.194  4.817  0.752 0.000  0.008   0.052  False   True                  -
61         CAND20/cadenceM/gmON     5  0.156   1.233 -0.195  1.220  1.252     0.179       1.327     -0.195  4.817  0.752 0.000  0.008   0.049  False   True                  -
62         CAND20/cadenceM/gmON    10  0.153   1.214 -0.195  1.200  1.233     0.176       1.309     -0.195  4.817  0.752 0.000  0.007   0.046  False   True                  -
63         CAND20/cadenceM/gmON    25  0.145   1.156 -0.196  1.138  1.178     0.168       1.253     -0.196  4.817  0.752 0.000  0.006   0.038  False   True                  -
64        CAND20/cadenceQ/gmOFF     0  0.137   1.038 -0.271  1.116  0.993     0.157       1.082     -0.271  2.426  0.706 0.000 -0.069   0.031  False  False                 DD
65        CAND20/cadenceQ/gmOFF     5  0.136   1.029 -0.271  1.106  0.985     0.156       1.073     -0.271  2.426  0.706 0.000 -0.069   0.029  False  False                 DD
66        CAND20/cadenceQ/gmOFF    10  0.135   1.020 -0.271  1.096  0.976     0.154       1.065     -0.271  2.426  0.706 0.000 -0.069   0.028  False  False                 DD
67        CAND20/cadenceQ/gmOFF    25  0.131   0.992 -0.271  1.065  0.952     0.150       1.039     -0.271  2.426  0.706 0.000 -0.069   0.024  False  False                 DD
68         CAND20/cadenceQ/gmON     0  0.147   1.079 -0.271  1.157  1.034     0.166       1.118     -0.271  2.708  0.755 0.000 -0.069   0.040  False  False                 DD
69         CAND20/cadenceQ/gmON     5  0.145   1.070 -0.271  1.146  1.025     0.165       1.109     -0.271  2.708  0.755 0.000 -0.069   0.039  False  False                 DD
70         CAND20/cadenceQ/gmON    10  0.144   1.060 -0.271  1.135  1.016     0.163       1.099     -0.271  2.708  0.755 0.000 -0.069   0.037  False  False                 DD
71         CAND20/cadenceQ/gmON    25  0.139   1.030 -0.271  1.102  0.988     0.158       1.071     -0.271  2.708  0.755 0.000 -0.069   0.032  False  False                 DD
72         CAND20/control/gmOFF     0  0.138   1.176 -0.182  1.178  1.182     0.155       1.248     -0.182  9.633  0.717 0.000  0.020   0.031  False   True                  -
73         CAND20/control/gmOFF     5  0.132   1.135 -0.183  1.133  1.143     0.149       1.209     -0.183  9.633  0.717 0.000  0.020   0.025  False   True                  -
74         CAND20/control/gmOFF    10  0.127   1.093 -0.183  1.088  1.103     0.144       1.170     -0.183  9.633  0.717 0.000  0.019   0.020  False   True                  -
75         CAND20/control/gmOFF    25  0.111   0.968 -0.184  0.954  0.985     0.128       1.051     -0.184  9.633  0.717 0.000  0.018   0.004  False  False                 H1
76          CAND20/control/gmON     0  0.140   1.156 -0.182  1.165  1.156     0.158       1.220     -0.182 10.999  0.750 0.000  0.020   0.034  False   True                  -
77          CAND20/control/gmON     5  0.134   1.110 -0.183  1.116  1.112     0.151       1.176     -0.183 10.999  0.750 0.000  0.020   0.027  False   True                  -
78          CAND20/control/gmON    10  0.128   1.064 -0.183  1.068  1.068     0.145       1.132     -0.183 10.999  0.750 0.000  0.019   0.021  False   True                  -
79          CAND20/control/gmON    25  0.110   0.927 -0.184  0.923  0.936     0.126       1.000     -0.184 10.999  0.750 0.000  0.018   0.003  False  False                 H1
80        CAND20/hyst1.25/gmOFF     0  0.136   1.170 -0.174  1.160  1.185     0.155       1.259     -0.174  5.861  0.717 0.000  0.028   0.029  False   True                  -
81        CAND20/hyst1.25/gmOFF     5  0.132   1.145 -0.174  1.133  1.160     0.151       1.235     -0.174  5.861  0.717 0.000  0.028   0.025  False   True                  -
82        CAND20/hyst1.25/gmOFF    10  0.129   1.119 -0.175  1.106  1.136     0.148       1.211     -0.175  5.861  0.717 0.000  0.028   0.022  False   True                  -
83        CAND20/hyst1.25/gmOFF    25  0.119   1.042 -0.176  1.025  1.062     0.138       1.139     -0.176  5.861  0.717 0.000  0.027   0.012  False   True                  -
84         CAND20/hyst1.25/gmON     0  0.138   1.150 -0.174  1.147  1.159     0.157       1.230     -0.174  7.222  0.750 0.000  0.028   0.032  False   True                  -
85         CAND20/hyst1.25/gmON     5  0.134   1.119 -0.174  1.116  1.129     0.153       1.201     -0.174  7.222  0.750 0.000  0.028   0.028  False   True                  -
86         CAND20/hyst1.25/gmON    10  0.130   1.089 -0.175  1.085  1.099     0.149       1.172     -0.175  7.222  0.750 0.000  0.028   0.023  False   True                  -
87         CAND20/hyst1.25/gmON    25  0.118   0.998 -0.176  0.991  1.009     0.136       1.084     -0.176  7.222  0.750 0.000  0.027   0.011  False   True                  -
88         CAND20/hyst1.5/gmOFF     0  0.135   1.166 -0.174  1.172  1.167     0.153       1.247     -0.174  4.764  0.717 0.000  0.028   0.028  False   True                  -
89         CAND20/hyst1.5/gmOFF     5  0.132   1.145 -0.174  1.150  1.147     0.150       1.228     -0.174  4.764  0.717 0.000  0.028   0.025  False   True                  -
90         CAND20/hyst1.5/gmOFF    10  0.129   1.124 -0.175  1.128  1.127     0.147       1.208     -0.175  4.764  0.717 0.000  0.028   0.022  False   True                  -
91         CAND20/hyst1.5/gmOFF    25  0.121   1.062 -0.176  1.062  1.066     0.139       1.148     -0.176  4.764  0.717 0.000  0.027   0.014  False   True                  -
92          CAND20/hyst1.5/gmON     0  0.137   1.145 -0.174  1.158  1.142     0.155       1.219     -0.174  6.123  0.750 0.000  0.028   0.031  False   True                  -
93          CAND20/hyst1.5/gmON     5  0.134   1.120 -0.174  1.132  1.116     0.152       1.194     -0.174  6.123  0.750 0.000  0.028   0.027  False   True                  -
94          CAND20/hyst1.5/gmON    10  0.130   1.094 -0.175  1.106  1.090     0.148       1.168     -0.175  6.123  0.750 0.000  0.028   0.024  False   True                  -
95          CAND20/hyst1.5/gmON    25  0.120   1.016 -0.176  1.027  1.013     0.137       1.093     -0.176  6.123  0.750 0.000  0.027   0.013  False   True                  -
96           CAND20/hyst2/gmOFF     0  0.132   1.181 -0.172  1.205  1.169     0.151       1.265     -0.172  3.907  0.717 0.000  0.031   0.025  False   True                  -
97           CAND20/hyst2/gmOFF     5  0.130   1.163 -0.172  1.187  1.151     0.148       1.248     -0.172  3.907  0.717 0.000  0.030   0.023  False   True                  -
98           CAND20/hyst2/gmOFF    10  0.127   1.145 -0.172  1.169  1.133     0.146       1.231     -0.172  3.907  0.717 0.000  0.030   0.021  False   True                  -
99           CAND20/hyst2/gmOFF    25  0.121   1.092 -0.173  1.115  1.080     0.139       1.180     -0.173  3.907  0.717 0.000  0.029   0.014  False   True                  -
100           CAND20/hyst2/gmON     0  0.135   1.158 -0.172  1.189  1.142     0.153       1.234     -0.172  5.266  0.750 0.000  0.031   0.028  False   True                  -
101           CAND20/hyst2/gmON     5  0.132   1.135 -0.172  1.166  1.118     0.150       1.211     -0.172  5.266  0.750 0.000  0.030   0.025  False   True                  -
102           CAND20/hyst2/gmON    10  0.129   1.112 -0.172  1.144  1.095     0.147       1.188     -0.172  5.266  0.750 0.000  0.030   0.022  False   True                  -
103           CAND20/hyst2/gmON    25  0.120   1.043 -0.173  1.076  1.024     0.138       1.120     -0.173  5.266  0.750 0.000  0.029   0.013  False   True                  -
104   EWall/budget-pro0.1/gmOFF     0  0.116   1.124 -0.187  1.155  1.104     0.127       1.175     -0.187  4.281  0.750 0.561  0.015   0.010  False   True                  -
105   EWall/budget-pro0.1/gmOFF     5  0.114   1.103 -0.187  1.133  1.084     0.125       1.155     -0.187  4.281  0.750 0.561  0.015   0.007  False   True                  -
106   EWall/budget-pro0.1/gmOFF    10  0.112   1.082 -0.187  1.111  1.064     0.123       1.135     -0.187  4.281  0.750 0.561  0.015   0.005  False   True                  -
107   EWall/budget-pro0.1/gmOFF    25  0.105   1.020 -0.188  1.045  1.005     0.115       1.074     -0.188  4.281  0.750 0.561  0.015  -0.002  False  False               CAGR
108    EWall/budget-pro0.1/gmON     0  0.117   1.123 -0.190  1.155  1.102     0.128       1.172     -0.190  4.293  0.750 0.555  0.012   0.010  False   True                  -
109    EWall/budget-pro0.1/gmON     5  0.115   1.102 -0.190  1.133  1.082     0.126       1.152     -0.190  4.293  0.750 0.555  0.012   0.008  False   True                  -
110    EWall/budget-pro0.1/gmON    10  0.112   1.081 -0.190  1.111  1.062     0.123       1.132     -0.190  4.293  0.750 0.555  0.012   0.005  False   True                  -
111    EWall/budget-pro0.1/gmON    25  0.105   1.019 -0.191  1.045  1.003     0.116       1.072     -0.191  4.293  0.750 0.555  0.012  -0.002  False  False               CAGR
112   EWall/budget-pro0.2/gmOFF     0  0.114   1.119 -0.177  1.125  1.117     0.126       1.190     -0.177  6.133  0.750 0.274  0.025   0.008  False   True                  -
113   EWall/budget-pro0.2/gmOFF     5  0.111   1.088 -0.178  1.094  1.088     0.123       1.160     -0.178  6.133  0.750 0.274  0.025   0.004  False   True                  -
114   EWall/budget-pro0.2/gmOFF    10  0.108   1.058 -0.178  1.063  1.058     0.119       1.130     -0.178  6.133  0.750 0.274  0.024   0.001  False   True                  -
115   EWall/budget-pro0.2/gmOFF    25  0.097   0.967 -0.179  0.969  0.969     0.109       1.042     -0.179  6.133  0.750 0.274  0.024  -0.009  False  False               CAGR
116    EWall/budget-pro0.2/gmON     0  0.115   1.118 -0.179  1.125  1.116     0.126       1.188     -0.179  6.141  0.750 0.271  0.023   0.008  False   True                  -
117    EWall/budget-pro0.2/gmON     5  0.111   1.087 -0.180  1.094  1.086     0.123       1.158     -0.180  6.141  0.750 0.271  0.023   0.004  False   True                  -
118    EWall/budget-pro0.2/gmON    10  0.108   1.057 -0.180  1.063  1.057     0.120       1.129     -0.180  6.141  0.750 0.271  0.022   0.001  False   True                  -
119    EWall/budget-pro0.2/gmON    25  0.098   0.966 -0.181  0.970  0.968     0.109       1.040     -0.181  6.141  0.750 0.271  0.022  -0.009  False  False               CAGR
120   EWall/budget-pro0.4/gmOFF     0  0.113   1.122 -0.166  1.121  1.126     0.125       1.200     -0.166  7.653  0.750 0.085  0.036   0.006  False   True                  -
121   EWall/budget-pro0.4/gmOFF     5  0.109   1.083 -0.167  1.082  1.088     0.120       1.163     -0.167  7.653  0.750 0.085  0.035   0.002  False   True                  -
122   EWall/budget-pro0.4/gmOFF    10  0.105   1.045 -0.167  1.044  1.049     0.116       1.125     -0.167  7.653  0.750 0.085  0.035  -0.002  False  False               CAGR
123   EWall/budget-pro0.4/gmOFF    25  0.092   0.930 -0.169  0.929  0.934     0.103       1.011     -0.169  7.653  0.750 0.085  0.033  -0.015  False  False            H1,CAGR
124    EWall/budget-pro0.4/gmON     0  0.113   1.121 -0.167  1.120  1.126     0.125       1.200     -0.167  7.657  0.750 0.085  0.035   0.006  False   True                  -
125    EWall/budget-pro0.4/gmON     5  0.109   1.083 -0.167  1.082  1.087     0.120       1.162     -0.167  7.657  0.750 0.085  0.035   0.002  False   True                  -
126    EWall/budget-pro0.4/gmON    10  0.105   1.045 -0.168  1.044  1.049     0.116       1.124     -0.168  7.657  0.750 0.085  0.034  -0.002  False  False               CAGR
127    EWall/budget-pro0.4/gmON    25  0.092   0.929 -0.170  0.928  0.933     0.103       1.010     -0.170  7.657  0.750 0.085  0.033  -0.015  False  False            H1,CAGR
128   EWall/budget-top0.1/gmOFF     0  0.125   1.125 -0.212  1.250  1.037     0.131       1.103     -0.212  4.401  0.759 0.600 -0.010   0.018  False  False                 DD
129   EWall/budget-top0.1/gmOFF     5  0.123   1.105 -0.212  1.228  1.018     0.128       1.084     -0.212  4.401  0.759 0.600 -0.010   0.016  False  False                 DD
130   EWall/budget-top0.1/gmOFF    10  0.120   1.085 -0.212  1.207  1.000     0.126       1.065     -0.212  4.401  0.759 0.600 -0.010   0.013  False  False                 DD
131   EWall/budget-top0.1/gmOFF    25  0.113   1.025 -0.213  1.141  0.944     0.118       1.008     -0.213  4.401  0.759 0.600 -0.010   0.006  False  False                 DD
132    EWall/budget-top0.1/gmON     0  0.016   0.332 -0.184  0.513  0.155     0.008       0.191     -0.184  0.068  0.750 0.958  0.018  -0.091  False  False     H1,H2,OOS,CAGR
133    EWall/budget-top0.1/gmON     5  0.016   0.331 -0.184  0.512  0.155     0.008       0.190     -0.184  0.068  0.750 0.958  0.018  -0.091  False  False     H1,H2,OOS,CAGR
134    EWall/budget-top0.1/gmON    10  0.016   0.331 -0.184  0.511  0.154     0.008       0.189     -0.184  0.068  0.750 0.958  0.018  -0.091  False  False     H1,H2,OOS,CAGR
135    EWall/budget-top0.1/gmON    25  0.016   0.329 -0.185  0.509  0.152     0.008       0.187     -0.185  0.068  0.750 0.958  0.018  -0.091  False  False     H1,H2,OOS,CAGR
136   EWall/budget-top0.2/gmOFF     0  0.117   1.104 -0.192  1.112  1.103     0.130       1.172     -0.192  6.273  0.753 0.298  0.011   0.010  False   True                  -
137   EWall/budget-top0.2/gmOFF     5  0.113   1.074 -0.192  1.081  1.075     0.126       1.143     -0.192  6.273  0.753 0.298  0.010   0.007  False   True                  -
138   EWall/budget-top0.2/gmOFF    10  0.110   1.044 -0.192  1.050  1.046     0.123       1.114     -0.192  6.273  0.753 0.298  0.010   0.003  False   True                  -
139   EWall/budget-top0.2/gmOFF    25  0.100   0.955 -0.194  0.956  0.959     0.112       1.028     -0.194  6.273  0.753 0.298  0.009  -0.007  False  False            H1,CAGR
140    EWall/budget-top0.2/gmON     0  0.026   0.434 -0.247  0.481  0.406     0.028       0.433     -0.247 16.184  0.750 0.958 -0.044  -0.081  False  False  H1,H2,OOS,DD,CAGR
141    EWall/budget-top0.2/gmON     5  0.018   0.307 -0.262  0.338  0.288     0.019       0.312     -0.262 16.184  0.750 0.958 -0.060  -0.089  False  False  H1,H2,OOS,DD,CAGR
142    EWall/budget-top0.2/gmON    10  0.009   0.179 -0.278  0.195  0.170     0.011       0.191     -0.278 16.184  0.750 0.958 -0.075  -0.097  False  False  H1,H2,OOS,DD,CAGR
143    EWall/budget-top0.2/gmON    25 -0.015  -0.202 -0.331 -0.234 -0.182    -0.014      -0.171     -0.321 16.184  0.750 0.958 -0.129  -0.122  False  False  H1,H2,OOS,DD,CAGR
144   EWall/budget-top0.4/gmOFF     0  0.114   1.105 -0.188  1.132  1.088     0.125       1.160     -0.188  7.784  0.752 0.094  0.014   0.008  False   True                  -
145   EWall/budget-top0.4/gmOFF     5  0.110   1.067 -0.189  1.093  1.050     0.121       1.123     -0.189  7.784  0.752 0.094  0.014   0.003  False   True                  -
146   EWall/budget-top0.4/gmOFF    10  0.106   1.029 -0.189  1.054  1.013     0.117       1.086     -0.189  7.784  0.752 0.094  0.013  -0.001  False  False               CAGR
147   EWall/budget-top0.4/gmOFF    25  0.093   0.915 -0.191  0.938  0.900     0.104       0.975     -0.191  7.784  0.752 0.094  0.012  -0.014  False  False            H1,CAGR
148    EWall/budget-top0.4/gmON     0  0.064   0.779 -0.169  1.146  0.311     0.033       0.490     -0.169  7.123  0.750 0.403  0.034  -0.043  False  False        H2,OOS,CAGR
149    EWall/budget-top0.4/gmON     5  0.060   0.736 -0.169  1.107  0.264     0.029       0.444     -0.169  7.123  0.750 0.403  0.033  -0.047  False  False        H2,OOS,CAGR
150    EWall/budget-top0.4/gmON    10  0.056   0.693 -0.179  1.067  0.217     0.026       0.398     -0.179  7.123  0.750 0.403  0.024  -0.051  False  False        H2,OOS,CAGR
