load_prices: network unavailable (ModuleNotFoundError); using prices.csv

==================================================================================================================================================================================================================
UNIVERSE universe.json(56): 56 names, 2008-01-02 -> 2026-09-04 | eval 2009-01-13 -> 2026-09-04 | IS <= 2016-12-31 | OOS >= 2017-01-01
SPY CAGR 15.23% Sharpe 0.889 MaxDD -33.72% halves 0.957/0.834 OOS 0.882
==================================================================================================================================================================================================================
[gate A] ladder rung TOP20 / V1u vs idea 94 targets(): max|diff| = 0.000e+00 (EXACT)
[gate B] control vs engine.backtest @10bps: max|diff| = 0.000e+00 (EXACT)
[note]  ALL rung (scored limit) vs idea 94 EWall (priced limit): max|dw| = 0.0150; ALL holds 53.8 names on average (panel 56), differs from priced count on 1530 of 4439 eval days

MAIN GRID universe.json(56) — 224 published rows (7 books x 16 arms x 2 costs)
  book  n    cost                arm   dCAGR  dMaxDD    rate  dMaxDD_IS  dMaxDD_OOS   CAGR  Sharpe   MaxDD  D1_pass  D2_pass  p4a_v2  p4a_v1   p4b               f4b
  TOP5  5 25.0000             stop15  2.3158 -3.4096     NaN     2.1530     -3.4096 0.1808  0.9538 -0.3188    False    False   False   False False            OOS,DD
  TOP5  5 25.0000             stop25  0.4408 -2.8821     NaN     0.6204     -2.8821 0.1996  1.0139 -0.3135    False    False   False   False False                DD
  TOP5  5 25.0000 ddctl-8/.5/recover  8.6967  7.0311  1.2369     4.3976      7.0311 0.1170  0.8170 -0.2144     True     True   False   False False      H1,H2,OOS,DD
  TOP5  5 25.0000    ddctl-8/.5/high  7.2619 12.2396  0.5933     4.3976     12.2396 0.1314  0.9422 -0.1623     True     True   False   False  True                 -
  TOP5  5 25.0000          ebud-0.10  4.7690  0.0000     NaN     1.8093      0.0000 0.1563  0.9179 -0.2847    False     True   False   False False            OOS,DD
  TOP5  5 25.0000          ebud-0.20  1.6333  0.0000     NaN     0.4305      0.0000 0.1876  0.9789 -0.2847    False     True   False   False False                DD
 TOP10 10 10.0000            g200-dg  0.7233  0.9501  0.7614     1.3734      0.9501 0.1613  1.0549 -0.2314     True     True   False   False False                DD
 TOP10 10 10.0000            g200-rw  0.8024  0.8164  0.9828     1.8568      0.8164 0.1605  1.0454 -0.2328     True     True   False   False False                DD
 TOP10 10 10.0000           band3-dg  0.5603  0.9501  0.5898     1.8680      0.9501 0.1629  1.0628 -0.2314     True     True   False   False False                DD
 TOP10 10 10.0000           band3-rw  0.6857  0.8164  0.8399     2.1495      0.8164 0.1617  1.0492 -0.2328     True     True   False   False False                DD
 TOP10 10 10.0000           abs12-dg  0.7753 -0.0000     NaN     0.0000      0.0000 0.1608  1.0542 -0.2409    False    False   False   False False                DD
 TOP10 10 10.0000           abs12-rw  0.6660 -0.0000     NaN    -0.0000     -0.0000 0.1619  1.0533 -0.2409    False    False   False   False False                DD
 TOP10 10 10.0000           vol60-dg  3.7673  9.1412  0.4121     0.4200      9.1412 0.1309  0.9789 -0.1495     True     True   False   False  True                 -
 TOP10 10 10.0000           vol60-rw  3.2004  6.5536  0.4883    -1.0481      6.5536 0.1365  0.9667 -0.1754     True    False   False   False False                H1
 TOP10 10 10.0000          v1gate-dg  4.3945  9.1412  0.4807     1.2425      9.1412 0.1246  0.9494 -0.1495     True     True   False   False False                H1
 TOP10 10 10.0000          v1gate-rw  4.0267  6.5536  0.6144     1.1554      6.5536 0.1283  0.9267 -0.1754     True     True   False   False False                H1
 TOP10 10 10.0000             stop15  1.5836 -2.7256     NaN     0.7748     -2.7256 0.1527  1.0189 -0.2682    False    False   False   False False                DD
 TOP10 10 10.0000             stop25  0.2864 -2.1408     NaN     0.4842     -2.1408 0.1657  1.0687 -0.2623    False    False   False   False False                DD
 TOP10 10 10.0000 ddctl-8/.5/recover  6.8938  5.9638  1.1559     1.9085      5.9638 0.0996  0.8147 -0.1813     True     True   False   False False    H1,H2,OOS,CAGR
 TOP10 10 10.0000    ddctl-8/.5/high  7.0220 10.7360  0.6541     1.9085     11.1729 0.0983  0.8773 -0.1336     True     True   False    True False           H1,CAGR
 TOP10 10 10.0000          ebud-0.10  2.4600  1.6373  1.5025     0.5891      1.6373 0.1439  1.0194 -0.2245     True     True   False   False False                DD
 TOP10 10 10.0000          ebud-0.20  0.3556  0.0000     NaN     0.0735     -0.0000 0.1650  1.0652 -0.2409    False    False   False   False False                DD
 TOP10 10 25.0000            g200-dg  0.6931  0.9397  0.7376     1.0761      0.9397 0.1393  0.9300 -0.2327     True     True   False   False False                DD
 TOP10 10 25.0000            g200-rw  0.8106  0.8150  0.9946     1.6620      0.8150 0.1382  0.9190 -0.2339     True     True   False   False False                DD
 TOP10 10 25.0000           band3-dg  0.5016  0.9397  0.5337     1.7265      0.9397 0.1412  0.9399 -0.2327     True     True   False   False False                DD
 TOP10 10 25.0000           band3-rw  0.6422  0.8150  0.7880     2.7373      0.8150 0.1398  0.9262 -0.2339     True     True   False   False False                DD
 TOP10 10 25.0000           abs12-dg  0.6511  0.0000     NaN     0.3264      0.0000 0.1397  0.9344 -0.2421    False     True   False   False False                DD
 TOP10 10 25.0000           abs12-rw  0.6065 -0.0000     NaN     0.6218     -0.0000 0.1402  0.9307 -0.2421    False    False   False   False False                DD
 TOP10 10 25.0000           vol60-dg  3.7538  7.6109  0.4932    -0.0503      9.1596 0.1087  0.8325 -0.1660     True    False   False   False False            H1,OOS
 TOP10 10 25.0000           vol60-rw  3.3065  6.0116  0.5500    -1.6496      6.5727 0.1132  0.8217 -0.1820     True    False   False   False False                H1
 TOP10 10 25.0000          v1gate-dg  4.3505  8.4369  0.5156     0.7757      9.1596 0.1028  0.8021 -0.1577     True     True   False   False False    H1,H2,OOS,CAGR
 TOP10 10 25.0000          v1gate-rw  4.1194  6.5727  0.6267     0.4855      6.5727 0.1051  0.7794 -0.1764     True     True   False   False False    H1,H2,OOS,CAGR
 TOP10 10 25.0000             stop15  1.8192 -2.9086     NaN     0.6060     -2.9086 0.1281  0.8756 -0.2712    False    False   False   False False         H2,OOS,DD
 TOP10 10 25.0000             stop25  0.3336 -2.2370     NaN     0.3532     -2.2370 0.1429  0.9413 -0.2644    False    False   False   False False                DD
 TOP10 10 25.0000 ddctl-8/.5/recover  6.1334  5.4140  1.1329     2.4688      5.4140 0.0849  0.7221 -0.1879     True     True   False   False False    H1,H2,OOS,CAGR
 TOP10 10 25.0000    ddctl-8/.5/high  6.9003  9.9141  0.6960     2.4688      9.9141 0.0773  0.7205 -0.1429     True     True   False    True False    H1,H2,OOS,CAGR
 TOP10 10 25.0000          ebud-0.10  1.8662  1.6599  1.1243     0.4847      1.6599 0.1276  0.9181 -0.2255     True     True   False   False False            OOS,DD
 TOP10 10 25.0000          ebud-0.20  0.2837 -0.0000     NaN    -0.0836      0.0000 0.1434  0.9445 -0.2421    False    False   False   False False                DD
 TOP20 20 10.0000            g200-dg  1.3543  2.6967  0.5022     0.7595      2.6967 0.1414  1.1450 -0.1951     True     True   False   False  True                 -
 TOP20 20 10.0000            g200-rw  1.2244  2.8216  0.4339     0.2836      2.8216 0.1427  1.1469 -0.1939     True     True   False   False  True                 -
 TOP20 20 10.0000           band3-dg  1.1250  2.4543  0.4584     0.1302      2.4543 0.1437  1.1570 -0.1976     True     True   False   False  True                 -
 TOP20 20 10.0000           band3-rw  1.0672  2.2967  0.4647    -0.3020      2.2967 0.1442  1.1536 -0.1991     True    False   False   False  True                 -
 TOP20 20 10.0000           abs12-dg  1.9023  0.0295     NaN     0.0523      0.0295 0.1359  1.1042 -0.2218     True     True   False   False False                DD
 TOP20 20 10.0000           abs12-rw  1.3852 -0.5051     NaN    -1.1792     -0.5051 0.1411  1.1151 -0.2272    False    False   False   False False                DD
 TOP20 20 10.0000           vol60-dg  2.7402  5.4483  0.5029     0.4161      5.4483 0.1275  1.0910 -0.1676     True     True   False   False  True                 -
 TOP20 20 10.0000           vol60-rw  1.7764  3.6648  0.4847    -0.1310      3.6648 0.1372  1.1218 -0.1855     True    False   False   False  True                 -
 TOP20 20 10.0000          v1gate-dg  3.6788  5.7007  0.6453     0.3883      5.7007 0.1181  1.0650 -0.1651     True     True   False   False  True                 -
 TOP20 20 10.0000          v1gate-rw  2.8319  3.9021  0.7258     0.0987      3.9021 0.1266  1.0921 -0.1831     True     True   False   False  True                 -
 TOP20 20 10.0000             stop15  1.0490 -0.8629     NaN    -0.1722     -0.8629 0.1444  1.1348 -0.2307    False    False   False   False False                DD
 TOP20 20 10.0000             stop25  0.2234 -1.5792     NaN    -0.0786     -1.5792 0.1527  1.1636 -0.2379    False    False   False   False False                DD
 TOP20 20 10.0000 ddctl-8/.5/recover  4.1267  5.6485  0.7306     1.6154      5.6485 0.1137  1.0423 -0.1656     True     True   False   False  True                 -
 TOP20 20 10.0000    ddctl-8/.5/high  5.6121  5.6485  0.9936     1.6154      5.6485 0.0988  0.9972 -0.1656     True     True   False   False False              CAGR
 TOP20 20 10.0000          ebud-0.10  0.3665  1.7240  0.2126     0.0712      1.7240 0.1513  1.1767 -0.2049     True     True   False   False False                DD
 TOP20 20 10.0000          ebud-0.20  0.0273 -0.0477     NaN    -0.0003     -0.0477 0.1546  1.1703 -0.2226    False    False   False   False False                DD
 TOP20 20 25.0000            g200-dg  1.3235  2.6886  0.4922     0.6760      2.6886 0.1261  1.0347 -0.1965     True     True   False   False  True                 -
 TOP20 20 25.0000            g200-rw  1.2296  2.7890  0.4409     0.1775      2.7890 0.1271  1.0349 -0.1955     True     True   False   False  True                 -
 TOP20 20 25.0000           band3-dg  1.0386  2.4290  0.4276     0.1913      2.4290 0.1290  1.0515 -0.1991     True     True   False   False  True                 -
 TOP20 20 25.0000           band3-rw  0.9735  2.2611  0.4305    -0.2021      2.2611 0.1296  1.0494 -0.2008     True    False   False   False  True                 -
 TOP20 20 25.0000           abs12-dg  1.7875  0.0251     NaN     0.0811      0.0251 0.1215  0.9998 -0.2232     True     True   False   False False                DD
 TOP20 20 25.0000           abs12-rw  1.3089 -0.5048     NaN    -0.6457     -0.5048 0.1263  1.0110 -0.2285    False    False   False   False False                DD
 TOP20 20 25.0000           vol60-dg  2.7574  5.4681  0.5043     0.4085      5.4681 0.1118  0.9701 -0.1687     True     True   False   False  True                 -
 TOP20 20 25.0000           vol60-rw  1.8340  3.6987  0.4959     0.3118      3.6987 0.1210  1.0037 -0.1864     True     True   False   False  True                 -
 TOP20 20 25.0000          v1gate-dg  3.6620  5.7384  0.6382     0.2873      5.7384 0.1027  0.9397 -0.1660     True     True   False   False False           H1,CAGR
 TOP20 20 25.0000          v1gate-rw  2.8916  3.8996  0.7415    -0.0170      3.8996 0.1104  0.9668 -0.1844     True    False   False   False False                H1
 TOP20 20 25.0000             stop15  1.2778 -1.0325     NaN    -0.3542     -1.0325 0.1266  1.0099 -0.2337    False    False   False   False False                DD
 TOP20 20 25.0000             stop25  0.2639 -1.6578     NaN    -0.0937     -1.6578 0.1367  1.0558 -0.2400    False    False   False   False False                DD
 TOP20 20 25.0000 ddctl-8/.5/recover  4.1121  5.6612  0.7264     1.7698      5.6612 0.0982  0.9269 -0.1668     True     True   False   False False           H2,CAGR
 TOP20 20 25.0000    ddctl-8/.5/high  4.8325  9.5830  0.5043     1.7698      9.5830 0.0910  0.9285 -0.1276     True     True   False    True False           H1,CAGR
 TOP20 20 25.0000          ebud-0.10  0.2323  1.7623  0.1318     0.1550      1.7623 0.1370  1.0786 -0.2058     True     True   False   False False                DD
 TOP20 20 25.0000          ebud-0.20  0.0276 -0.0416     NaN    -0.0002     -0.0416 0.1391  1.0660 -0.2238    False    False   False   False False                DD
 TOP40 40 10.0000            g200-dg  3.0054  6.1764  0.4866     2.0651      6.1764 0.1066  1.1763 -0.1539     True     True   False   False  True                 -
 TOP40 40 10.0000            g200-rw  2.9710  6.1764  0.4810     2.0867      6.1764 0.1069  1.1676 -0.1539     True     True   False   False  True                 -
 TOP40 40 10.0000           band3-dg  2.5996  5.8088  0.4475     3.2406      5.8088 0.1107  1.1969 -0.1575     True     True   False   False  True                 -
 TOP40 40 10.0000           band3-rw  2.3057  5.9064  0.3904     3.0037      5.9064 0.1136  1.2112 -0.1566     True     True   False   False  True                 -
 TOP40 40 10.0000           abs12-dg  2.9673  3.1066  0.9552     1.9231      3.1066 0.1070  1.0843 -0.1846     True     True   False   False  True                 -
 TOP40 40 10.0000           abs12-rw  2.4334  3.0891  0.7877     1.9502      3.0891 0.1123  1.1077 -0.1847     True     True   False   False  True                 -
 TOP40 40 10.0000           vol60-dg  1.6803  5.5771  0.3013     1.2266      5.5771 0.1198  1.1323 -0.1599     True     True   False   False  True                 -
 TOP40 40 10.0000           vol60-rw  1.2382  4.9461  0.2503     0.7412      4.9461 0.1243  1.1319 -0.1662     True     True   False   False  True                 -
 TOP40 40 10.0000          v1gate-dg  4.1757  7.6995  0.5423     1.8662      7.6995 0.0949  1.1210 -0.1386     True     True   False   False False              CAGR
 TOP40 40 10.0000          v1gate-rw  3.9720  7.5903  0.5233     1.9230      7.5903 0.0969  1.1237 -0.1397     True     True   False   False False              CAGR
 TOP40 40 10.0000             stop15  1.0022 -0.5674     NaN     0.8244     -0.5674 0.1266  1.1176 -0.2213    False    False   False   False False                DD
 TOP40 40 10.0000             stop25  0.4042 -1.2316     NaN    -0.1202     -1.2316 0.1326  1.1359 -0.2279    False    False   False   False False                DD
 TOP40 40 10.0000 ddctl-8/.5/recover  4.0276  6.1269  0.6574     1.9588      6.1269 0.0964  0.9859 -0.1544     True     True   False   False False           H1,CAGR
 TOP40 40 10.0000    ddctl-8/.5/high  5.1718  6.1269  0.8441     1.9588      6.1269 0.0849  0.9298 -0.1544     True     True   False   False False              CAGR
 TOP40 40 10.0000          ebud-0.10 -0.0360 -0.0237     NaN     1.1231     -0.0237 0.1370  1.1615 -0.2159    False    False   False   False False                DD
 TOP40 40 10.0000          ebud-0.20 -0.0353 -0.0000     NaN    -0.0000      0.0000 0.1370  1.1561 -0.2156    False    False   False   False False                DD
 TOP40 40 25.0000            g200-dg  3.0599  6.1649  0.4963     1.6240      6.1649 0.0986  1.0957 -0.1548     True     True   False    True False              CAGR
 TOP40 40 25.0000            g200-rw  3.0358  6.1649  0.4924     1.6404      6.1649 0.0989  1.0869 -0.1548     True     True   False    True False              CAGR
 TOP40 40 25.0000           band3-dg  2.4840  5.8238  0.4265     2.9606      5.8238 0.1044  1.1350 -0.1583     True     True   False   False False              CAGR
 TOP40 40 25.0000           band3-rw  2.1388  5.9283  0.3608     2.7188      5.9283 0.1078  1.1553 -0.1572     True     True   False   False  True                 -
 TOP40 40 25.0000           abs12-dg  2.9276  3.1041  0.9431     1.7697      3.1041 0.1000  1.0196 -0.1855     True     True   False   False False              CAGR
 TOP40 40 25.0000           abs12-rw  2.3679  3.0869  0.7671     1.9017      3.0869 0.1056  1.0472 -0.1856     True     True   False   False False              CAGR
 TOP40 40 25.0000           vol60-dg  1.7268  5.5985  0.3084     1.0517      5.5985 0.1120  1.0649 -0.1605     True     True   False   False  True                 -
 TOP40 40 25.0000           vol60-rw  1.2783  4.9862  0.2564     0.7796      4.9862 0.1164  1.0677 -0.1666     True     True   False   False  True                 -
 TOP40 40 25.0000          v1gate-dg  4.2559  7.6855  0.5538     1.4235      7.6855 0.0867  1.0313 -0.1396     True     True   False    True False              CAGR
 TOP40 40 25.0000          v1gate-rw  4.0525  7.5787  0.5347     1.4846      7.5787 0.0887  1.0359 -0.1407     True     True   False    True False              CAGR
 TOP40 40 25.0000             stop15  1.2577 -0.7678     NaN     0.6716     -0.7678 0.1167  1.0383 -0.2242    False    False   False   False False                DD
 TOP40 40 25.0000             stop25  0.4637 -1.3244     NaN    -0.1708     -1.3244 0.1246  1.0744 -0.2297    False    False   False   False False                DD
 TOP40 40 25.0000 ddctl-8/.5/recover  4.1634  6.1176  0.6806     1.9278      6.1176 0.0876  0.9090 -0.1553     True     True   False    True False           H1,CAGR
 TOP40 40 25.0000    ddctl-8/.5/high  5.2775  6.1176  0.8627     1.9278      6.1176 0.0765  0.8529 -0.1553     True     True   False    True False        H1,H2,CAGR
 TOP40 40 25.0000          ebud-0.10 -0.0344 -0.0206     NaN     1.1042     -0.0206 0.1296  1.1051 -0.2167    False    False   False   False False                DD
 TOP40 40 25.0000          ebud-0.20 -0.0327 -0.0000     NaN     0.0000      0.0000 0.1296  1.1000 -0.2165    False    False   False   False False                DD
TOPALL 56 10.0000            g200-dg  4.9325 10.5142  0.4691     3.8454     10.5142 0.0827  1.1749 -0.1201     True     True   False    True False              CAGR
TOPALL 56 10.0000            g200-rw  1.6560  3.8785  0.4270     1.6497      3.8785 0.1154  1.0911 -0.1865     True     True   False   False  True                 -
TOPALL 56 10.0000           band3-dg  4.4771 10.4709  0.4276     4.6729     10.4709 0.0872  1.2088 -0.1205     True     True    True    True False              CAGR
TOPALL 56 10.0000           band3-rw  0.9531  4.8111  0.1981     2.5984      4.8111 0.1224  1.1616 -0.1771     True     True   False   False  True                 -
TOPALL 56 10.0000           abs12-dg  4.4476  7.7014  0.5775     3.1979      7.7014 0.0875  1.0920 -0.1482     True     True   False   False False              CAGR
TOPALL 56 10.0000           abs12-rw  1.3799  2.6400  0.5227     0.2235      2.6400 0.1182  1.0706 -0.1989     True     True   False   False  True                 -
TOPALL 56 10.0000           vol60-dg  1.5743  5.6419  0.2790     0.6215      5.6419 0.1162  1.1366 -0.1688     True     True   False   False  True                 -
TOPALL 56 10.0000           vol60-rw  0.9887  4.1421  0.2387     0.4933      4.1421 0.1221  1.1269 -0.1838     True     True   False   False  True                 -
TOPALL 56 10.0000          v1gate-dg  5.8054 11.6400  0.4987     3.6873     11.6400 0.0739  1.1177 -0.1089     True     True   False    True False              CAGR
TOPALL 56 10.0000          v1gate-rw  2.8031  6.6512  0.4214     1.3189      6.6512 0.1039  1.0491 -0.1587     True     True   False   False False              CAGR
TOPALL 56 10.0000             stop15  1.0880 -0.0441     NaN     0.1499     -0.0441 0.1211  1.0909 -0.2257    False    False   False   False False                DD
