# 2026-09-15_is-the-CAGR-FLOOR-as-CONVENTION-SENSITIVE-as-the-DD-CAP-once-CENTRED_cloud
# pandas 3.0.5 numpy 2.4.6
# idea 879, cloud lane, idea 2 of 2.  PROTOCOL: 10 bps, next-day, no shorting/leverage.
# tuned params: margin band [0.5, 1.0, 2.0] pp x offset grid ['MONTHLY', 'WEEKLY']; costs [10.0, 25.0] and lags [1, 2] always reported.
load_prices: network unavailable (ModuleNotFoundError); using prices.csv
load_prices: network unavailable (ModuleNotFoundError); using prices.csv
PANEL U56: 56 names x 4704 days, 2008-01-02..2026-09-14  window 2009-01-13..  SPY CAGR 15.13% MaxDD -33.72%  -> 4b bars: CAGR floor 10.59%, DD cap -20.23%
PANEL B136: 136 names x 4703 days, 2008-01-02..2026-09-11  window 2009-01-13..  SPY CAGR 15.16% MaxDD -33.72%  -> 4b bars: CAGR floor 10.61%, DD cap -20.23%
SURVIVORSHIP: both panels are current-constituent lists; LEVELS are optimistic. The reported quantity is a within-book margin against its own calendar spread.

G1 engine   max|fast_run - engine.backtest| = 2.082e-17   bar 1e-9   PASS

====================================================================================================
STAGE A  SWEEP GROSS AND FIND WHERE EACH BOOK FORM CROSSES THE 4b CAGR FLOOR
====================================================================================================
ladder: 130 books (2 panels x 5 forms x 13 grosses)   (30s)
  U56  TOP20 1.2000          1.1448 0.2385  1.2070 -0.2960 13.2538  -9.3697 0.2630 0.3781 0.4119
  U56  TOP20 1.3000          1.2392 0.2591  1.2080 -0.3170 15.3170 -11.4673 0.2642 0.3789 0.4127
  U56  TOP20 1.4000          1.3335 0.2798  1.2090 -0.3375 17.3893 -13.5150 0.2654 0.3796 0.4134
  U56  TOP20 1.5000          1.4277 0.3006  1.2099 -0.3574 19.4700 -15.5141 0.2666 0.3804 0.4141
  U56  TOP40 0.3000          0.2603 0.0427  1.1849 -0.0574 -6.3212  14.4923 0.2258 0.3631 0.4130
  U56  TOP40 0.4000          0.3468 0.0571  1.1858 -0.0758 -4.8815  12.6491 0.2269 0.3639 0.4138
  U56  TOP40 0.5000          0.4332 0.0716  1.1868 -0.0939 -3.4339  10.8394 0.2279 0.3647 0.4147
  U56  TOP40 0.6000          0.5195 0.0861  1.1877 -0.1117 -1.9788   9.0625 0.2290 0.3655 0.4155
  U56  TOP40 0.7000          0.6056 0.1007  1.1886 -0.1291 -0.5162   7.3177 0.2300 0.3663 0.4162
  U56  TOP40 0.8000          0.6916 0.1154  1.1895 -0.1463  0.9535   5.6043 0.2310 0.3670 0.4170
  U56  TOP40 0.9000          0.7775 0.1302  1.1904 -0.1631  2.4301   3.9216 0.2320 0.3678 0.4177
  U56  TOP40 1.0000          0.8633 0.1450  1.1912 -0.1796  3.9133   2.2691 0.2329 0.3685 0.4185
  U56  TOP40 1.1000          0.9490 0.1599  1.1920 -0.1958  5.4029   0.6461 0.2338 0.3692 0.4192
  U56  TOP40 1.2000          1.0346 0.1749  1.1928 -0.2118  6.8986  -0.9480 0.2347 0.3699 0.4198
  U56  TOP40 1.3000          1.1201 0.1899  1.1936 -0.2274  8.4002  -2.5139 0.2356 0.3705 0.4205
  U56  TOP40 1.4000          1.2055 0.2050  1.1943 -0.2428  9.9073  -4.0520 0.2365 0.3712 0.4211
  U56  TOP40 1.5000          1.2908 0.2201  1.1951 -0.2579 11.4197  -5.5630 0.2373 0.3718 0.4218
  U56 EWELIG 0.3000          0.3015 0.0466  1.1356 -0.0709 -5.9309  13.1425 0.1816 0.3114 0.3415
  U56 EWELIG 0.4000          0.4017 0.0623  1.1363 -0.0936 -4.3608  10.8656 0.1829 0.3115 0.3416
  U56 EWELIG 0.5000          0.5017 0.0781  1.1369 -0.1160 -2.7829   8.6302 0.1842 0.3116 0.3416
  U56 EWELIG 0.6000          0.6016 0.0939  1.1376 -0.1379 -1.1973   6.4354 0.1854 0.3117 0.3417
  U56 EWELIG 0.7000          0.7014 0.1099  1.1382 -0.1595  0.3956   4.2806 0.1867 0.3118 0.3417
  U56 EWELIG 0.8000          0.8011 0.1259  1.1388 -0.1807  1.9955   2.1650 0.1879 0.3118 0.3417
  U56 EWELIG 0.9000          0.9006 0.1419  1.1394 -0.2014  3.6020   0.0879 0.1892 0.3119 0.3417
  U56 EWELIG 1.0000          1.0000 0.1581  1.1401 -0.2218  5.2149  -1.9515 0.1904 0.3120 0.3417
  U56 EWELIG 1.1000          1.0993 0.1742  1.1407 -0.2418  6.8338  -3.9537 0.1916 0.3121 0.3417
  U56 EWELIG 1.2000          1.1985 0.1905  1.1413 -0.2615  8.4584  -5.9196 0.1928 0.3122 0.3417
  U56 EWELIG 1.3000          1.2976 0.2068  1.1419 -0.2808 10.0882  -7.8497 0.1940 0.3123 0.3417
  U56 EWELIG 1.4000          1.3965 0.2231  1.1425 -0.2998 11.7230  -9.7447 0.1952 0.3124 0.3416
  U56 EWELIG 1.5000          1.4954 0.2395  1.1431 -0.3184 13.3624 -11.6052 0.1964 0.3125 0.3416
  U56  BAND3 0.3000          0.2140 0.0351  1.1691 -0.0596 -7.0774  14.2698 0.2544 0.3097 0.3483
  U56  BAND3 0.4000          0.2852 0.0470  1.1697 -0.0788 -5.8949  12.3457 0.2553 0.3101 0.3487
  U56  BAND3 0.5000          0.3563 0.0588  1.1704 -0.0978 -4.7070  10.4522 0.2561 0.3106 0.3492
  U56  BAND3 0.6000          0.4273 0.0708  1.1710 -0.1164 -3.5139   8.5887 0.2570 0.3110 0.3496
  U56  BAND3 0.7000          0.4982 0.0828  1.1716 -0.1348 -2.3155   6.7547 0.2578 0.3114 0.3500
  U56  BAND3 0.8000          0.5690 0.0948  1.1722 -0.1528 -1.1120   4.9498 0.2586 0.3118 0.3504
  U56  BAND3 0.9000          0.6398 0.1069  1.1728 -0.1706  0.0963   3.1734 0.2594 0.3122 0.3507
  U56  BAND3 1.0000          0.7105 0.1190  1.1733 -0.1881  1.3094   1.4251 0.2602 0.3126 0.3511
  U56  BAND3 1.1000          0.7811 0.1312  1.1739 -0.2053  2.5272  -0.2956 0.2609 0.3130 0.3514
  U56  BAND3 1.2000          0.8517 0.1434  1.1744 -0.2222  3.7494  -1.9892 0.2617 0.3134 0.3517
  U56  BAND3 1.3000          0.9221 0.1557  1.1749 -0.2389  4.9760  -3.6560 0.2624 0.3137 0.3521
  U56  BAND3 1.4000          0.9925 0.1680  1.1754 -0.2553  6.2067  -5.2965 0.2631 0.3141 0.3524
  U56  BAND3 1.5000          1.0629 0.1803  1.1759 -0.2714  7.4415  -6.9112 0.2638 0.3144 0.3526
 B136   MADG 0.3000          0.2130 0.0332  1.1241 -0.0507 -7.2902  15.1616 0.2850 0.1763 0.2632
 B136   MADG 0.4000          0.2839 0.0444  1.1249 -0.0671 -6.1734  13.5202 0.2860 0.1767 0.2636
 B136   MADG 0.5000          0.3546 0.0556  1.1256 -0.0833 -5.0525  11.9020 0.2870 0.1772 0.2639
 B136   MADG 0.6000          0.4253 0.0669  1.1263 -0.0992 -3.9276  10.3069 0.2880 0.1776 0.2643
 B136   MADG 0.7000          0.4960 0.0782  1.1270 -0.1150 -2.7988   8.7344 0.2890 0.1780 0.2647
 B136   MADG 0.8000          0.5665 0.0895  1.1277 -0.1305 -1.6662   7.1842 0.2899 0.1785 0.2650
 B136   MADG 0.9000          0.6370 0.1008  1.1284 -0.1457 -0.5300   5.6560 0.2909 0.1789 0.2653
 B136   MADG 1.0000          0.7074 0.1122  1.1291 -0.1608  0.6097   4.1495 0.2918 0.1793 0.2657
 B136   MADG 1.1000          0.7777 0.1237  1.1297 -0.1757  1.7526   2.6643 0.2927 0.1797 0.2660
 B136   MADG 1.2000          0.8479 0.1351  1.1304 -0.1903  2.8988   1.2002 0.2936 0.1801 0.2663
 B136   MADG 1.3000          0.9181 0.1466  1.1310 -0.2047  4.0479  -0.2431 0.2945 0.1805 0.2666
 B136   MADG 1.4000          0.9883 0.1581  1.1316 -0.2190  5.2000  -1.6660 0.2953 0.1809 0.2668
 B136   MADG 1.5000          1.0583 0.1697  1.1323 -0.2330  6.3547  -3.0687 0.2962 0.1813 0.2671
 B136  TOP20 0.3000          0.2965 0.0638  1.0855 -0.1110 -4.2304   9.1300 0.3639 0.0709 0.1144
 B136  TOP20 0.4000          0.3949 0.0854  1.0875 -0.1460 -2.0702   5.6322 0.3660 0.0731 0.1165
 B136  TOP20 0.5000          0.4932 0.1072  1.0895 -0.1800  0.1048   2.2302 0.3680 0.0753 0.1185
 B136  TOP20 0.6000          0.5912 0.1291  1.0914 -0.2131  2.2941  -1.0792 0.3701 0.0775 0.1205
 B136  TOP20 0.7000          0.6891 0.1511  1.0933 -0.2453  4.4967  -4.2987 0.3721 0.0797 0.1225
 B136  TOP20 0.8000          0.7869 0.1733  1.0951 -0.2766  6.7119  -7.4312 0.3741 0.0819 0.1244
 B136  TOP20 0.9000          0.8845 0.1955  1.0970 -0.3071  8.9388 -10.4793 0.3761 0.0840 0.1263
 B136  TOP20 1.0000          0.9819 0.2179  1.0987 -0.3368 11.1765 -13.4456 0.3781 0.0861 0.1282
 B136  TOP20 1.1000          1.0792 0.2404  1.1005 -0.3656 13.4241 -16.3325 0.3801 0.0882 0.1300
 B136  TOP20 1.2000          1.1764 0.2629  1.1022 -0.3937 15.6806 -19.1423 0.3820 0.0903 0.1318
 B136  TOP20 1.3000          1.2734 0.2856  1.1038 -0.4211 17.9451 -21.8773 0.3839 0.0923 0.1335
 B136  TOP20 1.4000          1.3704 0.3083  1.1054 -0.4477 20.2167 -24.5396 0.3858 0.0944 0.1352
 B136  TOP20 1.5000          1.4672 0.3311  1.1070 -0.4736 22.4943 -27.1314 0.3877 0.0964 0.1368
 B136  TOP40 0.3000          0.2930 0.0553  1.0982 -0.1001 -5.0805  10.2207 0.2642 0.1684 0.2172
 B136  TOP40 0.4000          0.3903 0.0740  1.0995 -0.1319 -3.2113   7.0421 0.2660 0.1695 0.2182
 B136  TOP40 0.5000          0.4875 0.0928  1.1008 -0.1629 -1.3306   3.9393 0.2676 0.1706 0.2191
 B136  TOP40 0.6000          0.5845 0.1118  1.1020 -0.1932  0.5611   0.9105 0.2693 0.1717 0.2200
 B136  TOP40 0.7000          0.6813 0.1308  1.1033 -0.2228  2.4633  -2.0461 0.2710 0.1727 0.2208
 B136  TOP40 0.8000          0.7781 0.1499  1.1045 -0.2516  4.3753  -4.9321 0.2726 0.1738 0.2216
 B136  TOP40 0.9000          0.8746 0.1691  1.1057 -0.2798  6.2966  -7.7491 0.2742 0.1748 0.2224
 B136  TOP40 1.0000          0.9710 0.1884  1.1068 -0.3073  8.2266 -10.4988 0.2758 0.1758 0.2231
 B136  TOP40 1.1000          1.0674 0.2078  1.1079 -0.3341 10.1646 -13.1826 0.2773 0.1768 0.2238
 B136  TOP40 1.2000          1.1635 0.2272  1.1090 -0.3603 12.1101 -15.8019 0.2789 0.1777 0.2245
 B136  TOP40 1.3000          1.2596 0.2468  1.1101 -0.3859 14.0624 -18.3584 0.2804 0.1787 0.2252
 B136  TOP40 1.4000          1.3556 0.2664  1.1112 -0.4108 16.0209 -20.8533 0.2819 0.1796 0.2258
 B136  TOP40 1.5000          1.4514 0.2860  1.1122 -0.4352 17.9849 -23.2879 0.2834 0.1805 0.2264
 B136 EWELIG 0.3000          0.3015 0.0462  1.0620 -0.0905 -5.9975  11.1756 0.2015 0.1508 0.1990
 B136 EWELIG 0.4000          0.4017 0.0617  1.0625 -0.1195 -4.4450   8.2752 0.2027 0.1507 0.1987
 B136 EWELIG 0.5000          0.5017 0.0773  1.0629 -0.1480 -2.8864   5.4319 0.2039 0.1507 0.1984
 B136 EWELIG 0.6000          0.6016 0.0929  1.0634 -0.1758 -1.3219   2.6448 0.2051 0.1506 0.1980
 B136 EWELIG 0.7000          0.7014 0.1086  1.0638 -0.2032  0.2481  -0.0871 0.2063 0.1505 0.1977
 B136 EWELIG 0.8000          0.8011 0.1244  1.0642 -0.2299  1.8233  -2.7648 0.2075 0.1504 0.1973
 B136 EWELIG 0.9000          0.9006 0.1402  1.0646 -0.2562  3.4032  -5.3891 0.2087 0.1504 0.1969
 B136 EWELIG 1.0000          1.0000 0.1560  1.0650 -0.2819  4.9875  -7.9610 0.2099 0.1503 0.1965
 B136 EWELIG 1.1000          1.0993 0.1719  1.0654 -0.3071  6.5758 -10.4813 0.2111 0.1502 0.1961
 B136 EWELIG 1.2000          1.1985 0.1878  1.0657 -0.3318  8.1676 -12.9510 0.2122 0.1501 0.1957
 B136 EWELIG 1.3000          1.2976 0.2038  1.0661 -0.3560  9.7626 -15.3707 0.2134 0.1501 0.1952
 B136 EWELIG 1.4000          1.3965 0.2197  1.0664 -0.3797 11.3604 -17.7414 0.2145 0.1500 0.1948
 B136 EWELIG 1.5000          1.4954 0.2357  1.0667 -0.4029 12.9604 -20.0639 0.2157 0.1499 0.1943
 B136  BAND3 0.3000          0.2135 0.0331  1.0829 -0.0651 -7.3043  13.7219 0.2550 0.1304 0.2064
 B136  BAND3 0.4000          0.2845 0.0442  1.0836 -0.0861 -6.1927  11.6228 0.2561 0.1308 0.2067
 B136  BAND3 0.5000          0.3554 0.0554  1.0843 -0.1067 -5.0772   9.5579 0.2571 0.1312 0.2070
 B136  BAND3 0.6000          0.4262 0.0666  1.0850 -0.1270 -3.9579   7.5267 0.2581 0.1316 0.2073
 B136  BAND3 0.7000          0.4969 0.0778  1.0857 -0.1470 -2.8350   5.5287 0.2591 0.1320 0.2075
 B136  BAND3 0.8000          0.5676 0.0891  1.0863 -0.1667 -1.7085   3.5632 0.2601 0.1324 0.2078
 B136  BAND3 0.9000          0.6382 0.1004  1.0870 -0.1860 -0.5788   1.6299 0.2611 0.1328 0.2081
 B136  BAND3 1.0000          0.7088 0.1117  1.0876 -0.2050  0.5543  -0.2718 0.2620 0.1332 0.2083
 B136  BAND3 1.1000          0.7792 0.1230  1.0882 -0.2237  1.6903  -2.1423 0.2629 0.1336 0.2085
 B136  BAND3 1.2000          0.8496 0.1344  1.0888 -0.2421  2.8293  -3.9822 0.2639 0.1340 0.2087
 B136  BAND3 1.3000          0.9199 0.1459  1.0894 -0.2602  3.9710  -5.7919 0.2648 0.1344 0.2089
 B136  BAND3 1.4000          0.9902 0.1573  1.0900 -0.2780  5.1153  -7.5718 0.2657 0.1347 0.2091
 B136  BAND3 1.5000          1.0604 0.1688  1.0906 -0.2955  6.2620  -9.3224 0.2665 0.1351 0.2093

CAGR-floor crossing by form (the gross at which m_CAGR changes sign):
    U56 MADG    m_CAGR   -7.08 ..   +7.45 pp   crossing ['0.80->0.90']
    U56 TOP20   m_CAGR   -4.81 ..  +19.47 pp   crossing ['0.50->0.60']
    U56 TOP40   m_CAGR   -6.32 ..  +11.42 pp   crossing ['0.70->0.80']
    U56 EWELIG  m_CAGR   -5.93 ..  +13.36 pp   crossing ['0.60->0.70']
    U56 BAND3   m_CAGR   -7.08 ..   +7.44 pp   crossing ['0.80->0.90']
   B136 MADG    m_CAGR   -7.29 ..   +6.35 pp   crossing ['0.90->1.00']
   B136 TOP20   m_CAGR   -4.23 ..  +22.49 pp   crossing ['0.40->0.50']
   B136 TOP40   m_CAGR   -5.08 ..  +17.98 pp   crossing ['0.50->0.60']
   B136 EWELIG  m_CAGR   -6.00 ..  +12.96 pp   crossing ['0.60->0.70']
   B136 BAND3   m_CAGR   -7.30 ..   +6.26 pp   crossing ['0.90->1.00']

====================================================================================================
STAGE B  RUN THE FULL OFFSET FAMILY ON THE CENTRED BOOKS AND THEIR CONTROLS
====================================================================================================
selected 71 books: CAGR-centred 28, DD-centred (and not CAGR-centred) 15, FAR control 29 (|m_CAGR| > 4.0pp, every third gross)
cells: 7384 rows   (233s)

====================================================================================================
G3  REPRODUCE IDEA 808's UNMATCHED RESULT ON ITS OWN TWELVE BOOKS
====================================================================================================
808's book set present in this run's selection: 2 of 12 books (a ladder point is only run if it fell in a band or the FAR control)
      median_ratio  total_flips  median_absmargin  mean_spread
leg                                                           
H1           2.705            0             0.294        0.110
H2           1.097            3             0.260        0.237
OOS          1.394            0             0.329        0.238
DD           0.498           19             4.447        9.010
CAGR         0.708            2             0.961        1.313
  808 published median margin/spread CAGR 0.877, DD 0.466; flips CAGR 3, DD 52 over its full 12-book set.
  This run's subset is not 808's population (it is the part of 808's books that fell inside a band or the FAR control), so the numbers are reported as a DIRECTION check, not an equality bar: the ORDERING (DD flips > CAGR flips, DD ratio < CAGR ratio) is what must hold.
  ORDERING on 808's books: REPRODUCED

====================================================================================================
THE ANSWER  FLIPS AT MATCHED |MARGIN| (H_CONVERGE), every band x offset grid printed
====================================================================================================
 family  band  lag   cost  n_CAGR  flips_CAGR  fpb_CAGR  ratio_CAGR  spread_CAGR  n_DD  flips_DD  fpb_DD  ratio_DD  spread_DD  n_CAGR_far  fpb_CAGR_far  fpb_ratio_DD_over_CAGR
MONTHLY 0.500    1 10.000       5          72    14.400       0.142        1.246     6        42   7.000     0.024      8.336          36         0.000                   0.486
MONTHLY 0.500    1 25.000       7          25     3.571       0.221        1.129     6        43   7.167     0.035      9.123          35         0.000                   2.007
MONTHLY 0.500    2 10.000       8          53     6.625       0.134        1.015     3        32  10.667     0.021     16.267          35         0.000                   1.610
MONTHLY 0.500    2 25.000       8          42     5.250       0.230        1.101     3        32  10.667     0.020     16.190          33         0.000                   2.032
MONTHLY 1.000    1 10.000      13          97     7.462       0.416        1.151    11        79   7.182     0.047      9.573          36         0.000                   0.963
MONTHLY 1.000    1 25.000      14          46     3.286       0.318        1.302    10        64   6.400     0.039      9.123          35         0.000                   1.948
MONTHLY 1.000    2 10.000      13          58     4.462       0.261        1.021    10        95   9.500     0.072      9.835          35         0.000                   2.129
MONTHLY 1.000    2 25.000      13          49     3.769       0.428        1.034    10       109  10.900     0.076     10.338          33         0.000                   2.892
MONTHLY 2.000    1 10.000      28         102     3.643       0.823        1.116    20       145   7.250     0.087      9.168          36         0.000                   1.990
MONTHLY 2.000    1 25.000      28          54     1.929       0.876        1.118    18       130   7.222     0.077      9.123          35         0.000                   3.745
MONTHLY 2.000    2 10.000      28          58     2.071       0.941        1.018    16       167  10.438     0.096      9.835          35         0.000                   5.039
MONTHLY 2.000    2 25.000      26          49     1.885       0.880        1.049    16       167  10.438     0.095      9.781          33         0.000                   5.538
 WEEKLY 0.500    1 10.000       7           7     1.000       0.356        0.834     3         3   1.000     0.033      3.423          29         0.000                   1.000
 WEEKLY 0.500    1 25.000       5           6     1.200       0.225        0.966     3         7   2.333     0.063      3.096          23         0.000                   1.944
 WEEKLY 0.500    2 10.000       8          10     1.250       0.443        0.779     6        18   3.000     0.065      5.476          28         0.000                   2.400
 WEEKLY 0.500    2 25.000       7           9     1.286       0.392        0.801     4         8   2.000     0.055      5.349          22         0.000                   1.556
 WEEKLY 1.000    1 10.000      14           8     0.571       0.481        0.843     5         4   0.800     0.133      3.423          29         0.000                   1.400
 WEEKLY 1.000    1 25.000      11           7     0.636       0.675        0.966     6         8   1.333     0.135      3.380          23         0.000                   2.095
 WEEKLY 1.000    2 10.000      13          12     0.923       0.526        0.724     8        22   2.750     0.074      5.476          28         0.000                   2.979
 WEEKLY 1.000    2 25.000      11          12     1.091       0.653        0.762     8        18   2.250     0.108      5.430          22         0.000                   2.062
 WEEKLY 2.000    1 10.000      25           8     0.320       0.919        0.834    13        18   1.385     0.306      3.423          29         0.000                   4.327
 WEEKLY 2.000    1 25.000      26           7     0.269       1.132        0.919    14        22   1.571     0.349      3.333          23         0.000                   5.837
 WEEKLY 2.000    2 10.000      25          14     0.560       1.013        0.724    16        29   1.812     0.198      5.453          28         0.000                   3.237
 WEEKLY 2.000    2 25.000      24          13     0.542       0.961        0.781    16        27   1.688     0.206      5.192          22         0.000                   3.115

GROSS > 1.00 IS LEVERAGE, WHICH PROTOCOL RULE 2 FORBIDS UNLESS THE IDEA ASKS FOR IT.
Idea 879 does not.  The gross ladder is a METHOD for sliding a book's margin through a 4b
bar, so leveraged rungs are admitted as ladder points and NEVER as capital candidates.
The whole H_CONVERGE table restricted to gross <= 1.00, so the answer does not rest on them:
 family  band  n_CAGR  fpb_CAGR  n_DD  fpb_DD  ratio  n_CAGR_far  fpb_CAGR_far
MONTHLY 0.500       5    14.400     4   8.750  0.608          15         0.000
MONTHLY 1.000      13     7.462     5   7.400  0.992          15         0.000
MONTHLY 2.000      26     3.923    10   6.800  1.733          15         0.000
 WEEKLY 0.500       7     1.000     0     NaN    NaN          12         0.000
 WEEKLY 1.000      13     0.615     2   0.500  0.812          12         0.000
 WEEKLY 2.000      22     0.364     5   1.200  3.300          12         0.000

H_CONVERGE at the queue's own band (1.0pp, MONTHLY, 10bps, lag 1): CAGR 7.46 flips/book over 13 books, DD 7.18 over 11, ratio 0.96 -> CONFIRMED (bar: ratio in [0.5, 2.0])
  and the SAME leg uncentred: CAGR 0.00 flips/book over 36 books at |margin| > 4.0pp — this is the quantity 808 measured as 3 flips over 12 books.

====================================================================================================
H_RATIO  IS THE FLIP COUNT A FUNCTION OF |MARGIN|/SPREAD ALONE?
====================================================================================================

MONTHLY:
  CAGR  n  71  Spearman(|margin|/spread, flips) = -0.585   median spread 1.413pp
  DD    n  71  Spearman(|margin|/spread, flips) = -0.629   median spread 8.201pp
  flip rate inside matched |margin|/spread buckets (the H_RATIO test):
    ratio [0.00, 0.25) :  CAGR n=  3 flips/book  15.00  DD n= 22 flips/book   6.41
    ratio [0.25, 0.5) :  CAGR n=  4 flips/book  11.00  DD n=  9 flips/book   5.44
    ratio [0.50, 1.0) :  CAGR n=  9 flips/book   1.44  DD n= 18 flips/book   1.72
    ratio [1.00, 2.0) :  CAGR n= 14 flips/book   0.00  DD n= 10 flips/book   0.00
    ratio [2.00, inf) :  CAGR n= 41 flips/book   0.00  DD n= 12 flips/book   0.00

WEEKLY:
  CAGR  n  71  Spearman(|margin|/spread, flips) = -0.481   median spread 0.980pp
  DD    n  71  Spearman(|margin|/spread, flips) = -0.557   median spread 3.076pp
  flip rate inside matched |margin|/spread buckets (the H_RATIO test):
    ratio [0.00, 0.25) :  CAGR n=  2 flips/book   1.00  DD n=  5 flips/book   0.80
    ratio [0.25, 0.5) :  CAGR n=  6 flips/book   1.00  DD n=  8 flips/book   1.62
    ratio [0.50, 1.0) :  CAGR n=  5 flips/book   0.00  DD n=  9 flips/book   0.67
    ratio [1.00, 2.0) :  CAGR n= 10 flips/book   0.00  DD n= 22 flips/book   0.00
    ratio [2.00, inf) :  CAGR n= 48 flips/book   0.00  DD n= 27 flips/book   0.00

====================================================================================================
H_SPREAD  IS THE RESIDUAL A SPREAD FACT?
====================================================================================================
      median_spread  median_sd  median_absmargin  median_ratio  flips   n
leg                                                                      
H1            0.114      0.028             0.262         2.434      0  71
H2            0.228      0.068             0.312         1.283    152  71
OOS           0.226      0.067             0.342         1.547     42  71
DD            8.201      2.321             4.745         0.604    221  71
CAGR          1.413      0.374             4.048         2.512    102  71

  median 21-calendar spread: CAGR 1.413pp, DD 8.201pp, DD/CAGR = 5.80x
  H_SPREAD CONFIRMED: the DD leg's calendar spread is wider than the CAGR leg's in the same pp units.

====================================================================================================
RULE 8 ON THE BOOKS  (IS-only selector on 2009-2016, OOS 2017-2026 read once)
====================================================================================================

every selected book, MONTHLY k=0, 10bps, lag 1 (71 grid points):
panel         book  IS_Sharpe   CAGR  Sharpe   MaxDD     H1     H2  OOS_CAGR  OOS_Sharpe  OOS_MaxDD  SPY_CAGR  SPY_Sharpe  SPY_MaxDD  SPY_OOS_Sharpe  BASE_Sharpe  BASE_H1  BASE_H2  BASE_MaxDD  keep4a  keep4b
