panel,rank,label,peak,trough,rec,days,depth
U56,29,E29_2025-08-01,2025-07-25,2025-08-01,2025-08-08,5,-0.024140712669577402
U56,30,E30_2024-11-15,2024-11-11,2024-11-15,2024-11-26,4,-0.021728214686985048
U56,31,E31_2021-03-24,2021-03-17,2021-03-24,2021-03-26,5,-0.021323085890111115
U56,32,E32_2021-06-18,2021-06-14,2021-06-18,2021-06-24,4,-0.021122512084611245
U56,33,E33_2017-08-18,2017-08-07,2017-08-18,2017-09-11,9,-0.02081786043195355
U56,34,E34_2020-11-20,2020-11-16,2020-11-20,2020-11-24,4,-0.01996853526091158
U56,35,E35_2024-01-04,2023-12-28,2024-01-04,2024-01-19,4,-0.019740415001461842
U56,36,E36_2025-02-03,2025-01-23,2025-02-03,2025-02-18,7,-0.019647301717518606
U56,37,E37_2026-05-19,2026-05-14,2026-05-19,2026-05-26,3,-0.01930043316728014
U56,38,E38_2019-12-03,2019-11-27,2019-12-03,2019-12-12,3,-0.018796530043416304
U56,39,E39_2017-05-17,2017-05-15,2017-05-17,2017-05-24,2,-0.018643411318938874
U56,40,E40_2021-08-18,2021-08-16,2021-08-18,2021-08-23,2,-0.017428526357390672
U56,41,E41_2024-01-31,2024-01-29,2024-01-31,2024-02-02,2,-0.017078160952802235
U56,42,E42_2017-07-06,2017-06-19,2017-07-06,2017-07-14,12,-0.016798783297999997
U56,43,E43_2024-05-30,2024-05-21,2024-05-30,2024-06-05,6,-0.01646725393339754
U56,44,E44_2020-12-14,2020-12-08,2020-12-14,2020-12-16,4,-0.014884908931646512
U56,45,E45_2021-01-15,2021-01-08,2021-01-15,2021-01-20,5,-0.014583247414381106
U56,46,E46_2025-08-21,2025-08-14,2025-08-21,2025-08-22,5,-0.014574793680524945
U56,47,E47_2024-02-13,2024-02-09,2024-02-13,2024-02-15,2,-0.014205900150290884
U56,48,E48_2023-12-20,2023-12-19,2023-12-20,2023-12-26,1,-0.01385726537206644
U56,49,E49_2021-01-04,2020-12-31,2021-01-04,2021-01-07,1,-0.01361377012310061
U56,50,E50_2019-06-26,2019-06-20,2019-06-26,2019-07-01,4,-0.01344249332577463
U56,51,E51_2025-09-02,2025-08-28,2025-09-02,2025-09-04,2,-0.013329676998668494
U56,52,E52_2018-09-07,2018-08-29,2018-09-07,2018-09-20,6,-0.013311117138760764
U56,53,E53_2018-08-15,2018-08-07,2018-08-15,2018-08-20,6,-0.013305717072275458
U56,54,E54_2025-09-25,2025-09-22,2025-09-25,2025-10-01,3,-0.013181611789148895
U56,55,E55_2025-12-31,2025-12-24,2025-12-31,2026-01-06,4,-0.012254152101879856
U56,56,E56_2021-04-20,2021-04-16,2021-04-20,2021-04-26,2,-0.012198227891998314
U56,57,E57_2019-07-19,2019-07-15,2019-07-19,2019-07-24,4,-0.011903402834603116
U56,58,E58_2021-11-10,2021-11-08,2021-11-10,2021-11-16,2,-0.011323677079151828
U56,59,E59_2024-03-05,2024-03-01,2024-03-05,2024-03-07,2,-0.011055737678574262
U56,60,E60_2021-05-04,2021-04-29,2021-05-04,2021-05-07,3,-0.010569847186719272
U56,61,E61_2024-02-20,2024-02-15,2024-02-20,2024-02-22,2,-0.010457832334036632
U56,62,E62_2024-10-07,2024-09-30,2024-10-07,2024-10-09,5,-0.01038774807438636
U56,63,E63_2024-03-15,2024-03-12,2024-03-15,2024-03-19,3,-0.010383596433348519
U56,64,E64_2017-11-15,2017-11-08,2017-11-15,2017-11-21,5,-0.010304577342655108
U56,65,E65_2020-11-12,2020-11-11,2020-11-12,2020-11-13,1,-0.009701092221932828
U56,66,E66_2019-05-02,2019-04-30,2019-05-02,2019-05-03,2,-0.00965846376069901
U56,67,E67_2020-12-22,2020-12-17,2020-12-22,2020-12-28,3,-0.009226459236221674
U56,68,E68_2017-01-31,2017-01-25,2017-01-31,2017-02-09,4,-0.008886326044401205
U56,69,E69_2024-07-11,2024-07-10,2024-07-11,2024-07-15,1,-0.008622948828562405
U56,70,E70_2026-04-21,2026-04-17,2026-04-21,2026-04-22,2,-0.008533489045554843
U56,71,E71_2020-08-11,2020-08-10,2020-08-11,2020-08-12,1,-0.008254509012199485
U56,72,E72_2021-07-08,2021-07-07,2021-07-08,2021-07-09,1,-0.008148062957245017
U56,73,E73_2025-07-08,2025-07-03,2025-07-08,2025-07-10,2,-0.007995802660363038
U56,74,E74_2021-08-02,2021-07-26,2021-08-02,2021-08-03,5,-0.007777706882903135
U56,75,E75_2024-10-15,2024-10-14,2024-10-15,2024-10-18,1,-0.0077696945584019295
U56,76,E76_2020-01-03,2020-01-02,2020-01-03,2020-01-09,1,-0.0075717973343707445
U56,77,E77_2024-06-24,2024-06-18,2024-06-24,2024-07-02,3,-0.007291007046475784
U56,78,E78_2017-10-25,2017-10-20,2017-10-25,2017-10-27,3,-0.0070784165293671375
U56,79,E79_2017-12-05,2017-11-30,2017-12-05,2017-12-08,3,-0.006867835743937789
U56,80,E80_2024-03-11,2024-03-07,2024-03-11,2024-03-12,2,-0.006856839610465348
U56,81,E81_2019-07-08,2019-07-03,2019-07-08,2019-07-11,2,-0.0066260513982316915
U56,82,E82_2024-03-26,2024-03-21,2024-03-26,2024-03-27,3,-0.006491659901448066
U56,83,E83_2021-08-26,2021-08-25,2021-08-26,2021-08-27,1,-0.0059032555376983264
U56,84,E84_2025-07-15,2025-07-10,2025-07-15,2025-07-17,3,-0.005880330579366877
U56,85,E85_2019-12-30,2019-12-26,2019-12-30,2020-01-02,2,-0.005759496681002618
U56,86,E86_2017-01-19,2017-01-06,2017-01-19,2017-01-24,8,-0.005721525508446512
U56,87,E87_2019-11-21,2019-11-18,2019-11-21,2019-11-25,3,-0.0056084217131744385
U56,88,E88_2020-02-07,2020-02-06,2020-02-07,2020-02-10,1,-0.005329973166183555
U56,89,E89_2021-12-31,2021-12-29,2021-12-31,2022-01-03,2,-0.005277894077527212
U56,90,E90_2026-04-29,2026-04-27,2026-04-29,2026-04-30,2,-0.005019820355814497
U56,91,E91_2017-12-29,2017-12-18,2017-12-29,2018-01-02,8,-0.004996307132734024
U56,92,E92_2021-08-04,2021-08-03,2021-08-04,2021-08-05,1,-0.0049188442838110635
U56,93,E93_2019-07-25,2019-07-24,2019-07-25,2019-07-26,1,-0.00477720872419285
U56,94,E94_2017-09-25,2017-09-20,2017-09-25,2017-09-28,3,-0.004518976266446595
U56,95,E95_2021-10-27,2021-10-26,2021-10-27,2021-10-28,1,-0.004430207277094977
U56,96,E96_2020-11-30,2020-11-27,2020-11-30,2020-12-01,1,-0.004427069780029491
U56,97,E97_2025-08-25,2025-08-22,2025-08-25,2025-08-27,1,-0.004401021436824082
U56,98,E98_2017-12-14,2017-12-12,2017-12-14,2017-12-15,2,-0.00419799138428989
U56,99,E99_2020-08-19,2020-08-18,2020-08-19,2020-08-21,1,-0.004163748675681145
U56,100,E100_2017-06-06,2017-06-02,2017-06-06,2017-06-13,2,-0.0039316295167215465
U56,101,E101_2026-04-23,2026-04-22,2026-04-23,2026-04-24,1,-0.003880699058688486
U56,102,E102_2017-10-30,2017-10-27,2017-10-30,2017-11-03,1,-0.0037251087434099217
U56,103,E103_2017-05-12,2017-05-10,2017-05-12,2017-05-15,2,-0.0037100144361352783
U56,104,E104_2025-10-07,2025-10-06,2025-10-07,2025-10-08,1,-0.0037075987308050617
U56,105,E105_2026-05-04,2026-05-01,2026-05-04,2026-05-05,1,-0.0036633369421348316
U56,106,E106_2024-02-26,2024-02-23,2024-02-26,2024-02-29,1,-0.0036624322688378896
U56,107,E107_2024-02-05,2024-02-02,2024-02-05,2024-02-07,1,-0.003640958027080754
U56,108,E108_2020-08-31,2020-08-28,2020-08-31,2020-09-01,1,-0.0036226890102990517
U56,109,E109_2026-08-06,2026-08-04,2026-08-06,2026-08-07,2,-0.0035911996162474313
U56,110,E110_2021-01-22,2021-01-21,2021-01-22,2021-01-25,1,-0.003539686588206248
U56,111,E111_2026-08-11,2026-08-07,2026-08-11,2026-08-13,2,-0.0034917104208155303
U56,112,E112_2018-01-16,2018-01-12,2018-01-16,2018-01-17,1,-0.0034182149048924693
U56,113,E113_2021-04-14,2021-04-13,2021-04-14,2021-04-15,1,-0.00341511850994225
U56,114,E114_2026-01-08,2026-01-06,2026-01-08,2026-01-09,2,-0.0033246966880911
U56,115,E115_2017-06-15,2017-06-13,2017-06-15,2017-06-19,2,-0.0031898688215498128
U56,116,E116_2021-03-30,2021-03-26,2021-03-30,2021-03-31,2,-0.003156782147875181
U56,117,E117_2026-05-07,2026-05-06,2026-05-07,2026-05-08,1,-0.0030660803014654903
U56,118,E118_2024-11-27,2024-11-26,2024-11-27,2024-11-29,1,-0.003029942107767858
U56,119,E119_2025-09-05,2025-09-04,2025-09-05,2025-09-09,1,-0.0028962328101400647
U56,120,E120_2020-01-10,2020-01-09,2020-01-10,2020-01-13,1,-0.0028776031258668233
U56,121,E121_2019-04-25,2019-04-23,2019-04-25,2019-04-26,2,-0.0028336534825968984
U56,122,E122_2017-10-09,2017-10-05,2017-10-09,2017-10-11,2,-0.00278784211309524
U56,123,E123_2017-02-28,2017-02-27,2017-02-28,2017-03-01,1,-0.0026994439498075895
U56,124,E124_2017-07-31,2017-07-26,2017-07-31,2017-08-02,3,-0.0026673127242815564
U56,125,E125_2019-10-31,2019-10-30,2019-10-31,2019-11-01,1,-0.0026635434915546208
U56,126,E126_2025-09-17,2025-09-15,2025-09-17,2025-09-18,2,-0.00261754033513395
U56,127,E127_2020-02-18,2020-02-14,2020-02-18,2020-02-19,1,-0.0025766185756359583
U56,128,E128_2019-04-17,2019-04-16,2019-04-17,2019-04-22,1,-0.0024467367765365067
U56,129,E129_2021-11-17,2021-11-16,2021-11-17,2021-11-18,1,-0.002429043432333078
U56,130,E130_2021-06-09,2021-06-04,2021-06-09,2021-06-10,3,-0.002247978724215005
U56,131,E131_2024-09-25,2024-09-24,2024-09-25,2024-09-26,1,-0.0022054309048644694
U56,132,E132_2024-05-16,2024-05-15,2024-05-16,2024-05-20,1,-0.002057518637176181
U56,133,E133_2020-12-07,2020-12-04,2020-12-07,2020-12-08,1,-0.002054897671827538
U56,134,E134_2025-08-11,2025-08-08,2025-08-11,2025-08-12,1,-0.0019774762566383552
U56,135,E135_2017-08-03,2017-08-02,2017-08-03,2017-08-07,1,-0.0019399544120013434
U56,136,E136_2018-08-23,2018-08-21,2018-08-23,2018-08-24,2,-0.0019205645962908635
U56,137,E137_2019-11-11,2019-11-08,2019-11-11,2019-11-12,1,-0.0019098795227158183
U56,138,E138_2020-12-29,2020-12-28,2020-12-29,2020-12-31,1,-0.0019075431873912807
U56,139,E139_2021-07-06,2021-07-02,2021-07-06,2021-07-07,1,-0.0018213080460222075
U56,140,E140_2020-08-13,2020-08-12,2020-08-13,2020-08-17,1,-0.0018078655344498928
U56,141,E141_2024-10-10,2024-10-09,2024-10-10,2024-10-11,1,-0.0017498864766452016
U56,142,E142_2024-09-20,2024-09-19,2024-09-20,2024-09-23,1,-0.0017286521676459499
U56,143,E143_2018-01-18,2018-01-17,2018-01-18,2018-01-19,1,-0.00168125903366112
U56,144,E144_2023-12-15,2023-12-14,2023-12-15,2023-12-18,1,-0.001646587243046671
U56,145,E145_2024-12-05,2024-12-04,2024-12-05,2024-12-06,1,-0.001645706953653625
U56,146,E146_2020-11-25,2020-11-24,2020-11-25,2020-11-27,1,-0.0015415381555259344
U56,147,E147_2018-01-10,2018-01-09,2018-01-10,2018-01-11,1,-0.0015297498379800434
U56,148,E148_2020-01-14,2020-01-13,2020-01-14,2020-01-15,1,-0.0015244233902815818
U56,149,E149_2026-05-12,2026-05-11,2026-05-12,2026-05-13,1,-0.0015150522721513182
U56,150,E150_2017-10-12,2017-10-11,2017-10-12,2017-10-16,1,-0.0014904962903702357
U56,151,E151_2021-08-31,2021-08-30,2021-08-31,2021-09-02,1,-0.0014813044753801963
U56,152,E152_2024-09-27,2024-09-26,2024-09-27,2024-09-30,1,-0.0014501235600855589
U56,153,E153_2017-05-31,2017-05-25,2017-05-31,2017-06-01,3,-0.0013232890260270747
U56,154,E154_2024-01-26,2024-01-25,2024-01-26,2024-01-29,1,-0.0012703202693131743
U56,155,E155_2021-03-16,2021-03-15,2021-03-16,2021-03-17,1,-0.0012613992539188823
U56,156,E156_2024-06-07,2024-06-05,2024-06-07,2024-06-10,2,-0.0012344761313169972
U56,157,E157_2017-05-03,2017-05-02,2017-05-03,2017-05-05,1,-0.0012144443336100652
U56,158,E158_2017-07-24,2017-07-20,2017-07-24,2017-07-25,2,-0.001133352362229556
U56,159,E159_2019-11-05,2019-11-04,2019-11-05,2019-11-07,1,-0.0011057991147152002
U56,160,E160_2021-02-10,2021-02-08,2021-02-10,2021-02-11,2,-0.0011009230986461782
U56,161,E161_2017-05-09,2017-05-05,2017-05-09,2017-05-10,2,-0.0010848037754449535
U56,162,E162_2020-02-13,2020-02-12,2020-02-13,2020-02-14,1,-0.0010667667214302456
U56,163,E163_2021-10-22,2021-10-21,2021-10-22,2021-10-25,1,-0.0010362163126828028
U56,164,E164_2017-02-22,2017-02-21,2017-02-22,2017-02-24,1,-0.0008877706644826455
U56,165,E165_2017-11-22,2017-11-21,2017-11-22,2017-11-24,1,-0.0008842484438679188
U56,166,E166_2017-02-16,2017-02-15,2017-02-16,2017-02-17,1,-0.0008511934008290645
U56,167,E167_2021-12-28,2021-12-27,2021-12-28,2021-12-29,1,-0.0008170345808939938
U56,168,E168_2021-08-09,2021-08-06,2021-08-09,2021-08-10,1,-0.0008134156517710656
U56,169,E169_2017-01-05,2017-01-04,2017-01-05,2017-01-06,1,-0.000794374394289532
U56,170,E170_2025-07-18,2025-07-17,2025-07-18,2025-07-21,1,-0.000732181687311706
U56,171,E171_2017-11-07,2017-11-06,2017-11-07,2017-11-08,1,-0.0006952989475862426
U56,172,E172_2019-04-15,2019-04-12,2019-04-15,2019-04-16,1,-0.0006543553755717912
U56,173,E173_2017-11-29,2017-11-28,2017-11-29,2017-11-30,1,-0.0006088821003035205
U56,174,E174_2021-04-06,2021-04-05,2021-04-06,2021-04-07,1,-0.0005906624612344036
U56,175,E175_2021-04-28,2021-04-26,2021-04-28,2021-04-29,2,-0.0005030351759622853
U56,176,E176_2017-11-27,2017-11-24,2017-11-27,2017-11-28,1,-0.0004991013976158865
U56,177,E177_2018-01-24,2018-01-23,2018-01-24,2018-01-25,1,-0.00038801550775358074
U56,178,E178_2025-09-12,2025-09-11,2025-09-12,2025-09-15,1,-0.0003343977174241619
U56,179,E179_2025-07-01,2025-06-30,2025-07-01,2025-07-02,1,-0.0003235260907343829
U56,180,E180_2017-09-14,2017-09-13,2017-09-14,2017-09-15,1,-0.0003201039049915977
U56,181,E181_2019-10-29,2019-10-28,2019-10-29,2019-10-30,1,-0.0002966073355064047
U56,182,E182_2020-12-03,2020-12-02,2020-12-03,2020-12-04,1,-0.00027304817000217696
U56,183,E183_2026-05-27,2026-05-26,2026-05-27,2026-05-28,1,-0.00017324255975292857
U56,184,E184_2017-07-17,2017-07-14,2017-07-17,2017-07-18,1,-0.00012229252089857034
U56,185,E185_2025-10-03,2025-10-02,2025-10-03,2025-10-06,1,-1.4915903683077048e-05
B136,1,E1_2020-03-23,2020-02-19,2020-03-23,2020-08-10,23,-0.3371595330739301
B136,2,E2_2022-10-12,2022-01-03,2022-10-12,2023-12-13,195,-0.24496651760884436
B136,3,E3_2018-12-24,2018-09-20,2018-12-24,2019-04-12,65,-0.19347516639095141
B136,4,E4_2025-04-08,2025-02-19,2025-04-08,2025-06-26,34,-0.18755082059706984
B136,5,E5_2018-02-08,2018-01-26,2018-02-08,2018-08-06,9,-0.1010374021225009
B136,6,E6_2020-09-23,2020-09-02,2020-09-23,2020-11-11,14,-0.09441122006010716
B136,7,E7_2026-03-30,2026-01-27,2026-03-30,2026-04-14,43,-0.08883942122837174
B136,8,E8_2024-08-05,2024-07-16,2024-08-05,2024-09-19,14,-0.08405219282348675
B136,9,E9_2019-06-03,2019-05-03,2019-06-03,2019-06-20,20,-0.06616450281994024
B136,10,E10_2019-08-05,2019-07-26,2019-08-05,2019-10-25,6,-0.06021710429807825
B136,11,E11_2024-04-19,2024-03-27,2024-04-19,2024-05-14,16,-0.053550046129988926
B136,12,E12_2021-10-04,2021-09-02,2021-10-04,2021-10-20,21,-0.05116037490851655
B136,13,E13_2025-11-20,2025-10-29,2025-11-20,2025-12-10,16,-0.050708481239182035
B136,14,E14_2026-06-10,2026-06-02,2026-06-10,2026-08-03,6,-0.04494337530688208
B136,15,E15_2025-01-10,2024-12-06,2025-01-10,2025-01-22,22,-0.04174082407065405
B136,16,E16_2021-12-01,2021-11-18,2021-12-01,2021-12-10,8,-0.04093726585382462
B136,17,E17_2021-03-04,2021-02-12,2021-03-04,2021-03-11,13,-0.04059465686543373
B136,18,E18_2021-05-12,2021-05-07,2021-05-12,2021-06-04,3,-0.03959414098260605
B136,19,E19_2021-01-29,2021-01-25,2021-01-29,2021-02-04,4,-0.03723523478650692
B136,20,E20_2020-01-31,2020-01-17,2020-01-31,2020-02-05,9,-0.030801771432348635
B136,21,E21_2026-09-16,2026-08-13,2026-09-16,2026-09-18,23,-0.030634545174062833
B136,22,E22_2021-12-20,2021-12-10,2021-12-20,2021-12-23,6,-0.0300874529883548
B136,23,E23_2025-10-10,2025-10-08,2025-10-10,2025-10-24,2,-0.029854099883160123
B136,24,E24_2021-07-19,2021-07-12,2021-07-19,2021-07-23,5,-0.02771045996426036
B136,25,E25_2024-10-31,2024-10-18,2024-10-31,2024-11-06,9,-0.02728605844767995
B136,26,E26_2017-04-13,2017-03-01,2017-04-13,2017-05-02,31,-0.026102958981065072
B136,27,E27_2025-12-17,2025-12-11,2025-12-17,2025-12-23,4,-0.025793331480154058
B136,28,E28_2026-01-20,2026-01-12,2026-01-20,2026-01-27,5,-0.02529320742165464
B136,29,E29_2025-08-01,2025-07-25,2025-08-01,2025-08-08,5,-0.024138259379165694
B136,30,E30_2024-11-15,2024-11-11,2024-11-15,2024-11-26,4,-0.021731349388965704
B136,31,E31_2021-03-24,2021-03-17,2021-03-24,2021-03-26,5,-0.02130832000433769
B136,32,E32_2021-06-18,2021-06-14,2021-06-18,2021-06-24,4,-0.021127293838503647
B136,33,E33_2017-08-18,2017-08-07,2017-08-18,2017-09-11,9,-0.020795618066193233
B136,34,E34_2020-11-20,2020-11-16,2020-11-20,2020-11-24,4,-0.01995644781194994
B136,35,E35_2024-01-04,2023-12-28,2024-01-04,2024-01-19,4,-0.019730728502582395
B136,36,E36_2025-02-03,2025-01-23,2025-02-03,2025-02-18,7,-0.01965003586381786
B136,37,E37_2026-05-19,2026-05-14,2026-05-19,2026-05-26,3,-0.019309882747068685
B136,38,E38_2019-12-03,2019-11-27,2019-12-03,2019-12-12,3,-0.01880067095331306
B136,39,E39_2017-05-17,2017-05-15,2017-05-17,2017-05-24,2,-0.018668206312548064
B136,40,E40_2021-08-18,2021-08-16,2021-08-18,2021-08-23,2,-0.017426690604428363
B136,41,E41_2024-01-31,2024-01-29,2024-01-31,2024-02-02,2,-0.01706928367723537
B136,42,E42_2017-07-06,2017-06-19,2017-07-06,2017-07-14,12,-0.016788939051918805
B136,43,E43_2024-05-30,2024-05-21,2024-05-30,2024-06-05,6,-0.01646695013529187
B136,44,E44_2020-12-14,2020-12-08,2020-12-14,2020-12-16,4,-0.014900952492257202
B136,45,E45_2021-01-15,2021-01-08,2021-01-15,2021-01-20,5,-0.01460369470651346
B136,46,E46_2025-08-21,2025-08-14,2025-08-21,2025-08-22,5,-0.014563867812127596
B136,47,E47_2024-02-13,2024-02-09,2024-02-13,2024-02-15,2,-0.014202910466168062
B136,48,E48_2023-12-20,2023-12-19,2023-12-20,2023-12-26,1,-0.013862975658436971
B136,49,E49_2021-01-04,2020-12-31,2021-01-04,2021-01-07,1,-0.013596036409724732
B136,50,E50_2019-06-26,2019-06-20,2019-06-26,2019-07-01,4,-0.0134667469154377
B136,51,E51_2025-09-02,2025-08-28,2025-09-02,2025-09-04,2,-0.013337280503575744
B136,52,E52_2018-09-07,2018-08-29,2018-09-07,2018-09-20,6,-0.013329716743519016
B136,53,E53_2018-08-15,2018-08-07,2018-08-15,2018-08-20,6,-0.013328060114692342
B136,54,E54_2025-09-25,2025-09-22,2025-09-25,2025-10-01,3,-0.013184952219668644
B136,55,E55_2025-12-31,2025-12-24,2025-12-31,2026-01-06,4,-0.012246443289210984
B136,56,E56_2021-04-20,2021-04-16,2021-04-20,2021-04-26,2,-0.012194180751716965
B136,57,E57_2019-07-19,2019-07-15,2019-07-19,2019-07-24,4,-0.011895116741548195
B136,58,E58_2021-11-10,2021-11-08,2021-11-10,2021-11-16,2,-0.011326419213973926
B136,59,E59_2024-03-05,2024-03-01,2024-03-05,2024-03-07,2,-0.011047948094731086
B136,60,E60_2021-05-04,2021-04-29,2021-05-04,2021-05-07,3,-0.010579576816927339
B136,61,E61_2024-02-20,2024-02-15,2024-02-20,2024-02-22,2,-0.010465617368820679
B136,62,E62_2024-10-07,2024-09-30,2024-10-07,2024-10-09,5,-0.010387577595560415
B136,63,E63_2024-03-15,2024-03-12,2024-03-15,2024-03-19,3,-0.010385727100568065
B136,64,E64_2017-11-15,2017-11-08,2017-11-15,2017-11-21,5,-0.010339342523860151
B136,65,E65_2020-11-12,2020-11-11,2020-11-12,2020-11-13,1,-0.009703438656073704
B136,66,E66_2019-05-02,2019-04-30,2019-05-02,2019-05-03,2,-0.009652509652509744
B136,67,E67_2020-12-22,2020-12-17,2020-12-22,2020-12-28,3,-0.009210564546590305
B136,68,E68_2017-01-31,2017-01-25,2017-01-31,2017-02-09,4,-0.008902377339403134
B136,69,E69_2024-07-11,2024-07-10,2024-07-11,2024-07-15,1,-0.008626034941824567
B136,70,E70_2026-04-21,2026-04-17,2026-04-21,2026-04-22,2,-0.00854133724870132
B136,71,E71_2020-08-11,2020-08-10,2020-08-11,2020-08-12,1,-0.008251626055722605
B136,72,E72_2021-07-08,2021-07-07,2021-07-08,2021-07-09,1,-0.008151504703738266
B136,73,E73_2025-07-08,2025-07-03,2025-07-08,2025-07-10,2,-0.00800336302931337
B136,74,E74_2024-10-15,2024-10-14,2024-10-15,2024-10-18,1,-0.007772111219784716
B136,75,E75_2021-08-02,2021-07-26,2021-08-02,2021-08-03,5,-0.007763410077876842
B136,76,E76_2020-01-03,2020-01-02,2020-01-03,2020-01-09,1,-0.007598014385573948
B136,77,E77_2024-06-24,2024-06-18,2024-06-24,2024-07-02,3,-0.007283553025764
B136,78,E78_2017-10-25,2017-10-20,2017-10-25,2017-10-27,3,-0.007080197711181513
B136,79,E79_2017-12-05,2017-11-30,2017-12-05,2017-12-08,3,-0.006869140709379273
B136,80,E80_2024-03-11,2024-03-07,2024-03-11,2024-03-12,2,-0.006843695595621702
B136,81,E81_2019-07-08,2019-07-03,2019-07-08,2019-07-11,2,-0.006597968715249314
B136,82,E82_2024-03-26,2024-03-21,2024-03-26,2024-03-27,3,-0.006489930774071784
B136,83,E83_2021-08-26,2021-08-25,2021-08-26,2021-08-27,1,-0.005910813451867392
B136,84,E84_2025-07-15,2025-07-10,2025-07-15,2025-07-17,3,-0.005880832363965194
B136,85,E85_2019-12-30,2019-12-26,2019-12-30,2020-01-02,2,-0.005775045011380264
B136,86,E86_2017-01-19,2017-01-06,2017-01-19,2017-01-24,8,-0.005673106409077255
B136,87,E87_2019-11-21,2019-11-18,2019-11-21,2019-11-25,3,-0.005617977528089901
B136,88,E88_2020-02-07,2020-02-06,2020-02-07,2020-02-10,1,-0.005321420359360118
B136,89,E89_2021-12-31,2021-12-29,2021-12-31,2022-01-03,2,-0.005275224252676458
B136,90,E90_2026-04-29,2026-04-27,2026-04-29,2026-04-30,2,-0.005018715040724375
B136,91,E91_2017-12-29,2017-12-18,2017-12-29,2018-01-02,8,-0.004969207899766626
B136,92,E92_2021-08-04,2021-08-03,2021-08-04,2021-08-05,1,-0.004923479905896144
B136,93,E93_2019-07-25,2019-07-24,2019-07-25,2019-07-26,1,-0.004776426498144581
B136,94,E94_2017-09-25,2017-09-20,2017-09-25,2017-09-28,3,-0.004486974039650149
B136,95,E95_2020-11-30,2020-11-27,2020-11-30,2020-12-01,1,-0.004431226765799323
B136,96,E96_2021-10-27,2021-10-26,2021-10-27,2021-10-28,1,-0.004420845808383089
B136,97,E97_2025-08-25,2025-08-22,2025-08-25,2025-08-27,1,-0.004402732514414698
B136,98,E98_2017-12-14,2017-12-12,2017-12-14,2017-12-15,2,-0.00420564758389852
B136,99,E99_2020-08-19,2020-08-18,2020-08-19,2020-08-21,1,-0.0041685371641121405
B136,100,E100_2017-06-06,2017-06-02,2017-06-06,2017-06-13,2,-0.003930296429586089
B136,101,E101_2026-04-23,2026-04-22,2026-04-23,2026-04-24,1,-0.0038766246581521946
B136,102,E102_2017-05-12,2017-05-10,2017-05-12,2017-05-15,2,-0.0037113799585482
B136,103,E103_2025-10-07,2025-10-06,2025-10-07,2025-10-08,1,-0.0037082075995736874
B136,104,E104_2017-10-30,2017-10-27,2017-10-30,2017-11-03,1,-0.0036874139233195047
