# Idea 1093 (lane C, 2026-09-17) — is the B136 H=63 MONOTONE LADDER a GENUINE SLOPE or the
# MIDDLE RUNG of a NON-MONOTONE H DIAL?
# 2 tuned dials: N [5, 8, 10, 12, 15, 20, 25, 30, 40] x H [21, 42, 52, 63, 76, 90, 126].  ALL 63 cells per panel reported (126 total).
# FROZEN (not dials): SEEDS 40, cap INF, CAND20 legs [(21, 252), (0, 126), (0, 63)], max_vol 0.6, gross 0.75, cost 10 bps, LAG 1, cadence W.
# DECLARED BEFORE ANY NUMBER:
#   (a) HOLD FACT (genuine slope) = H_NEIGHBOUR PASS (both 52 and 76 monotone on B136)
#       AND H_LUCK PASS (bootstrap P(monotone at B136 H=63) >= 0.50).
#   (b) SINGLE-RUNG ACCIDENT = either fails, and the two failures are reported apart: a
#       rough H axis (neighbours hump) is not the same as an unresolvable ladder.
#   (c) NAMED IN ADVANCE: >= 6 of 7 rungs monotone would make 1086's 'H=63 alone' an
#       artefact of its 3-point H ladder and the queue's framing itself wrong.
#   (d) EDGE IS NOT A KEEP PATH.  4a and 4b scored at all 126 cells; rule 8 picks (n, H)
#       on 2009-2016 alone and reads 2017-2026 ONCE.
# The null draws stay PAIRED across H (1082's seed recipe carries no H term), so the
# H=21/63/126 columns are bit-identical to 1086's — gates G5 and G5c.

## B136: 136 columns, 4703 days 2008-01-02..2026-09-11, 976 rebalance dates
   SPY        full 15.16% / 0.8861 / -33.72%  halves 0.9596/0.8259  OOS 15.33% / 0.8767 / -33.72%
   RULES v2   full 7.98% / 1.0993 / -12.24%  halves 1.2348/0.9658  OOS 7.88% / 1.1059 / -12.24%
       8  52   7.6   4.67  16.61%   1.0022  -22.30%  1.090/0.951  18.46%/1.0148/-22.30%   0  0   0
       8  63   7.6   4.28  20.26%   1.1845  -25.81%  1.251/1.152  22.62%/1.2006/-25.81%   0  0   0
       8  76   7.6   3.83  17.38%   1.0376  -26.65%  1.273/0.898  17.05%/0.9273/-26.65%   0  0   0
       8  90   7.6   3.39  17.04%   0.9912  -25.81%  1.106/0.907  17.14%/0.9409/-25.81%   0  0   0
       8 126   7.6   3.05  16.77%   1.0507  -21.43%  1.146/0.980  18.19%/1.0735/-21.43%   0  0   0
      10  21   9.4   7.74  16.51%   1.0878  -20.12%  1.207/0.995  16.89%/1.0574/-20.12%   1  0   1
      10  42   9.5   5.48  16.25%   1.0328  -20.87%  1.141/0.960  17.37%/1.0227/-20.87%   0  0   0
      10  52   9.4   4.94  16.59%   1.0522  -21.45%  1.069/1.056  19.05%/1.0954/-21.45%   0  0   0
      10  63   9.4   4.35  19.17%   1.1691  -27.69%  1.285/1.097  21.06%/1.1719/-27.69%   0  0   0
      10  76   9.5   3.94  17.28%   1.0735  -26.99%  1.224/0.977  18.17%/1.0366/-26.99%   0  0   0
      10  90   9.5   3.59  19.54%   1.1411  -26.36%  1.260/1.063  20.75%/1.1228/-26.36%   0  0   0
      10 126   9.4   3.03  17.06%   1.1092  -20.77%  1.246/0.999  17.60%/1.0897/-20.77%   0  0   0
      12  21  11.3   7.19  16.76%   1.1603  -19.48%  1.246/1.099  17.50%/1.1389/-19.48%   1  0   1
      12  42  11.3   5.39  15.64%   1.0431  -22.83%  1.129/0.990  17.08%/1.0480/-22.83%   0  0   0
      12  52  11.3   4.95  16.60%   1.0913  -24.97%  1.118/1.090  19.47%/1.1523/-24.97%   0  0   0
      12  63  11.3   4.37  17.65%   1.1391  -26.94%  1.247/1.072  18.75%/1.1152/-26.94%   0  0   0
      12  76  11.3   4.04  16.42%   1.0583  -28.10%  1.298/0.899  16.18%/0.9632/-28.10%   0  0   0
      12  90  11.3   3.62  18.33%   1.1348  -25.21%  1.328/1.005  18.68%/1.0693/-25.21%   0  0   0
      12 126  11.3   3.04  17.65%   1.1658  -20.17%  1.274/1.083  18.78%/1.1701/-20.17%   1  0   1
      15  21  14.0   6.61  15.08%   1.1027  -19.68%  1.167/1.059  16.21%/1.1100/-19.68%   1  0   1
      15  42  14.1   5.01  14.99%   1.0579  -23.12%  1.147/1.003  16.54%/1.0722/-23.12%   0  0   0
      15  52  14.1   4.85  15.11%   1.0535  -24.55%  1.109/1.024  16.86%/1.0789/-24.55%   0  0   0
      15  63  14.1   4.18  16.85%   1.1515  -25.98%  1.266/1.072  17.76%/1.1327/-25.98%   0  0   0
      15  76  14.1   3.88  16.24%   1.0946  -26.26%  1.303/0.958  16.59%/1.0284/-26.26%   0  0   0
      15  90  14.1   3.53  18.05%   1.1889  -24.88%  1.427/1.023  18.04%/1.1033/-24.88%   0  0   0
      15 126  14.1   3.02  16.96%   1.1600  -20.97%  1.251/1.102  18.86%/1.1869/-20.97%   0  0   0
      20  21  18.5   6.14  14.31%   1.1123  -20.24%  1.210/1.044  15.31%/1.1117/-20.24%   0  0   0
      20  42  18.6   4.67  14.11%   1.0650  -22.82%  1.135/1.025  15.99%/1.1052/-22.82%   0  0   0
      20  52  18.7   4.42  15.24%   1.1372  -21.34%  1.204/1.099  16.94%/1.1646/-21.34%   0  0   0
      20  63  18.7   3.87  14.91%   1.0989  -25.69%  1.199/1.036  16.18%/1.1004/-25.69%   0  0   0
      20  76  18.8   3.49  15.90%   1.1439  -24.55%  1.324/1.028  16.93%/1.1155/-24.55%   0  0   0
      20  90  18.8   3.46  15.56%   1.1190  -23.87%  1.260/1.027  16.59%/1.0993/-23.87%   0  0   0
      20 126  18.7   2.90  15.55%   1.1381  -19.13%  1.205/1.093  16.92%/1.1615/-19.13%   1  0   1
      25  21  22.8   5.80  13.21%   1.0805  -20.47%  1.133/1.046  14.48%/1.1126/-20.47%   0  0   0
      25  42  23.1   4.52  13.92%   1.1048  -22.55%  1.211/1.034  14.96%/1.1026/-22.55%   0  0   0
      25  52  23.2   4.12  14.20%   1.1205  -21.71%  1.208/1.063  15.35%/1.1283/-21.71%   0  0   0
      25  63  23.2   3.68  14.60%   1.1349  -22.58%  1.257/1.054  15.77%/1.1345/-22.58%   0  0   0
      25  76  23.3   3.37  15.33%   1.1707  -22.33%  1.262/1.112  16.63%/1.1795/-22.33%   0  0   0
      25  90  23.3   3.19  14.72%   1.1152  -24.65%  1.309/0.984  14.96%/1.0502/-24.65%   0  0   0
      25 126  23.3   2.73  14.86%   1.1265  -21.16%  1.203/1.078  16.37%/1.1545/-21.16%   0  0   0
      30  21  27.0   5.38  12.39%   1.0649  -19.76%  1.120/1.026  13.43%/1.0947/-19.76%   1  0   1
      30  42  27.4   4.12  13.54%   1.1288  -20.69%  1.197/1.083  14.75%/1.1564/-20.69%   0  0   0
      30  52  27.5   3.79  13.23%   1.0839  -21.69%  1.139/1.051  14.52%/1.1114/-21.69%   0  0   0
      30  63  27.6   3.46  14.03%   1.1377  -21.78%  1.265/1.048  14.66%/1.1140/-21.78%   0  0   0
      30  76  27.8   3.13  14.26%   1.1410  -22.08%  1.287/1.037  14.84%/1.1125/-22.08%   0  0   0
      30  90  27.8   3.04  14.65%   1.1551  -23.58%  1.276/1.075  15.58%/1.1413/-23.58%   0  0   0
      30 126  27.8   2.65  13.97%   1.0984  -22.07%  1.160/1.063  15.49%/1.1289/-22.07%   0  0   0
      40  21  34.4   4.78  12.03%   1.0940  -19.27%  1.167/1.039  12.95%/1.1243/-19.27%   1  0   1
      40  42  35.2   3.80  12.52%   1.1081  -20.80%  1.217/1.030  13.26%/1.1076/-20.80%   0  0   0
      40  52  35.4   3.40  12.17%   1.0729  -20.23%  1.159/1.011  13.10%/1.0915/-20.23%   1  0   1
      40  63  35.8   3.00  12.79%   1.1081  -22.15%  1.243/1.009  13.34%/1.0894/-22.15%   0  0   0
      40  76  36.1   2.81  13.23%   1.1256  -22.93%  1.294/1.005  13.51%/1.0793/-22.93%   0  0   0
      40  90  36.2   2.64  13.62%   1.1608  -21.91%  1.266/1.087  14.47%/1.1597/-21.91%   0  0   0
      40 126  36.6   2.31  13.43%   1.1245  -22.98%  1.271/1.022  13.94%/1.0945/-22.98%   0  0   0
      4b full 8/63   4b OOS 8/63   4a 0/63

## THE EDGE LADDER AT EVERY HOLD — the question itself (40 seeds, REBUILT)
   --- B136 ---   EDGE(n, H) in pp    [* = rung committed by 1082/1086]
        H          5        8       10       12       15       20       25       30       40     argmax   EDGE(5)  EDGE(40)   MONO?  worst up-step
     * 21     +8.074   +4.842   +5.544   +4.597   +3.072   +4.398   +3.370   +1.594   +0.799     n=5     +8.074   +0.799    no    +1.326 pp (+3.65 SE) at n=15->20
       42    +10.974   +5.154   +5.639   +5.573   +4.692   +4.022   +2.130   +1.059   +0.707     n=5    +10.974   +0.707    no    +0.484 pp (+1.11 SE) at n=8->10
       52     +7.951   +4.947   +4.574   +4.221   +4.219   +2.269   +1.572   +2.466   +0.981     n=5     +7.951   +0.981    no    +0.893 pp (+3.39 SE) at n=25->30
     * 63    +11.269   +8.822   +7.663   +5.182   +4.473   +3.352   +2.133   +1.439   +0.398     n=5    +11.269   +0.398    YES   -0.694 pp (-3.07 SE) at n=25->30
       76     +9.945   +6.206   +4.389   +5.169   +3.944   +3.241   +3.220   +1.983   +0.843     n=5     +9.945   +0.843    no    +0.780 pp (+1.61 SE) at n=10->12
       90     +7.217   +5.375   +3.277   +1.989   +2.651   +2.512   +2.325   +2.183   +1.218     n=5     +7.217   +1.218    no    +0.662 pp (+1.89 SE) at n=12->15
     *126     +5.717   +5.245   +8.324   +6.520   +6.834   +4.932   +4.269   +2.811   +1.853     n=10    +5.717   +1.853    no    +3.079 pp (+5.77 SE) at n=8->10
        SE      0.426    0.274    0.318    0.275    0.254    0.174    0.176    0.141    0.151     (seed SE at H=63)
      MONOTONE DECREASING at 1 of 7 holds: 63
   --- U56 ---   EDGE(n, H) in pp    [* = rung committed by 1082/1086]
        H          5        8       10       12       15       20       25       30       40     argmax   EDGE(5)  EDGE(40)   MONO?  worst up-step
     * 21     +5.930   +6.163   +7.319   +7.650   +5.232   +3.892   +1.779   +1.734   +1.332     n=12    +5.930   +1.332    no    +1.157 pp (+2.45 SE) at n=8->10
       42     +8.982   +7.545   +5.573   +3.624   +2.953   +2.052   +1.792   +2.080   +0.564     n=5     +8.982   +0.564    no    +0.288 pp (+0.99 SE) at n=25->30
       52     +6.780   +6.463   +5.534   +4.216   +2.368   +3.346   +2.188   +0.879   +0.723     n=5     +6.780   +0.723    no    +0.977 pp (+2.83 SE) at n=15->20
     * 63     +6.599   +8.029   +6.777   +5.362   +4.616   +2.116   +2.263   +2.066   +0.144     n=8     +6.599   +0.144    no    +1.431 pp (+2.56 SE) at n=5->8
       76     +7.548   +4.973   +4.327   +4.001   +3.706   +3.279   +3.091   +1.873   +0.535     n=5     +7.548   +0.535    YES   -0.188 pp (-0.73 SE) at n=20->25
       90     +7.044   +5.153   +6.656   +5.759   +5.231   +2.928   +1.966   +1.780   +1.253     n=5     +7.044   +1.253    no    +1.504 pp (+3.74 SE) at n=8->10
     *126     +5.955   +5.295   +6.164   +6.784   +5.209   +5.117   +2.949   +1.536   +0.410     n=12    +5.955   +0.410    no    +0.868 pp (+1.37 SE) at n=8->10
        SE      0.433    0.353    0.305    0.228    0.216    0.150    0.214    0.158    0.110     (seed SE at H=63)
      MONOTONE DECREASING at 1 of 7 holds: 76

## THE SEED BOOTSTRAP — is the monotonicity a lucky draw?  (2,000 resamples of the 40 seeds, PAIRED across H, independent across n)
   --- B136 ---
        H   P(monotone)   P(argmax=5)  mean#violations   90% argmax set
       21        0.000         1.000          1.949        {5}
       42        0.005         1.000          1.404        {5}
       52        0.002         1.000          1.899        {5}
       63        0.945         1.000          0.057        {5}
       76        0.038         1.000          1.463        {5}
       90        0.001         1.000          1.818        {5}
      126        0.000         0.000          2.005        {10}
   --- U56 ---
        H   P(monotone)   P(argmax=5)  mean#violations   90% argmax set
       21        0.000         0.001          3.002        {12}
       42        0.071         0.984          1.058        {5}
       52        0.003         0.729          1.478        {5,8}
       63        0.000         0.003          2.009        {8}
       76        0.406         1.000          0.750        {5}
       90        0.000         0.786          1.240        {5,10}
      126        0.002         0.097          2.380        {5,12}

## THE H AXIS — argmax n and the ladder's END-TO-END DROP, by hold
   --- B136 ---
        H   argmax n   EDGE(5)-EDGE(40)   SE    sigmas    turn(n=20)
       21      n=5         +7.275 pp      0.496    14.66       7.80x
       42      n=5        +10.267 pp      0.526    19.51       5.86x
       52      n=5         +6.971 pp      0.481    14.49       5.19x
       63      n=5        +10.871 pp      0.452    24.07       4.68x
       76      n=5         +9.102 pp      0.469    19.43       4.20x
       90      n=5         +5.999 pp      0.447    13.44       3.74x
      126      n=10        +3.864 pp      0.498     7.75       3.25x
   --- U56 ---
        H   argmax n   EDGE(5)-EDGE(40)   SE    sigmas    turn(n=20)
       21      n=12        +4.598 pp      0.502     9.16       6.14x
       42      n=5         +8.418 pp      0.496    16.97       4.67x
       52      n=5         +6.057 pp      0.475    12.75       4.42x
       63      n=8         +6.454 pp      0.447    14.45       3.87x
       76      n=5         +7.013 pp      0.501    14.00       3.49x
       90      n=5         +5.791 pp      0.512    11.32       3.46x
      126      n=12        +5.545 pp      0.394    14.09       2.90x

## RULE 8 — IS(2009-2016)-only choosers pick (N, H) over 63 cells, OOS(2017-2026) ONCE
   B136 C_ISSHARPE: picks N=5 H=63 -> OOS 20.46% / 0.9156 / -28.62%  | SPY OOS 15.33% / 0.8767 / -33.72% | RULES v2 OOS 7.88% / 1.1059 / -12.24% | 4b_OOS False (O_S True O_DD False O_CAGR True) 4b_full False 4a False
   B136 C_ISDD: picks N=40 H=52 -> OOS 13.72% / 0.9720 / -24.82%  | SPY OOS 15.33% / 0.8767 / -33.72% | RULES v2 OOS 7.88% / 1.1059 / -12.24% | 4b_OOS False (O_S True O_DD False O_CAGR True) 4b_full False 4a False
   B136 C_ISEDGE: picks N=5 H=63 -> OOS 20.46% / 0.9156 / -28.62%  | SPY OOS 15.33% / 0.8767 / -33.72% | RULES v2 OOS 7.88% / 1.1059 / -12.24% | 4b_OOS False (O_S True O_DD False O_CAGR True) 4b_full False 4a False
   B136 C_ISCAGR: picks N=5 H=63 -> OOS 20.46% / 0.9156 / -28.62%  | SPY OOS 15.33% / 0.8767 / -33.72% | RULES v2 OOS 7.88% / 1.1059 / -12.24% | 4b_OOS False (O_S True O_DD False O_CAGR True) 4b_full False 4a False
   U56 C_ISSHARPE: picks N=15 H=90 -> OOS 18.04% / 1.1033 / -24.88%  | SPY OOS 15.15% / 0.8684 / -33.72% | RULES v2 OOS 9.42% / 1.2714 / -12.05% | 4b_OOS False (O_S True O_DD False O_CAGR True) 4b_full False 4a False
   U56 C_ISDD: picks N=40 H=21 -> OOS 12.95% / 1.1243 / -19.27%  | SPY OOS 15.15% / 0.8684 / -33.72% | RULES v2 OOS 9.42% / 1.2714 / -12.05% | 4b_OOS True (O_S True O_DD True O_CAGR True) 4b_full True 4a False
   U56 C_ISEDGE: picks N=5 H=76 -> OOS 17.93% / 0.8681 / -28.45%  | SPY OOS 15.15% / 0.8684 / -33.72% | RULES v2 OOS 9.42% / 1.2714 / -12.05% | 4b_OOS False (O_S False O_DD False O_CAGR True) 4b_full False 4a False
   U56 C_ISCAGR: picks N=5 H=76 -> OOS 17.93% / 0.8681 / -28.45%  | SPY OOS 15.15% / 0.8684 / -33.72% | RULES v2 OOS 9.42% / 1.2714 / -12.05% | 4b_OOS False (O_S False O_DD False O_CAGR True) 4b_full False 4a False

## HYPOTHESES (declared before the run, scored as written)
   FAIL  H_REP the B136 H=63 ladder REPRODUCES 1086's committed column AND is monotone decreasing in n (the premise as stated)  [G5c |d| = 4.07e-02 pp; monotone at B136 H=63: True]
   FAIL  H_NEIGHBOUR 63's IMMEDIATE NEIGHBOURS H=52 and H=76 are BOTH monotone decreasing in n on B136 (the HOLD-FACT signature)  [H=52 humps, H=76 humps]
   FAIL  H_BAND at least 4 of the 7 B136 holds are monotone decreasing in n  [1 of 7: 63]
   PASS  H_LUCK the B136 H=63 monotonicity survives its OWN seed noise (bootstrap P(monotone) >= 0.50)  [P(monotone) = 0.945 over 2,000 resamples]
   PASS  H_ARGMAX_MONO on B136 the argmax n is NON-DECREASING in H over the finer ladder (the hold is a smooth dial)  [H=21:5, H=42:5, H=52:5, H=63:5, H=76:5, H=90:5, H=126:10]
   FAIL  H_U56_NONE U56 has NO monotone hold on the finer ladder (1086's PANEL SPLIT survives resolution)  [1 of 7 monotone on U56]
   PASS  H_TURN turnover falls strictly as H lengthens at every (panel, N) (the finer dial is doing what a hold does)  [B136 turnover spread 6.47x/yr]
   PASS  H_WF >= 1 rule-8 pick clears 4b OUT OF SAMPLE  [1 of 8 picks]
   PASS  H_4A no cell clears 4a (the DD leg is a book fact, not an (n, H) fact)  [0 of 126 cells pass 4a]

## THE VERDICT ON THE QUEUE'S QUESTION, read off the PRE-DECLARED rules only
   OUTCOME (b): SINGLE-RUNG ACCIDENT
   neighbours 52/76 monotone: False/False;  bootstrap P(mono at 63) = 0.945;  1 of 7 B136 holds monotone

## POST-RUN DIAGNOSTICS — computed AFTER reading the grid and labelled as such, NOT
## pre-declared hypotheses.

   (D1) IS THE SLOPE'S OWN LOCAL STEP DECISIVE?  EDGE at two cells differs only through
        the two null medians (the books are deterministic), so SE(dEDGE) = hypot(SEa,SEb).
        B136 H= 21: adjacent steps DECISIVELY DOWN 6 of 8, DECISIVELY UP 1 of 8, rest inside 2 SE
        B136 H= 42: adjacent steps DECISIVELY DOWN 4 of 8, DECISIVELY UP 0 of 8, rest inside 2 SE
        B136 H= 52: adjacent steps DECISIVELY DOWN 4 of 8, DECISIVELY UP 1 of 8, rest inside 2 SE
        B136 H= 63: adjacent steps DECISIVELY DOWN 7 of 8, DECISIVELY UP 0 of 8, rest inside 2 SE
        B136 H= 76: adjacent steps DECISIVELY DOWN 6 of 8, DECISIVELY UP 0 of 8, rest inside 2 SE
        B136 H= 90: adjacent steps DECISIVELY DOWN 4 of 8, DECISIVELY UP 0 of 8, rest inside 2 SE
        B136 H=126: adjacent steps DECISIVELY DOWN 5 of 8, DECISIVELY UP 1 of 8, rest inside 2 SE
        U56 H= 21: adjacent steps DECISIVELY DOWN 4 of 8, DECISIVELY UP 1 of 8, rest inside 2 SE
        U56 H= 42: adjacent steps DECISIVELY DOWN 5 of 8, DECISIVELY UP 0 of 8, rest inside 2 SE
        U56 H= 52: adjacent steps DECISIVELY DOWN 4 of 8, DECISIVELY UP 1 of 8, rest inside 2 SE
        U56 H= 63: adjacent steps DECISIVELY DOWN 5 of 8, DECISIVELY UP 1 of 8, rest inside 2 SE
        U56 H= 76: adjacent steps DECISIVELY DOWN 3 of 8, DECISIVELY UP 0 of 8, rest inside 2 SE
        U56 H= 90: adjacent steps DECISIVELY DOWN 5 of 8, DECISIVELY UP 1 of 8, rest inside 2 SE
        U56 H=126: adjacent steps DECISIVELY DOWN 4 of 8, DECISIVELY UP 0 of 8, rest inside 2 SE

   (D2) THE lambda <= 1 CLIP, as 1082/1086 flagged it.  A null draw already DRIER than the
        book enters unmatched at lambda = 1 with its CAGR understated, which INFLATES
        EDGE.  Share of draws clipped, by (panel, H, n):
        B136 H= 21: 5:0.57  8:0.72  10:0.50  12:0.57  15:0.90  20:0.53  25:0.17  30:0.47  40:0.60
        B136 H= 42: 5:0.33  8:0.72  10:0.45  12:0.60  15:0.47  20:0.40  25:0.42  30:0.82  40:0.72
        B136 H= 52: 5:0.40  8:0.75  10:0.55  12:0.47  15:0.70  20:0.75  25:0.90  30:0.15  40:0.42
        B136 H= 63: 5:0.53  8:0.62  10:0.85  12:0.95  15:0.62  20:0.90  25:0.97  30:0.95  40:0.95
        B136 H= 76: 5:0.60  8:0.62  10:0.65  12:0.68  15:0.62  20:0.78  25:0.90  30:0.95  40:0.75
        B136 H= 90: 5:0.68  8:0.55  10:0.70  12:0.93  15:0.80  20:0.82  25:0.95  30:0.75  40:0.90
        B136 H=126: 5:0.60  8:0.33  10:0.03  12:0.00  15:0.03  20:0.03  25:0.00  30:0.17  40:0.45
        U56 H= 21: 5:0.53  8:0.35  10:0.05  12:0.03  15:0.00  20:0.10  25:0.23  30:0.00  40:0.00
        U56 H= 42: 5:0.35  8:0.17  10:0.07  12:0.35  15:0.55  20:0.50  25:0.42  30:0.05  40:0.03
        U56 H= 52: 5:0.35  8:0.23  10:0.15  12:0.80  15:0.72  20:0.20  25:0.40  30:0.23  40:0.03
        U56 H= 63: 5:0.53  8:0.72  10:0.95  12:0.90  15:0.93  20:0.88  25:0.47  30:0.20  40:0.30
        U56 H= 76: 5:0.68  8:0.88  10:0.95  12:0.95  15:0.97  20:0.78  25:0.40  30:0.35  40:0.60
        U56 H= 90: 5:0.65  8:0.75  10:0.93  12:0.85  15:0.90  20:0.68  25:0.85  30:0.82  40:0.17
        U56 H=126: 5:0.57  8:0.15  10:0.15  12:0.15  15:0.28  20:0.00  25:0.12  30:0.38  40:0.72

   (D3) THE 4b PASSES AND THEIR MARGIN ON THE BINDING LEG.
        B136 N=15 H=126: 4b PASSES full-sample; DD margin +0.570 pp (|-19.66%| vs cap 20.23%), CAGR margin +6.165 pp; 4b OOS True; reachable by an IS-only chooser: False
        U56 N=10 H=21: 4b PASSES full-sample; DD margin +0.112 pp (|-20.12%| vs cap 20.23%), CAGR margin +5.963 pp; 4b OOS True; reachable by an IS-only chooser: False
        U56 N=12 H=21: 4b PASSES full-sample; DD margin +0.753 pp (|-19.48%| vs cap 20.23%), CAGR margin +6.214 pp; 4b OOS True; reachable by an IS-only chooser: False
        U56 N=12 H=126: 4b PASSES full-sample; DD margin +0.061 pp (|-20.17%| vs cap 20.23%), CAGR margin +7.101 pp; 4b OOS True; reachable by an IS-only chooser: False
        U56 N=15 H=21: 4b PASSES full-sample; DD margin +0.551 pp (|-19.68%| vs cap 20.23%), CAGR margin +4.534 pp; 4b OOS True; reachable by an IS-only chooser: False
        U56 N=20 H=126: 4b PASSES full-sample; DD margin +1.103 pp (|-19.13%| vs cap 20.23%), CAGR margin +5.007 pp; 4b OOS True; reachable by an IS-only chooser: False
        U56 N=30 H=21: 4b PASSES full-sample; DD margin +0.466 pp (|-19.76%| vs cap 20.23%), CAGR margin +1.840 pp; 4b OOS True; reachable by an IS-only chooser: False
        U56 N=40 H=21: 4b PASSES full-sample; DD margin +0.960 pp (|-19.27%| vs cap 20.23%), CAGR margin +1.483 pp; 4b OOS True; reachable by an IS-only chooser: True
        U56 N=40 H=52: 4b PASSES full-sample; DD margin +0.005 pp (|-20.23%| vs cap 20.23%), CAGR margin +1.625 pp; 4b OOS True; reachable by an IS-only chooser: False
        1083 measured the 90% width of a quantity of this kind at 4.1-7.2 pp on this tape;
        any DD margin far inside that is not decidable here.

  wrote 2026-09-17_is-the-B136-H63-MONOTONE-LADDER-a-GENUINE-SLOPE-or-the-MIDDLE-RUNG-of-a-NON-MONOTONE-H-DIAL_C.grid.csv  (126 rows, 36 cols)
  wrote 2026-09-17_is-the-B136-H63-MONOTONE-LADDER-a-GENUINE-SLOPE-or-the-MIDDLE-RUNG-of-a-NON-MONOTONE-H-DIAL_C.null.csv  (126 rows, 21 cols)
  wrote 2026-09-17_is-the-B136-H63-MONOTONE-LADDER-a-GENUINE-SLOPE-or-the-MIDDLE-RUNG-of-a-NON-MONOTONE-H-DIAL_C.seeds.csv  (5,040 rows, 9 cols)
  wrote 2026-09-17_is-the-B136-H63-MONOTONE-LADDER-a-GENUINE-SLOPE-or-the-MIDDLE-RUNG-of-a-NON-MONOTONE-H-DIAL_C.rule8.csv  (8 rows, 27 cols)
  wrote 2026-09-17_is-the-B136-H63-MONOTONE-LADDER-a-GENUINE-SLOPE-or-the-MIDDLE-RUNG-of-a-NON-MONOTONE-H-DIAL_C.bootstrap.csv  (14 rows, 7 cols)
  wrote 2026-09-17_is-the-B136-H63-MONOTONE-LADDER-a-GENUINE-SLOPE-or-the-MIDDLE-RUNG-of-a-NON-MONOTONE-H-DIAL_C.benchmarks.csv  (4 rows, 13 cols)
  wrote 2026-09-17_is-the-B136-H63-MONOTONE-LADDER-a-GENUINE-SLOPE-or-the-MIDDLE-RUNG-of-a-NON-MONOTONE-H-DIAL_C.gates.csv  (11 rows, 3 cols)
  wrote 2026-09-17_is-the-B136-H63-MONOTONE-LADDER-a-GENUINE-SLOPE-or-the-MIDDLE-RUNG-of-a-NON-MONOTONE-H-DIAL_C.hypotheses.csv  (9 rows, 3 cols)
  wrote 2026-09-17_is-the-B136-H63-MONOTONE-LADDER-a-GENUINE-SLOPE-or-the-MIDDLE-RUNG-of-a-NON-MONOTONE-H-DIAL_C.diagnostics.csv  (149 rows, 9 cols)
# done in 240s
