script,construction,publishes_gross_col,csv_sweeps_count,max_swept_n,n_sibling_csvs
2026-09-05_why-the-small-panel-wants-M-and-the-large-caps-6W_cloud.py,UNKNOWN,0,1,439,6
2026-09-06_back-fill-the-breakeven-column-arithmetically_B.py,FIXED,1,1,40,10
2026-09-06_back-fill-the-phase-spread-over-every-cadence-claim_cloud.py,BOTH,0,0,0,5
2026-09-06_dispersion-as-a-survivorship-detector_B.py,FIXED,0,1,80,5
2026-09-06_does-any-panel-property-separate-at-FIXED-cap-mix_C.py,NORM,0,1,439,3
2026-09-06_ew-band3-at-085-does-not-hold-on-broad_cloud.py,UNKNOWN,1,1,1,4
2026-09-06_how-many-published-gate-claims-are-flat-in-gross_cloud.py,UNKNOWN,1,0,0,6
2026-09-06_is-ETF36-a-third-cluster-or-just-a-small-sample_C.py,NORM,1,1,439,14
2026-09-06_is-RULES-v2-only-a-de-grossing-effect_C.py,BOTH,0,0,0,0
2026-09-06_is-cadence-the-only-cost-chooser-on-other-books_cloud.py,UNKNOWN,0,0,0,5
2026-09-06_is-the-low-price-tilt-a-split-artefact-or-a-survivorship-one_cloud.py,FIXED,0,1,1,5
2026-09-06_is-the-m999-u56-buffer-book-a-4b-candidate_cloud.py,UNKNOWN,1,1,999,3
2026-09-06_is-the-null-key-result-one-draw-or-a-distribution_cloud.py,FIXED,0,1,1,3
2026-09-06_is-the-sharpe-cagr-reversal-a-PANEL-property_C.py,NORM,1,1,439,12
2026-09-06_is-within-stratum-CORR-a-SECTOR-concentration-proxy_C.py,NORM,0,0,0,4
2026-09-06_keep-candidate-universe-robustness_cloud.py,FIXED,0,1,30,4
2026-09-06_monthly-drawdown-cost_cloud.py,BOTH,1,0,0,3
2026-09-06_monthly-r6-top20-as-a-single-hypothesis_cloud.py,FIXED,0,0,0,3
2026-09-06_persistence-vs-cost-as-a-required-column_cloud.py,FIXED,0,0,0,5
2026-09-06_point-in-time-megacap-panel_B.py,FIXED,1,1,20,2
2026-09-06_price-the-four-unpriced-null-verdicts-on-their-own-books_B.py,BOTH,0,1,60,8
2026-09-06_price-the-vol20-drawdown-purchase-against-the-cheaper-instruments_C.py,BOTH,1,0,0,4
2026-09-06_publish-the-cash-carve-out-beside-every-sleeve-MaxDD_C.py,UNKNOWN,0,0,0,5
2026-09-06_quote-every-n-argmax-with-its-saturation-share_cloud.py,FIXED,1,1,200,8
2026-09-06_time-varying-share-vs-fixed-n_B.py,FIXED,0,1,1,5
2026-09-06_trend-filter-by-market-cap_B.py,FIXED,1,1,44,6
2026-09-06_trend-filter-by-market-cap_cloud.py,BOTH,0,1,44,3
2026-09-07_back-fill-the-153-UNATTRIB-band-rows_C.py,FIXED,0,0,0,5
2026-09-07_book-size-floor-INSTRUMENT-CLASS-replication_cloud.py,NORM,1,1,40,7
2026-09-07_breadth-adaptive-count-2022_B.py,NORM,1,0,0,1
2026-09-07_census-adopted-constants-for-CROSSINGS-not-plateaus_cloud.py,NORM,1,0,0,4
2026-09-07_census-how-many-band-rows-are-CONCENTRATION-changes_C.py,BOTH,0,0,0,5
2026-09-07_correlation-as-the-sleeve-design-variable_B.py,BOTH,1,0,0,7
2026-09-07_does-a-DRAWDOWN-SPEED-signal-beat-a-breadth-LEVEL-signal_C.py,BOTH,0,0,0,3
2026-09-07_does-the-B136-drawdown-cap-admit-any-top-n-book_C.py,NORM,1,1,80,4
2026-09-07_does-the-BAND-rescue-the-B136-H2-bar_C.py,NORM,1,0,0,2
2026-09-07_does-the-IS-CHOOSER-ever-beat-a-coin-across-BOOKS_C.py,BOTH,0,1,7,3
2026-09-07_does-the-IS-SPREAD-screen-retire-the-record-s-rho-based-chooser-verdicts_cloud.py,BOTH,0,1,30240,4
2026-09-07_does-the-informative-cell-restriction-change-any-published-share_cloud.py,NORM,0,1,1600,4
2026-09-07_eligible-equal-weight-v2_B.py,BOTH,1,0,0,1
2026-09-07_fraction-rule-cost-and-lag_cloud.py,NORM,0,0,0,3
2026-09-07_h1-sharpe-diagnosis_cloud.py,NORM,1,1,40,4
2026-09-07_is-DBC-a-drag-or-a-contango-artefact_cloud.py,BOTH,1,0,0,5
2026-09-07_is-TURNOVER-not-COUNT-the-real-n-dial_cloud.py,BOTH,1,1,80,5
2026-09-07_is-a-class-member-just-its-own-ladder-point_B.py,UNKNOWN,1,0,0,4
2026-09-07_is-a-class-member-just-its-own-ladder-point_B2.py,UNKNOWN,1,1,5,2
2026-09-07_is-every-4b-KEEP-a-10bps-artefact_C.py,NORM,1,0,0,3
2026-09-07_is-it-WIDTH-or-GROSS-that-carries-the-0.14-OOS-Sharpe_C.py,UNKNOWN,1,1,80,8
2026-09-07_is-the-4b-defensive-class-empty-under-BOTH-conventions_cloud.py,UNKNOWN,1,1,323,5
2026-09-07_is-the-BINDING-DRAWDOWN-EPISODE-a-HIGH-BREADTH-event_C.py,BOTH,0,0,0,3
2026-09-07_price-the-sleeve-fraction-against-the-gross-numeraire_cloud.py,NORM,1,1,1,4
2026-09-07_selection-vs-no-selection-as-the-real-question_B.py,NORM,1,1,41,5
2026-09-07_sleeve-moves-the-frontier_cloud.py,UNKNOWN,1,1,1,5
2026-09-07_the-small-panel-has-no-defensive-class_cloud.py,NORM,1,1,40,3
2026-09-07_two-same-day-runs-disagree-on-D3_B.py,UNKNOWN,0,1,80,16
2026-09-08_a-flip-rate-estimator-that-is-not-confounded-by-block-count_B.py,UNKNOWN,0,1,400,6
2026-09-08_a-turnover-matched-null-for-suppressing-overlays_cloud.py,UNKNOWN,0,1,913,6
2026-09-08_abstention-is-the-whole-screen_cloud.py,NORM,0,0,0,0
2026-09-08_are-the-records-7-rung-ladders-two-rung-ladders_cloud.py,UNKNOWN,0,0,0,7
2026-09-08_back-fill-the-q95-band-over-every-committed-null-claim_B.py,UNKNOWN,0,1,100,7
2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B.py,UNKNOWN,0,1,560,8
2026-09-08_does-the-key-swap-survive-a-CONSTANT-count_cloud.py,FIXED,1,1,141,6
2026-09-08_does-the-vol-gate-corner-survive-being-pre-registered_cloud.py,UNKNOWN,0,1,40,4
2026-09-08_does-turnover-level-predict-chooser-power_cloud.py,UNKNOWN,0,0,0,5
2026-09-08_is-the-DD-CAP-the-only-thing-4b-ever-tests-on-a-ranked-book_cloud.py,BOTH,1,1,40,8
2026-09-08_is-the-hole-about-SHARE-or-about-PICK-ENTROPY_cloud.py,UNKNOWN,0,1,11,10
2026-09-08_is-the-top-decile-trim-a-drop-the-worst-rule_cloud.py,UNKNOWN,0,1,141,5
2026-09-08_re-quote-every-gross-ceiling-with-its-grid-band_B.py,UNKNOWN,1,1,1,7
2026-09-08_re-read-single-rung-argmaxes-on-V1C-shaped-books_B.py,FIXED,0,0,0,7
2026-09-08_re-scope-idea-313-advQ-carries-a-price-LEVEL_cloud.py,UNKNOWN,0,1,44,5
2026-09-08_the-013-margin-rule_B.py,BOTH,1,1,4925,16
2026-09-08_the-mid-tercile-band_cloud.py,UNKNOWN,0,1,1207,6
2026-09-08_why-does-the-DD-ranking-die-on-U56_C.py,NORM,1,1,6867,8
2026-09-08_why-the-035-045-share-window-dips_cloud.py,UNKNOWN,0,0,0,10
