[G1] u56: max|A+B - i133.book_weights(S3-50,band3,rw)| = 1.110e-16
[G2] u56: degenerate limit (W,W) vs engine.backtest -- max|dret| = 6.939e-18  max|dturnover| = 4.163e-16
[G6] u56: diagonal (f,f) vs engine.backtest(freq=f) -- D: dret 3.5e-18 / dTO 3.6e-16  W: dret 6.9e-18 / dTO 4.2e-16  M: dret 4.2e-17 / dTO 8.9e-16  Q: dret 4.2e-17 / dTO 1.6e-15
[G4] u56: leg attribution additive at all 64 cells (max |TO_eq+TO_sl-TO| = 3.55e-15)
[G1] broad: max|A+B - i133.book_weights(S3-50,band3,rw)| = 5.551e-17
[G2] broad: degenerate limit (W,W) vs engine.backtest -- max|dret| = 1.388e-17  max|dturnover| = 5.829e-16
[G6] broad: diagonal (f,f) vs engine.backtest(freq=f) -- D: dret 3.5e-18 / dTO 2.2e-16  W: dret 1.4e-17 / dTO 5.8e-16  M: dret 6.9e-17 / dTO 1.1e-15  Q: dret 6.9e-17 / dTO 2.0e-15
[G4] broad: leg attribution additive at all 64 cells (max |TO_eq+TO_sl-TO| = 3.55e-15)
[G3] u56/10bps/(W,W) vs the Sunday review's idea-142 re-run: CAGR d=1.90e-05  Sharpe d=1.94e-04  MaxDD d=6.80e-08  H1 d=5.14e-07  H2 d=3.74e-04  OOS_Sharpe d=3.48e-04
  u56   10.0000    D    D  0.1007  1.1450 -0.1116 1.1500  1.1412    0.1048      1.1742    -0.1116 19.1582 15.2071 3.9511      0.7500   1.9158   False   False       False
  u56   10.0000    D    W  0.1023  1.1624 -0.1202 1.1813  1.1456    0.1058      1.1854    -0.1202 17.0993 15.2552 1.8441      0.7503   1.7099   False   False       False
  u56   10.0000    D    M  0.1026  1.1602 -0.1077 1.1729  1.1489    0.1070      1.1954    -0.1077 16.2979 15.2681 1.0299      0.7489   1.6298   False   False       False
  u56   10.0000    D    Q  0.0980  1.1144 -0.1109 1.1141  1.1153    0.1033      1.1607    -0.1109 16.0078 15.2757 0.7322      0.7561   1.6008   False   False       False
  u56   10.0000    W    D  0.1109  1.2443 -0.1077 1.2498  1.2410    0.1160      1.2751    -0.1077 10.3597  6.3689 3.9908      0.7500   1.0360    True    True        True
  u56   10.0000    W    W  0.1127  1.2634 -0.1163 1.2822  1.2476    0.1171      1.2885    -0.1163  8.1750  6.3577 1.8173      0.7503   0.8175    True    True        True
  u56   10.0000    W    M  0.1129  1.2596 -0.1048 1.2724  1.2492    0.1183      1.2966    -0.1048  7.4370  6.4010 1.0360      0.7489   0.7437    True    True        True
  u56   10.0000    W    Q  0.1083  1.2140 -0.1069 1.2127  1.2163    0.1146      1.2627    -0.1069  7.1367  6.4040 0.7328      0.7561   0.7137   False    True        True
  u56   10.0000    M    D  0.1185  1.3042 -0.1073 1.3072  1.3036    0.1247      1.3386    -0.1073  6.8850  2.8644 4.0207      0.7524   0.6885    True    True        True
  u56   10.0000    M    W  0.1203  1.3226 -0.1163 1.3385  1.3099    0.1258      1.3515    -0.1163  4.7376  2.8716 1.8660      0.7527   0.4738    True    True        True
  u56   10.0000    M    M  0.1206  1.3171 -0.1035 1.3256  1.3109    0.1271      1.3591    -0.1035  3.8700  2.8597 1.0103      0.7513   0.3870    True    True        True
  u56   10.0000    M    Q  0.1160  1.2713 -0.1066 1.2663  1.2773    0.1234      1.3245    -0.1066  3.6000  2.8778 0.7222      0.7584   0.3600    True    True        True
  u56   10.0000    Q    D  0.1112  1.1910 -0.1453 1.1980  1.1912    0.1221      1.2430    -0.1453  5.7122  1.6783 4.0339      0.7475   0.5712   False    True        True
  u56   10.0000    Q    W  0.1129  1.2077 -0.1544 1.2280  1.1963    0.1232      1.2542    -0.1544  3.5605  1.6829 1.8776      0.7478   0.3561   False    True        True
  u56   10.0000    Q    M  0.1133  1.2019 -0.1418 1.2137  1.1970    0.1245      1.2607    -0.1418  2.7010  1.6731 1.0279      0.7465   0.2701   False    True        True
  u56   10.0000    Q    Q  0.1087  1.1505 -0.1451 1.1450  1.1598    0.1207      1.2227    -0.1451  2.3964  1.6767 0.7198      0.7538   0.2396   False    True        True
  u56   25.0000    D    D  0.0695  0.8149 -0.1148 0.7953  0.8339    0.0746      0.8604    -0.1148 19.1582 15.2071 3.9511      0.7500   4.7896   False   False       False
  u56   25.0000    D    W  0.0744  0.8676 -0.1227 0.8610  0.8745    0.0791      0.9081    -0.1227 17.0993 15.2552 1.8441      0.7503   4.2748   False   False       False
  u56   25.0000    D    M  0.0760  0.8807 -0.1098 0.8694  0.8920    0.0816      0.9324    -0.1098 16.2979 15.2681 1.0299      0.7489   4.0745   False   False       False
  u56   25.0000    D    Q  0.0720  0.8395 -0.1129 0.8158  0.8624    0.0784      0.9009    -0.1129 16.0078 15.2757 0.7322      0.7561   4.0020   False   False       False
  u56   25.0000    W    D  0.0938  1.0670 -0.1098 1.0602  1.0747    0.0993      1.1063    -0.1098 10.3597  6.3689 3.9908      0.7500   2.5899   False   False       False
  u56   25.0000    W    W  0.0991  1.1230 -0.1178 1.1301  1.1179    0.1041      1.1566    -0.1178  8.1750  6.3577 1.8173      0.7503   2.0438   False   False       False
  u56   25.0000    W    M  0.1005  1.1329 -0.1054 1.1349  1.1325    0.1065      1.1781    -0.1054  7.4370  6.4010 1.0360      0.7489   1.8592   False   False       False
  u56   25.0000    W    Q  0.0965  1.0922 -0.1080 1.0804  1.1044    0.1032      1.1479    -0.1080  7.1367  6.4040 0.7328      0.7561   1.7842   False   False       False
  u56   25.0000    M    D  0.1070  1.1883 -0.1088 1.1845  1.1936    0.1134      1.2279    -0.1088  6.8850  2.8644 4.0207      0.7524   1.7213   False    True        True
  u56   25.0000    M    W  0.1123  1.2427 -0.1171 1.2518  1.2360    0.1182      1.2771    -0.1171  4.7376  2.8716 1.8660      0.7527   1.1844    True    True        True
  u56   25.0000    M    M  0.1141  1.2524 -0.1038 1.2555  1.2511    0.1209      1.2990    -0.1038  3.8700  2.8597 1.0103      0.7513   0.9675    True    True        True
  u56   25.0000    M    Q  0.1100  1.2111 -0.1069 1.2008  1.2220    0.1176      1.2679    -0.1069  3.6000  2.8778 0.7222      0.7584   0.9000    True    True        True
  u56   25.0000    Q    D  0.1018  1.0982 -0.1465 1.0972  1.1047    0.1126      1.1550    -0.1465  5.7122  1.6783 4.0339      0.7475   1.4280   False   False        True
  u56   25.0000    Q    W  0.1070  1.1497 -0.1549 1.1634  1.1437    0.1174      1.2004    -0.1549  3.5605  1.6829 1.8776      0.7478   0.8901   False    True        True
  u56   25.0000    Q    M  0.1088  1.1584 -0.1418 1.1653  1.1575    0.1201      1.2204    -0.1418  2.7010  1.6731 1.0279      0.7465   0.6753   False    True        True
  u56   25.0000    Q    Q  0.1047  1.1121 -0.1451 1.1023  1.1250    0.1167      1.1861    -0.1451  2.3964  1.6767 0.7198      0.7538   0.5991   False   False        True
  u56   50.0000    D    D  0.0195  0.2650 -0.1738 0.2039  0.3224    0.0263      0.3377    -0.1431 19.1582 15.2071 3.9511      0.7500   9.5791   False   False       False
  u56   50.0000    D    W  0.0294  0.3765 -0.1533 0.3270  0.4231    0.0361      0.4463    -0.1388 17.0993 15.2552 1.8441      0.7503   8.5496   False   False       False
  u56   50.0000    D    M  0.0330  0.4149 -0.1391 0.3632  0.4637    0.0406      0.4941    -0.1252 16.2979 15.2681 1.0299      0.7489   8.1490   False   False       False
  u56   50.0000    D    Q  0.0299  0.3813 -0.1575 0.3183  0.4409    0.0381      0.4679    -0.1248 16.0078 15.2757 0.7322      0.7561   8.0039   False   False       False
  u56   50.0000    W    D  0.0658  0.7708 -0.1134 0.7437  0.7969    0.0720      0.8244    -0.1134 10.3597  6.3689 3.9908      0.7500   5.1798   False   False       False
  u56   50.0000    W    W  0.0769  0.8883 -0.1202 0.8758  0.9011    0.0827      0.9360    -0.1202  8.1750  6.3577 1.8173      0.7503   4.0875   False   False       False
  u56   50.0000    W    M  0.0803  0.9211 -0.1065 0.9048  0.9373    0.0871      0.9799    -0.1065  7.4370  6.4010 1.0360      0.7489   3.7185   False   False       False
  u56   50.0000    W    Q  0.0771  0.8887 -0.1096 0.8590  0.9172    0.0846      0.9560    -0.1096  7.1367  6.4040 0.7328      0.7561   3.5684   False   False       False
  u56   50.0000    M    D  0.0881  0.9943 -0.1113 0.9793  1.0097    0.0948      1.0427    -0.1113  6.8850  2.8644 4.0207      0.7524   3.4425   False   False       False
  u56   50.0000    M    W  0.0992  1.1088 -0.1184 1.1067  1.1122    0.1056      1.1523    -0.1184  4.7376  2.8716 1.8660      0.7527   2.3688   False   False       False
  u56   50.0000    M    M  0.1034  1.1435 -0.1043 1.1374  1.1504    0.1106      1.1978    -0.1043  3.8700  2.8597 1.0103      0.7513   1.9350    True   False        True
  u56   50.0000    M    Q  0.1000  1.1098 -0.1074 1.0906  1.1289    0.1079      1.1726    -0.1074  3.6000  2.8778 0.7222      0.7584   1.8000   False   False        True
  u56   50.0000    Q    D  0.0861  0.9428 -0.1485 0.9286  0.9599    0.0969      1.0076    -0.1485  5.7122  1.6783 4.0339      0.7475   2.8561   False   False       False
  u56   50.0000    Q    W  0.0972  1.0525 -0.1558 1.0550  1.0555    0.1078      1.1103    -0.1558  3.5605  1.6829 1.8776      0.7478   1.7803   False   False        True
  u56   50.0000    Q    M  0.1014  1.0851 -0.1419 1.0838  1.0910    0.1128      1.1525    -0.1419  2.7010  1.6731 1.0279      0.7465   1.3505   False   False        True
  u56   50.0000    Q    Q  0.0981  1.0472 -0.1451 1.0301  1.0662    0.1101      1.1242    -0.1451  2.3964  1.6767 0.7198      0.7538   1.1982   False   False        True
broad    5.0000    D    D  0.1053  1.0580 -0.1276 1.2613  0.8724    0.0934      0.9324    -0.1276 25.5033 21.6999 3.8034      0.7500   1.2752   False   False       False
broad    5.0000    D    W  0.1059  1.0633 -0.1360 1.2775  0.8675    0.0935      0.9331    -0.1360 23.5197 21.7278 1.7919      0.7504   1.1760   False    True       False
broad    5.0000    D    M  0.1060  1.0591 -0.1268 1.2696  0.8655    0.0941      0.9366    -0.1268 22.7303 21.7350 0.9953      0.7491   1.1365   False    True       False
broad    5.0000    D    Q  0.1015  1.0192 -0.1297 1.2190  0.8359    0.0908      0.9065    -0.1297 22.4273 21.7372 0.6900      0.7520   1.1214   False   False       False
broad    5.0000    W    D  0.1202  1.1813 -0.1124 1.3528  1.0293    0.1133      1.0913    -0.1124 12.9095  9.0874 3.8221      0.7499   0.6455    True    True        True
broad    5.0000    W    W  0.1208  1.1876 -0.1177 1.3690  1.0260    0.1134      1.0935    -0.1177 10.8760  9.0842 1.7918      0.7503   0.5438    True    True        True
broad    5.0000    W    M  0.1209  1.1818 -0.1109 1.3603  1.0223    0.1140      1.0951    -0.1109 10.1012  9.1015 0.9997      0.7490   0.5051    True    True        True
broad    5.0000    W    Q  0.1163  1.1425 -0.1116 1.3089  0.9939    0.1106      1.0662    -0.1116  9.7979  9.1030 0.6949      0.7516   0.4899    True    True        True
broad    5.0000    M    D  0.1339  1.2857 -0.1141 1.4942  1.1026    0.1240      1.1618    -0.1141  7.8278  3.9910 3.8368      0.7524   0.3914    True    True        True
broad    5.0000    M    W  0.1346  1.2918 -0.1229 1.5108  1.0990    0.1241      1.1636    -0.1229  5.8051  3.9968 1.8084      0.7527   0.2903   False    True        True
broad    5.0000    M    M  0.1347  1.2856 -0.1112 1.4993  1.0961    0.1248      1.1662    -0.1112  4.9681  3.9852 0.9829      0.7514   0.2484    True    True        True
broad    5.0000    M    Q  0.1301  1.2464 -0.1144 1.4485  1.0675    0.1214      1.1372    -0.1144  4.6759  3.9941 0.6818      0.7539   0.2338    True    True        True
broad    5.0000    Q    D  0.1228  1.1604 -0.1342 1.3916  0.9790    0.1172      1.0502    -0.1342  6.1081  2.2612 3.8469      0.7519   0.3054   False    True        True
broad    5.0000    Q    W  0.1234  1.1660 -0.1430 1.4074  0.9757    0.1173      1.0520    -0.1430  4.0747  2.2634 1.8113      0.7522   0.2037   False    True        True
broad    5.0000    Q    M  0.1236  1.1600 -0.1315 1.3956  0.9728    0.1180      1.0538    -0.1315  3.2489  2.2570 0.9918      0.7511   0.1624   False    True        True
broad    5.0000    Q    Q  0.1189  1.1166 -0.1348 1.3356  0.9422    0.1145      1.0228    -0.1348  2.9434  2.2601 0.6833      0.7538   0.1472   False    True        True
broad   10.0000    D    D  0.0913  0.9296 -0.1289 1.1260  0.7503    0.0797      0.8081    -0.1289 25.5033 21.6999 3.8034      0.7500   2.5503   False   False       False
broad   10.0000    D    W  0.0930  0.9449 -0.1370 1.1520  0.7555    0.0809      0.8190    -0.1370 23.5197 21.7278 1.7919      0.7504   2.3520   False   False       False
broad   10.0000    D    M  0.0935  0.9453 -0.1276 1.1493  0.7578    0.0820      0.8267    -0.1276 22.7303 21.7350 0.9953      0.7491   2.2730   False   False       False
broad   10.0000    D    Q  0.0893  0.9069 -0.1305 1.1000  0.7297    0.0788      0.7978    -0.1305 22.4273 21.7372 0.6900      0.7520   2.2427   False   False       False
broad   10.0000    W    D  0.1130  1.1171 -0.1128 1.2852  0.9678    0.1061      1.0289    -0.1128 12.9095  9.0874 3.8221      0.7499   1.2910    True    True       False
broad   10.0000    W    W  0.1147  1.1333 -0.1182 1.3115  0.9746    0.1074      1.0413    -0.1182 10.8760  9.0842 1.7918      0.7503   1.0876    True    True        True
broad   10.0000    W    M  0.1152  1.1318 -0.1111 1.3075  0.9747    0.1085      1.0468    -0.1111 10.1012  9.1015 0.9997      0.7490   1.0101    True    True        True
broad   10.0000    W    Q  0.1109  1.0940 -0.1118 1.2575  0.9478    0.1052      1.0191    -0.1118  9.7979  9.1030 0.6949      0.7516   0.9798   False    True       False
broad   10.0000    M    D  0.1295  1.2474 -0.1146 1.4536  1.0662    0.1196      1.1248    -0.1146  7.8278  3.9910 3.8368      0.7524   0.7828    True    True        True
broad   10.0000    M    W  0.1313  1.2634 -0.1231 1.4802  1.0725    0.1209      1.1367    -0.1231  5.8051  3.9968 1.8084      0.7527   0.5805   False    True        True
broad   10.0000    M    M  0.1319  1.2615 -0.1113 1.4733  1.0735    0.1220      1.1432    -0.1113  4.9681  3.9852 0.9829      0.7514   0.4968    True    True        True
broad   10.0000    M    Q  0.1275  1.2237 -0.1145 1.4240  1.0463    0.1188      1.1152    -0.1145  4.6759  3.9941 0.6818      0.7539   0.4676    True    True        True
broad   10.0000    Q    D  0.1194  1.1313 -0.1346 1.3595  0.9521    0.1138      1.0226    -0.1346  6.1081  2.2612 3.8469      0.7519   0.6108   False    True        True
broad   10.0000    Q    W  0.1211  1.1466 -0.1432 1.3855  0.9581    0.1150      1.0339    -0.1432  4.0747  2.2634 1.8113      0.7522   0.4075   False    True        True
broad   10.0000    Q    M  0.1218  1.1446 -0.1315 1.3783  0.9588    0.1162      1.0394    -0.1315  3.2489  2.2570 0.9918      0.7511   0.3249   False    True        True
broad   10.0000    Q    Q  0.1173  1.1027 -0.1348 1.3200  0.9296    0.1129      1.0095    -0.1348  2.9434  2.2601 0.6833      0.7538   0.2943   False    True        True
broad   25.0000    D    D  0.0504  0.5444 -0.1740 0.7197  0.3840    0.0397      0.4349    -0.1740 25.5033 21.6999 3.8034      0.7500   6.3758   False   False       False
broad   25.0000    D    W  0.0551  0.5897 -0.1671 0.7753  0.4196    0.0441      0.4766    -0.1671 23.5197 21.7278 1.7919      0.7504   5.8799   False   False       False
broad   25.0000    D    M  0.0569  0.6040 -0.1614 0.7882  0.4344    0.0463      0.4969    -0.1614 22.7303 21.7350 0.9953      0.7491   5.6826   False   False       False
broad   25.0000    D    Q  0.0532  0.5698 -0.1642 0.7426  0.4108    0.0437      0.4719    -0.1642 22.4273 21.7372 0.6900      0.7520   5.6068   False   False       False
broad   25.0000    W    D  0.0916  0.9239 -0.1141 1.0820  0.7833    0.0850      0.8416    -0.1141 12.9095  9.0874 3.8221      0.7499   3.2274   False   False       False
broad   25.0000    W    W  0.0967  0.9702 -0.1197 1.1385  0.8200    0.0896      0.8843    -0.1197 10.8760  9.0842 1.7918      0.7503   2.7190   False   False       False
broad   25.0000    W    M  0.0985  0.9815 -0.1117 1.1485  0.8319    0.0919      0.9017    -0.1117 10.1012  9.1015 0.9997      0.7490   2.5253   False   False       False
broad   25.0000    W    Q  0.0947  0.9480 -0.1123 1.1028  0.8093    0.0892      0.8776    -0.1123  9.7979  9.1030 0.6949      0.7516   2.4495   False   False       False
broad   25.0000    M    D  0.1163  1.1322 -0.1160 1.3313  0.9568    0.1065      1.0136    -0.1160  7.8278  3.9910 3.8368      0.7524   1.9570    True    True       False
broad   25.0000    M    W  0.1215  1.1779 -0.1238 1.3878  0.9927    0.1113      1.0554    -0.1238  5.8051  3.9968 1.8084      0.7527   1.4513   False    True        True
broad   25.0000    M    M  0.1235  1.1887 -0.1115 1.3950  1.0054    0.1138      1.0737    -0.1115  4.9681  3.9852 0.9829      0.7514   1.2420    True    True        True
broad   25.0000    M    Q  0.1196  1.1552 -0.1147 1.3499  0.9825    0.1110      1.0492    -0.1147  4.6759  3.9941 0.6818      0.7539   1.1690    True    True        True
broad   25.0000    Q    D  0.1092  1.0436 -0.1357 1.2628  0.8711    0.1035      0.9397    -0.1357  6.1081  2.2612 3.8469      0.7519   1.5270   False    True       False
broad   25.0000    Q    W  0.1143  1.0879 -0.1436 1.3194  0.9051    0.1083      0.9794    -0.1436  4.0747  2.2634 1.8113      0.7522   1.0187   False    True        True
broad   25.0000    Q    M  0.1163  1.0981 -0.1315 1.3262  0.9166    0.1108      0.9959    -0.1315  3.2489  2.2570 0.9918      0.7511   0.8122   False    True        True
broad   25.0000    Q    Q  0.1124  1.0607 -0.1348 1.2728  0.8916    0.1079      0.9694    -0.1348  2.9434  2.2601 0.6833      0.7538   0.7359   False    True        True
broad   50.0000    D    D -0.0145 -0.0974 -0.4194 0.0423 -0.2261   -0.0238     -0.1866    -0.3771 25.5033 21.6999 3.8034      0.7500  12.7516   False   False       False
broad   50.0000    D    W -0.0052 -0.0022 -0.3690 0.1472 -0.1398   -0.0145     -0.0935    -0.3484 23.5197 21.7278 1.7919      0.7504  11.7598   False   False       False
broad   50.0000    D    M -0.0015  0.0350 -0.3555 0.1860 -0.1047   -0.0105     -0.0527    -0.3311 22.7303 21.7350 0.9953      0.7491  11.3652   False   False       False
broad   50.0000    D    Q -0.0042  0.0078 -0.3685 0.1466 -0.1204   -0.0123     -0.0712    -0.3354 22.4273 21.7372 0.6900      0.7520  11.2136   False   False       False
broad   50.0000    W    D  0.0569  0.6016 -0.1463 0.7429  0.4753    0.0505      0.5290    -0.1463 12.9095  9.0874 3.8221      0.7499   6.4548   False   False       False
broad   50.0000    W    W  0.0672  0.6979 -0.1348 0.8496  0.5620    0.0607      0.6222    -0.1348 10.8760  9.0842 1.7918      0.7503   5.4380   False   False       False
broad   50.0000    W    M  0.0711  0.7304 -0.1337 0.8829  0.5932    0.0649      0.6594    -0.1337 10.1012  9.1015 0.9997      0.7490   5.0506   False   False       False
broad   50.0000    W    Q  0.0682  0.7041 -0.1345 0.8444  0.5781    0.0629      0.6412    -0.1345  9.7979  9.1030 0.6949      0.7516   4.8990   False   False       False
broad   50.0000    M    D  0.0947  0.9393 -0.1183 1.1267  0.7739    0.0850      0.8276    -0.1183  7.8278  3.9910 3.8368      0.7524   3.9139   False   False       False
broad   50.0000    M    W  0.1053  1.0346 -0.1249 1.2329  0.8591    0.0955      0.9191    -0.1249  5.8051  3.9968 1.8084      0.7527   2.9026   False   False       False
broad   50.0000    M    M  0.1096  1.0663 -0.1119 1.2630  0.8910    0.1002      0.9568    -0.1119  4.9681  3.9852 0.9829      0.7514   2.4840    True    True       False
broad   50.0000    M    Q  0.1066  1.0400 -0.1150 1.2252  0.8753    0.0981      0.9381    -0.1150  4.6759  3.9941 0.6818      0.7539   2.3380    True    True       False
broad   50.0000    Q    D  0.0924  0.8968 -0.1377 1.1006  0.7356    0.0867      0.8011    -0.1377  6.1081  2.2612 3.8469      0.7519   3.0540   False   False       False
broad   50.0000    Q    W  0.1030  0.9895 -0.1444 1.2083  0.8163    0.0972      0.8880    -0.1444  4.0747  2.2634 1.8113      0.7522   2.0373   False   False       False
broad   50.0000    Q    M  0.1073  1.0199 -0.1315 1.2380  0.8457    0.1019      0.9228    -0.1315  3.2489  2.2570 0.9918      0.7511   1.6244   False    True       False
broad   50.0000    Q    Q  0.1042  0.9898 -0.1348 1.1926  0.8276    0.0996      0.9018    -0.1348  2.9434  2.2601 0.6833      0.7538   1.4717   False   False       False

BENCHMARKS (same sample, per panel per cost rung)
panel  cost_bps  BASE_CAGR  BASE_S  BASE_DD  BASE_H1  BASE_H2  BASE_OOS_CAGR  BASE_OOS_S  SPY_CAGR  SPY_S  SPY_DD  SPY_H1  SPY_H2  SPY_OOS_CAGR  SPY_OOS_S  SPY_OOS_DD  base_TO
  u56    5.0000     0.0872  1.2136  -0.1204   1.2403   1.1931         0.0955      1.2890    0.1514 0.8851 -0.3372  0.9570  0.8264        0.1529     0.8751     -0.3372   1.7736
  u56   10.0000     0.0862  1.2010  -0.1205   1.2276   1.1806         0.0946      1.2767    0.1514 0.8851 -0.3372  0.9570  0.8264        0.1529     0.8751     -0.3372   1.7736
  u56   25.0000     0.0833  1.1635  -0.1209   1.1898   1.1432         0.0916      1.2399    0.1514 0.8851 -0.3372  0.9570  0.8264        0.1529     0.8751     -0.3372   1.7736
  u56   50.0000     0.0785  1.1007  -0.1216   1.1266   1.0807         0.0868      1.1784    0.1514 0.8851 -0.3372  0.9570  0.8264        0.1529     0.8751     -0.3372   1.7736
broad    5.0000     0.0807  1.1111  -0.1223   1.2424   0.9820         0.0796      1.1165    0.1512 0.8844 -0.3372  0.9571  0.8249        0.1526     0.8737     -0.3372   2.0111
broad   10.0000     0.0796  1.0972  -0.1224   1.2296   0.9669         0.0785      1.1017    0.1512 0.8844 -0.3372  0.9571  0.8249        0.1526     0.8737     -0.3372   2.0111
broad   25.0000     0.0763  1.0554  -0.1229   1.1911   0.9217         0.0751      1.0571    0.1512 0.8844 -0.3372  0.9571  0.8249        0.1526     0.8737     -0.3372   2.0111
broad   50.0000     0.0709  0.9855  -0.1236   1.1269   0.8464         0.0694      0.9828    0.1512 0.8844 -0.3372  0.9571  0.8249        0.1526     0.8737     -0.3372   2.0111

==============================================================================================================================
THE TURNOVER FLOOR: split clocks vs the same-clock family
==============================================================================================================================
panel  cost_bps  TO_committed_WW  TO_min_same_clock argmin_same_clock  TO_min_split argmin_split  floor_moved_pp  live_TO  n4a  n4b  nboth
  u56    5.0000           8.1750             2.3964                 Q        2.7010          Q/M          0.3046   1.7736   11   16     11
  u56   10.0000           8.1750             2.3964                 Q        2.7010          Q/M          0.3046   1.7736    7   12      7
  u56   25.0000           8.1750             2.3964                 Q        2.7010          Q/M          0.3046   1.7736    3    6      3
  u56   50.0000           8.1750             2.3964                 Q        2.7010          Q/M          0.3046   1.7736    1    0      0
broad    5.0000          10.8760             2.9434                 Q        3.2489          Q/M          0.3055   2.0111    7   14      7
broad   10.0000          10.8760             2.9434                 Q        3.2489          Q/M          0.3055   2.0111    6   12      6
broad   25.0000          10.8760             2.9434                 Q        3.2489          Q/M          0.3055   2.0111    3    8      3
broad   50.0000          10.8760             2.9434                 Q        3.2489          Q/M          0.3055   2.0111    2    3      2

==============================================================================================================================
