stem,token,head,in_CSV,in_CSVJSON,in_ANY
2026-09-04_abs-momentum-filter_C,1.026,0,0,0,1
2026-09-04_abs-momentum-filter_C,1.027,0,0,0,1
2026-09-04_abs-momentum-filter_C,1.038,0,0,0,1
2026-09-04_abs-momentum-filter_C,1.058,0,0,0,1
2026-09-04_abs-momentum-filter_C,1.064,0,0,0,1
2026-09-04_abs-momentum-filter_C,1.068,1,0,0,1
2026-09-04_abs-momentum-filter_C,1.072,1,0,0,1
2026-09-04_abs-momentum-filter_C,1.074,0,0,0,1
2026-09-04_abs-momentum-filter_C,1.083,0,0,0,1
2026-09-04_abs-momentum-filter_C,1.093,1,0,0,1
2026-09-04_abs-momentum-filter_C,1.104,0,0,0,1
2026-09-04_abs-momentum-filter_C,1.113,0,0,0,1
2026-09-04_abs-momentum-filter_C,1.116,0,0,0,1
2026-09-04_abs-momentum-filter_C,1.118,1,0,0,1
2026-09-04_abs-momentum-filter_C,1.121,0,0,0,1
2026-09-04_abs-momentum-filter_C,1.127,0,0,0,1
2026-09-04_abs-momentum-filter_C,1.136,1,0,0,1
2026-09-04_abs-momentum-filter_C,1.158,0,0,0,1
2026-09-04_abs-momentum-filter_C,1.164,0,0,0,1
2026-09-04_abs-momentum-filter_C,1.234,0,0,0,1
2026-09-04_asset-class-dispersion_B,1.088,1,0,0,1
2026-09-04_asset-class-dispersion_B,1.093,1,0,0,1
2026-09-04_asset-class-dispersion_B,1.103,1,0,0,1
2026-09-04_asset-class-dispersion_B,1.366,0,0,0,1
2026-09-04_asset-class-dispersion_B,1.449,0,0,0,1
2026-09-04_asset-class-dispersion_B,"4,877",0,0,0,1
2026-09-04_broad-H2-binding-bar_cloud,1.016,0,0,0,1
2026-09-04_broad-H2-binding-bar_cloud,1.027,0,0,0,1
2026-09-04_broad-H2-binding-bar_cloud,1.061,0,0,0,1
2026-09-04_broad-H2-binding-bar_cloud,1.064,0,0,0,1
2026-09-04_broad-H2-binding-bar_cloud,1.083,0,0,0,1
2026-09-04_broad-H2-binding-bar_cloud,1.086,1,0,0,1
2026-09-04_broad-H2-binding-bar_cloud,1.093,0,0,0,1
2026-09-04_broad-H2-binding-bar_cloud,1.106,1,0,0,1
2026-09-04_broad-H2-binding-bar_cloud,1.113,1,0,0,1
2026-09-04_broad-H2-binding-bar_cloud,1.127,1,0,0,1
2026-09-04_broad-H2-binding-bar_cloud,1.136,0,0,0,1
2026-09-04_broad-H2-binding-bar_cloud,1.142,1,0,0,1
2026-09-04_broad-H2-binding-bar_cloud,1.183,1,0,0,1
2026-09-04_broad-H2-binding-bar_cloud,1.203,1,0,0,1
2026-09-04_core-sleeve-walk-forward-repair_B,1.016,0,0,0,1
2026-09-04_core-sleeve-walk-forward-repair_B,1.027,0,0,0,1
2026-09-04_core-sleeve-walk-forward-repair_B,1.042,0,0,0,1
2026-09-04_core-sleeve-walk-forward-repair_B,1.064,1,0,0,1
2026-09-04_core-sleeve-walk-forward-repair_B,1.086,0,0,0,1
2026-09-04_core-sleeve-walk-forward-repair_B,1.104,0,0,0,1
2026-09-04_core-sleeve-walk-forward-repair_B,1.106,1,0,0,1
2026-09-04_core-sleeve-walk-forward-repair_B,1.136,1,0,0,1
2026-09-04_core-sleeve-walk-forward-repair_B,1.142,0,0,0,1
2026-09-04_core-sleeve-walk-forward-repair_B,18.75%,0,0,0,0
2026-09-04_core-sleeve-walk-forward-repair_B,56.25%,0,0,0,0
2026-09-04_cost-sensitivity_cloud,1.088,1,0,0,1
2026-09-04_cost-sensitivity_cloud,1.093,1,0,0,1
2026-09-04_cost-sensitivity_cloud,1.103,1,0,0,1
2026-09-04_cost-sensitivity_cloud,1.248,0,0,0,1
2026-09-04_cost-sensitivity_cloud,133.5,0,0,0,1
2026-09-04_cost-sensitivity_cloud,"50,100",1,0,0,0
2026-09-04_crypto-sleeve_C,1.088,1,1,1,1
2026-09-04_crypto-sleeve_C,1.093,1,1,1,1
2026-09-04_crypto-sleeve_C,1.103,1,1,1,1
2026-09-04_crypto-sleeve_C,1.127,0,0,0,1
2026-09-04_crypto-sleeve_C,1.178,1,1,1,1
2026-09-04_crypto-sleeve_C,1.226,0,1,1,1
2026-09-04_crypto-sleeve_C,1.237,0,0,0,1
2026-09-04_crypto-sleeve_C,1.254,0,0,0,1
2026-09-04_crypto-sleeve_C,1.315,0,0,0,1
2026-09-04_crypto-sleeve_C,1.408,0,1,1,1
2026-09-04_crypto-sleeve_C,10.68%,0,0,0,1
2026-09-04_defensive-sleeve_cloud,1.031,0,0,0,1
2026-09-04_defensive-sleeve_cloud,1.047,1,0,0,1
2026-09-04_defensive-sleeve_cloud,1.088,1,0,0,1
2026-09-04_defensive-sleeve_cloud,1.092,0,0,0,1
2026-09-04_defensive-sleeve_cloud,1.093,1,0,0,1
2026-09-04_defensive-sleeve_cloud,1.103,1,0,0,1
2026-09-04_defensive-sleeve_cloud,"63,126",1,0,0,0
2026-09-04_drawdown-control_C,1.018,1,1,1,1
2026-09-04_drawdown-control_C,1.027,0,1,1,1
2026-09-04_drawdown-control_C,1.088,0,1,1,1
2026-09-04_drawdown-control_C,1.093,0,1,1,1
2026-09-04_drawdown-control_C,1.103,0,1,1,1
2026-09-04_drawdown-insurance-price-list_B,1.002,0,1,1,1
2026-09-04_drawdown-insurance-price-list_B,1.006,0,1,1,1
2026-09-04_drawdown-insurance-price-list_B,1.027,1,0,0,1
2026-09-04_drawdown-insurance-price-list_B,1.051,0,1,1,1
2026-09-04_drawdown-insurance-price-list_B,1.067,0,1,1,1
2026-09-04_drawdown-insurance-price-list_B,1.069,0,1,1,1
2026-09-04_drawdown-insurance-price-list_B,1.072,0,1,1,1
2026-09-04_drawdown-insurance-price-list_B,1.076,0,1,1,1
2026-09-04_drawdown-insurance-price-list_B,1.091,0,1,1,1
2026-09-04_drawdown-insurance-price-list_B,1.095,0,1,1,1
2026-09-04_drawdown-insurance-price-list_B,1.098,0,1,1,1
2026-09-04_drawdown-insurance-price-list_B,1.102,0,1,1,1
2026-09-04_drawdown-insurance-price-list_B,1.106,0,1,1,1
2026-09-04_drawdown-insurance-price-list_B,1.107,0,1,1,1
2026-09-04_drawdown-insurance-price-list_B,1.113,1,1,1,1
2026-09-04_drawdown-insurance-price-list_B,1.119,0,1,1,1
2026-09-04_drawdown-insurance-price-list_B,1.122,1,1,1,1
2026-09-04_drawdown-insurance-price-list_B,1.125,0,1,1,1
2026-09-04_drawdown-insurance-price-list_B,1.129,0,0,0,1
2026-09-04_drawdown-insurance-price-list_B,1.133,1,1,1,1
2026-09-04_drawdown-insurance-price-list_B,1.136,0,1,1,1
2026-09-04_drawdown-insurance-price-list_B,1.137,0,1,1,1
2026-09-04_drawdown-insurance-price-list_B,1.138,1,1,1,1
2026-09-04_drawdown-insurance-price-list_B,1.143,0,1,1,1
2026-09-04_drawdown-insurance-price-list_B,1.145,0,1,1,1
2026-09-04_drawdown-insurance-price-list_B,1.156,1,1,1,1
2026-09-04_drawdown-insurance-price-list_B,1.161,0,1,1,1
2026-09-04_drawdown-insurance-price-list_B,1.164,0,1,1,1
2026-09-04_drawdown-insurance-price-list_B,1.168,0,1,1,1
2026-09-04_drawdown-insurance-price-list_B,1.172,0,1,1,1
2026-09-04_drawdown-insurance-price-list_B,1.186,1,1,1,1
2026-09-04_drawdown-insurance-price-list_B,1.203,0,0,0,1
2026-09-04_drawdown-insurance-price-list_B,1.206,0,1,1,1
2026-09-04_drawdown-insurance-price-list_B,1.238,0,0,0,1
2026-09-04_drawdown-insurance-price-list_B,1.255,1,1,1,1
2026-09-04_drawdown-insurance-price-list_B,10.66%,0,0,0,1
2026-09-04_earnings-season-avoidance_cloud,1.045,0,1,1,1
2026-09-04_earnings-season-avoidance_cloud,1.092,0,1,1,1
2026-09-04_eligible-fraction-vs-n_B,1.004,0,0,0,1
2026-09-04_eligible-fraction-vs-n_B,1.024,1,0,0,1
2026-09-04_eligible-fraction-vs-n_B,1.026,0,0,0,1
2026-09-04_eligible-fraction-vs-n_B,1.038,0,0,0,1
2026-09-04_eligible-fraction-vs-n_B,1.051,0,0,0,1
2026-09-04_eligible-fraction-vs-n_B,1.053,0,0,0,1
2026-09-04_eligible-fraction-vs-n_B,1.058,1,0,0,1
2026-09-04_eligible-fraction-vs-n_B,1.069,0,0,0,1
2026-09-04_eligible-fraction-vs-n_B,1.071,0,0,0,1
2026-09-04_eligible-fraction-vs-n_B,1.072,1,0,0,1
2026-09-04_eligible-fraction-vs-n_B,1.088,0,0,0,1
2026-09-04_eligible-fraction-vs-n_B,1.092,1,0,0,1
2026-09-04_eligible-fraction-vs-n_B,1.093,0,0,0,1
2026-09-04_eligible-fraction-vs-n_B,1.099,0,0,0,1
2026-09-04_eligible-fraction-vs-n_B,1.103,0,0,0,1
2026-09-04_eligible-fraction-vs-n_B,1.125,0,0,0,1
2026-09-04_eligible-fraction-vs-n_B,1.128,1,0,0,1
2026-09-04_eligible-fraction-vs-n_B,1.132,1,0,0,1
2026-09-04_eligible-fraction-vs-n_B,1.133,0,0,0,1
2026-09-04_eligible-fraction-vs-n_B,1.138,0,0,0,1
2026-09-04_eligible-fraction-vs-n_B,1.143,0,0,0,1
2026-09-04_ensemble-plus-momentum_C,1.002,0,1,1,1
2026-09-04_ensemble-plus-momentum_C,1.015,0,1,1,1
2026-09-04_ensemble-plus-momentum_C,1.038,0,1,1,1
2026-09-04_ensemble-plus-momentum_C,1.044,0,1,1,1
2026-09-04_ensemble-plus-momentum_C,1.061,0,0,0,1
2026-09-04_ensemble-plus-momentum_C,1.085,0,0,0,1
2026-09-04_ensemble-plus-momentum_C,1.088,1,1,1,1
2026-09-04_ensemble-plus-momentum_C,1.092,1,1,1,1
2026-09-04_ensemble-plus-momentum_C,1.093,1,0,0,0
2026-09-04_ensemble-plus-momentum_C,1.102,1,0,0,1
2026-09-04_ensemble-plus-momentum_C,1.103,1,1,1,1
2026-09-04_ensemble-plus-momentum_C,1.106,0,1,1,1
2026-09-04_ensemble-plus-momentum_C,1.124,0,1,1,1
2026-09-04_ensemble-plus-momentum_C,1.125,0,0,0,1
2026-09-04_ensemble-plus-momentum_C,1.168,0,0,0,1
2026-09-04_ensemble-plus-momentum_C,1.184,0,0,0,1
2026-09-04_ensemble-plus-momentum_C,10.66%,0,0,0,1
2026-09-04_exit-schedule-vs-entry-schedule_cloud,1.012,0,1,1,1
2026-09-04_exit-schedule-vs-entry-schedule_cloud,1.027,1,1,1,1
2026-09-04_exit-schedule-vs-entry-schedule_cloud,1.077,1,1,1,1
2026-09-04_exit-schedule-vs-entry-schedule_cloud,1.088,1,1,1,1
2026-09-04_exit-schedule-vs-entry-schedule_cloud,1.093,1,1,1,1
2026-09-04_exit-schedule-vs-entry-schedule_cloud,1.097,0,1,1,1
2026-09-04_exit-schedule-vs-entry-schedule_cloud,1.098,0,1,1,1
2026-09-04_exit-schedule-vs-entry-schedule_cloud,1.103,1,1,1,1
2026-09-04_exit-schedule-vs-entry-schedule_cloud,1.113,0,1,1,1
2026-09-04_exit-schedule-vs-entry-schedule_cloud,1.114,0,1,1,1
2026-09-04_exit-schedule-vs-entry-schedule_cloud,1.124,0,1,1,1
2026-09-04_exit-schedule-vs-entry-schedule_cloud,1.146,1,1,1,1
2026-09-04_exit-schedule-vs-entry-schedule_cloud,1.224,0,1,1,1
2026-09-04_gross-exposure-is-the-error_B,1.064,1,0,0,1
2026-09-04_gross-exposure-is-the-error_B,1.073,0,0,0,1
2026-09-04_gross-exposure-is-the-error_B,1.106,0,0,0,1
2026-09-04_gross-exposure-is-the-error_B,1.113,0,0,0,1
2026-09-04_gross-exposure-is-the-error_B,1.136,1,0,0,1
2026-09-04_gross-exposure-is-the-error_B,1.164,0,0,0,1
2026-09-04_gross-exposure-is-the-error_B,1.174,0,0,0,1
2026-09-04_gross-exposure-is-the-error_B,1.234,0,0,0,1
2026-09-04_gross-matched-turnover-constraints_B,1.021,0,1,1,1
2026-09-04_gross-matched-turnover-constraints_B,1.025,0,1,1,1
2026-09-04_gross-matched-turnover-constraints_B,1.059,0,1,1,1
2026-09-04_gross-matched-turnover-constraints_B,1.064,0,1,1,1
2026-09-04_gross-matched-turnover-constraints_B,1.065,0,1,1,1
2026-09-04_gross-matched-turnover-constraints_B,1.076,0,1,1,1
2026-09-04_gross-matched-turnover-constraints_B,1.088,0,1,1,1
2026-09-04_gross-matched-turnover-constraints_B,1.093,1,1,1,1
2026-09-04_gross-matched-turnover-constraints_B,1.103,0,1,1,1
2026-09-04_gross-matched-turnover-constraints_B,1.106,0,1,1,1
2026-09-04_gross-matched-turnover-constraints_B,1.114,0,1,1,1
2026-09-04_gross-matched-turnover-constraints_B,1.119,0,1,1,1
2026-09-04_gross-matched-turnover-constraints_B,1.124,0,1,1,1
2026-09-04_gross-matched-turnover-constraints_B,1.125,0,1,1,1
2026-09-04_gross-matched-turnover-constraints_B,1.127,0,1,1,1
2026-09-04_gross-matched-turnover-constraints_B,1.128,0,1,1,1
2026-09-04_gross-matched-turnover-constraints_B,1.133,1,1,1,1
2026-09-04_gross-matched-turnover-constraints_B,1.136,0,1,1,1
2026-09-04_gross-matched-turnover-constraints_B,1.145,1,1,1,1
2026-09-04_gross-matched-turnover-constraints_B,1.154,0,1,1,1
2026-09-04_gross-matched-turnover-constraints_B,1.169,1,1,1,1
2026-09-04_gross-matched-turnover-constraints_B,1.188,0,1,1,1
2026-09-04_gross-matched-turnover-constraints_B,1.208,0,1,1,1
2026-09-04_gross-matched-turnover-constraints_B,1.211,0,1,1,1
2026-09-04_gross-matched-turnover-constraints_B,1.231,1,1,1,1
2026-09-04_gross-matched-turnover-constraints_B,1.257,0,1,1,1
2026-09-04_gross-matched-turnover-constraints_B,1.286,0,1,1,1
2026-09-04_gross-matched-turnover-constraints_B,1.309,0,0,0,1
2026-09-04_gross-matched-turnover-constraints_B,13.78,0,1,1,1
2026-09-04_gross-matched-turnover-constraints_B,21.58,1,1,1,1
2026-09-04_insider-cluster-buying,"1,092",0,0,0,1
2026-09-04_insider-cluster-buying,1.073,0,0,0,1
2026-09-04_insider-cluster-buying,1.127,0,0,0,1
2026-09-04_insider-cluster-buying,1.185,1,0,0,1
2026-09-04_insider-cluster-buying,1.284,0,0,0,1
2026-09-04_insider-cluster-buying,1.308,1,0,0,1
2026-09-04_insider-cluster-buying,1.359,1,0,0,1
2026-09-04_insider-cluster-buying,"10,000",0,0,0,0
2026-09-04_insider-cluster-buying,"126,000",0,0,0,0
2026-09-04_insider-cluster-buying,"126,987",1,0,0,0
2026-09-04_insider-cluster-buying,"128,930",1,0,0,0
2026-09-04_insider-cluster-buying,"2,552",1,0,0,0
2026-09-04_insider-cluster-buying,"2,600",1,0,0,1
2026-09-04_insider-cluster-buying,"2,911",1,0,0,0
2026-09-04_insider-cluster-buying,"3,016",0,0,0,0
2026-09-04_insider-cluster-buying,"6,000",0,0,0,0
2026-09-04_insider-cluster-smallcap,"1,080",0,0,0,1
2026-09-04_insider-cluster-smallcap,"1,170",0,0,0,1
2026-09-04_insider-cluster-smallcap,"1,202",0,0,0,1
2026-09-04_insider-cluster-smallcap,"1,254",0,0,0,1
2026-09-04_insider-cluster-smallcap,"1,274",0,0,0,1
2026-09-04_insider-cluster-smallcap,"1,279",0,0,0,1
2026-09-04_insider-cluster-smallcap,"1,358",0,0,0,1
2026-09-04_insider-cluster-smallcap,"1,390",0,0,0,1
2026-09-04_insider-cluster-smallcap,"1,397",0,0,0,1
2026-09-04_insider-cluster-smallcap,"1,613",0,0,0,1
2026-09-04_insider-cluster-smallcap,"1,662",1,0,0,0
2026-09-04_insider-cluster-smallcap,"1,699",0,0,0,1
2026-09-04_insider-cluster-smallcap,"1,700",0,0,0,1
2026-09-04_insider-cluster-smallcap,"1,751",1,0,0,1
2026-09-04_insider-cluster-smallcap,"1,855",0,0,0,1
2026-09-04_insider-cluster-smallcap,"1,885",0,0,0,1
2026-09-04_insider-cluster-smallcap,"10,000",0,0,0,0
2026-09-04_insider-cluster-smallcap,"17,815",0,0,0,0
2026-09-04_insider-cluster-smallcap,"19,566",1,0,0,1
2026-09-04_insider-cluster-smallcap,"19,576",0,0,0,0
2026-09-04_insider-cluster-smallcap,"3,119",1,0,0,1
2026-09-04_insider-cluster-smallcap,"3,151",1,0,0,1
2026-09-04_insider-cluster-smallcap,"3,258",1,0,0,1
2026-09-04_insider-cluster-smallcap,"30,428",0,0,0,0
2026-09-04_insider-cluster-smallcap,"5,989",0,0,0,1
2026-09-04_insider-cluster-smallcap,"6,223",1,0,0,0
2026-09-04_insider-cluster-smallcap,"6,617",1,0,0,0
2026-09-04_interior-4b-selection_cloud,1.027,1,1,1,1
2026-09-04_interior-4b-selection_cloud,1.064,1,0,0,1
2026-09-04_interior-4b-selection_cloud,1.088,1,1,1,1
2026-09-04_interior-4b-selection_cloud,1.093,1,1,1,1
2026-09-04_interior-4b-selection_cloud,1.103,1,1,1,1
2026-09-04_is-window-has-no-crash_C,1.099,0,1,1,1
2026-09-04_lookback-blend_C,1.004,1,0,0,1
2026-09-04_lookback-blend_C,1.012,0,0,0,1
2026-09-04_lookback-blend_C,1.015,0,0,0,1
2026-09-04_lookback-blend_C,1.023,0,0,0,1
2026-09-04_lookback-blend_C,1.038,0,0,0,1
2026-09-04_lookback-blend_C,1.047,0,0,0,1
2026-09-04_lookback-blend_C,1.061,0,0,0,1
2026-09-04_lookback-blend_C,1.077,0,0,0,1
2026-09-04_lookback-blend_C,1.083,0,0,0,1
2026-09-04_lookback-blend_C,1.088,0,0,0,1
2026-09-04_lookback-blend_C,1.093,0,0,0,1
2026-09-04_lookback-blend_C,1.094,1,0,0,1
2026-09-04_lookback-blend_C,1.097,1,0,0,1
2026-09-04_lookback-blend_C,1.099,1,0,0,1
2026-09-04_lookback-blend_C,1.103,0,0,0,1
2026-09-04_lookback-blend_C,1.105,1,0,0,1
2026-09-04_lookback-blend_C,1.159,1,0,0,1
2026-09-04_lookback-blend_C,1.193,1,0,0,1
2026-09-04_lookback-blend_C,1.227,0,0,0,1
2026-09-04_lookback-candidate-cost-and-lag_cloud,+2.362,0,0,0,0
2026-09-04_lookback-candidate-cost-and-lag_cloud,+4.414,0,0,0,0
2026-09-04_lookback-candidate-cost-and-lag_cloud,-15.816%,0,0,0,0
2026-09-04_lookback-candidate-cost-and-lag_cloud,-15.82%,0,0,0,0
2026-09-04_lookback-candidate-cost-and-lag_cloud,-17.33%,0,0,0,0
2026-09-04_lookback-candidate-cost-and-lag_cloud,-20.17%,0,0,0,0
2026-09-04_lookback-candidate-cost-and-lag_cloud,-20.171%,0,0,0,0
2026-09-04_lookback-candidate-cost-and-lag_cloud,-20.230%,0,0,0,0
2026-09-04_lookback-candidate-cost-and-lag_cloud,1.004,1,0,0,1
2026-09-04_lookback-candidate-cost-and-lag_cloud,1.052,0,0,0,1
2026-09-04_lookback-candidate-cost-and-lag_cloud,1.094,0,0,0,1
2026-09-04_lookback-candidate-cost-and-lag_cloud,1.097,1,0,0,1
2026-09-04_lookback-candidate-cost-and-lag_cloud,10.68%,0,0,0,0
2026-09-04_lookback-candidate-cost-and-lag_cloud,10.680%,0,0,0,0
2026-09-04_lookback-candidate-cost-and-lag_cloud,10.868%,0,0,0,0
2026-09-04_lookback-candidate-cost-and-lag_cloud,13.042%,0,0,0,0
2026-09-04_momentum-plus-quality-proxy_cloud,1.016,0,1,1,1
2026-09-04_momentum-plus-quality-proxy_cloud,1.024,0,1,1,1
2026-09-04_momentum-plus-quality-proxy_cloud,1.049,0,1,1,1
2026-09-04_momentum-plus-quality-proxy_cloud,1.077,0,1,1,1
2026-09-04_momentum-plus-quality-proxy_cloud,1.092,0,1,1,1
2026-09-04_momentum-plus-quality-proxy_cloud,1.133,0,1,1,1
2026-09-04_momentum-plus-quality-proxy_cloud,1.161,0,1,1,1
2026-09-04_momentum-plus-quality-proxy_cloud,1.204,0,1,1,1
2026-09-04_momentum-plus-quality-proxy_cloud,1.258,0,0,0,1
2026-09-04_momentum-plus-quality-proxy_cloud,1.284,0,0,0,1
2026-09-04_momentum-plus-quality-proxy_cloud,1.385,0,0,0,1
2026-09-04_monthly-seasonality_cloud,1.021,0,1,1,1
2026-09-04_monthly-seasonality_cloud,1.036,0,1,1,1
2026-09-04_monthly-seasonality_cloud,1.088,1,1,1,1
2026-09-04_monthly-seasonality_cloud,1.093,1,1,1,1
2026-09-04_monthly-seasonality_cloud,1.103,1,1,1,1
2026-09-04_monthly-seasonality_cloud,1.114,0,1,1,1
2026-09-04_monthly-seasonality_cloud,1.135,0,0,0,1
2026-09-04_monthly-seasonality_cloud,1.223,0,1,1,1
2026-09-04_monthly-seasonality_cloud,1.297,0,1,1,1
2026-09-04_no-vol-scaling,+10.09%,1,0,0,1
2026-09-04_no-vol-scaling,0.6665,1,0,0,1
2026-09-04_one-year-leverage-audit_cloud,1.027,1,1,1,1
2026-09-04_one-year-leverage-audit_cloud,1.074,0,0,0,1
2026-09-04_one-year-leverage-audit_cloud,1.093,1,1,1,1
2026-09-04_position-count,1.004,0,0,0,1
2026-09-04_position-count,1.006,0,0,0,1
2026-09-04_position-count,1.023,0,0,0,1
2026-09-04_position-count,1.025,0,0,0,1
2026-09-04_position-count,1.033,0,0,0,1
2026-09-04_position-count,1.037,0,0,0,1
2026-09-04_position-count,1.052,0,0,0,1
2026-09-04_position-count,1.053,0,0,0,1
2026-09-04_position-count,1.088,1,0,0,1
2026-09-04_position-count,1.093,1,0,0,1
2026-09-04_position-count,1.101,0,0,0,1
2026-09-04_position-count,1.103,1,0,0,1
2026-09-04_prox-inverted-signal_cloud,1.005,0,0,0,1
2026-09-04_prox-inverted-signal_cloud,1.088,1,0,0,1
2026-09-04_prox-inverted-signal_cloud,1.093,1,0,0,1
2026-09-04_prox-inverted-signal_cloud,1.103,1,0,0,1
2026-09-04_prox-inverted-signal_cloud,10.68%,0,0,0,1
2026-09-04_rebalance-freq_cloud,1.009,0,0,0,1
2026-09-04_rebalance-freq_cloud,1.044,0,0,0,1
2026-09-04_rebalance-freq_cloud,1.058,0,0,0,1
2026-09-04_rebalance-freq_cloud,1.064,0,0,0,1
2026-09-04_rebalance-freq_cloud,1.071,0,0,0,1
2026-09-04_rebalance-freq_cloud,1.074,0,0,0,1
2026-09-04_rebalance-freq_cloud,1.088,0,0,0,1
2026-09-04_rebalance-freq_cloud,1.093,0,0,0,1
2026-09-04_rebalance-freq_cloud,1.101,0,0,0,1
2026-09-04_rebalance-freq_cloud,1.103,0,0,0,1
2026-09-04_rebalance-freq_cloud,1.105,0,0,0,1
2026-09-04_rebalance-freq_cloud,1.113,0,0,0,1
2026-09-04_rebalance-freq_cloud,1.125,0,0,0,1
2026-09-04_rebalance-freq_cloud,1.134,0,0,0,1
2026-09-04_rebalance-freq_cloud,1.136,0,0,0,1
2026-09-04_rebalance-freq_cloud,1.141,0,0,0,1
2026-09-04_rebalance-freq_cloud,1.144,0,0,0,1
2026-09-04_rebalance-freq_cloud,1.151,0,0,0,1
2026-09-04_rebalance-freq_cloud,1.163,0,0,0,1
2026-09-04_rebalance-freq_cloud,1.204,0,0,0,1
2026-09-04_rebalance-freq_cloud,1.206,0,0,0,1
2026-09-04_rebalance-freq_cloud,1.211,0,0,0,1
2026-09-04_rebalance-freq_cloud,1.226,0,0,0,1
2026-09-04_rebalance-freq_cloud,1.234,0,0,0,1
2026-09-04_rebalance-freq_cloud,1.239,0,0,0,1
2026-09-04_rebalance-freq_cloud,1.286,0,0,0,1
2026-09-04_rebalance-freq_cloud,1.328,0,0,0,1
2026-09-04_sector-only-universe_C,1.021,0,0,0,1
2026-09-04_sector-only-universe_C,1.027,0,1,1,1
2026-09-04_sector-only-universe_C,1.088,0,1,1,1
2026-09-04_sector-only-universe_C,1.093,0,1,1,1
2026-09-04_sector-only-universe_C,1.103,0,1,1,1
2026-09-04_sector-only-universe_C,1.122,0,1,1,1
2026-09-04_sector-only-universe_C,1.135,0,0,0,1
