# 2026-09-18 idea 1267 lane cloud — does-a-DEFENSIVE-SECTOR-ROTATION-buy-the-DD-LEG-more-cheaply-than-DE-GROSSING
# frozen book: RAW 3-leg composite, gate = above 200d MA AND vol20 < 0.6, N=20, H=126, GROSS=0.75, weekly, 10 bps, t+1, warm-up 260
# DIAL 1 BETA_LOOK = [63, 126, 252]   DIAL 2 ROT = [0.0, 0.25, 0.5, 0.75, 1.0] (0.00 = do-nothing control)
# reported-not-dials: panel {U56,B135,SMALL} x FILL ['RESPREAD', 'CASH'] x ROT_KIND ['LOWBETA', 'HIGHBETA', 'RANDOM'] (RANDOM over 3 seeds = the PURE EXPOSURE control)
# CORE SELECTION IDENTICAL AT EVERY CELL; tactical names are released every rebalance and never acquire the min hold
# SMALL panel: 715 names, 52 dropped for max_1d_move >= 1.0 -> 663 investable

## U56  n_days=4707  n_names=55  2009-01-13..2026-09-17
   SPY     full  15.13% / 0.8849 / -33.72%   halves 0.9600/0.8236   OOS 0.8747
   LIVE v2 full   8.62% / 1.2018 / -12.05%   OOS 1.2781
   4b bars: DD cap -20.23%   CAGR floor  10.59%   Sharpe bars H1 0.9600 H2 0.8236 OOS 0.8747

   --- MINHOLD 126 / FILL RESPREAD ---
   kind     look   ROT |    CAGR   Sharpe    MaxDD |  H1/H2 Sharpe |  OOS Sh | turn  gross beta | rotwk rotsl | 4a 4b | fail4b
   HIGHBETA   63  0.50 |  15.82%   1.1449  -19.30% | 1.1881/1.1171 |  1.1871 |  3.64 0.750  0.67 | 0.036 0.103 | n  Y | -
   HIGHBETA   63  0.75 |  15.80%   1.1407  -19.17% | 1.1817/1.1144 |  1.1844 |  3.49 0.750  0.68 | 0.037 0.157 | n  Y | -
   HIGHBETA   63  1.00 |  15.82%   1.1406  -19.10% | 1.1797/1.1152 |  1.1852 |  3.37 0.750  0.68 | 0.037 0.205 | n  Y | -
   HIGHBETA  126  0.00 |  15.78%   1.1522  -19.13% | 1.2127/1.1128 |  1.1832 |  2.75 0.750  0.65 | 0.000 0.000 | n  Y | -
   HIGHBETA  126  0.25 |  15.89%   1.1541  -19.27% | 1.2085/1.1182 |  1.1882 |  3.69 0.750  0.67 | 0.033 0.050 | n  Y | -
   HIGHBETA  126  0.50 |  15.81%   1.1457  -19.30% | 1.1947/1.1133 |  1.1836 |  3.46 0.750  0.67 | 0.036 0.103 | n  Y | -
   HIGHBETA  126  0.75 |  15.69%   1.1346  -19.17% | 1.1808/1.1038 |  1.1745 |  3.37 0.750  0.68 | 0.037 0.157 | n  Y | -
   HIGHBETA  126  1.00 |  15.84%   1.1426  -19.10% | 1.1879/1.1122 |  1.1825 |  3.28 0.750  0.68 | 0.037 0.205 | n  Y | -
   HIGHBETA  252  0.00 |  15.78%   1.1522  -19.13% | 1.2127/1.1128 |  1.1832 |  2.75 0.750  0.65 | 0.000 0.000 | n  Y | -
   HIGHBETA  252  0.25 |  15.89%   1.1548  -19.10% | 1.2048/1.1223 |  1.1922 |  2.81 0.750  0.67 | 0.033 0.050 | n  Y | -
   HIGHBETA  252  0.50 |  15.73%   1.1399  -19.14% | 1.1854/1.1102 |  1.1807 |  2.85 0.750  0.67 | 0.036 0.103 | n  Y | -
   HIGHBETA  252  0.75 |  15.66%   1.1328  -19.17% | 1.1828/1.0988 |  1.1698 |  2.86 0.750  0.68 | 0.037 0.157 | n  Y | -
   HIGHBETA  252  1.00 |  15.77%   1.1380  -19.10% | 1.1853/1.1058 |  1.1765 |  2.88 0.750  0.68 | 0.037 0.205 | n  Y | -
   RANDOM    126  0.00 |  15.78%   1.1522  -19.13% | 1.2127/1.1128 |  1.1832 |  2.75 0.750  0.65 | 0.000 0.000 | n  Y | -
   RANDOM    126  0.25 |  15.68%   1.1455  -19.14% | 1.1936/1.1156 |  1.1860 |  6.21 0.750  0.66 | 0.033 0.050 | n  Y | -
   RANDOM    126  0.50 |  15.71%   1.1456  -19.18% | 1.2018/1.1083 |  1.1792 |  5.78 0.750  0.66 | 0.036 0.103 | n  Y | -
   RANDOM    126  0.75 |  15.58%   1.1366  -19.38% | 1.1788/1.1098 |  1.1808 |  5.39 0.750  0.67 | 0.037 0.157 | n  Y | -
   RANDOM    126  1.00 |  15.68%   1.1427  -19.18% | 1.1937/1.1079 |  1.1792 |  5.05 0.750  0.67 | 0.037 0.205 | n  Y | -
   RULE 8 H=126 RESPREAD LOWBETA  IS-argmax = look 63 / ROT 0.00 (IS Sh 1.1158) -> OOS 1.1832 vs do-nothing 1.1832 (+0.0000)  cellmean 1.1763 worst 1.1688  rank corr +0.62
   RULE 8 H=126 RESPREAD HIGHBETA IS-argmax = look 63 / ROT 0.00 (IS Sh 1.1158) -> OOS 1.1832 vs do-nothing 1.1832 (+0.0000)  cellmean 1.1821 worst 1.1698  rank corr +0.27
   RULE 8 H=126 RESPREAD RANDOM   IS-argmax = look 126 / ROT 0.00 (IS Sh 1.1158) -> OOS 1.1832 vs do-nothing 1.1832 (+0.0000)  cellmean 1.1817 worst 1.1792  rank corr -0.20

   --- MINHOLD 126 / FILL CASH ---
   kind     look   ROT |    CAGR   Sharpe    MaxDD |  H1/H2 Sharpe |  OOS Sh | turn  gross beta | rotwk rotsl | 4a 4b | fail4b
   LOWBETA    63  0.00 |  15.47%   1.1467  -19.10% | 1.2173/1.0974 |  1.1706 |  2.62 0.742  0.64 | 0.000 0.000 | n  Y | -
   LOWBETA    63  0.25 |  15.45%   1.1447  -19.10% | 1.2084/1.1011 |  1.1740 |  2.77 0.744  0.64 | 0.033 0.050 | n  Y | -
   LOWBETA    63  0.50 |  15.37%   1.1374  -19.10% | 1.1970/1.0972 |  1.1701 |  2.91 0.746  0.64 | 0.036 0.103 | n  Y | -
   LOWBETA    63  0.75 |  15.41%   1.1374  -19.10% | 1.1957/1.0981 |  1.1707 |  2.95 0.748  0.65 | 0.037 0.157 | n  Y | -
   LOWBETA    63  1.00 |  15.36%   1.1316  -19.35% | 1.1898/1.0920 |  1.1649 |  3.05 0.750  0.65 | 0.037 0.205 | n  Y | -
   LOWBETA   126  0.00 |  15.47%   1.1467  -19.10% | 1.2173/1.0974 |  1.1706 |  2.62 0.742  0.64 | 0.000 0.000 | n  Y | -
   LOWBETA   126  0.25 |  15.46%   1.1445  -19.10% | 1.2149/1.0956 |  1.1686 |  2.74 0.744  0.64 | 0.033 0.050 | n  Y | -
   LOWBETA   126  0.50 |  15.46%   1.1431  -19.10% | 1.2131/1.0944 |  1.1675 |  2.82 0.746  0.64 | 0.036 0.103 | n  Y | -
   LOWBETA   126  0.75 |  15.45%   1.1400  -19.10% | 1.2013/1.0981 |  1.1708 |  2.90 0.748  0.65 | 0.037 0.157 | n  Y | -
   LOWBETA   126  1.00 |  15.39%   1.1328  -19.35% | 1.1919/1.0923 |  1.1652 |  3.01 0.750  0.65 | 0.037 0.205 | n  Y | -
   LOWBETA   252  0.00 |  15.47%   1.1467  -19.10% | 1.2173/1.0974 |  1.1706 |  2.62 0.742  0.64 | 0.000 0.000 | n  Y | -
   LOWBETA   252  0.25 |  15.41%   1.1409  -19.10% | 1.2122/1.0913 |  1.1646 |  2.78 0.744  0.64 | 0.033 0.050 | n  Y | -
   LOWBETA   252  0.50 |  15.47%   1.1440  -19.10% | 1.2131/1.0960 |  1.1690 |  2.89 0.746  0.64 | 0.036 0.103 | n  Y | -
   LOWBETA   252  0.75 |  15.44%   1.1394  -19.10% | 1.2013/1.0971 |  1.1699 |  2.98 0.748  0.65 | 0.037 0.157 | n  Y | -
   LOWBETA   252  1.00 |  15.39%   1.1335  -19.35% | 1.1919/1.0938 |  1.1665 |  3.08 0.750  0.65 | 0.037 0.205 | n  Y | -
   HIGHBETA   63  0.00 |  15.47%   1.1467  -19.10% | 1.2173/1.0974 |  1.1706 |  2.62 0.742  0.64 | 0.000 0.000 | n  Y | -
   HIGHBETA   63  0.25 |  15.54%   1.1459  -19.10% | 1.2166/1.0963 |  1.1691 |  2.96 0.744  0.65 | 0.033 0.050 | n  Y | -
   HIGHBETA   63  0.50 |  15.68%   1.1478  -19.10% | 1.2062/1.1078 |  1.1794 |  3.16 0.746  0.66 | 0.036 0.103 | n  Y | -
   HIGHBETA   63  0.75 |  15.72%   1.1423  -19.10% | 1.1898/1.1109 |  1.1816 |  3.27 0.748  0.67 | 0.037 0.157 | n  Y | -
   HIGHBETA   63  1.00 |  15.77%   1.1384  -19.10% | 1.1797/1.1110 |  1.1814 |  3.30 0.750  0.68 | 0.037 0.205 | n  Y | -
   HIGHBETA  126  0.00 |  15.47%   1.1467  -19.10% | 1.2173/1.0974 |  1.1706 |  2.62 0.742  0.64 | 0.000 0.000 | n  Y | -
   HIGHBETA  126  0.25 |  15.64%   1.1524  -19.10% | 1.2200/1.1055 |  1.1777 |  2.91 0.744  0.65 | 0.033 0.050 | n  Y | -
   HIGHBETA  126  0.50 |  15.66%   1.1475  -19.10% | 1.2096/1.1044 |  1.1763 |  3.06 0.746  0.66 | 0.036 0.103 | n  Y | -
   HIGHBETA  126  0.75 |  15.62%   1.1362  -19.10% | 1.1885/1.1008 |  1.1722 |  3.17 0.748  0.67 | 0.037 0.157 | n  Y | -
   HIGHBETA  126  1.00 |  15.80%   1.1404  -19.10% | 1.1879/1.1080 |  1.1786 |  3.21 0.750  0.68 | 0.037 0.205 | n  Y | -
   HIGHBETA  252  0.00 |  15.47%   1.1467  -19.10% | 1.2173/1.0974 |  1.1706 |  2.62 0.742  0.64 | 0.000 0.000 | n  Y | -
   HIGHBETA  252  0.25 |  15.65%   1.1533  -19.10% | 1.2179/1.1088 |  1.1809 |  2.69 0.744  0.65 | 0.033 0.050 | n  Y | -
   HIGHBETA  252  0.50 |  15.60%   1.1432  -19.10% | 1.2035/1.1017 |  1.1737 |  2.76 0.746  0.66 | 0.036 0.103 | n  Y | -
   HIGHBETA  252  0.75 |  15.59%   1.1345  -19.10% | 1.1903/1.0960 |  1.1677 |  2.81 0.748  0.67 | 0.037 0.157 | n  Y | -
   HIGHBETA  252  1.00 |  15.72%   1.1358  -19.10% | 1.1853/1.1016 |  1.1726 |  2.87 0.750  0.68 | 0.037 0.205 | n  Y | -
   RANDOM    126  0.00 |  15.47%   1.1467  -19.10% | 1.2173/1.0974 |  1.1706 |  2.62 0.742  0.64 | 0.000 0.000 | n  Y | -
   RANDOM    126  0.25 |  15.50%   1.1453  -19.10% | 1.2076/1.1028 |  1.1754 |  3.60 0.744  0.64 | 0.033 0.050 | n  Y | -
   RANDOM    126  0.50 |  15.57%   1.1458  -19.10% | 1.2124/1.0997 |  1.1720 |  4.31 0.746  0.65 | 0.036 0.103 | n  Y | -
   RANDOM    126  0.75 |  15.52%   1.1372  -19.18% | 1.1856/1.1055 |  1.1772 |  4.74 0.748  0.66 | 0.037 0.157 | n  Y | -
   RANDOM    126  1.00 |  15.64%   1.1405  -19.18% | 1.1937/1.1037 |  1.1754 |  4.98 0.750  0.67 | 0.037 0.205 | n  Y | -
   RULE 8 H=126 CASH     LOWBETA  IS-argmax = look 63 / ROT 0.00 (IS Sh 1.1197) -> OOS 1.1706 vs do-nothing 1.1706 (+0.0000)  cellmean 1.1689 worst 1.1646  rank corr +0.32
   RULE 8 H=126 CASH     HIGHBETA IS-argmax = look 126 / ROT 0.25 (IS Sh 1.1233) -> OOS 1.1777 vs do-nothing 1.1706 (+0.0072)  cellmean 1.1749 worst 1.1677  rank corr -0.24
   RULE 8 H=126 CASH     RANDOM   IS-argmax = look 126 / ROT 0.00 (IS Sh 1.1197) -> OOS 1.1706 vs do-nothing 1.1706 (+0.0000)  cellmean 1.1741 worst 1.1706  rank corr -0.90

   --- MINHOLD 0 / FILL RESPREAD ---
   kind     look   ROT |    CAGR   Sharpe    MaxDD |  H1/H2 Sharpe |  OOS Sh | turn  gross beta | rotwk rotsl | 4a 4b | fail4b
   LOWBETA    63  0.00 |  12.96%   1.0773  -18.18% | 1.0929/1.0712 |  1.1405 | 10.13 0.750  0.51 | 0.000 0.000 | n  Y | -
   LOWBETA    63  0.25 |  12.88%   1.0829  -18.94% | 1.0879/1.0856 |  1.1551 | 10.35 0.750  0.51 | 0.094 0.207 | n  Y | -
   LOWBETA    63  0.50 |  12.92%   1.0897  -18.90% | 1.0881/1.0979 |  1.1669 | 10.09 0.750  0.52 | 0.101 0.398 | n  Y | -
   LOWBETA    63  0.75 |  13.13%   1.1045  -19.28% | 1.1066/1.1095 |  1.1778 |  9.88 0.750  0.53 | 0.108 0.575 | n  Y | -
   LOWBETA    63  1.00 |  13.23%   1.1096  -19.28% | 1.0963/1.1276 |  1.1945 |  9.79 0.750  0.53 | 0.108 0.764 | n  Y | -
   LOWBETA   126  0.00 |  12.96%   1.0773  -18.18% | 1.0929/1.0712 |  1.1405 | 10.13 0.750  0.51 | 0.000 0.000 | n  Y | -
   LOWBETA   126  0.25 |  12.86%   1.0813  -18.94% | 1.0940/1.0774 |  1.1475 | 10.28 0.750  0.51 | 0.094 0.207 | n  Y | -
   LOWBETA   126  0.50 |  12.94%   1.0917  -18.90% | 1.0986/1.0927 |  1.1622 |  9.98 0.750  0.52 | 0.101 0.398 | n  Y | -
   LOWBETA   126  0.75 |  13.05%   1.0976  -19.28% | 1.1132/1.0910 |  1.1604 |  9.86 0.750  0.53 | 0.108 0.575 | n  Y | -
   LOWBETA   126  1.00 |  13.23%   1.1089  -19.28% | 1.1085/1.1158 |  1.1836 |  9.76 0.750  0.54 | 0.108 0.764 | n  Y | -
   LOWBETA   252  0.00 |  12.96%   1.0773  -18.18% | 1.0929/1.0712 |  1.1405 | 10.13 0.750  0.51 | 0.000 0.000 | n  Y | -
   LOWBETA   252  0.25 |  12.93%   1.0862  -18.94% | 1.0963/1.0845 |  1.1540 | 10.37 0.750  0.51 | 0.094 0.207 | n  Y | -
   LOWBETA   252  0.50 |  12.95%   1.0913  -19.74% | 1.0996/1.0912 |  1.1606 | 10.10 0.750  0.52 | 0.101 0.398 | n  Y | -
   LOWBETA   252  0.75 |  13.13%   1.1038  -19.28% | 1.1031/1.1114 |  1.1794 |  9.96 0.750  0.53 | 0.108 0.575 | n  Y | -
   LOWBETA   252  1.00 |  13.22%   1.1081  -19.28% | 1.0988/1.1226 |  1.1898 |  9.81 0.750  0.54 | 0.108 0.764 | n  Y | -
   HIGHBETA   63  0.00 |  12.96%   1.0773  -18.18% | 1.0929/1.0712 |  1.1405 | 10.13 0.750  0.51 | 0.000 0.000 | n  Y | -
   HIGHBETA   63  0.25 |  13.76%   1.1084  -18.18% | 1.0983/1.1243 |  1.1875 | 11.19 0.750  0.57 | 0.094 0.207 | n  Y | -
   HIGHBETA   63  0.50 |  14.06%   1.1114  -19.39% | 1.0797/1.1455 |  1.2058 | 10.83 0.750  0.59 | 0.101 0.398 | n  Y | -
   HIGHBETA   63  0.75 |  14.11%   1.1057  -19.28% | 1.0956/1.1213 |  1.1824 | 10.56 0.750  0.61 | 0.108 0.575 | n  Y | -
   HIGHBETA   63  1.00 |  14.36%   1.1157  -19.28% | 1.0929/1.1421 |  1.2014 | 10.35 0.750  0.61 | 0.108 0.764 | n  Y | -
   HIGHBETA  126  0.00 |  12.96%   1.0773  -18.18% | 1.0929/1.0712 |  1.1405 | 10.13 0.750  0.51 | 0.000 0.000 | n  Y | -
   HIGHBETA  126  0.25 |  13.52%   1.0929  -18.18% | 1.0944/1.0988 |  1.1639 | 11.01 0.750  0.57 | 0.094 0.207 | n  Y | -
   HIGHBETA  126  0.50 |  13.99%   1.1092  -18.73% | 1.0780/1.1429 |  1.2036 | 10.64 0.750  0.59 | 0.101 0.398 | n  Y | -
   HIGHBETA  126  0.75 |  14.04%   1.1025  -19.28% | 1.0936/1.1174 |  1.1788 | 10.40 0.750  0.60 | 0.108 0.575 | n  Y | -
   HIGHBETA  126  1.00 |  14.32%   1.1138  -19.28% | 1.1010/1.1314 |  1.1915 | 10.25 0.750  0.61 | 0.108 0.764 | n  Y | -
   HIGHBETA  252  0.00 |  12.96%   1.0773  -18.18% | 1.0929/1.0712 |  1.1405 | 10.13 0.750  0.51 | 0.000 0.000 | n  Y | -
   HIGHBETA  252  0.25 |  13.61%   1.0990  -18.18% | 1.1027/1.1033 |  1.1680 | 10.11 0.750  0.57 | 0.094 0.207 | n  Y | -
   HIGHBETA  252  0.50 |  13.92%   1.1047  -18.73% | 1.0789/1.1337 |  1.1951 | 10.05 0.750  0.59 | 0.101 0.398 | n  Y | -
   HIGHBETA  252  0.75 |  14.14%   1.1096  -19.28% | 1.1024/1.1230 |  1.1841 |  9.91 0.750  0.60 | 0.108 0.575 | n  Y | -
   HIGHBETA  252  1.00 |  14.38%   1.1183  -19.28% | 1.1040/1.1372 |  1.1969 |  9.82 0.750  0.61 | 0.108 0.764 | n  Y | -
   RANDOM    126  0.00 |  12.96%   1.0773  -18.18% | 1.0929/1.0712 |  1.1405 | 10.13 0.750  0.51 | 0.000 0.000 | n  Y | -
   RANDOM    126  0.25 |  13.23%   1.0893  -18.68% | 1.1086/1.0801 |  1.1480 | 13.87 0.750  0.55 | 0.094 0.207 | n  Y | -
   RANDOM    126  0.50 |  13.62%   1.1135  -19.02% | 1.1083/1.1248 |  1.1896 | 13.52 0.750  0.56 | 0.101 0.398 | n  Y | -
   RANDOM    126  0.75 |  13.56%   1.1050  -19.28% | 1.1021/1.1140 |  1.1792 | 13.16 0.750  0.57 | 0.108 0.575 | n  Y | -
   RANDOM    126  1.00 |  13.66%   1.1072  -19.28% | 1.0954/1.1235 |  1.1879 | 12.87 0.750  0.58 | 0.108 0.764 | n  Y | -
   RULE 8 H=  0 RESPREAD LOWBETA  IS-argmax = look 126 / ROT 0.75 (IS Sh 1.0160) -> OOS 1.1604 vs do-nothing 1.1405 (+0.0199)  cellmean 1.1636 worst 1.1405  rank corr +0.53
   RULE 8 H=  0 RESPREAD HIGHBETA IS-argmax = look 252 / ROT 1.00 (IS Sh 1.0155) -> OOS 1.1969 vs do-nothing 1.1405 (+0.0564)  cellmean 1.1787 worst 1.1405  rank corr -0.02
   RULE 8 H=  0 RESPREAD RANDOM   IS-argmax = look 126 / ROT 0.50 (IS Sh 1.0138) -> OOS 1.1896 vs do-nothing 1.1405 (+0.0491)  cellmean 1.1691 worst 1.1405  rank corr +0.60

   --- MINHOLD 0 / FILL CASH ---
   kind     look   ROT |    CAGR   Sharpe    MaxDD |  H1/H2 Sharpe |  OOS Sh | turn  gross beta | rotwk rotsl | 4a 4b | fail4b
   LOWBETA    63  0.00 |  12.78%   1.0992  -18.18% | 1.1039/1.1016 |  1.1726 |  8.99 0.720  0.48 | 0.000 0.000 | n  Y | -
   LOWBETA    63  0.25 |  12.80%   1.0985  -18.18% | 1.0989/1.1045 |  1.1751 |  9.26 0.727  0.49 | 0.094 0.207 | n  Y | -
   LOWBETA    63  0.50 |  12.82%   1.0964  -18.18% | 1.0971/1.1023 |  1.1726 |  9.43 0.735  0.50 | 0.101 0.398 | n  Y | -
   LOWBETA    63  0.75 |  12.96%   1.1018  -18.18% | 1.1091/1.1021 |  1.1720 |  9.52 0.741  0.51 | 0.108 0.575 | n  Y | -
   LOWBETA    63  1.00 |  13.10%   1.1030  -18.18% | 1.0963/1.1150 |  1.1833 |  9.67 0.748  0.53 | 0.108 0.764 | n  Y | -
   LOWBETA   126  0.00 |  12.78%   1.0992  -18.18% | 1.1039/1.1016 |  1.1726 |  8.99 0.720  0.48 | 0.000 0.000 | n  Y | -
   LOWBETA   126  0.25 |  12.75%   1.0947  -18.18% | 1.0974/1.0988 |  1.1697 |  9.23 0.727  0.49 | 0.094 0.207 | n  Y | -
   LOWBETA   126  0.50 |  12.81%   1.0963  -18.18% | 1.1014/1.0984 |  1.1690 |  9.37 0.735  0.50 | 0.101 0.398 | n  Y | -
   LOWBETA   126  0.75 |  12.89%   1.0958  -18.18% | 1.1142/1.0865 |  1.1574 |  9.50 0.741  0.52 | 0.108 0.575 | n  Y | -
   LOWBETA   126  1.00 |  13.10%   1.1023  -18.18% | 1.1085/1.1032 |  1.1722 |  9.63 0.748  0.53 | 0.108 0.764 | n  Y | -
   LOWBETA   252  0.00 |  12.78%   1.0992  -18.18% | 1.1039/1.1016 |  1.1726 |  8.99 0.720  0.48 | 0.000 0.000 | n  Y | -
   LOWBETA   252  0.25 |  12.80%   1.0986  -18.18% | 1.1004/1.1035 |  1.1742 |  9.27 0.727  0.49 | 0.094 0.207 | n  Y | -
   LOWBETA   252  0.50 |  12.82%   1.0966  -18.18% | 1.1021/1.0985 |  1.1691 |  9.44 0.735  0.50 | 0.101 0.398 | n  Y | -
   LOWBETA   252  0.75 |  12.95%   1.1008  -18.18% | 1.1053/1.1034 |  1.1731 |  9.58 0.741  0.52 | 0.108 0.575 | n  Y | -
   LOWBETA   252  1.00 |  13.09%   1.1015  -18.18% | 1.0988/1.1100 |  1.1785 |  9.69 0.748  0.53 | 0.108 0.764 | n  Y | -
   HIGHBETA   63  0.00 |  12.78%   1.0992  -18.18% | 1.1039/1.1016 |  1.1726 |  8.99 0.720  0.48 | 0.000 0.000 | n  Y | -
   HIGHBETA   63  0.25 |  13.37%   1.1270  -18.18% | 1.1122/1.1462 |  1.2126 |  9.58 0.727  0.52 | 0.094 0.207 | n  Y | -
   HIGHBETA   63  0.50 |  13.74%   1.1293  -18.18% | 1.1001/1.1610 |  1.2241 |  9.91 0.735  0.56 | 0.101 0.398 | n  Y | -
   HIGHBETA   63  0.75 |  13.82%   1.1100  -18.18% | 1.1101/1.1166 |  1.1804 | 10.09 0.741  0.58 | 0.108 0.575 | n  Y | -
   HIGHBETA   63  1.00 |  14.23%   1.1094  -18.18% | 1.0929/1.1301 |  1.1906 | 10.23 0.748  0.61 | 0.108 0.764 | n  Y | -
   HIGHBETA  126  0.00 |  12.78%   1.0992  -18.18% | 1.1039/1.1016 |  1.1726 |  8.99 0.720  0.48 | 0.000 0.000 | n  Y | -
   HIGHBETA  126  0.25 |  13.24%   1.1177  -18.18% | 1.1091/1.1315 |  1.1990 |  9.51 0.727  0.52 | 0.094 0.207 | n  Y | -
   HIGHBETA  126  0.50 |  13.67%   1.1256  -18.18% | 1.0980/1.1559 |  1.2195 |  9.81 0.735  0.55 | 0.101 0.398 | n  Y | -
   HIGHBETA  126  0.75 |  13.76%   1.1067  -18.18% | 1.1072/1.1132 |  1.1773 |  9.96 0.741  0.58 | 0.108 0.575 | n  Y | -
   HIGHBETA  126  1.00 |  14.19%   1.1075  -18.18% | 1.1010/1.1193 |  1.1806 | 10.12 0.748  0.61 | 0.108 0.764 | n  Y | -
   HIGHBETA  252  0.00 |  12.78%   1.0992  -18.18% | 1.1039/1.1016 |  1.1726 |  8.99 0.720  0.48 | 0.000 0.000 | n  Y | -
   HIGHBETA  252  0.25 |  13.33%   1.1236  -18.18% | 1.1162/1.1366 |  1.2036 |  9.28 0.727  0.52 | 0.094 0.207 | n  Y | -
   HIGHBETA  252  0.50 |  13.62%   1.1222  -18.18% | 1.0997/1.1481 |  1.2123 |  9.52 0.735  0.55 | 0.101 0.398 | n  Y | -
   HIGHBETA  252  0.75 |  13.84%   1.1132  -18.18% | 1.1152/1.1185 |  1.1822 |  9.63 0.741  0.58 | 0.108 0.575 | n  Y | -
   HIGHBETA  252  1.00 |  14.25%   1.1120  -18.18% | 1.1040/1.1251 |  1.1860 |  9.76 0.748  0.61 | 0.108 0.764 | n  Y | -
   RANDOM    126  0.00 |  12.78%   1.0992  -18.18% | 1.1039/1.1016 |  1.1726 |  8.99 0.720  0.48 | 0.000 0.000 | n  Y | -
